"code","name","year","age","mx","mx_f","mx_m","lx","lx_f","lx_m","ex","ex_f","ex_m","Total","Male","Female","best_practice","best_practice_alt"
"AUS","Australia",1921,3,0.00355,0.00289,0.0042,0.91705,0.92583,0.90876,63.43,65.19,61.98,118490.11,60217.82,58272.29,0,1
"AUS","Australia",1921,13,0.00148,0.00142,0.00155,0.898,0.90818,0.88837,54.69,56.38,53.31,103174.89,51993.91,51180.98,0,1
"AUS","Australia",1921,16,0.00192,0.00181,0.00202,0.89385,0.90414,0.8841,51.94,53.62,50.56,94878.46,47973.97,46904.49,0,1
"AUS","Australia",1921,17,0.00234,0.00217,0.00252,0.89214,0.90251,0.88232,51.04,52.72,49.66,91674.44,46119.54,45554.9,0,1
"AUS","Australia",1921,22,0.00293,0.00254,0.00335,0.88078,0.89142,0.8707,46.66,48.34,45.28,88722.46,43293.79,45428.67,0,1
"AUS","Australia",1921,24,0.00339,0.00314,0.00366,0.87535,0.88627,0.86499,44.95,46.62,43.58,90298.07,43296.31,47001.76,0,1
"AUS","Australia",1921,88,0.21247,0.19573,0.2306,0.06769,0.0897,0.05094,4.11,4.27,3.94,1351.64,657.24,694.4,0,1
"AUS","Australia",1921,90,0.22232,0.21241,0.23395,0.04434,0.06039,0.03237,3.78,3.88,3.66,788.55,366.34,422.21,0,1
"AUS","Australia",1922,2,0.00428,0.00382,0.00471,0.93803,0.94722,0.92932,64.95,66.72,63.48,116970.96,59661.92,57309.04,0,1
"AUS","Australia",1922,5,0.00194,0.00165,0.00223,0.92902,0.93867,0.91989,62.57,64.31,61.12,119152.05,60600,58552.05,0,1
"AUS","Australia",1922,9,0.00134,0.00113,0.00154,0.92258,0.93272,0.91298,58.99,60.71,57.56,116362.74,58707.4,57655.34,0,1
"AUS","Australia",1922,10,0.00131,0.00118,0.00143,0.92135,0.93167,0.91157,58.07,59.78,56.65,113166.85,57057.81,56109.04,0,1
"AUS","Australia",1922,12,0.00115,0.00097,0.00132,0.91898,0.92946,0.90904,56.22,57.92,54.81,107218.08,54559.45,52658.63,0,1
"AUS","Australia",1922,13,0.0014,0.00113,0.00167,0.91793,0.92856,0.90784,55.28,56.97,53.88,104904.11,53004.93,51899.18,0,1
"AUS","Australia",1922,14,0.00165,0.00157,0.00173,0.91664,0.92752,0.90633,54.36,56.04,52.97,103014.8,51906.58,51108.22,0,1
"AUS","Australia",1922,16,0.00161,0.00119,0.00201,0.91372,0.92484,0.90318,52.53,54.2,51.15,98358.63,50207.4,48151.23,0,1
"AUS","Australia",1922,17,0.00187,0.00158,0.00216,0.91225,0.92374,0.90136,51.62,53.26,50.25,94675.06,47864.38,46810.68,0,1
"AUS","Australia",1922,18,0.00199,0.00204,0.00194,0.91054,0.92228,0.89942,50.71,52.35,49.36,91453.7,46003.29,45450.41,0,1
"AUS","Australia",1922,22,0.00293,0.00276,0.00311,0.90162,0.91398,0.8899,47.19,48.8,45.86,90875.07,44765.21,46109.86,0,1
"AUS","Australia",1922,25,0.00305,0.00297,0.00313,0.89358,0.90588,0.88192,44.6,46.22,43.27,89992.6,43145.48,46847.12,0,1
"AUS","Australia",1922,26,0.00361,0.00326,0.004,0.89087,0.90319,0.87916,43.74,45.36,42.4,91102.46,44001.64,47100.82,0,1
"AUS","Australia",1922,27,0.00325,0.00298,0.00354,0.88765,0.90026,0.87566,42.89,44.51,41.57,91892.6,44495.89,47396.71,0,1
"AUS","Australia",1922,34,0.00424,0.00418,0.00429,0.86535,0.87785,0.85343,36.91,38.55,35.56,87217.26,44359.45,42857.81,0,1
"AUS","Australia",1922,36,0.00433,0.00458,0.00408,0.85798,0.87065,0.8459,35.22,36.86,33.87,82758.63,42155.34,40603.29,0,1
"AUS","Australia",1922,54,0.01253,0.01029,0.01453,0.75166,0.77685,0.72858,20.74,22.09,19.65,47859.46,25352.88,22506.58,0,1
"AUS","Australia",1922,55,0.01352,0.01078,0.01592,0.74231,0.7689,0.71807,20,21.32,18.93,46102.46,24750.41,21352.05,0,1
"AUS","Australia",1922,59,0.01726,0.01346,0.02054,0.69865,0.73158,0.66954,17.12,18.3,16.15,41156.99,22053.7,19103.29,0,1
"AUS","Australia",1922,63,0.02523,0.01988,0.02988,0.64412,0.68544,0.60875,14.39,15.39,13.55,31955.34,17053.7,14901.64,0,1
"AUS","Australia",1922,74,0.06453,0.055,0.07401,0.40853,0.46669,0.36228,8.28,8.75,7.83,10900.82,5400.82,5500,0,1
"AUS","Australia",1922,77,0.08652,0.07775,0.0955,0.32517,0.38021,0.28156,7.01,7.38,6.64,8401.64,4152.05,4249.59,0,1
"AUS","Australia",1922,79,0.10418,0.08874,0.12086,0.26643,0.31728,0.22632,6.32,6.64,6.01,6300.82,3050.41,3250.41,0,1
"AUS","Australia",1923,3,0.00296,0.00258,0.00334,0.92529,0.93312,0.91784,63.61,65.18,62.3,116771.78,59612.33,57159.45,0,1
"AUS","Australia",1923,8,0.00134,0.00103,0.00165,0.91539,0.92412,0.90708,59.27,60.79,58.01,123307.4,62304.11,61003.29,0,1
"AUS","Australia",1923,13,0.00131,0.00104,0.00157,0.90933,0.91814,0.90096,54.65,56.17,53.39,107517.26,54709.04,52808.22,0,1
"AUS","Australia",1923,15,0.00161,0.00143,0.00179,0.90672,0.91597,0.89793,52.81,54.3,51.57,103364.38,52156.16,51208.22,0,1
"AUS","Australia",1923,19,0.00259,0.00249,0.00269,0.89951,0.90943,0.89009,49.21,50.68,48,91952.88,46352.88,45600,0,1
"AUS","Australia",1923,20,0.00247,0.00253,0.00241,0.89719,0.90717,0.88771,48.34,49.8,47.13,92148.77,46300,45848.77,0,1
"AUS","Australia",1923,41,0.00534,0.00432,0.0063,0.82517,0.83512,0.81572,30.53,32.09,29.25,72454.52,37052.88,35401.64,0,1
"AUS","Australia",1923,61,0.01813,0.01463,0.02116,0.65635,0.69144,0.62594,15.32,16.3,14.5,38755.35,20802.47,17952.88,0,1
