country;variable;percentile;year;value;age;pop
AD;xlceux999i;p0p100;1999;1.0;999;i
AD;xlceux999i;p0p100;2000;1.0;999;i
AD;xlceux999i;p0p100;2001;1.0;999;i
AD;xlceux999i;p0p100;2002;1.0;999;i
AD;xlceux999i;p0p100;2003;1.0;999;i
AD;xlceux999i;p0p100;2004;1.0;999;i
AD;xlceux999i;p0p100;2005;1.0;999;i
AD;xlceux999i;p0p100;2006;1.0;999;i
AD;xlceux999i;p0p100;2007;1.0;999;i
AD;xlceux999i;p0p100;2008;1.0;999;i
AD;xlceux999i;p0p100;2009;1.0;999;i
AD;xlceux999i;p0p100;2010;1.0;999;i
AD;xlceux999i;p0p100;2011;1.0;999;i
AD;xlceux999i;p0p100;2012;1.0;999;i
AD;xlceux999i;p0p100;2013;1.0;999;i
AD;xlceux999i;p0p100;2014;1.0;999;i
AD;xlceux999i;p0p100;2015;1.0;999;i
AD;xlceux999i;p0p100;2016;1.0;999;i
AD;xlceux999i;p0p100;2017;1.0;999;i
AD;xlceux999i;p0p100;2018;1.0;999;i
AD;xlceux999i;p0p100;2019;1.0;999;i
AD;xlceux999i;p0p100;2020;1.0;999;i
AD;xlceux999i;p0p100;2021;1.0;999;i
AD;mheago999i;p0p100;2000;8020459.0;999;i
AD;mheago999i;p0p100;2001;8530085.0;999;i
AD;mheago999i;p0p100;2002;9198375.0;999;i
AD;mheago999i;p0p100;2003;9088112.0;999;i
AD;mheago999i;p0p100;2004;10170976.0;999;i
AD;mheago999i;p0p100;2005;10782522.0;999;i
AD;mheago999i;p0p100;2006;11720903.0;999;i
AD;mheago999i;p0p100;2007;13371221.0;999;i
AD;mheago999i;p0p100;2008;20348756.0;999;i
AD;mheago999i;p0p100;2009;21847840.0;999;i
AD;mheago999i;p0p100;2010;31915990.0;999;i
AD;mheago999i;p0p100;2011;64505728.0;999;i
AD;mheago999i;p0p100;2012;45888732.0;999;i
AD;mheago999i;p0p100;2013;55717740.0;999;i
AD;mheago999i;p0p100;2014;54321132.0;999;i
AD;mheago999i;p0p100;2015;70144432.0;999;i
AD;mheago999i;p0p100;2016;68255120.0;999;i
AD;mheago999i;p0p100;2017;61362196.0;999;i
AD;mheago999i;p0p100;2018;64016696.0;999;i
AD;mheago999i;p0p100;2019;62709280.0;999;i
AD;aheago999i;p0p100;2000;122.7;999;i
AD;aheago999i;p0p100;2001;126.7;999;i
AD;aheago999i;p0p100;2002;131.3;999;i
AD;aheago999i;p0p100;2003;124.2;999;i
AD;aheago999i;p0p100;2004;133.4;999;i
AD;aheago999i;p0p100;2005;136.7;999;i
AD;aheago999i;p0p100;2006;144.7;999;i
AD;aheago999i;p0p100;2007;161.7;999;i
AD;aheago999i;p0p100;2008;242.6;999;i
AD;aheago999i;p0p100;2009;258.7;999;i
AD;aheago999i;p0p100;2010;377.9;999;i
AD;aheago999i;p0p100;2011;770.2;999;i
AD;aheago999i;p0p100;2012;556.7;999;i
AD;aheago999i;p0p100;2013;689.8;999;i
AD;aheago999i;p0p100;2014;685.8;999;i
AD;aheago999i;p0p100;2015;899.2;999;i
AD;aheago999i;p0p100;2016;883.0;999;i
AD;aheago999i;p0p100;2017;796.9;999;i
AD;aheago999i;p0p100;2018;831.3;999;i
AD;aheago999i;p0p100;2019;812.9;999;i
AD;wwealg999i;p0p100;1995;1.05456411838531;999;i
AD;wwealg999i;p0p100;1996;1.07586169242859;999;i
AD;wwealg999i;p0p100;1997;1.09705233573914;999;i
AD;wwealg999i;p0p100;1998;1.11807823181152;999;i
AD;wwealg999i;p0p100;1999;1.13954520225525;999;i
AD;wwealg999i;p0p100;2000;1.16101360321045;999;i
AD;wwealg999i;p0p100;2001;1.18359673023224;999;i
AD;wwealg999i;p0p100;2002;1.20698761940002;999;i
AD;wwealg999i;p0p100;2003;1.23111212253571;999;i
AD;wwealg999i;p0p100;2004;1.25592660903931;999;i
AD;wwealg999i;p0p100;2005;1.28067827224731;999;i
AD;wwealg999i;p0p100;2006;1.30364465713501;999;i
AD;wwealg999i;p0p100;2007;1.32268679141998;999;i
AD;wwealg999i;p0p100;2008;1.33618450164795;999;i
AD;wwealg999i;p0p100;2009;1.34324157238007;999;i
AD;wwealg999i;p0p100;2010;1.34352016448975;999;i
AD;wwealg999i;p0p100;2011;1.33803427219391;999;i
AD;wwealg999i;p0p100;2012;1.32778453826904;999;i
AD;wwealg999i;p0p100;2013;1.31451666355133;999;i
AD;wwealg999i;p0p100;2014;1.29922914505005;999;i
AD;wwealg999i;p0p100;2015;1.28289914131165;999;i
AD;wwealg999i;p0p100;2016;1.26659154891968;999;i
AD;wwealg999i;p0p100;2017;1.25081562995911;999;i
AD;wwealg999i;p0p100;2018;1.23598825931549;999;i
AD;wwealg999i;p0p100;2019;1.22188746929169;999;i
AD;wwealg999i;p0p100;2020;1.20851290225983;999;i
AD;inyixx999i;p0p100;1970;0.039837222546339;999;i
AD;inyixx999i;p0p100;1971;0.0429628007113934;999;i
AD;inyixx999i;p0p100;1972;0.0466224029660225;999;i
AD;inyixx999i;p0p100;1973;0.0521469004452229;999;i
AD;inyixx999i;p0p100;1974;0.0604618191719055;999;i
AD;inyixx999i;p0p100;1975;0.0706083998084068;999;i
AD;inyixx999i;p0p100;1976;0.0822516158223152;999;i
AD;inyixx999i;p0p100;1977;0.101484596729279;999;i
AD;inyixx999i;p0p100;1978;0.122421935200691;999;i
AD;inyixx999i;p0p100;1979;0.143150046467781;999;i
AD;inyixx999i;p0p100;1980;0.162267461419106;999;i
AD;inyixx999i;p0p100;1981;0.182309374213219;999;i
AD;inyixx999i;p0p100;1982;0.207071274518967;999;i
AD;inyixx999i;p0p100;1983;0.231680139899254;999;i
AD;inyixx999i;p0p100;1984;0.256851553916931;999;i
AD;inyixx999i;p0p100;1985;0.278929144144058;999;i
AD;inyixx999i;p0p100;1986;0.309273332357407;999;i
AD;inyixx999i;p0p100;1987;0.327657133340836;999;i
AD;inyixx999i;p0p100;1988;0.347107261419296;999;i
AD;inyixx999i;p0p100;1989;0.371044546365738;999;i
AD;inyixx999i;p0p100;1990;0.398228079080582;999;i
AD;inyixx999i;p0p100;1991;0.425845801830292;999;i
AD;inyixx999i;p0p100;1992;0.454423427581787;999;i
AD;inyixx999i;p0p100;1993;0.475041627883911;999;i
AD;inyixx999i;p0p100;1994;0.493472516536713;999;i
AD;inyixx999i;p0p100;1995;0.517816185951233;999;i
AD;inyixx999i;p0p100;1996;0.521944165229797;999;i
AD;inyixx999i;p0p100;1997;0.533573925495148;999;i
AD;inyixx999i;p0p100;1998;0.541575074195862;999;i
AD;inyixx999i;p0p100;1999;0.556370735168457;999;i
AD;inyixx999i;p0p100;2000;0.716280460357666;999;i
AD;inyixx999i;p0p100;2001;0.738345563411713;999;i
AD;inyixx999i;p0p100;2002;0.762264668941498;999;i
AD;inyixx999i;p0p100;2003;0.786485493183136;999;i
AD;inyixx999i;p0p100;2004;0.810413777828217;999;i
AD;inyixx999i;p0p100;2005;0.837935984134674;999;i
AD;inyixx999i;p0p100;2006;0.866905212402344;999;i
AD;inyixx999i;p0p100;2007;0.894743263721466;999;i
AD;inyixx999i;p0p100;2008;0.915092766284943;999;i
AD;inyixx999i;p0p100;2009;0.91630220413208;999;i
AD;inyixx999i;p0p100;2010;0.919731974601746;999;i
AD;inyixx999i;p0p100;2011;0.921541512012482;999;i
AD;inyixx999i;p0p100;2012;0.923150300979614;999;i
AD;inyixx999i;p0p100;2013;0.927290320396423;999;i
AD;inyixx999i;p0p100;2014;0.926511585712433;999;i
AD;inyixx999i;p0p100;2015;0.932631969451904;999;i
AD;inyixx999i;p0p100;2016;0.935875594615936;999;i
AD;inyixx999i;p0p100;2017;0.946511924266815;999;i
AD;inyixx999i;p0p100;2018;0.956094980239868;999;i
AD;inyixx999i;p0p100;2019;0.970511496067047;999;i
AD;inyixx999i;p0p100;2020;0.985145449638367;999;i
AD;inyixx999i;p0p100;2021;1.0;999;i
AD;aothgo999i;p0p100;2000;0.0;999;i
AD;aothgo999i;p0p100;2001;0.0;999;i
AD;aothgo999i;p0p100;2002;0.0;999;i
AD;aothgo999i;p0p100;2003;0.0;999;i
AD;aothgo999i;p0p100;2004;0.0;999;i
AD;aothgo999i;p0p100;2005;0.0;999;i
AD;aothgo999i;p0p100;2006;0.0;999;i
AD;aothgo999i;p0p100;2007;0.0;999;i
AD;aothgo999i;p0p100;2008;0.0;999;i
AD;aothgo999i;p0p100;2009;0.0;999;i
AD;aothgo999i;p0p100;2010;0.0;999;i
AD;aothgo999i;p0p100;2011;0.0;999;i
AD;aothgo999i;p0p100;2012;0.0;999;i
AD;aothgo999i;p0p100;2013;0.0;999;i
AD;aothgo999i;p0p100;2014;0.0;999;i
AD;aothgo999i;p0p100;2015;0.0;999;i
AD;aothgo999i;p0p100;2016;0.0;999;i
AD;aothgo999i;p0p100;2017;0.0;999;i
AD;aothgo999i;p0p100;2018;0.0;999;i
AD;aothgo999i;p0p100;2019;0.0;999;i
AD;menvgo999i;p0p100;2000;3662303.0;999;i
AD;menvgo999i;p0p100;2001;4350846.0;999;i
AD;menvgo999i;p0p100;2002;4802631.0;999;i
AD;menvgo999i;p0p100;2003;10348962.0;999;i
AD;menvgo999i;p0p100;2004;12280457.0;999;i
AD;menvgo999i;p0p100;2005;11040537.0;999;i
AD;menvgo999i;p0p100;2006;11818440.0;999;i
AD;menvgo999i;p0p100;2007;13420843.0;999;i
AD;menvgo999i;p0p100;2008;15808124.0;999;i
AD;menvgo999i;p0p100;2009;17188672.0;999;i
AD;menvgo999i;p0p100;2010;15976805.0;999;i
AD;menvgo999i;p0p100;2011;16603125.0;999;i
AD;menvgo999i;p0p100;2012;17239360.0;999;i
