country;variable;percentile;year;value;age;pop
AF;bhweal992j;p33p100;1995;8.01293754577637;992;j
AF;bhweal992j;p33p100;1996;7.97308349609375;992;j
AF;bhweal992j;p33p100;1997;8.01012706756592;992;j
AF;bhweal992j;p33p100;1998;8.04373550415039;992;j
AF;bhweal992j;p33p100;1999;8.00383853912354;992;j
AF;bhweal992j;p33p100;2000;8.03864669799805;992;j
AF;bhweal992j;p33p100;2001;8.07489109039307;992;j
AF;bhweal992j;p33p100;2002;8.10714912414551;992;j
AF;bhweal992j;p33p100;2003;8.06737422943115;992;j
AF;bhweal992j;p33p100;2004;8.1413631439209;992;j
AF;bhweal992j;p33p100;2005;8.17180252075195;992;j
AF;bhweal992j;p33p100;2006;8.22762012481689;992;j
AF;bhweal992j;p33p100;2007;8.10480785369873;992;j
AF;bhweal992j;p33p100;2008;8.07942962646484;992;j
AF;bhweal992j;p33p100;2009;8.08551788330078;992;j
AF;bhweal992j;p33p100;2010;8.0801887512207;992;j
AF;bhweal992j;p33p100;2011;7.98729562759399;992;j
AF;bhweal992j;p33p100;2012;8.00175285339355;992;j
AF;bhweal992j;p33p100;2013;8.00942611694336;992;j
AF;bhweal992j;p33p100;2014;7.96043539047241;992;j
AF;bhweal992j;p33p100;2015;7.97174310684204;992;j
AF;bhweal992j;p33p100;2016;8.05032062530518;992;j
AF;bhweal992j;p33p100;2017;8.09241676330566;992;j
AF;bhweal992j;p33p100;2018;8.093186378479;992;j
AF;bhweal992j;p33p100;2019;8.09087944030762;992;j
AF;bhweal992j;p33p100;2020;8.09164714813232;992;j
AF;bhweal992j;p33p100;2021;8.09087944030762;992;j
AF;shweal992j;p35p36;1995;0.0021;992;j
AF;shweal992j;p35p36;1996;0.0021;992;j
AF;shweal992j;p35p36;1997;0.0021;992;j
AF;shweal992j;p35p36;1998;0.0021;992;j
AF;shweal992j;p35p36;1999;0.0021;992;j
AF;shweal992j;p35p36;2000;0.0021;992;j
AF;shweal992j;p35p36;2001;0.0021;992;j
AF;shweal992j;p35p36;2002;0.0021;992;j
AF;shweal992j;p35p36;2003;0.0021;992;j
AF;shweal992j;p35p36;2004;0.0021;992;j
AF;shweal992j;p35p36;2005;0.0021;992;j
AF;shweal992j;p35p36;2006;0.0021;992;j
AF;shweal992j;p35p36;2007;0.0021;992;j
AF;shweal992j;p35p36;2008;0.0021;992;j
AF;shweal992j;p35p36;2009;0.0021;992;j
AF;shweal992j;p35p36;2010;0.0021;992;j
AF;shweal992j;p35p36;2011;0.0021;992;j
AF;shweal992j;p35p36;2012;0.0021;992;j
AF;shweal992j;p35p36;2013;0.0021;992;j
AF;shweal992j;p35p36;2014;0.0021;992;j
AF;shweal992j;p35p36;2015;0.0021;992;j
AF;shweal992j;p35p36;2016;0.0021;992;j
AF;shweal992j;p35p36;2017;0.0021;992;j
AF;shweal992j;p35p36;2018;0.0021;992;j
AF;shweal992j;p35p36;2019;0.0021;992;j
AF;shweal992j;p35p36;2020;0.0021;992;j
AF;shweal992j;p35p36;2021;0.0021;992;j
AF;acomrx992i;p0p100;1979;0.0;992;i
AF;acomrx992i;p0p100;1980;0.0;992;i
AF;acomrx992i;p0p100;1981;0.0;992;i
AF;acomrx992i;p0p100;1982;0.0;992;i
AF;acomrx992i;p0p100;1983;0.0;992;i
AF;acomrx992i;p0p100;1984;0.0;992;i
AF;acomrx992i;p0p100;1985;0.0;992;i
AF;acomrx992i;p0p100;1986;0.0;992;i
AF;acomrx992i;p0p100;1987;0.0;992;i
AF;acomrx992i;p0p100;1988;0.0;992;i
AF;acomrx992i;p0p100;1989;0.0;992;i
AF;acomrx992i;p0p100;2008;494.5;992;i
AF;acomrx992i;p0p100;2009;447.7;992;i
AF;acomrx992i;p0p100;2010;928.5;992;i
AF;acomrx992i;p0p100;2011;531.1;992;i
AF;acomrx992i;p0p100;2012;480.8;992;i
AF;acomrx992i;p0p100;2013;804.0;992;i
AF;acomrx992i;p0p100;2014;657.5;992;i
AF;acomrx992i;p0p100;2015;1112.0;992;i
AF;acomrx992i;p0p100;2016;432.2;992;i
AF;acomrx992i;p0p100;2017;739.1;992;i
AF;acomrx992i;p0p100;2018;495.5;992;i
AF;thweal992j;p76p100;1995;133993.5;992;j
AF;thweal992j;p76p100;1996;137660.3;992;j
AF;thweal992j;p76p100;1997;126698.4;992;j
AF;thweal992j;p76p100;1998;117622.6;992;j
AF;thweal992j;p76p100;1999;113018.9;992;j
