country;variable;percentile;year;value;age;pop
AG;aptfrn999i;p0p100;1970;0.0;999;i
AG;aptfrn999i;p0p100;1971;-0.2;999;i
AG;aptfrn999i;p0p100;1972;-0.5;999;i
AG;aptfrn999i;p0p100;1973;-0.8;999;i
AG;aptfrn999i;p0p100;1974;-1.1;999;i
AG;aptfrn999i;p0p100;1975;-1.3;999;i
AG;aptfrn999i;p0p100;1976;-1.4;999;i
AG;aptfrn999i;p0p100;1977;-1.7;999;i
AG;aptfrn999i;p0p100;1978;-2.1;999;i
AG;aptfrn999i;p0p100;1979;-2.5;999;i
AG;aptfrn999i;p0p100;1980;-3.0;999;i
AG;aptfrn999i;p0p100;1981;-3.5;999;i
AG;aptfrn999i;p0p100;1982;-3.8;999;i
AG;aptfrn999i;p0p100;1983;-4.3;999;i
AG;aptfrn999i;p0p100;1984;-5.1;999;i
AG;aptfrn999i;p0p100;1985;-5.9;999;i
AG;aptfrn999i;p0p100;1986;-7.1;999;i
AG;aptfrn999i;p0p100;1987;-8.0;999;i
AG;aptfrn999i;p0p100;1988;-8.9;999;i
AG;aptfrn999i;p0p100;1989;-9.8;999;i
AG;aptfrn999i;p0p100;1990;-10.6;999;i
AG;aptfrn999i;p0p100;1991;-11.2;999;i
AG;aptfrn999i;p0p100;1992;-11.8;999;i
AG;aptfrn999i;p0p100;1993;-12.9;999;i
AG;aptfrn999i;p0p100;1994;-14.0;999;i
AG;aptfrn999i;p0p100;1995;-13.6;999;i
AG;aptfrn999i;p0p100;1996;-15.0;999;i
AG;aptfrn999i;p0p100;1997;-20.0;999;i
AG;aptfrn999i;p0p100;1998;-31.2;999;i
AG;aptfrn999i;p0p100;1999;-24.8;999;i
AG;aptfrn999i;p0p100;2000;-54.0;999;i
AG;aptfrn999i;p0p100;2001;-50.6;999;i
AG;aptfrn999i;p0p100;2002;-10.3;999;i
AG;aptfrn999i;p0p100;2003;-122.4;999;i
AG;aptfrn999i;p0p100;2004;-104.8;999;i
AG;aptfrn999i;p0p100;2005;-203.1;999;i
AG;aptfrn999i;p0p100;2006;-225.4;999;i
AG;aptfrn999i;p0p100;2007;-446.2;999;i
AG;aptfrn999i;p0p100;2008;-574.5;999;i
