country;variable;percentile;year;value;age;pop
BI;shweal992j;p99.8p99.9;1995;0.0308;992;j
BI;shweal992j;p99.8p99.9;1996;0.0319;992;j
BI;shweal992j;p99.8p99.9;1997;0.0343;992;j
BI;shweal992j;p99.8p99.9;1998;0.0373;992;j
BI;shweal992j;p99.8p99.9;1999;0.0361;992;j
BI;shweal992j;p99.8p99.9;2000;0.0342;992;j
BI;shweal992j;p99.8p99.9;2001;0.0324;992;j
BI;shweal992j;p99.8p99.9;2002;0.0317;992;j
BI;shweal992j;p99.8p99.9;2003;0.0311;992;j
BI;shweal992j;p99.8p99.9;2004;0.0307;992;j
BI;shweal992j;p99.8p99.9;2005;0.0303;992;j
BI;shweal992j;p99.8p99.9;2006;0.0298;992;j
BI;shweal992j;p99.8p99.9;2007;0.0301;992;j
BI;shweal992j;p99.8p99.9;2008;0.0305;992;j
BI;shweal992j;p99.8p99.9;2009;0.0307;992;j
BI;shweal992j;p99.8p99.9;2010;0.031;992;j
BI;shweal992j;p99.8p99.9;2011;0.0313;992;j
BI;shweal992j;p99.8p99.9;2012;0.0318;992;j
BI;shweal992j;p99.8p99.9;2013;0.0323;992;j
BI;shweal992j;p99.8p99.9;2014;0.0323;992;j
BI;shweal992j;p99.8p99.9;2015;0.0323;992;j
BI;shweal992j;p99.8p99.9;2016;0.0324;992;j
BI;shweal992j;p99.8p99.9;2017;0.0324;992;j
BI;shweal992j;p99.8p99.9;2018;0.0324;992;j
BI;shweal992j;p99.8p99.9;2019;0.0324;992;j
BI;shweal992j;p99.8p99.9;2020;0.0324;992;j
BI;shweal992j;p99.8p99.9;2021;0.0324;992;j
BI;bhweal992j;p6p100;1995;-36.6552352905273;992;j
BI;bhweal992j;p6p100;1996;-38.0013999938965;992;j
BI;bhweal992j;p6p100;1997;-39.7616310119629;992;j
BI;bhweal992j;p6p100;1998;-39.4543190002441;992;j
BI;bhweal992j;p6p100;1999;-39.8572616577148;992;j
BI;bhweal992j;p6p100;2000;-39.7275772094727;992;j
BI;bhweal992j;p6p100;2001;-38.6146545410156;992;j
BI;bhweal992j;p6p100;2002;-37.7845726013184;992;j
BI;bhweal992j;p6p100;2003;-36.9955596923828;992;j
BI;bhweal992j;p6p100;2004;-36.4110641479492;992;j
BI;bhweal992j;p6p100;2005;-35.7590599060059;992;j
BI;bhweal992j;p6p100;2006;-35.0340957641602;992;j
BI;bhweal992j;p6p100;2007;-35.5233879089355;992;j
BI;bhweal992j;p6p100;2008;-36.1118774414062;992;j
BI;bhweal992j;p6p100;2009;-36.5148887634277;992;j
BI;bhweal992j;p6p100;2010;-36.9046669006348;992;j
BI;bhweal992j;p6p100;2011;-37.3142929077148;992;j
BI;bhweal992j;p6p100;2012;-37.9788208007812;992;j
BI;bhweal992j;p6p100;2013;-38.5171089172363;992;j
BI;bhweal992j;p6p100;2014;-38.5119132995605;992;j
BI;bhweal992j;p6p100;2015;-38.522289276123;992;j
