country;variable;percentile;year;value;age;pop
BM;acomrx999i;p0p100;1996;33326.6;999;i
BM;acomrx999i;p0p100;1997;35913.4;999;i
BM;acomrx999i;p0p100;1998;36888.8;999;i
BM;acomrx999i;p0p100;1999;37939.0;999;i
BM;acomrx999i;p0p100;2000;36231.5;999;i
BM;acomrx999i;p0p100;2001;41830.3;999;i
BM;acomrx999i;p0p100;2002;46238.6;999;i
BM;acomrx999i;p0p100;2003;49770.4;999;i
BM;acomrx999i;p0p100;2004;24988.0;999;i
BM;acomrx999i;p0p100;2005;25673.7;999;i
BM;acomrx999i;p0p100;2006;27496.5;999;i
BM;acomrx999i;p0p100;2007;31884.5;999;i
BM;acomrx999i;p0p100;2008;29879.6;999;i
BM;acomrx999i;p0p100;2009;30688.9;999;i
BM;acomrx999i;p0p100;2010;27537.5;999;i
BM;acomrx999i;p0p100;2011;26037.5;999;i
BM;acomrx999i;p0p100;2012;24607.4;999;i
BM;acomrx999i;p0p100;2013;24799.3;999;i
BM;acomrx999i;p0p100;2014;26631.3;999;i
BM;acomrx999i;p0p100;2015;28643.6;999;i
BM;acomrx999i;p0p100;2016;27936.9;999;i
BM;acomrx999i;p0p100;2017;28905.0;999;i
BM;acomrx999i;p0p100;2018;27939.6;999;i
BM;mcompx999i;p0p100;1996;5517424.0;999;i
BM;mcompx999i;p0p100;1997;23880710.0;999;i
BM;mcompx999i;p0p100;1998;23296966.0;999;i
BM;mcompx999i;p0p100;1999;11882979.0;999;i
BM;mcompx999i;p0p100;2000;82589024.0;999;i
BM;mcompx999i;p0p100;2001;110492056.0;999;i
BM;mcompx999i;p0p100;2002;115573232.0;999;i
BM;mcompx999i;p0p100;2003;125300344.0;999;i
BM;mcompx999i;p0p100;2004;142475440.0;999;i
BM;mcompx999i;p0p100;2005;156211120.0;999;i
BM;mcompx999i;p0p100;2006;140622640.0;999;i
BM;mcompx999i;p0p100;2007;136164864.0;999;i
BM;mcompx999i;p0p100;2008;119785336.0;999;i
BM;mcompx999i;p0p100;2009;111203304.0;999;i
BM;mcompx999i;p0p100;2010;144986480.0;999;i
BM;mcompx999i;p0p100;2011;108316768.0;999;i
BM;mcompx999i;p0p100;2012;110014048.0;999;i
BM;mcompx999i;p0p100;2013;99667352.0;999;i
BM;mcompx999i;p0p100;2014;104298792.0;999;i
BM;mcompx999i;p0p100;2015;42142580.0;999;i
BM;mcompx999i;p0p100;2016;74180648.0;999;i
BM;mcompx999i;p0p100;2017;80657416.0;999;i
BM;mcompx999i;p0p100;2018;81531736.0;999;i
BM;mconfc999i;p0p100;1960;103803808.0;999;i
BM;mconfc999i;p0p100;1961;109465920.0;999;i
BM;mconfc999i;p0p100;1962;115747488.0;999;i
BM;mconfc999i;p0p100;1963;123291472.0;999;i
BM;mconfc999i;p0p100;1964;132994776.0;999;i
BM;mconfc999i;p0p100;1965;144901008.0;999;i
BM;mconfc999i;p0p100;1966;158797376.0;999;i
BM;mconfc999i;p0p100;1967;173104880.0;999;i
BM;mconfc999i;p0p100;1968;185981808.0;999;i
BM;mconfc999i;p0p100;1969;197064928.0;999;i
BM;mconfc999i;p0p100;1970;206489424.0;999;i
BM;mconfc999i;p0p100;1971;214253616.0;999;i
BM;mconfc999i;p0p100;1972;220878624.0;999;i
BM;mconfc999i;p0p100;1973;227448224.0;999;i
BM;mconfc999i;p0p100;1974;235276368.0;999;i
BM;mconfc999i;p0p100;1975;245467520.0;999;i
BM;mconfc999i;p0p100;1976;257956016.0;999;i
BM;mconfc999i;p0p100;1977;271200768.0;999;i
BM;mconfc999i;p0p100;1978;283815360.0;999;i
BM;mconfc999i;p0p100;1979;295344896.0;999;i
BM;mconfc999i;p0p100;1980;305165728.0;999;i
BM;mconfc999i;p0p100;1981;311757504.0;999;i
BM;mconfc999i;p0p100;1982;315400960.0;999;i
BM;mconfc999i;p0p100;1983;318672576.0;999;i
BM;mconfc999i;p0p100;1984;323106400.0;999;i
BM;mconfc999i;p0p100;1985;329925856.0;999;i
BM;mconfc999i;p0p100;1986;339893408.0;999;i
BM;mconfc999i;p0p100;1987;351175552.0;999;i
BM;mconfc999i;p0p100;1988;361556320.0;999;i
BM;mconfc999i;p0p100;1989;369232160.0;999;i
BM;mconfc999i;p0p100;1990;374199072.0;999;i
BM;mconfc999i;p0p100;1991;377968128.0;999;i
BM;mconfc999i;p0p100;1992;383381600.0;999;i
BM;mconfc999i;p0p100;1993;392288832.0;999;i
BM;mconfc999i;p0p100;1994;405333792.0;999;i
BM;mconfc999i;p0p100;1995;423258528.0;999;i
BM;mconfc999i;p0p100;1996;446043488.0;999;i
BM;mconfc999i;p0p100;1997;474027232.0;999;i
BM;mconfc999i;p0p100;1998;507235808.0;999;i
BM;mconfc999i;p0p100;1999;545725888.0;999;i
BM;mconfc999i;p0p100;2000;588801920.0;999;i
BM;mconfc999i;p0p100;2001;713468608.0;999;i
BM;mconfc999i;p0p100;2002;505855360.0;999;i
BM;mconfc999i;p0p100;2003;623586048.0;999;i
BM;mconfc999i;p0p100;2004;679196736.0;999;i
BM;mconfc999i;p0p100;2005;540563264.0;999;i
BM;mconfc999i;p0p100;2006;455042496.0;999;i
BM;mconfc999i;p0p100;2007;436844000.0;999;i
BM;mconfc999i;p0p100;2008;427775040.0;999;i
BM;mconfc999i;p0p100;2009;448172864.0;999;i
BM;mconfc999i;p0p100;2010;467921536.0;999;i
BM;mconfc999i;p0p100;2011;481516960.0;999;i
BM;mconfc999i;p0p100;2012;424945952.0;999;i
BM;mconfc999i;p0p100;2013;421618592.0;999;i
BM;mconfc999i;p0p100;2014;402400704.0;999;i
BM;mconfc999i;p0p100;2015;425755776.0;999;i
BM;mconfc999i;p0p100;2016;402335616.0;999;i
BM;mconfc999i;p0p100;2017;412631776.0;999;i
BM;mconfc999i;p0p100;2018;394212480.0;999;i
BM;mconfc999i;p0p100;2019;405282272.0;999;i
BM;mconfc999i;p0p100;2020;415594080.0;999;i
BM;mecogo999i;p0p100;1975;71544136.0;999;i
BM;mecogo999i;p0p100;1976;73731976.0;999;i
BM;mecogo999i;p0p100;1977;78768448.0;999;i
BM;mecogo999i;p0p100;1978;84402456.0;999;i
BM;mecogo999i;p0p100;1979;76582280.0;999;i
BM;mecogo999i;p0p100;1980;77615360.0;999;i
BM;mecogo999i;p0p100;1981;93128240.0;999;i
BM;mecogo999i;p0p100;1982;95336680.0;999;i
BM;mecogo999i;p0p100;1983;96987656.0;999;i
BM;mecogo999i;p0p100;1984;118519024.0;999;i
BM;mecogo999i;p0p100;1985;114038784.0;999;i
BM;mecogo999i;p0p100;1986;116279264.0;999;i
BM;mecogo999i;p0p100;1987;135433968.0;999;i
BM;mecogo999i;p0p100;2000;218728048.0;999;i
BM;mecogo999i;p0p100;2001;218008816.0;999;i
BM;mecogo999i;p0p100;2002;203027616.0;999;i
BM;mecogo999i;p0p100;2003;227928160.0;999;i
BM;mecogo999i;p0p100;2004;211993200.0;999;i
BM;mecogo999i;p0p100;2005;215529392.0;999;i
BM;mecogo999i;p0p100;2006;176295520.0;999;i
BM;mecogo999i;p0p100;2007;171622816.0;999;i
BM;mecogo999i;p0p100;2008;157126736.0;999;i
BM;mecogo999i;p0p100;2009;194424400.0;999;i
BM;mecogo999i;p0p100;2010;143187056.0;999;i
BM;mecogo999i;p0p100;2011;136748848.0;999;i
BM;mecogo999i;p0p100;2012;150937184.0;999;i
BM;mecogo999i;p0p100;2013;117341512.0;999;i
BM;mecogo999i;p0p100;2014;88304816.0;999;i
BM;mecogo999i;p0p100;2015;93268760.0;999;i
BM;mecogo999i;p0p100;2016;84043096.0;999;i
BM;mecogo999i;p0p100;2017;96291288.0;999;i
BM;mecogo999i;p0p100;2018;70561400.0;999;i
BM;acomnx999i;p0p100;1996;33240.0;999;i
BM;acomnx999i;p0p100;1997;35540.8;999;i
BM;acomnx999i;p0p100;1998;36527.0;999;i
BM;acomnx999i;p0p100;1999;37755.4;999;i
BM;acomnx999i;p0p100;2000;34961.2;999;i
BM;acomnx999i;p0p100;2001;40139.0;999;i
