country;variable;percentile;year;value;age;pop
BN;thweal992j;p54p55;1995;68381.3;992;j
BN;thweal992j;p54p55;1996;67802.5;992;j
BN;thweal992j;p54p55;1997;61723.2;992;j
BN;thweal992j;p54p55;1998;66346.8;992;j
BN;thweal992j;p54p55;1999;65386.0;992;j
BN;thweal992j;p54p55;2000;55869.8;992;j
BN;thweal992j;p54p55;2001;57836.0;992;j
BN;thweal992j;p54p55;2002;53446.4;992;j
BN;thweal992j;p54p55;2003;48327.5;992;j
BN;thweal992j;p54p55;2004;43343.2;992;j
BN;thweal992j;p54p55;2005;37435.8;992;j
BN;thweal992j;p54p55;2006;35323.3;992;j
BN;thweal992j;p54p55;2007;34648.5;992;j
BN;thweal992j;p54p55;2008;27837.8;992;j
BN;thweal992j;p54p55;2009;34740.8;992;j
BN;thweal992j;p54p55;2010;29587.9;992;j
BN;thweal992j;p54p55;2011;22557.1;992;j
BN;thweal992j;p54p55;2012;21927.8;992;j
BN;thweal992j;p54p55;2013;24685.7;992;j
BN;thweal992j;p54p55;2014;28987.3;992;j
BN;thweal992j;p54p55;2015;39407.7;992;j
BN;thweal992j;p54p55;2016;38699.4;992;j
BN;thweal992j;p54p55;2017;38346.3;992;j
BN;thweal992j;p54p55;2018;36232.1;992;j
BN;thweal992j;p54p55;2019;38220.7;992;j
BN;thweal992j;p54p55;2020;39408.8;992;j
BN;thweal992j;p54p55;2021;37487.4;992;j
BN;thweal992j;p66p67;1995;104511.9;992;j
BN;thweal992j;p66p67;1996;103628.3;992;j
BN;thweal992j;p66p67;1997;94337.6;992;j
BN;thweal992j;p66p67;1998;101405.4;992;j
BN;thweal992j;p66p67;1999;99937.8;992;j
BN;thweal992j;p66p67;2000;85393.9;992;j
BN;thweal992j;p66p67;2001;88400.0;992;j
BN;thweal992j;p66p67;2002;81691.4;992;j
BN;thweal992j;p66p67;2003;73847.2;992;j
BN;thweal992j;p66p67;2004;66224.6;992;j
BN;thweal992j;p66p67;2005;57257.6;992;j
BN;thweal992j;p66p67;2006;54089.4;992;j
BN;thweal992j;p66p67;2007;53093.6;992;j
BN;thweal992j;p66p67;2008;42591.7;992;j
BN;thweal992j;p66p67;2009;53053.5;992;j
BN;thweal992j;p66p67;2010;45148.1;992;j
BN;thweal992j;p66p67;2011;34393.0;992;j
BN;thweal992j;p66p67;2012;33397.2;992;j
BN;thweal992j;p66p67;2013;37571.9;992;j
BN;thweal992j;p66p67;2014;44091.0;992;j
BN;thweal992j;p66p67;2015;59941.0;992;j
BN;thweal992j;p66p67;2016;58863.9;992;j
BN;thweal992j;p66p67;2017;58327.0;992;j
BN;thweal992j;p66p67;2018;55112.1;992;j
BN;thweal992j;p66p67;2019;58137.6;992;j
BN;thweal992j;p66p67;2020;59945.2;992;j
BN;thweal992j;p66p67;2021;57022.3;992;j
BN;thweal992j;p78p79;1995;168954.3;992;j
BN;thweal992j;p78p79;1996;167529.8;992;j
BN;thweal992j;p78p79;1997;152513.6;992;j
BN;thweal992j;p78p79;1998;163943.8;992;j
BN;thweal992j;p78p79;1999;161574.9;992;j
BN;thweal992j;p78p79;2000;138064.2;992;j
BN;thweal992j;p78p79;2001;142927.7;992;j
BN;thweal992j;p78p79;2002;132084.1;992;j
BN;thweal992j;p78p79;2003;119323.9;992;j
