country;variable;percentile;year;value;age;pop
CU;ahweal992j;p5p6;1995;-87.3;992;j
CU;ahweal992j;p5p6;1996;-104.8;992;j
CU;ahweal992j;p5p6;1997;-116.6;992;j
CU;ahweal992j;p5p6;1998;-124.2;992;j
CU;ahweal992j;p5p6;1999;-142.0;992;j
CU;ahweal992j;p5p6;2000;-161.1;992;j
CU;ahweal992j;p5p6;2001;-176.5;992;j
CU;ahweal992j;p5p6;2002;-188.4;992;j
CU;ahweal992j;p5p6;2003;-206.5;992;j
CU;ahweal992j;p5p6;2004;-222.3;992;j
CU;ahweal992j;p5p6;2005;-284.4;992;j
CU;ahweal992j;p5p6;2006;-304.0;992;j
CU;ahweal992j;p5p6;2007;-329.9;992;j
CU;ahweal992j;p5p6;2008;-385.8;992;j
CU;ahweal992j;p5p6;2009;-426.6;992;j
CU;ahweal992j;p5p6;2010;-462.4;992;j
CU;ahweal992j;p5p6;2011;-489.7;992;j
CU;ahweal992j;p5p6;2012;-564.9;992;j
CU;ahweal992j;p5p6;2013;-581.2;992;j
CU;ahweal992j;p5p6;2014;-610.3;992;j
CU;ahweal992j;p5p6;2015;-659.5;992;j
CU;ahweal992j;p5p6;2016;-691.4;992;j
CU;ahweal992j;p5p6;2017;-729.1;992;j
CU;ahweal992j;p5p6;2018;-769.4;992;j
CU;ahweal992j;p5p6;2019;-812.6;992;j
CU;ahweal992j;p5p6;2020;-857.8;992;j
CU;ahweal992j;p5p6;2021;-855.6;992;j
CU;shweal992j;p99.3p99.4;1995;0.0128;992;j
CU;shweal992j;p99.3p99.4;1996;0.0128;992;j
CU;shweal992j;p99.3p99.4;1997;0.0128;992;j
CU;shweal992j;p99.3p99.4;1998;0.0128;992;j
CU;shweal992j;p99.3p99.4;1999;0.0128;992;j
CU;shweal992j;p99.3p99.4;2000;0.0128;992;j
CU;shweal992j;p99.3p99.4;2001;0.0128;992;j
CU;shweal992j;p99.3p99.4;2002;0.0128;992;j
CU;shweal992j;p99.3p99.4;2003;0.0128;992;j
CU;shweal992j;p99.3p99.4;2004;0.0129;992;j
CU;shweal992j;p99.3p99.4;2005;0.0125;992;j
CU;shweal992j;p99.3p99.4;2006;0.013;992;j
CU;shweal992j;p99.3p99.4;2007;0.0134;992;j
CU;shweal992j;p99.3p99.4;2008;0.0128;992;j
CU;shweal992j;p99.3p99.4;2009;0.0125;992;j
CU;shweal992j;p99.3p99.4;2010;0.0124;992;j
CU;shweal992j;p99.3p99.4;2011;0.0125;992;j
CU;shweal992j;p99.3p99.4;2012;0.0121;992;j
CU;shweal992j;p99.3p99.4;2013;0.0123;992;j
CU;shweal992j;p99.3p99.4;2014;0.0122;992;j
CU;shweal992j;p99.3p99.4;2015;0.0122;992;j
CU;shweal992j;p99.3p99.4;2016;0.0122;992;j
CU;shweal992j;p99.3p99.4;2017;0.0122;992;j
CU;shweal992j;p99.3p99.4;2018;0.0122;992;j
CU;shweal992j;p99.3p99.4;2019;0.0122;992;j
CU;shweal992j;p99.3p99.4;2020;0.0122;992;j
CU;shweal992j;p99.3p99.4;2021;0.0122;992;j
CU;shweal992j;p99.994p100;1995;0.0475;992;j
CU;shweal992j;p99.994p100;1996;0.0475;992;j
CU;shweal992j;p99.994p100;1997;0.0475;992;j
CU;shweal992j;p99.994p100;1998;0.0475;992;j
CU;shweal992j;p99.994p100;1999;0.0475;992;j
CU;shweal992j;p99.994p100;2000;0.0475;992;j
CU;shweal992j;p99.994p100;2001;0.0475;992;j
CU;shweal992j;p99.994p100;2002;0.0474;992;j
CU;shweal992j;p99.994p100;2003;0.0467;992;j
CU;shweal992j;p99.994p100;2004;0.0491;992;j
CU;shweal992j;p99.994p100;2005;0.0427;992;j
CU;shweal992j;p99.994p100;2006;0.0502;992;j
CU;shweal992j;p99.994p100;2007;0.0563;992;j
CU;shweal992j;p99.994p100;2008;0.0463;992;j
CU;shweal992j;p99.994p100;2009;0.0421;992;j
CU;shweal992j;p99.994p100;2010;0.0408;992;j
CU;shweal992j;p99.994p100;2011;0.0412;992;j
CU;shweal992j;p99.994p100;2012;0.0369;992;j
CU;shweal992j;p99.994p100;2013;0.0385;992;j
CU;shweal992j;p99.994p100;2014;0.0378;992;j
CU;shweal992j;p99.994p100;2015;0.0378;992;j
CU;shweal992j;p99.994p100;2016;0.0373;992;j
CU;shweal992j;p99.994p100;2017;0.0371;992;j
CU;shweal992j;p99.994p100;2018;0.0371;992;j
CU;shweal992j;p99.994p100;2019;0.0371;992;j
CU;shweal992j;p99.994p100;2020;0.0371;992;j
CU;shweal992j;p99.994p100;2021;0.0371;992;j
CU;bhweal992j;p10p100;1995;46.9039726257324;992;j
CU;bhweal992j;p10p100;1996;46.8991355895996;992;j
CU;bhweal992j;p10p100;1997;46.9088249206543;992;j
CU;bhweal992j;p10p100;1998;46.8799057006836;992;j
CU;bhweal992j;p10p100;1999;46.884693145752;992;j
CU;bhweal992j;p10p100;2000;46.8894882202148;992;j
CU;bhweal992j;p10p100;2001;46.8943099975586;992;j
CU;bhweal992j;p10p100;2002;46.8751220703125;992;j
CU;bhweal992j;p10p100;2003;46.5794372558594;992;j
CU;bhweal992j;p10p100;2004;47.6714401245117;992;j
CU;bhweal992j;p10p100;2005;45.7781257629395;992;j
CU;bhweal992j;p10p100;2006;48.3235969543457;992;j
CU;bhweal992j;p10p100;2007;54.3378067016602;992;j
CU;bhweal992j;p10p100;2008;46.4413642883301;992;j
CU;bhweal992j;p10p100;2009;45.763671875;992;j
CU;bhweal992j;p10p100;2010;45.8488502502441;992;j
CU;bhweal992j;p10p100;2011;45.8016815185547;992;j
CU;bhweal992j;p10p100;2012;47.2629127502441;992;j
CU;bhweal992j;p10p100;2013;46.438346862793;992;j
CU;bhweal992j;p10p100;2014;46.7190856933594;992;j
CU;bhweal992j;p10p100;2015;46.7220153808594;992;j
CU;bhweal992j;p10p100;2016;47.0403709411621;992;j
CU;bhweal992j;p10p100;2017;47.1617813110352;992;j
CU;bhweal992j;p10p100;2018;47.1106376647949;992;j
CU;bhweal992j;p10p100;2019;47.1174049377441;992;j
CU;bhweal992j;p10p100;2020;47.1140213012695;992;j
CU;bhweal992j;p10p100;2021;47.1174087524414;992;j
CU;bhweal992j;p50p100;1995;5.28392648696899;992;j
CU;bhweal992j;p50p100;1996;5.28315162658691;992;j
CU;bhweal992j;p50p100;1997;5.28470182418823;992;j
CU;bhweal992j;p50p100;1998;5.28005790710449;992;j
CU;bhweal992j;p50p100;1999;5.28083086013794;992;j
CU;bhweal992j;p50p100;2000;5.28160381317139;992;j
CU;bhweal992j;p50p100;2001;5.28237724304199;992;j
CU;bhweal992j;p50p100;2002;5.27928638458252;992;j
CU;bhweal992j;p50p100;2003;5.22833156585693;992;j
CU;bhweal992j;p50p100;2004;5.39325094223022;992;j
CU;bhweal992j;p50p100;2005;4.98376798629761;992;j
CU;bhweal992j;p50p100;2006;5.47205781936646;992;j
CU;bhweal992j;p50p100;2007;5.98182535171509;992;j
CU;bhweal992j;p50p100;2008;5.20181512832642;992;j
CU;bhweal992j;p50p100;2009;4.94863319396973;992;j
CU;bhweal992j;p50p100;2010;4.86960792541504;992;j
CU;bhweal992j;p50p100;2011;4.89548540115356;992;j
CU;bhweal992j;p50p100;2012;4.65201663970947;992;j
CU;bhweal992j;p50p100;2013;4.73898839950562;992;j
CU;bhweal992j;p50p100;2014;4.70403051376343;992;j
CU;bhweal992j;p50p100;2015;4.70370292663574;992;j
CU;bhweal992j;p50p100;2016;4.6714448928833;992;j
CU;bhweal992j;p50p100;2017;4.66058015823364;992;j
CU;bhweal992j;p50p100;2018;4.66507482528687;992;j
CU;bhweal992j;p50p100;2019;4.66447353363037;992;j
CU;bhweal992j;p50p100;2020;4.66477394104004;992;j
CU;bhweal992j;p50p100;2021;4.66447305679321;992;j
CU;bhweal992j;p99.9p100;1995;3.28916764259338;992;j
CU;bhweal992j;p99.9p100;1996;3.28893089294434;992;j
CU;bhweal992j;p99.9p100;1997;3.28940486907959;992;j
CU;bhweal992j;p99.9p100;1998;3.28798270225525;992;j
CU;bhweal992j;p99.9p100;1999;3.28821992874146;992;j
CU;bhweal992j;p99.9p100;2000;3.28845715522766;992;j
CU;bhweal992j;p99.9p100;2001;3.28869414329529;992;j
CU;bhweal992j;p99.9p100;2002;3.28774571418762;992;j
CU;bhweal992j;p99.9p100;2003;3.2715859413147;992;j
CU;bhweal992j;p99.9p100;2004;3.32037377357483;992;j
CU;bhweal992j;p99.9p100;2005;3.17950963973999;992;j
CU;bhweal992j;p99.9p100;2006;3.34027719497681;992;j
CU;bhweal992j;p99.9p100;2007;3.42747712135315;992;j
CU;bhweal992j;p99.9p100;2008;3.26277542114258;992;j
CU;bhweal992j;p99.9p100;2009;3.16428136825561;992;j
CU;bhweal992j;p99.9p100;2010;3.12829208374023;992;j
CU;bhweal992j;p99.9p100;2011;3.1403329372406;992;j
CU;bhweal992j;p99.9p100;2012;3.01948475837708;992;j
CU;bhweal992j;p99.9p100;2013;3.06424117088318;992;j
CU;bhweal992j;p99.9p100;2014;3.0463752746582;992;j
CU;bhweal992j;p99.9p100;2015;3.04620695114136;992;j
CU;bhweal992j;p99.9p100;2016;3.02955770492554;992;j
