country;variable;percentile;year;value;age;pop
CW;acfcco999i;p0p100;2000;4086.6;999;i
CW;acfcco999i;p0p100;2001;4134.5;999;i
CW;acfcco999i;p0p100;2002;4212.2;999;i
CW;acfcco999i;p0p100;2003;4488.6;999;i
CW;acfcco999i;p0p100;2004;4169.4;999;i
CW;acfcco999i;p0p100;2005;3774.9;999;i
CW;acfcco999i;p0p100;2006;3585.0;999;i
CW;acfcco999i;p0p100;2007;3411.3;999;i
CW;acfcco999i;p0p100;2008;3325.3;999;i
CW;acfcco999i;p0p100;2009;4182.0;999;i
CW;acfcco999i;p0p100;2010;3505.6;999;i
CW;acfcco999i;p0p100;2011;4031.4;999;i
CW;acfcco999i;p0p100;2012;4363.2;999;i
CW;acfcco999i;p0p100;2013;4576.2;999;i
CW;acfcco999i;p0p100;2014;4157.8;999;i
CW;acfcco999i;p0p100;2015;4645.4;999;i
CW;acfcco999i;p0p100;2016;4679.9;999;i
CW;asscho992i;p0p100;2011;4965.3;992;i
CW;asscho992i;p0p100;2012;4998.0;992;i
CW;asscho992i;p0p100;2013;6406.3;992;i
CW;asscho992i;p0p100;2014;6345.6;992;i
CW;asscho992i;p0p100;2015;6465.6;992;i
CW;asscho992i;p0p100;2016;7024.1;992;i
CW;aprihn992i;p0p100;2000;45505.5;992;i
CW;aprihn992i;p0p100;2001;45191.8;992;i
CW;aprihn992i;p0p100;2002;43730.6;992;i
CW;aprihn992i;p0p100;2003;44416.8;992;i
CW;aprihn992i;p0p100;2004;45549.4;992;i
CW;aprihn992i;p0p100;2005;46600.1;992;i
CW;aprihn992i;p0p100;2006;46754.1;992;i
CW;aprihn992i;p0p100;2007;47258.7;992;i
CW;aprihn992i;p0p100;2008;40719.0;992;i
CW;aprihn992i;p0p100;2009;46098.2;992;i
CW;aprihn992i;p0p100;2010;44159.5;992;i
CW;aprihn992i;p0p100;2011;41609.9;992;i
CW;aprihn992i;p0p100;2012;43059.9;992;i
CW;aprihn992i;p0p100;2013;39756.9;992;i
CW;aprihn992i;p0p100;2014;38882.1;992;i
CW;aprihn992i;p0p100;2015;36921.0;992;i
CW;aprihn992i;p0p100;2016;38405.5;992;i
CW;npopul902i;p0p100;1950;89.0;902;i
CW;npopul902i;p0p100;1951;96.0;902;i
CW;npopul902i;p0p100;1952;106.0;902;i
CW;npopul902i;p0p100;1953;109.0;902;i
CW;npopul902i;p0p100;1954;105.0;902;i
CW;npopul902i;p0p100;1955;92.0;902;i
CW;npopul902i;p0p100;1956;97.0;902;i
CW;npopul902i;p0p100;1957;100.0;902;i
CW;npopul902i;p0p100;1958;103.0;902;i
CW;npopul902i;p0p100;1959;102.0;902;i
CW;npopul902i;p0p100;1960;103.0;902;i
CW;npopul902i;p0p100;1961;125.0;902;i
CW;npopul902i;p0p100;1962;143.0;902;i
CW;npopul902i;p0p100;1963;158.0;902;i
CW;npopul902i;p0p100;1964;167.0;902;i
CW;npopul902i;p0p100;1965;167.0;902;i
CW;npopul902i;p0p100;1966;194.0;902;i
CW;npopul902i;p0p100;1967;217.0;902;i
CW;npopul902i;p0p100;1968;227.0;902;i
CW;npopul902i;p0p100;1969;219.0;902;i
CW;npopul902i;p0p100;1970;199.0;902;i
CW;npopul902i;p0p100;1971;199.0;902;i
CW;npopul902i;p0p100;1972;193.0;902;i
CW;npopul902i;p0p100;1973;183.0;902;i
CW;npopul902i;p0p100;1974;170.0;902;i
CW;npopul902i;p0p100;1975;155.0;902;i
CW;npopul902i;p0p100;1976;161.0;902;i
CW;npopul902i;p0p100;1977;169.0;902;i
CW;npopul902i;p0p100;1978;179.0;902;i
CW;npopul902i;p0p100;1979;180.0;902;i
CW;npopul902i;p0p100;1980;181.0;902;i
CW;npopul902i;p0p100;1981;208.0;902;i
CW;npopul902i;p0p100;1982;237.0;902;i
CW;npopul902i;p0p100;1983;261.0;902;i
CW;npopul902i;p0p100;1984;268.0;902;i
