country;variable;percentile;year;value;age;pop
DJ;ahweal992j;p65p100;1995;716999.6;992;j
DJ;ahweal992j;p65p100;1996;723673.5;992;j
DJ;ahweal992j;p65p100;1997;820240.4;992;j
DJ;ahweal992j;p65p100;1998;857687.8;992;j
DJ;ahweal992j;p65p100;1999;908916.6;992;j
DJ;ahweal992j;p65p100;2000;945678.6;992;j
DJ;ahweal992j;p65p100;2001;989419.0;992;j
DJ;ahweal992j;p65p100;2002;1073486.8;992;j
DJ;ahweal992j;p65p100;2003;1167844.6;992;j
DJ;ahweal992j;p65p100;2004;1255198.8;992;j
DJ;ahweal992j;p65p100;2005;1319321.2;992;j
DJ;ahweal992j;p65p100;2006;1501474.7;992;j
DJ;ahweal992j;p65p100;2007;1581002.7;992;j
DJ;ahweal992j;p65p100;2008;1704308.6;992;j
DJ;ahweal992j;p65p100;2009;1739091.6;992;j
DJ;ahweal992j;p65p100;2010;1732645.8;992;j
DJ;ahweal992j;p65p100;2011;1809301.3;992;j
DJ;ahweal992j;p65p100;2012;1915996.2;992;j
DJ;ahweal992j;p65p100;2013;2626246.3;992;j
DJ;ahweal992j;p65p100;2014;2810755.5;992;j
DJ;ahweal992j;p65p100;2015;3067325.3;992;j
DJ;ahweal992j;p65p100;2016;3275161.8;992;j
DJ;ahweal992j;p65p100;2017;3427427.9;992;j
DJ;ahweal992j;p65p100;2018;3731718.8;992;j
DJ;ahweal992j;p65p100;2019;4033486.1;992;j
DJ;ahweal992j;p65p100;2020;4011356.7;992;j
DJ;ahweal992j;p65p100;2021;4241876.1;992;j
DJ;ahweal992j;p74p75;1995;254332.7;992;j
DJ;ahweal992j;p74p75;1996;256545.0;992;j
DJ;ahweal992j;p74p75;1997;291025.2;992;j
DJ;ahweal992j;p74p75;1998;304200.2;992;j
DJ;ahweal992j;p74p75;1999;322448.5;992;j
DJ;ahweal992j;p74p75;2000;335369.5;992;j
DJ;ahweal992j;p74p75;2001;350838.5;992;j
DJ;ahweal992j;p74p75;2002;380601.6;992;j
DJ;ahweal992j;p74p75;2003;410072.2;992;j
DJ;ahweal992j;p74p75;2004;433648.9;992;j
DJ;ahweal992j;p74p75;2005;444091.8;992;j
DJ;ahweal992j;p74p75;2006;492793.9;992;j
DJ;ahweal992j;p74p75;2007;507528.3;992;j
DJ;ahweal992j;p74p75;2008;539453.6;992;j
DJ;ahweal992j;p74p75;2009;540774.3;992;j
DJ;ahweal992j;p74p75;2010;524661.0;992;j
DJ;ahweal992j;p74p75;2011;538557.7;992;j
DJ;ahweal992j;p74p75;2012;550832.1;992;j
DJ;ahweal992j;p74p75;2013;772639.0;992;j
DJ;ahweal992j;p74p75;2014;846999.4;992;j
DJ;ahweal992j;p74p75;2015;955205.9;992;j
DJ;ahweal992j;p74p75;2016;1040188.9;992;j
DJ;ahweal992j;p74p75;2017;1114303.8;992;j
DJ;ahweal992j;p74p75;2018;1213010.6;992;j
DJ;ahweal992j;p74p75;2019;1310860.8;992;j
DJ;ahweal992j;p74p75;2020;1303439.2;992;j
DJ;ahweal992j;p74p75;2021;1378586.5;992;j
DJ;shweal992j;p19p20;1995;0.0007;992;j
DJ;shweal992j;p19p20;1996;0.0007;992;j
DJ;shweal992j;p19p20;1997;0.0007;992;j
DJ;shweal992j;p19p20;1998;0.0007;992;j
DJ;shweal992j;p19p20;1999;0.0007;992;j
DJ;shweal992j;p19p20;2000;0.0007;992;j
DJ;shweal992j;p19p20;2001;0.0007;992;j
DJ;shweal992j;p19p20;2002;0.0007;992;j
DJ;shweal992j;p19p20;2003;0.0007;992;j
DJ;shweal992j;p19p20;2004;0.0007;992;j
DJ;shweal992j;p19p20;2005;0.0007;992;j
DJ;shweal992j;p19p20;2006;0.0006;992;j
DJ;shweal992j;p19p20;2007;0.0006;992;j
DJ;shweal992j;p19p20;2008;0.0006;992;j
DJ;shweal992j;p19p20;2009;0.0006;992;j
DJ;shweal992j;p19p20;2010;0.0006;992;j
DJ;shweal992j;p19p20;2011;0.0006;992;j
DJ;shweal992j;p19p20;2012;0.0005;992;j
DJ;shweal992j;p19p20;2013;0.0006;992;j
DJ;shweal992j;p19p20;2014;0.0006;992;j
DJ;shweal992j;p19p20;2015;0.0006;992;j
DJ;shweal992j;p19p20;2016;0.0006;992;j
DJ;shweal992j;p19p20;2017;0.0006;992;j
DJ;shweal992j;p19p20;2018;0.0006;992;j
