country;variable;percentile;year;value;age;pop
GM;ahweal992j;p45p46;1995;21269.8;992;j
GM;ahweal992j;p45p46;1996;21235.0;992;j
GM;ahweal992j;p45p46;1997;22736.2;992;j
GM;ahweal992j;p45p46;1998;23105.4;992;j
GM;ahweal992j;p45p46;1999;24828.2;992;j
GM;ahweal992j;p45p46;2000;24964.8;992;j
GM;ahweal992j;p45p46;2001;25665.9;992;j
GM;ahweal992j;p45p46;2002;23175.6;992;j
GM;ahweal992j;p45p46;2003;22953.6;992;j
GM;ahweal992j;p45p46;2004;22492.3;992;j
GM;ahweal992j;p45p46;2005;21197.2;992;j
GM;ahweal992j;p45p46;2006;19744.4;992;j
GM;ahweal992j;p45p46;2007;18689.0;992;j
GM;ahweal992j;p45p46;2008;19915.8;992;j
GM;ahweal992j;p45p46;2009;21090.2;992;j
GM;ahweal992j;p45p46;2010;21373.1;992;j
GM;ahweal992j;p45p46;2011;20337.4;992;j
GM;ahweal992j;p45p46;2012;23315.6;992;j
GM;ahweal992j;p45p46;2013;25242.0;992;j
GM;ahweal992j;p45p46;2014;24785.0;992;j
GM;ahweal992j;p45p46;2015;25929.3;992;j
GM;ahweal992j;p45p46;2016;25909.9;992;j
GM;ahweal992j;p45p46;2017;27628.0;992;j
GM;ahweal992j;p45p46;2018;29917.6;992;j
GM;ahweal992j;p45p46;2019;31018.3;992;j
GM;ahweal992j;p45p46;2020;31179.1;992;j
GM;ahweal992j;p45p46;2021;31906.4;992;j
GM;shweal992j;p93p100;1995;0.687;992;j
GM;shweal992j;p93p100;1996;0.6855;992;j
GM;shweal992j;p93p100;1997;0.6826;992;j
GM;shweal992j;p93p100;1998;0.6807;992;j
GM;shweal992j;p93p100;1999;0.6794;992;j
GM;shweal992j;p93p100;2000;0.6784;992;j
GM;shweal992j;p93p100;2001;0.6768;992;j
GM;shweal992j;p93p100;2002;0.676;992;j
GM;shweal992j;p93p100;2003;0.6749;992;j
GM;shweal992j;p93p100;2004;0.6723;992;j
GM;shweal992j;p93p100;2005;0.6693;992;j
GM;shweal992j;p93p100;2006;0.6651;992;j
GM;shweal992j;p93p100;2007;0.6625;992;j
GM;shweal992j;p93p100;2008;0.6574;992;j
GM;shweal992j;p93p100;2009;0.6529;992;j
GM;shweal992j;p93p100;2010;0.6513;992;j
GM;shweal992j;p93p100;2011;0.6123;992;j
GM;shweal992j;p93p100;2012;0.5787;992;j
GM;shweal992j;p93p100;2013;0.5492;992;j
GM;shweal992j;p93p100;2014;0.5297;992;j
GM;shweal992j;p93p100;2015;0.5212;992;j
GM;shweal992j;p93p100;2016;0.5212;992;j
GM;shweal992j;p93p100;2017;0.5213;992;j
GM;shweal992j;p93p100;2018;0.5211;992;j
GM;shweal992j;p93p100;2019;0.5213;992;j
GM;shweal992j;p93p100;2020;0.5213;992;j
GM;shweal992j;p93p100;2021;0.5213;992;j
GM;bhweal992j;p22p100;1995;33.8604774475098;992;j
GM;bhweal992j;p22p100;1996;33.4495086669922;992;j
GM;bhweal992j;p22p100;1997;32.7157936096191;992;j
GM;bhweal992j;p22p100;1998;32.2619361877441;992;j
GM;bhweal992j;p22p100;1999;31.9438610076904;992;j
GM;bhweal992j;p22p100;2000;31.6930122375488;992;j
GM;bhweal992j;p22p100;2001;31.3226985931396;992;j
GM;bhweal992j;p22p100;2002;31.1603851318359;992;j
GM;bhweal992j;p22p100;2003;30.8995742797852;992;j
GM;bhweal992j;p22p100;2004;30.3307285308838;992;j
GM;bhweal992j;p22p100;2005;29.7047538757324;992;j
GM;bhweal992j;p22p100;2006;28.86891746521;992;j
GM;bhweal992j;p22p100;2007;28.3632774353027;992;j
GM;bhweal992j;p22p100;2008;27.4478244781494;992;j
GM;bhweal992j;p22p100;2009;26.6783084869385;992;j
GM;bhweal992j;p22p100;2010;26.4061241149902;992;j
GM;bhweal992j;p22p100;2011;21.2752780914307;992;j
GM;bhweal992j;p22p100;2012;18.2236042022705;992;j
GM;bhweal992j;p22p100;2013;16.1944599151611;992;j
GM;bhweal992j;p22p100;2014;15.1158390045166;992;j
GM;bhweal992j;p22p100;2015;14.6986150741577;992;j
GM;bhweal992j;p22p100;2016;14.7002124786377;992;j
GM;bhweal992j;p22p100;2017;14.7018136978149;992;j
GM;bhweal992j;p22p100;2018;14.6970195770264;992;j
GM;bhweal992j;p22p100;2019;14.7034158706665;992;j
GM;bhweal992j;p22p100;2020;14.7050170898438;992;j
GM;bhweal992j;p22p100;2021;14.7034158706665;992;j
GM;bhweal992j;p64p100;1995;7.52991485595703;992;j
GM;bhweal992j;p64p100;1996;7.47479486465454;992;j
GM;bhweal992j;p64p100;1997;7.37478065490723;992;j
GM;bhweal992j;p64p100;1998;7.31185913085938;992;j
GM;bhweal992j;p64p100;1999;7.26727056503296;992;j
GM;bhweal992j;p64p100;2000;7.23181819915771;992;j
GM;bhweal992j;p64p100;2001;7.17900705337524;992;j
GM;bhweal992j;p64p100;2002;7.15568017959595;992;j
GM;bhweal992j;p64p100;2003;7.11796426773071;992;j
GM;bhweal992j;p64p100;2004;7.03469944000244;992;j
GM;bhweal992j;p64p100;2005;6.94144248962402;992;j
GM;bhweal992j;p64p100;2006;6.81417655944824;992;j
GM;bhweal992j;p64p100;2007;6.73562002182007;992;j
GM;bhweal992j;p64p100;2008;6.59028196334839;992;j
GM;bhweal992j;p64p100;2009;6.46490430831909;992;j
GM;bhweal992j;p64p100;2010;6.41983270645142;992;j
GM;bhweal992j;p64p100;2011;5.49139928817749;992;j
GM;bhweal992j;p64p100;2012;4.8543872833252;992;j
GM;bhweal992j;p64p100;2013;4.38200855255127;992;j
GM;bhweal992j;p64p100;2014;4.10538339614868;992;j
GM;bhweal992j;p64p100;2015;3.99004054069519;992;j
GM;bhweal992j;p64p100;2016;3.99049544334412;992;j
GM;bhweal992j;p64p100;2017;3.99095034599304;992;j
GM;bhweal992j;p64p100;2018;3.98958659172058;992;j
GM;bhweal992j;p64p100;2019;3.99140620231628;992;j
GM;bhweal992j;p64p100;2020;3.99186158180237;992;j
GM;bhweal992j;p64p100;2021;3.99140596389771;992;j
GM;shweal992j;p36p100;1995;1.0113;992;j
GM;shweal992j;p36p100;1996;1.011;992;j
GM;shweal992j;p36p100;1997;1.0104;992;j
GM;shweal992j;p36p100;1998;1.01;992;j
GM;shweal992j;p36p100;1999;1.0097;992;j
GM;shweal992j;p36p100;2000;1.0095;992;j
GM;shweal992j;p36p100;2001;1.0091;992;j
GM;shweal992j;p36p100;2002;1.009;992;j
GM;shweal992j;p36p100;2003;1.0088;992;j
GM;shweal992j;p36p100;2004;1.0082;992;j
GM;shweal992j;p36p100;2005;1.0076;992;j
GM;shweal992j;p36p100;2006;1.0068;992;j
GM;shweal992j;p36p100;2007;1.0063;992;j
GM;shweal992j;p36p100;2008;1.0053;992;j
GM;shweal992j;p36p100;2009;1.0044;992;j
GM;shweal992j;p36p100;2010;1.0041;992;j
GM;shweal992j;p36p100;2011;0.997;992;j
GM;shweal992j;p36p100;2012;0.9918;992;j
GM;shweal992j;p36p100;2013;0.988;992;j
GM;shweal992j;p36p100;2014;0.986;992;j
GM;shweal992j;p36p100;2015;0.9852;992;j
GM;shweal992j;p36p100;2016;0.9852;992;j
GM;shweal992j;p36p100;2017;0.9852;992;j
GM;shweal992j;p36p100;2018;0.9852;992;j
GM;shweal992j;p36p100;2019;0.9852;992;j
GM;shweal992j;p36p100;2020;0.9852;992;j
GM;shweal992j;p36p100;2021;0.9852;992;j
GM;shweal992j;p49p100;1995;0.9933;992;j
GM;shweal992j;p49p100;1996;0.9928;992;j
GM;shweal992j;p49p100;1997;0.9919;992;j
GM;shweal992j;p49p100;1998;0.9913;992;j
GM;shweal992j;p49p100;1999;0.9909;992;j
GM;shweal992j;p49p100;2000;0.9905;992;j
GM;shweal992j;p49p100;2001;0.99;992;j
GM;shweal992j;p49p100;2002;0.9898;992;j
GM;shweal992j;p49p100;2003;0.9895;992;j
GM;shweal992j;p49p100;2004;0.9887;992;j
GM;shweal992j;p49p100;2005;0.9878;992;j
GM;shweal992j;p49p100;2006;0.9865;992;j
GM;shweal992j;p49p100;2007;0.9857;992;j
GM;shweal992j;p49p100;2008;0.9842;992;j
GM;shweal992j;p49p100;2009;0.9828;992;j
GM;shweal992j;p49p100;2010;0.9823;992;j
GM;shweal992j;p49p100;2011;0.9711;992;j
GM;shweal992j;p49p100;2012;0.9622;992;j
GM;shweal992j;p49p100;2013;0.955;992;j
GM;shweal992j;p49p100;2014;0.9507;992;j
GM;shweal992j;p49p100;2015;0.9489;992;j
GM;shweal992j;p49p100;2016;0.9489;992;j
GM;shweal992j;p49p100;2017;0.9489;992;j
GM;shweal992j;p49p100;2018;0.9489;992;j
GM;shweal992j;p49p100;2019;0.9489;992;j
GM;shweal992j;p49p100;2020;0.9489;992;j
GM;shweal992j;p49p100;2021;0.9489;992;j
GM;thweal992j;p53p54;1995;29226.3;992;j
GM;thweal992j;p53p54;1996;29159.9;992;j
GM;thweal992j;p53p54;1997;31183.6;992;j
GM;thweal992j;p53p54;1998;31667.3;992;j
GM;thweal992j;p53p54;1999;34011.2;992;j
GM;thweal992j;p53p54;2000;34182.6;992;j
GM;thweal992j;p53p54;2001;35121.6;992;j
GM;thweal992j;p53p54;2002;31705.2;992;j
GM;thweal992j;p53p54;2003;31387.2;992;j
GM;thweal992j;p53p54;2004;30726.7;992;j
GM;thweal992j;p53p54;2005;28925.7;992;j
GM;thweal992j;p53p54;2006;26903.4;992;j
GM;thweal992j;p53p54;2007;25442.3;992;j
GM;thweal992j;p53p54;2008;27066.5;992;j
GM;thweal992j;p53p54;2009;28620.8;992;j
GM;thweal992j;p53p54;2010;28989.1;992;j
GM;thweal992j;p53p54;2011;27285.8;992;j
GM;thweal992j;p53p54;2012;31038.6;992;j
GM;thweal992j;p53p54;2013;33400.8;992;j
GM;thweal992j;p53p54;2014;32678.8;992;j
GM;thweal992j;p53p54;2015;34138.1;992;j
GM;thweal992j;p53p54;2016;34112.9;992;j
GM;thweal992j;p53p54;2017;36374.5;992;j
GM;thweal992j;p53p54;2018;39388.1;992;j
GM;thweal992j;p53p54;2019;40839.1;992;j
GM;thweal992j;p53p54;2020;41051.0;992;j
GM;thweal992j;p53p54;2021;42007.5;992;j
