country;variable;percentile;year;value;age;pop
GW;ahweal992j;p13p14;1995;57078.0;992;j
GW;ahweal992j;p13p14;1996;64613.6;992;j
GW;ahweal992j;p13p14;1997;70880.6;992;j
GW;ahweal992j;p13p14;1998;53856.0;992;j
GW;ahweal992j;p13p14;1999;55442.5;992;j
GW;ahweal992j;p13p14;2000;54367.9;992;j
GW;ahweal992j;p13p14;2001;53714.5;992;j
GW;ahweal992j;p13p14;2002;49623.7;992;j
GW;ahweal992j;p13p14;2003;46868.5;992;j
GW;ahweal992j;p13p14;2004;45247.8;992;j
GW;ahweal992j;p13p14;2005;41275.9;992;j
GW;ahweal992j;p13p14;2006;31420.9;992;j
GW;ahweal992j;p13p14;2007;23369.9;992;j
GW;ahweal992j;p13p14;2008;18194.7;992;j
GW;ahweal992j;p13p14;2009;13551.5;992;j
GW;ahweal992j;p13p14;2010;10949.1;992;j
GW;ahweal992j;p13p14;2011;11532.3;992;j
GW;ahweal992j;p13p14;2012;10492.0;992;j
GW;ahweal992j;p13p14;2013;10942.0;992;j
GW;ahweal992j;p13p14;2014;11235.0;992;j
GW;ahweal992j;p13p14;2015;11737.8;992;j
GW;ahweal992j;p13p14;2016;12379.8;992;j
GW;ahweal992j;p13p14;2017;12997.8;992;j
GW;ahweal992j;p13p14;2018;12772.7;992;j
GW;ahweal992j;p13p14;2019;13747.9;992;j
GW;ahweal992j;p13p14;2020;13334.1;992;j
GW;ahweal992j;p13p14;2021;13865.1;992;j
GW;ahweal992j;p52p53;1995;513907.8;992;j
GW;ahweal992j;p52p53;1996;572350.0;992;j
GW;ahweal992j;p52p53;1997;621793.2;992;j
GW;ahweal992j;p52p53;1998;471432.8;992;j
GW;ahweal992j;p52p53;1999;486411.8;992;j
GW;ahweal992j;p52p53;2000;478027.8;992;j
GW;ahweal992j;p52p53;2001;474156.4;992;j
GW;ahweal992j;p52p53;2002;440235.7;992;j
GW;ahweal992j;p52p53;2003;411767.9;992;j
GW;ahweal992j;p52p53;2004;396064.9;992;j
GW;ahweal992j;p52p53;2005;368931.6;992;j
GW;ahweal992j;p52p53;2006;309222.9;992;j
GW;ahweal992j;p52p53;2007;262176.4;992;j
GW;ahweal992j;p52p53;2008;243155.1;992;j
GW;ahweal992j;p52p53;2009;225000.1;992;j
GW;ahweal992j;p52p53;2010;223575.3;992;j
GW;ahweal992j;p52p53;2011;233480.1;992;j
GW;ahweal992j;p52p53;2012;214752.5;992;j
GW;ahweal992j;p52p53;2013;221765.7;992;j
GW;ahweal992j;p52p53;2014;227931.9;992;j
GW;ahweal992j;p52p53;2015;240514.7;992;j
GW;ahweal992j;p52p53;2016;251410.6;992;j
GW;ahweal992j;p52p53;2017;264604.3;992;j
