country;variable;percentile;year;value;age;pop
GY;ahweal992j;p31p100;1995;6203050.7;992;j
GY;ahweal992j;p31p100;1996;7040442.0;992;j
GY;ahweal992j;p31p100;1997;7570553.2;992;j
GY;ahweal992j;p31p100;1998;7528631.6;992;j
GY;ahweal992j;p31p100;1999;7633986.4;992;j
GY;ahweal992j;p31p100;2000;7462594.8;992;j
GY;ahweal992j;p31p100;2001;7616060.6;992;j
GY;ahweal992j;p31p100;2002;7704894.4;992;j
GY;ahweal992j;p31p100;2003;7652315.0;992;j
GY;ahweal992j;p31p100;2004;7942369.1;992;j
GY;ahweal992j;p31p100;2005;7824364.2;992;j
GY;ahweal992j;p31p100;2006;8050224.2;992;j
GY;ahweal992j;p31p100;2007;8574121.4;992;j
GY;ahweal992j;p31p100;2008;8804047.1;992;j
GY;ahweal992j;p31p100;2009;8821100.2;992;j
GY;ahweal992j;p31p100;2010;9061670.0;992;j
GY;ahweal992j;p31p100;2011;9175314.4;992;j
GY;ahweal992j;p31p100;2012;9507754.0;992;j
GY;ahweal992j;p31p100;2013;9691383.4;992;j
GY;ahweal992j;p31p100;2014;9574862.7;992;j
GY;ahweal992j;p31p100;2015;9423188.7;992;j
GY;ahweal992j;p31p100;2016;9410868.0;992;j
GY;ahweal992j;p31p100;2017;9509631.6;992;j
GY;ahweal992j;p31p100;2018;9785220.4;992;j
GY;ahweal992j;p31p100;2019;10185145.8;992;j
GY;ahweal992j;p31p100;2020;14823464.8;992;j
GY;ahweal992j;p31p100;2021;10351018.4;992;j
GY;ahweal992j;p97p98;1995;22583329.9;992;j
GY;ahweal992j;p97p98;1996;25631859.7;992;j
GY;ahweal992j;p97p98;1997;27561662.2;992;j
GY;ahweal992j;p97p98;1998;27408885.7;992;j
GY;ahweal992j;p97p98;1999;27792289.0;992;j
GY;ahweal992j;p97p98;2000;27168151.7;992;j
GY;ahweal992j;p97p98;2001;27726695.8;992;j
GY;ahweal992j;p97p98;2002;28049945.4;992;j
GY;ahweal992j;p97p98;2003;27837012.2;992;j
GY;ahweal992j;p97p98;2004;28929462.7;992;j
GY;ahweal992j;p97p98;2005;28517836.0;992;j
GY;ahweal992j;p97p98;2006;29285927.2;992;j
GY;ahweal992j;p97p98;2007;31179488.8;992;j
GY;ahweal992j;p97p98;2008;32039705.4;992;j
GY;ahweal992j;p97p98;2009;32162109.6;992;j
GY;ahweal992j;p97p98;2010;33072949.6;992;j
GY;ahweal992j;p97p98;2011;33463571.1;992;j
GY;ahweal992j;p97p98;2012;34765186.1;992;j
GY;ahweal992j;p97p98;2013;35395425.5;992;j
GY;ahweal992j;p97p98;2014;34994910.9;992;j
GY;ahweal992j;p97p98;2015;34446692.6;992;j
GY;ahweal992j;p97p98;2016;34418516.2;992;j
GY;ahweal992j;p97p98;2017;34794261.6;992;j
GY;ahweal992j;p97p98;2018;35801053.9;992;j
GY;ahweal992j;p97p98;2019;37263047.1;992;j
GY;ahweal992j;p97p98;2020;54232684.3;992;j
GY;ahweal992j;p97p98;2021;37869881.8;992;j
GY;shweal992j;p27p28;1995;0.0008;992;j
GY;shweal992j;p27p28;1996;0.0008;992;j
GY;shweal992j;p27p28;1997;0.0008;992;j
GY;shweal992j;p27p28;1998;0.0008;992;j
GY;shweal992j;p27p28;1999;0.0008;992;j
GY;shweal992j;p27p28;2000;0.0008;992;j
GY;shweal992j;p27p28;2001;0.0008;992;j
GY;shweal992j;p27p28;2002;0.0008;992;j
GY;shweal992j;p27p28;2003;0.0007;992;j
GY;shweal992j;p27p28;2004;0.0008;992;j
GY;shweal992j;p27p28;2005;0.0008;992;j
GY;shweal992j;p27p28;2006;0.0007;992;j
GY;shweal992j;p27p28;2007;0.0007;992;j
GY;shweal992j;p27p28;2008;0.0007;992;j
GY;shweal992j;p27p28;2009;0.0009;992;j
GY;shweal992j;p27p28;2010;0.0009;992;j
GY;shweal992j;p27p28;2011;0.0009;992;j
GY;shweal992j;p27p28;2012;0.001;992;j
GY;shweal992j;p27p28;2013;0.001;992;j
GY;shweal992j;p27p28;2014;0.001;992;j
GY;shweal992j;p27p28;2015;0.001;992;j
GY;shweal992j;p27p28;2016;0.0011;992;j
GY;shweal992j;p27p28;2017;0.0011;992;j
GY;shweal992j;p27p28;2018;0.0012;992;j
GY;shweal992j;p27p28;2019;0.0012;992;j
GY;shweal992j;p27p28;2020;0.0012;992;j
GY;shweal992j;p27p28;2021;0.0012;992;j
GY;shweal992j;p54p55;1995;0.003;992;j
GY;shweal992j;p54p55;1996;0.003;992;j
GY;shweal992j;p54p55;1997;0.003;992;j
GY;shweal992j;p54p55;1998;0.003;992;j
GY;shweal992j;p54p55;1999;0.003;992;j
GY;shweal992j;p54p55;2000;0.003;992;j
GY;shweal992j;p54p55;2001;0.003;992;j
