country;variable;percentile;year;value;age;pop
KM;ahweal992j;p14p100;1995;2607651.2;992;j
KM;ahweal992j;p14p100;1996;2563566.4;992;j
KM;ahweal992j;p14p100;1997;2653816.7;992;j
KM;ahweal992j;p14p100;1998;2666239.4;992;j
KM;ahweal992j;p14p100;1999;2684507.8;992;j
KM;ahweal992j;p14p100;2000;2995513.2;992;j
KM;ahweal992j;p14p100;2001;3043626.5;992;j
KM;ahweal992j;p14p100;2002;3113783.4;992;j
KM;ahweal992j;p14p100;2003;3144567.0;992;j
KM;ahweal992j;p14p100;2004;3170703.2;992;j
KM;ahweal992j;p14p100;2005;3228343.3;992;j
KM;ahweal992j;p14p100;2006;3294077.8;992;j
KM;ahweal992j;p14p100;2007;3193237.9;992;j
KM;ahweal992j;p14p100;2008;3258624.5;992;j
KM;ahweal992j;p14p100;2009;3335684.1;992;j
KM;ahweal992j;p14p100;2010;3424130.0;992;j
KM;ahweal992j;p14p100;2011;3497626.2;992;j
KM;ahweal992j;p14p100;2012;3531734.5;992;j
KM;ahweal992j;p14p100;2013;3617229.7;992;j
KM;ahweal992j;p14p100;2014;3627758.7;992;j
KM;ahweal992j;p14p100;2015;3639085.8;992;j
KM;ahweal992j;p14p100;2016;3736168.7;992;j
KM;ahweal992j;p14p100;2017;3853422.9;992;j
KM;ahweal992j;p14p100;2018;3968900.0;992;j
KM;ahweal992j;p14p100;2019;4033763.1;992;j
KM;ahweal992j;p14p100;2020;3976146.3;992;j
KM;ahweal992j;p14p100;2021;4030288.0;992;j
KM;ahweal992j;p50p51;1995;699848.4;992;j
KM;ahweal992j;p50p51;1996;587297.6;992;j
KM;ahweal992j;p50p51;1997;503333.8;992;j
KM;ahweal992j;p50p51;1998;440317.8;992;j
KM;ahweal992j;p50p51;1999;390008.9;992;j
KM;ahweal992j;p50p51;2000;398840.4;992;j
KM;ahweal992j;p50p51;2001;377274.8;992;j
KM;ahweal992j;p50p51;2002;368848.3;992;j
KM;ahweal992j;p50p51;2003;363441.7;992;j
KM;ahweal992j;p50p51;2004;359596.2;992;j
KM;ahweal992j;p50p51;2005;372828.9;992;j
KM;ahweal992j;p50p51;2006;389099.1;992;j
KM;ahweal992j;p50p51;2007;391005.0;992;j
KM;ahweal992j;p50p51;2008;420470.0;992;j
KM;ahweal992j;p50p51;2009;461853.9;992;j
KM;ahweal992j;p50p51;2010;520803.8;992;j
KM;ahweal992j;p50p51;2011;604851.9;992;j
KM;ahweal992j;p50p51;2012;702802.2;992;j
KM;ahweal992j;p50p51;2013;855548.0;992;j
KM;ahweal992j;p50p51;2014;978874.2;992;j
KM;ahweal992j;p50p51;2015;980993.8;992;j
KM;ahweal992j;p50p51;2016;1006914.7;992;j
KM;ahweal992j;p50p51;2017;1038277.2;992;j
KM;ahweal992j;p50p51;2018;1070678.6;992;j
KM;ahweal992j;p50p51;2019;1087906.8;992;j
KM;ahweal992j;p50p51;2020;1072101.6;992;j
KM;ahweal992j;p50p51;2021;1086969.6;992;j
KM;ahweal992j;p61p62;1995;1042855.8;992;j
KM;ahweal992j;p61p62;1996;889926.9;992;j
KM;ahweal992j;p61p62;1997;780539.0;992;j
KM;ahweal992j;p61p62;1998;696265.6;992;j
KM;ahweal992j;p61p62;1999;629307.6;992;j
KM;ahweal992j;p61p62;2000;653321.5;992;j
KM;ahweal992j;p61p62;2001;626250.7;992;j
KM;ahweal992j;p61p62;2002;617648.3;992;j
KM;ahweal992j;p61p62;2003;611608.1;992;j
KM;ahweal992j;p61p62;2004;607466.5;992;j
KM;ahweal992j;p61p62;2005;627506.0;992;j
KM;ahweal992j;p61p62;2006;651911.3;992;j
KM;ahweal992j;p61p62;2007;650557.2;992;j
KM;ahweal992j;p61p62;2008;692702.2;992;j
KM;ahweal992j;p61p62;2009;751370.1;992;j
