country;variable;percentile;year;value;age;pop
LB;ahweal992j;p23p24;1995;1207285.3;992;j
LB;ahweal992j;p23p24;1996;1438249.9;992;j
LB;ahweal992j;p23p24;1997;1398248.5;992;j
LB;ahweal992j;p23p24;1998;1350361.3;992;j
LB;ahweal992j;p23p24;1999;1322708.3;992;j
LB;ahweal992j;p23p24;2000;1423417.8;992;j
LB;ahweal992j;p23p24;2001;1507753.6;992;j
LB;ahweal992j;p23p24;2002;1449257.0;992;j
LB;ahweal992j;p23p24;2003;1293819.2;992;j
LB;ahweal992j;p23p24;2004;1563830.3;992;j
LB;ahweal992j;p23p24;2005;1750843.4;992;j
LB;ahweal992j;p23p24;2006;1842924.0;992;j
LB;ahweal992j;p23p24;2007;1180358.6;992;j
LB;ahweal992j;p23p24;2008;1264024.5;992;j
LB;ahweal992j;p23p24;2009;1535908.0;992;j
LB;ahweal992j;p23p24;2010;1516591.9;992;j
LB;ahweal992j;p23p24;2011;1405525.7;992;j
LB;ahweal992j;p23p24;2012;1305108.1;992;j
LB;ahweal992j;p23p24;2013;1239908.0;992;j
LB;ahweal992j;p23p24;2014;1234939.0;992;j
LB;ahweal992j;p23p24;2015;1184243.0;992;j
LB;ahweal992j;p23p24;2016;1225055.8;992;j
LB;ahweal992j;p23p24;2017;1301996.6;992;j
LB;ahweal992j;p23p24;2018;1337208.1;992;j
LB;ahweal992j;p23p24;2019;1370820.7;992;j
LB;ahweal992j;p23p24;2020;1072283.4;992;j
LB;ahweal992j;p23p24;2021;1429360.8;992;j
LB;ahweal992j;p52p100;1995;47049806.7;992;j
LB;ahweal992j;p52p100;1996;55972515.3;992;j
LB;ahweal992j;p52p100;1997;54222746.6;992;j
LB;ahweal992j;p52p100;1998;52429488.2;992;j
LB;ahweal992j;p52p100;1999;51296650.2;992;j
LB;ahweal992j;p52p100;2000;54475893.4;992;j
LB;ahweal992j;p52p100;2001;56630954.9;992;j
LB;ahweal992j;p52p100;2002;55512588.6;992;j
LB;ahweal992j;p52p100;2003;49805393.9;992;j
LB;ahweal992j;p52p100;2004;59590377.7;992;j
LB;ahweal992j;p52p100;2005;60861775.8;992;j
LB;ahweal992j;p52p100;2006;62337020.6;992;j
LB;ahweal992j;p52p100;2007;73729537.4;992;j
LB;ahweal992j;p52p100;2008;82043896.2;992;j
LB;ahweal992j;p52p100;2009;92051088.4;992;j
LB;ahweal992j;p52p100;2010;97240301.3;992;j
LB;ahweal992j;p52p100;2011;92595253.3;992;j
LB;ahweal992j;p52p100;2012;88298147.3;992;j
LB;ahweal992j;p52p100;2013;82891698.2;992;j
LB;ahweal992j;p52p100;2014;79772572.5;992;j
LB;ahweal992j;p52p100;2015;76556569.6;992;j
LB;ahweal992j;p52p100;2016;78832994.0;992;j
LB;ahweal992j;p52p100;2017;83404740.0;992;j
LB;ahweal992j;p52p100;2018;85567253.8;992;j
