country;variable;percentile;year;value;age;pop
LI;aprghn999i;p0p100;1998;49399.9;999;i
LI;aprghn999i;p0p100;1999;50473.4;999;i
LI;aprghn999i;p0p100;2000;49174.5;999;i
LI;aprghn999i;p0p100;2001;54920.1;999;i
LI;aprghn999i;p0p100;2002;53578.4;999;i
LI;aprghn999i;p0p100;2003;50176.4;999;i
LI;aprghn999i;p0p100;2004;51359.7;999;i
LI;aprghn999i;p0p100;2005;51816.4;999;i
LI;aprghn999i;p0p100;2006;55145.0;999;i
LI;aprghn999i;p0p100;2007;54910.6;999;i
LI;aprghn999i;p0p100;2008;57999.7;999;i
LI;aprghn999i;p0p100;2009;60606.6;999;i
LI;aprghn999i;p0p100;2010;56029.1;999;i
LI;aprghn999i;p0p100;2011;67147.5;999;i
LI;aprghn999i;p0p100;2012;65736.0;999;i
LI;aprghn999i;p0p100;2013;74516.4;999;i
LI;aprghn999i;p0p100;2014;81327.8;999;i
LI;aprghn999i;p0p100;2015;86438.6;999;i
LI;aprghn999i;p0p100;2016;77433.9;999;i
LI;aprghn999i;p0p100;2017;82968.6;999;i
LI;aprigo999i;p0p100;1998;10019.8;999;i
LI;aprigo999i;p0p100;1999;10705.5;999;i
LI;aprigo999i;p0p100;2000;13348.3;999;i
LI;aprigo999i;p0p100;2001;11208.6;999;i
LI;aprigo999i;p0p100;2002;11346.3;999;i
LI;aprigo999i;p0p100;2003;11077.1;999;i
LI;aprigo999i;p0p100;2004;10466.7;999;i
LI;aprigo999i;p0p100;2005;11050.1;999;i
LI;aprigo999i;p0p100;2006;11482.0;999;i
LI;aprigo999i;p0p100;2007;11849.8;999;i
LI;aprigo999i;p0p100;2008;12009.7;999;i
LI;aprigo999i;p0p100;2009;12022.9;999;i
LI;aprigo999i;p0p100;2010;11665.1;999;i
LI;aprigo999i;p0p100;2011;11496.5;999;i
LI;aprigo999i;p0p100;2012;12759.7;999;i
LI;aprigo999i;p0p100;2013;9952.4;999;i
LI;aprigo999i;p0p100;2014;9407.2;999;i
LI;aprigo999i;p0p100;2015;11230.4;999;i
LI;aprigo999i;p0p100;2016;10333.7;999;i
LI;aprigo999i;p0p100;2017;10382.9;999;i
LI;eofghg999i;p0p100;1980;0.0191541852387492;999;i
LI;eofghg999i;p0p100;1981;0.019248582658617;999;i
LI;eofghg999i;p0p100;1982;0.0195285470250825;999;i
LI;eofghg999i;p0p100;1983;0.0191509586982934;999;i
LI;eofghg999i;p0p100;1984;0.0192272226522567;999;i
LI;eofghg999i;p0p100;1985;0.0192649788248379;999;i
LI;eofghg999i;p0p100;1986;0.0183387286364256;999;i
LI;eofghg999i;p0p100;1987;0.0183725443915511;999;i
LI;eofghg999i;p0p100;1988;0.0181977035774142;999;i
LI;eofghg999i;p0p100;1989;0.0181418091772106;999;i
LI;eofghg999i;p0p100;1990;0.0173176152640708;999;i
LI;eofghg999i;p0p100;1991;0.0167318060758859;999;i
LI;eofghg999i;p0p100;1992;0.0157894903040067;999;i
LI;eofghg999i;p0p100;1993;0.0151562739461096;999;i
LI;eofghg999i;p0p100;1994;0.0159209124740433;999;i
LI;eofghg999i;p0p100;1995;0.0155471012017179;999;i
LI;eofghg999i;p0p100;1996;0.0154915157024788;999;i
LI;eofghg999i;p0p100;1997;0.0150825245088394;999;i
LI;eofghg999i;p0p100;1998;0.0151313323884202;999;i
LI;eofghg999i;p0p100;1999;0.015357480652128;999;i
LI;eofghg999i;p0p100;2000;0.0151617360932976;999;i
LI;eofghg999i;p0p100;2001;0.0155298268968923;999;i
LI;eofghg999i;p0p100;2002;0.0153335709734142;999;i
LI;eofghg999i;p0p100;2003;0.0149849125428237;999;i
LI;eofghg999i;p0p100;2004;0.0148767432106765;999;i
LI;eofghg999i;p0p100;2005;0.0146074917773563;999;i
LI;eofghg999i;p0p100;2006;0.014627570661043;999;i
LI;eofghg999i;p0p100;2007;0.0151145441261393;999;i
LI;eofghg999i;p0p100;2008;0.0145693478195593;999;i
LI;eofghg999i;p0p100;2009;0.0145117242782849;999;i
LI;eofghg999i;p0p100;2010;0.0150030527245024;999;i
LI;eofghg999i;p0p100;2011;0.0165866294784476;999;i
LI;eofghg999i;p0p100;2012;0.0155603588833888;999;i
LI;eofghg999i;p0p100;2013;0.0157000101011833;999;i
LI;eofghg999i;p0p100;2014;0.0158563488212602;999;i
LI;eofghg999i;p0p100;2015;0.0156187056414827;999;i
LI;eofghg999i;p0p100;2016;0.0155001497061163;999;i
LI;eofghg999i;p0p100;2017;0.0153815937707499;999;i
LI;eofghg999i;p0p100;2018;0.0152630378353835;999;i
LI;eofghg999i;p0p100;2019;0.0151444819000172;999;i
LI;eofghg999i;p0p100;2020;0.0136300337100154;999;i
LI;npopul999i;p0p100;1950;13758.0;999;i
LI;npopul999i;p0p100;1951;13941.0;999;i
LI;npopul999i;p0p100;1952;14127.0;999;i
LI;npopul999i;p0p100;1953;14338.0;999;i
LI;npopul999i;p0p100;1954;14568.0;999;i
LI;npopul999i;p0p100;1955;14830.0;999;i
LI;npopul999i;p0p100;1956;15111.0;999;i
LI;npopul999i;p0p100;1957;15429.0;999;i
LI;npopul999i;p0p100;1958;15765.0;999;i
LI;npopul999i;p0p100;1959;16124.0;999;i
LI;npopul999i;p0p100;1960;16493.0;999;i
LI;npopul999i;p0p100;1961;16893.0;999;i
LI;npopul999i;p0p100;1962;17289.0;999;i
LI;npopul999i;p0p100;1963;17719.0;999;i
LI;npopul999i;p0p100;1964;18168.0;999;i
LI;npopul999i;p0p100;1965;18649.0;999;i
LI;npopul999i;p0p100;1966;19152.0;999;i
LI;npopul999i;p0p100;1967;19691.0;999;i
LI;npopul999i;p0p100;1968;20235.0;999;i
LI;npopul999i;p0p100;1969;20766.0;999;i
LI;npopul999i;p0p100;1970;21266.0;999;i
LI;npopul999i;p0p100;1971;21728.0;999;i
LI;npopul999i;p0p100;1972;22151.0;999;i
LI;npopul999i;p0p100;1973;22563.0;999;i
LI;npopul999i;p0p100;1974;22983.0;999;i
LI;npopul999i;p0p100;1975;23438.0;999;i
LI;npopul999i;p0p100;1976;23931.0;999;i
LI;npopul999i;p0p100;1977;24448.0;999;i
LI;npopul999i;p0p100;1978;24975.0;999;i
LI;npopul999i;p0p100;1979;25459.0;999;i
LI;npopul999i;p0p100;1980;25879.0;999;i
LI;npopul999i;p0p100;1981;26238.0;999;i
LI;npopul999i;p0p100;1982;26536.0;999;i
LI;npopul999i;p0p100;1983;26789.0;999;i
LI;npopul999i;p0p100;1984;27036.0;999;i
LI;npopul999i;p0p100;1985;27288.0;999;i
LI;npopul999i;p0p100;1986;27559.0;999;i
LI;npopul999i;p0p100;1987;27837.0;999;i
LI;npopul999i;p0p100;1988;28129.0;999;i
LI;npopul999i;p0p100;1989;28449.0;999;i
LI;npopul999i;p0p100;1990;28789.0;999;i
LI;npopul999i;p0p100;1991;29159.0;999;i
LI;npopul999i;p0p100;1992;29553.0;999;i
LI;npopul999i;p0p100;1993;29975.0;999;i
LI;npopul999i;p0p100;1994;30426.0;999;i
LI;npopul999i;p0p100;1995;30880.0;999;i
LI;npopul999i;p0p100;1996;31348.0;999;i
LI;npopul999i;p0p100;1997;31830.0;999;i
LI;npopul999i;p0p100;1998;32311.0;999;i
LI;npopul999i;p0p100;1999;32769.0;999;i
LI;npopul999i;p0p100;2000;33184.0;999;i
LI;npopul999i;p0p100;2001;33552.0;999;i
LI;npopul999i;p0p100;2002;33879.0;999;i
LI;npopul999i;p0p100;2003;34175.0;999;i
LI;npopul999i;p0p100;2004;34452.0;999;i
LI;npopul999i;p0p100;2005;34713.0;999;i
LI;npopul999i;p0p100;2006;34970.0;999;i
LI;npopul999i;p0p100;2007;35217.0;999;i
LI;npopul999i;p0p100;2008;35471.0;999;i
LI;npopul999i;p0p100;2009;35727.0;999;i
LI;npopul999i;p0p100;2010;35994.0;999;i
LI;npopul999i;p0p100;2011;36293.0;999;i
LI;npopul999i;p0p100;2012;36615.0;999;i
LI;npopul999i;p0p100;2013;36934.0;999;i
LI;npopul999i;p0p100;2014;37223.0;999;i
LI;npopul999i;p0p100;2015;37470.0;999;i
LI;npopul999i;p0p100;2016;37658.0;999;i
LI;npopul999i;p0p100;2017;37800.0;999;i
LI;npopul999i;p0p100;2018;37910.0;999;i
LI;npopul999i;p0p100;2019;38019.0;999;i
LI;npopul999i;p0p100;2020;38128.0;999;i
