country;variable;percentile;year;value;age;pop
LY;ahweal992j;p68p100;1995;32914.1;992;j
LY;ahweal992j;p68p100;1996;35668.9;992;j
LY;ahweal992j;p68p100;1997;37739.6;992;j
LY;ahweal992j;p68p100;1998;38498.0;992;j
LY;ahweal992j;p68p100;1999;45726.6;992;j
LY;ahweal992j;p68p100;2000;50484.2;992;j
LY;ahweal992j;p68p100;2001;53143.1;992;j
LY;ahweal992j;p68p100;2002;56686.0;992;j
LY;ahweal992j;p68p100;2003;65651.8;992;j
LY;ahweal992j;p68p100;2004;67017.6;992;j
LY;ahweal992j;p68p100;2005;71814.2;992;j
LY;ahweal992j;p68p100;2006;78876.9;992;j
LY;ahweal992j;p68p100;2007;94354.8;992;j
LY;ahweal992j;p68p100;2008;93945.8;992;j
LY;ahweal992j;p68p100;2009;136516.5;992;j
LY;ahweal992j;p68p100;2010;137556.2;992;j
LY;ahweal992j;p68p100;2011;103186.8;992;j
LY;ahweal992j;p68p100;2012;111764.4;992;j
LY;ahweal992j;p68p100;2013;118110.5;992;j
LY;ahweal992j;p68p100;2014;130783.4;992;j
LY;ahweal992j;p68p100;2015;130836.8;992;j
LY;ahweal992j;p68p100;2016;124735.6;992;j
LY;ahweal992j;p68p100;2017;148701.1;992;j
LY;ahweal992j;p68p100;2018;164544.9;992;j
LY;ahweal992j;p68p100;2019;166828.4;992;j
LY;ahweal992j;p68p100;2020;64351.5;992;j
LY;ahweal992j;p68p100;2021;180731.0;992;j
LY;ahweal992j;p70p100;1995;34480.6;992;j
LY;ahweal992j;p70p100;1996;37368.4;992;j
LY;ahweal992j;p70p100;1997;39540.8;992;j
LY;ahweal992j;p70p100;1998;40337.8;992;j
LY;ahweal992j;p70p100;1999;47919.4;992;j
LY;ahweal992j;p70p100;2000;52904.4;992;j
LY;ahweal992j;p70p100;2001;55688.2;992;j
LY;ahweal992j;p70p100;2002;59395.0;992;j
LY;ahweal992j;p70p100;2003;68787.4;992;j
LY;ahweal992j;p70p100;2004;70213.2;992;j
LY;ahweal992j;p70p100;2005;75237.0;992;j
LY;ahweal992j;p70p100;2006;82633.9;992;j
LY;ahweal992j;p70p100;2007;98848.4;992;j
LY;ahweal992j;p70p100;2008;98423.8;992;j
LY;ahweal992j;p70p100;2009;143009.7;992;j
LY;ahweal992j;p70p100;2010;144092.2;992;j
LY;ahweal992j;p70p100;2011;108082.4;992;j
LY;ahweal992j;p70p100;2012;117054.4;992;j
LY;ahweal992j;p70p100;2013;123719.7;992;j
