country;variable;percentile;year;value;age;pop
MH;anmxhn999i;p0p100;1997;449.6;999;i
MH;anmxhn999i;p0p100;1998;392.8;999;i
MH;anmxhn999i;p0p100;1999;405.7;999;i
MH;anmxhn999i;p0p100;2000;397.0;999;i
MH;anmxhn999i;p0p100;2001;401.8;999;i
MH;anmxhn999i;p0p100;2002;350.7;999;i
MH;anmxhn999i;p0p100;2003;357.8;999;i
MH;anmxhn999i;p0p100;2004;357.3;999;i
MH;anmxhn999i;p0p100;2005;348.5;999;i
MH;anmxhn999i;p0p100;2006;342.6;999;i
MH;anmxhn999i;p0p100;2007;338.8;999;i
MH;anmxhn999i;p0p100;2008;393.4;999;i
MH;anmxhn999i;p0p100;2009;421.2;999;i
MH;anmxhn999i;p0p100;2010;407.9;999;i
MH;anmxhn999i;p0p100;2011;405.1;999;i
MH;anmxhn999i;p0p100;2012;420.1;999;i
MH;anmxhn999i;p0p100;2013;420.6;999;i
MH;anmxhn999i;p0p100;2014;419.0;999;i
MH;anmxhn999i;p0p100;2015;434.8;999;i
MH;mnninc999i;p0p100;1970;44028520.0;999;i
MH;mnninc999i;p0p100;1971;44487916.0;999;i
MH;mnninc999i;p0p100;1972;48053532.0;999;i
MH;mnninc999i;p0p100;1973;63153924.0;999;i
MH;mnninc999i;p0p100;1974;69916792.0;999;i
MH;mnninc999i;p0p100;1975;69594696.0;999;i
MH;mnninc999i;p0p100;1976;70015928.0;999;i
MH;mnninc999i;p0p100;1977;72345872.0;999;i
MH;mnninc999i;p0p100;1978;75997320.0;999;i
MH;mnninc999i;p0p100;1979;75548928.0;999;i
MH;mnninc999i;p0p100;1980;72356560.0;999;i
MH;mnninc999i;p0p100;1981;76866096.0;999;i
MH;mnninc999i;p0p100;1982;82903888.0;999;i
MH;mnninc999i;p0p100;1983;93451920.0;999;i
MH;mnninc999i;p0p100;1984;94027976.0;999;i
MH;mnninc999i;p0p100;1985;94538936.0;999;i
MH;mnninc999i;p0p100;1986;114584928.0;999;i
MH;mnninc999i;p0p100;1987;124957048.0;999;i
MH;mnninc999i;p0p100;1988;131348496.0;999;i
