country;variable;percentile;year;value;age;pop
MM;ahweal992j;p29p100;1995;2581749.0;992;j
MM;ahweal992j;p29p100;1996;2770206.4;992;j
MM;ahweal992j;p29p100;1997;2920751.1;992;j
MM;ahweal992j;p29p100;1998;3062781.3;992;j
MM;ahweal992j;p29p100;1999;3296115.8;992;j
MM;ahweal992j;p29p100;2000;3647997.3;992;j
MM;ahweal992j;p29p100;2001;4085137.6;992;j
MM;ahweal992j;p29p100;2002;4497895.3;992;j
MM;ahweal992j;p29p100;2003;4685245.0;992;j
MM;ahweal992j;p29p100;2004;5157120.8;992;j
MM;ahweal992j;p29p100;2005;5634491.5;992;j
MM;ahweal992j;p29p100;2006;6476382.1;992;j
MM;ahweal992j;p29p100;2007;7302726.6;992;j
MM;ahweal992j;p29p100;2008;7969420.9;992;j
MM;ahweal992j;p29p100;2009;8871184.9;992;j
MM;ahweal992j;p29p100;2010;9885438.6;992;j
MM;ahweal992j;p29p100;2011;10595120.0;992;j
MM;ahweal992j;p29p100;2012;11262997.2;992;j
MM;ahweal992j;p29p100;2013;12227394.3;992;j
MM;ahweal992j;p29p100;2014;13126476.5;992;j
MM;ahweal992j;p29p100;2015;14149049.4;992;j
MM;ahweal992j;p29p100;2016;15235506.1;992;j
MM;ahweal992j;p29p100;2017;16193358.3;992;j
MM;ahweal992j;p29p100;2018;17308591.4;992;j
MM;ahweal992j;p29p100;2019;17993738.4;992;j
MM;ahweal992j;p29p100;2020;18552215.1;992;j
MM;ahweal992j;p29p100;2021;18732317.6;992;j
MM;ahweal992j;p32p100;1995;2687059.1;992;j
MM;ahweal992j;p32p100;1996;2883195.9;992;j
MM;ahweal992j;p32p100;1997;3039885.1;992;j
MM;ahweal992j;p32p100;1998;3187700.4;992;j
MM;ahweal992j;p32p100;1999;3430547.5;992;j
MM;ahweal992j;p32p100;2000;3796930.3;992;j
MM;ahweal992j;p32p100;2001;4252015.4;992;j
MM;ahweal992j;p32p100;2002;4681598.2;992;j
MM;ahweal992j;p32p100;2003;4876419.1;992;j
MM;ahweal992j;p32p100;2004;5367775.3;992;j
MM;ahweal992j;p32p100;2005;5864637.4;992;j
MM;ahweal992j;p32p100;2006;6740812.1;992;j
MM;ahweal992j;p32p100;2007;7600693.7;992;j
MM;ahweal992j;p32p100;2008;8294917.8;992;j
MM;ahweal992j;p32p100;2009;9233112.3;992;j
MM;ahweal992j;p32p100;2010;10289205.7;992;j
MM;ahweal992j;p32p100;2011;11027662.3;992;j
MM;ahweal992j;p32p100;2012;11722461.6;992;j
MM;ahweal992j;p32p100;2013;12726183.4;992;j
MM;ahweal992j;p32p100;2014;13662030.1;992;j
MM;ahweal992j;p32p100;2015;14726339.7;992;j
MM;ahweal992j;p32p100;2016;15857591.4;992;j
MM;ahweal992j;p32p100;2017;16854597.2;992;j
MM;ahweal992j;p32p100;2018;18015393.8;992;j
MM;ahweal992j;p32p100;2019;18728542.0;992;j
MM;ahweal992j;p32p100;2020;19309848.6;992;j
MM;ahweal992j;p32p100;2021;19497282.3;992;j
MM;shweal992j;p99.97p99.98;1995;0.0144;992;j
MM;shweal992j;p99.97p99.98;1996;0.0144;992;j
MM;shweal992j;p99.97p99.98;1997;0.0144;992;j
MM;shweal992j;p99.97p99.98;1998;0.0144;992;j
MM;shweal992j;p99.97p99.98;1999;0.0144;992;j
MM;shweal992j;p99.97p99.98;2000;0.0146;992;j
MM;shweal992j;p99.97p99.98;2001;0.0147;992;j
MM;shweal992j;p99.97p99.98;2002;0.0146;992;j
MM;shweal992j;p99.97p99.98;2003;0.0145;992;j
MM;shweal992j;p99.97p99.98;2004;0.0146;992;j
MM;shweal992j;p99.97p99.98;2005;0.0146;992;j
MM;shweal992j;p99.97p99.98;2006;0.0146;992;j
MM;shweal992j;p99.97p99.98;2007;0.0145;992;j
MM;shweal992j;p99.97p99.98;2008;0.0146;992;j
MM;shweal992j;p99.97p99.98;2009;0.0144;992;j
MM;shweal992j;p99.97p99.98;2010;0.0146;992;j
MM;shweal992j;p99.97p99.98;2011;0.0146;992;j
MM;shweal992j;p99.97p99.98;2012;0.0144;992;j
MM;shweal992j;p99.97p99.98;2013;0.0144;992;j
MM;shweal992j;p99.97p99.98;2014;0.0145;992;j
MM;shweal992j;p99.97p99.98;2015;0.0145;992;j
MM;shweal992j;p99.97p99.98;2016;0.0146;992;j
MM;shweal992j;p99.97p99.98;2017;0.0146;992;j
MM;shweal992j;p99.97p99.98;2018;0.0146;992;j
MM;shweal992j;p99.97p99.98;2019;0.0146;992;j
MM;shweal992j;p99.97p99.98;2020;0.0146;992;j
MM;shweal992j;p99.97p99.98;2021;0.0146;992;j
MM;shweal992j;p61p62;1995;0.0043;992;j
MM;shweal992j;p61p62;1996;0.0043;992;j
MM;shweal992j;p61p62;1997;0.0043;992;j
MM;shweal992j;p61p62;1998;0.0043;992;j
MM;shweal992j;p61p62;1999;0.0043;992;j
MM;shweal992j;p61p62;2000;0.0043;992;j
MM;shweal992j;p61p62;2001;0.0043;992;j
MM;shweal992j;p61p62;2002;0.0043;992;j
MM;shweal992j;p61p62;2003;0.0043;992;j
MM;shweal992j;p61p62;2004;0.0043;992;j
MM;shweal992j;p61p62;2005;0.0043;992;j
MM;shweal992j;p61p62;2006;0.0043;992;j
MM;shweal992j;p61p62;2007;0.0043;992;j
MM;shweal992j;p61p62;2008;0.0043;992;j
MM;shweal992j;p61p62;2009;0.0043;992;j
MM;shweal992j;p61p62;2010;0.0043;992;j
MM;shweal992j;p61p62;2011;0.0043;992;j
MM;shweal992j;p61p62;2012;0.0043;992;j
MM;shweal992j;p61p62;2013;0.0043;992;j
MM;shweal992j;p61p62;2014;0.0043;992;j
MM;shweal992j;p61p62;2015;0.0043;992;j
MM;shweal992j;p61p62;2016;0.0043;992;j
MM;shweal992j;p61p62;2017;0.0043;992;j
MM;shweal992j;p61p62;2018;0.0043;992;j
MM;shweal992j;p61p62;2019;0.0043;992;j
MM;shweal992j;p61p62;2020;0.0043;992;j
MM;shweal992j;p61p62;2021;0.0043;992;j
MM;shweal992j;p87p100;1995;0.7181;992;j
MM;shweal992j;p87p100;1996;0.718;992;j
MM;shweal992j;p87p100;1997;0.7181;992;j
MM;shweal992j;p87p100;1998;0.7179;992;j
MM;shweal992j;p87p100;1999;0.7178;992;j
MM;shweal992j;p87p100;2000;0.7201;992;j
MM;shweal992j;p87p100;2001;0.7215;992;j
MM;shweal992j;p87p100;2002;0.721;992;j
MM;shweal992j;p87p100;2003;0.7189;992;j
MM;shweal992j;p87p100;2004;0.7213;992;j
MM;shweal992j;p87p100;2005;0.7213;992;j
MM;shweal992j;p87p100;2006;0.7204;992;j
MM;shweal992j;p87p100;2007;0.7188;992;j
MM;shweal992j;p87p100;2008;0.7211;992;j
MM;shweal992j;p87p100;2009;0.7186;992;j
MM;shweal992j;p87p100;2010;0.7212;992;j
MM;shweal992j;p87p100;2011;0.7201;992;j
MM;shweal992j;p87p100;2012;0.7184;992;j
MM;shweal992j;p87p100;2013;0.7183;992;j
MM;shweal992j;p87p100;2014;0.7187;992;j
MM;shweal992j;p87p100;2015;0.7187;992;j
MM;shweal992j;p87p100;2016;0.7204;992;j
MM;shweal992j;p87p100;2017;0.7206;992;j
MM;shweal992j;p87p100;2018;0.7207;992;j
MM;shweal992j;p87p100;2019;0.7207;992;j
MM;shweal992j;p87p100;2020;0.7208;992;j
MM;shweal992j;p87p100;2021;0.7207;992;j
MM;shweal992j;p9p100;1995;1.0146;992;j
MM;shweal992j;p9p100;1996;1.0146;992;j
MM;shweal992j;p9p100;1997;1.0146;992;j
MM;shweal992j;p9p100;1998;1.0146;992;j
MM;shweal992j;p9p100;1999;1.0146;992;j
MM;shweal992j;p9p100;2000;1.0148;992;j
MM;shweal992j;p9p100;2001;1.0149;992;j
MM;shweal992j;p9p100;2002;1.0148;992;j
MM;shweal992j;p9p100;2003;1.0147;992;j
MM;shweal992j;p9p100;2004;1.0149;992;j
MM;shweal992j;p9p100;2005;1.0148;992;j
