country;variable;percentile;year;value;age;pop
MO;ahweal992j;p53p54;1995;102588.6;992;j
MO;ahweal992j;p53p54;1996;108552.2;992;j
MO;ahweal992j;p53p54;1997;114643.3;992;j
MO;ahweal992j;p53p54;1998;114078.4;992;j
MO;ahweal992j;p53p54;1999;115240.5;992;j
MO;ahweal992j;p53p54;2000;126080.7;992;j
MO;ahweal992j;p53p54;2001;133030.8;992;j
MO;ahweal992j;p53p54;2002;145457.0;992;j
MO;ahweal992j;p53p54;2003;162271.6;992;j
MO;ahweal992j;p53p54;2004;205031.0;992;j
MO;ahweal992j;p53p54;2005;217489.5;992;j
MO;ahweal992j;p53p54;2006;237089.4;992;j
MO;ahweal992j;p53p54;2007;307213.8;992;j
MO;ahweal992j;p53p54;2008;276005.5;992;j
MO;ahweal992j;p53p54;2009;282133.7;992;j
MO;ahweal992j;p53p54;2010;352629.0;992;j
MO;ahweal992j;p53p54;2011;419646.5;992;j
MO;ahweal992j;p53p54;2012;454363.6;992;j
MO;ahweal992j;p53p54;2013;500291.5;992;j
MO;ahweal992j;p53p54;2014;482720.1;992;j
MO;ahweal992j;p53p54;2015;411418.1;992;j
MO;ahweal992j;p53p54;2016;420552.8;992;j
MO;ahweal992j;p53p54;2017;473056.2;992;j
MO;ahweal992j;p53p54;2018;514915.4;992;j
MO;ahweal992j;p53p54;2019;492056.0;992;j
MO;ahweal992j;p53p54;2020;177988.1;992;j
MO;ahweal992j;p53p54;2021;504218.7;992;j
MO;shweal992j;p27p28;1995;0.0014;992;j
MO;shweal992j;p27p28;1996;0.0014;992;j
MO;shweal992j;p27p28;1997;0.0014;992;j
MO;shweal992j;p27p28;1998;0.0014;992;j
MO;shweal992j;p27p28;1999;0.0014;992;j
MO;shweal992j;p27p28;2000;0.0014;992;j
MO;shweal992j;p27p28;2001;0.0014;992;j
MO;shweal992j;p27p28;2002;0.0014;992;j
MO;shweal992j;p27p28;2003;0.0014;992;j
MO;shweal992j;p27p28;2004;0.0013;992;j
MO;shweal992j;p27p28;2005;0.0013;992;j
MO;shweal992j;p27p28;2006;0.0013;992;j
MO;shweal992j;p27p28;2007;0.0013;992;j
MO;shweal992j;p27p28;2008;0.0013;992;j
MO;shweal992j;p27p28;2009;0.0013;992;j
MO;shweal992j;p27p28;2010;0.0013;992;j
MO;shweal992j;p27p28;2011;0.0013;992;j
MO;shweal992j;p27p28;2012;0.0013;992;j
MO;shweal992j;p27p28;2013;0.0013;992;j
MO;shweal992j;p27p28;2014;0.0013;992;j
MO;shweal992j;p27p28;2015;0.0013;992;j
MO;shweal992j;p27p28;2016;0.0013;992;j
MO;shweal992j;p27p28;2017;0.0013;992;j
MO;shweal992j;p27p28;2018;0.0013;992;j
MO;shweal992j;p27p28;2019;0.0013;992;j
MO;shweal992j;p27p28;2020;0.0012;992;j
MO;shweal992j;p27p28;2021;0.0013;992;j
MO;shweal992j;p89p100;1995;0.5742;992;j
MO;shweal992j;p89p100;1996;0.5743;992;j
MO;shweal992j;p89p100;1997;0.5743;992;j
MO;shweal992j;p89p100;1998;0.5754;992;j
MO;shweal992j;p89p100;1999;0.5771;992;j
MO;shweal992j;p89p100;2000;0.5793;992;j
MO;shweal992j;p89p100;2001;0.5806;992;j
MO;shweal992j;p89p100;2002;0.5867;992;j
MO;shweal992j;p89p100;2003;0.5887;992;j
MO;shweal992j;p89p100;2004;0.5898;992;j
MO;shweal992j;p89p100;2005;0.5928;992;j
MO;shweal992j;p89p100;2006;0.5933;992;j
MO;shweal992j;p89p100;2007;0.5951;992;j
MO;shweal992j;p89p100;2008;0.5948;992;j
MO;shweal992j;p89p100;2009;0.5946;992;j
MO;shweal992j;p89p100;2010;0.5959;992;j
MO;shweal992j;p89p100;2011;0.5968;992;j
MO;shweal992j;p89p100;2012;0.5917;992;j
MO;shweal992j;p89p100;2013;0.5933;992;j
MO;shweal992j;p89p100;2014;0.6069;992;j
MO;shweal992j;p89p100;2015;0.5915;992;j
MO;shweal992j;p89p100;2016;0.5913;992;j
MO;shweal992j;p89p100;2017;0.5947;992;j
MO;shweal992j;p89p100;2018;0.5962;992;j
MO;shweal992j;p89p100;2019;0.597;992;j
MO;shweal992j;p89p100;2020;0.62;992;j
MO;shweal992j;p89p100;2021;0.6066;992;j
MO;shweal992j;p38p100;1995;0.9783;992;j
MO;shweal992j;p38p100;1996;0.9783;992;j
MO;shweal992j;p38p100;1997;0.9783;992;j
