country;variable;percentile;year;value;age;pop
OD-MER;ahweal992j;p28p100;1995;77516.2;992;j
OD-MER;ahweal992j;p28p100;1996;76003.0;992;j
OD-MER;ahweal992j;p28p100;1997;82110.8;992;j
OD-MER;ahweal992j;p28p100;1998;86090.8;992;j
OD-MER;ahweal992j;p28p100;1999;82671.1;992;j
OD-MER;ahweal992j;p28p100;2000;86814.9;992;j
OD-MER;ahweal992j;p28p100;2001;91517.2;992;j
OD-MER;ahweal992j;p28p100;2002;84767.9;992;j
OD-MER;ahweal992j;p28p100;2003;83960.1;992;j
OD-MER;ahweal992j;p28p100;2004;98694.5;992;j
OD-MER;ahweal992j;p28p100;2005;113664.3;992;j
OD-MER;ahweal992j;p28p100;2006;128636.6;992;j
OD-MER;ahweal992j;p28p100;2007;142497.9;992;j
OD-MER;ahweal992j;p28p100;2008;153189.5;992;j
OD-MER;ahweal992j;p28p100;2009;147437.1;992;j
OD-MER;ahweal992j;p28p100;2010;144214.6;992;j
OD-MER;ahweal992j;p28p100;2011;149505.7;992;j
OD-MER;ahweal992j;p28p100;2012;156919.4;992;j
OD-MER;ahweal992j;p28p100;2013;160485.2;992;j
OD-MER;ahweal992j;p28p100;2014;156782.0;992;j
OD-MER;ahweal992j;p28p100;2015;147185.4;992;j
OD-MER;ahweal992j;p28p100;2016;126316.7;992;j
OD-MER;ahweal992j;p28p100;2017;110679.6;992;j
OD-MER;ahweal992j;p28p100;2018;94583.4;992;j
OD-MER;ahweal992j;p28p100;2019;67779.8;992;j
OD-MER;ahweal992j;p28p100;2020;52123.6;992;j
OD-MER;ahweal992j;p28p100;2021;55862.2;992;j
OD-MER;ahweal992j;p99.93p99.94;1995;7074421.5;992;j
OD-MER;ahweal992j;p99.93p99.94;1996;6842205.0;992;j
OD-MER;ahweal992j;p99.93p99.94;1997;7298823.5;992;j
OD-MER;ahweal992j;p99.93p99.94;1998;7637879.0;992;j
OD-MER;ahweal992j;p99.93p99.94;1999;7312162.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2000;7647331.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2001;8071943.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2002;7366995.5;992;j
OD-MER;ahweal992j;p99.93p99.94;2003;7192831.5;992;j
OD-MER;ahweal992j;p99.93p99.94;2004;8259951.5;992;j
OD-MER;ahweal992j;p99.93p99.94;2005;9418918.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2006;11134175.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2007;12482421.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2008;13122390.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2009;12029824.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2010;11438305.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2011;12044527.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2012;11868381.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2013;12535073.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2014;11959533.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2015;11066637.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2016;9247933.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2017;7949997.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2018;6603380.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2019;4308323.0;992;j
OD-MER;ahweal992j;p99.93p99.94;2020;3102720.3;992;j
OD-MER;ahweal992j;p99.93p99.94;2021;3299004.3;992;j
OD-MER;shweal992j;p59p100;1995;1.0071;992;j
OD-MER;shweal992j;p59p100;1996;1.0062;992;j
OD-MER;shweal992j;p59p100;1997;1.0062;992;j
OD-MER;shweal992j;p59p100;1998;1.0065;992;j
OD-MER;shweal992j;p59p100;1999;1.0061;992;j
OD-MER;shweal992j;p59p100;2000;1.006;992;j
OD-MER;shweal992j;p59p100;2001;1.006;992;j
OD-MER;shweal992j;p59p100;2002;1.005;992;j
OD-MER;shweal992j;p59p100;2003;1.0052;992;j
OD-MER;shweal992j;p59p100;2004;1.0043;992;j
OD-MER;shweal992j;p59p100;2005;1.0037;992;j
OD-MER;shweal992j;p59p100;2006;1.0085;992;j
OD-MER;shweal992j;p59p100;2007;1.0083;992;j
OD-MER;shweal992j;p59p100;2008;1.0061;992;j
OD-MER;shweal992j;p59p100;2009;1.0053;992;j
OD-MER;shweal992j;p59p100;2010;1.0003;992;j
OD-MER;shweal992j;p59p100;2011;1.0018;992;j
OD-MER;shweal992j;p59p100;2012;0.9996;992;j
OD-MER;shweal992j;p59p100;2013;1.0012;992;j
OD-MER;shweal992j;p59p100;2014;0.9986;992;j
OD-MER;shweal992j;p59p100;2015;0.9981;992;j
OD-MER;shweal992j;p59p100;2016;0.9956;992;j
OD-MER;shweal992j;p59p100;2017;0.9923;992;j
OD-MER;shweal992j;p59p100;2018;0.9889;992;j
OD-MER;shweal992j;p59p100;2019;0.9788;992;j
OD-MER;shweal992j;p59p100;2020;0.9735;992;j
OD-MER;shweal992j;p59p100;2021;0.9734;992;j
OD-MER;shweal992j;p64p65;1995;0.0006;992;j
OD-MER;shweal992j;p64p65;1996;0.0007;992;j
OD-MER;shweal992j;p64p65;1997;0.0007;992;j
OD-MER;shweal992j;p64p65;1998;0.0007;992;j
OD-MER;shweal992j;p64p65;1999;0.0007;992;j
OD-MER;shweal992j;p64p65;2000;0.0007;992;j
OD-MER;shweal992j;p64p65;2001;0.0007;992;j
OD-MER;shweal992j;p64p65;2002;0.0008;992;j
OD-MER;shweal992j;p64p65;2003;0.0009;992;j
OD-MER;shweal992j;p64p65;2004;0.0008;992;j
OD-MER;shweal992j;p64p65;2005;0.0008;992;j
OD-MER;shweal992j;p64p65;2006;0.0006;992;j
OD-MER;shweal992j;p64p65;2007;0.0007;992;j
OD-MER;shweal992j;p64p65;2008;0.0007;992;j
OD-MER;shweal992j;p64p65;2009;0.0007;992;j
OD-MER;shweal992j;p64p65;2010;0.0009;992;j
OD-MER;shweal992j;p64p65;2011;0.0008;992;j
OD-MER;shweal992j;p64p65;2012;0.0009;992;j
OD-MER;shweal992j;p64p65;2013;0.0009;992;j
OD-MER;shweal992j;p64p65;2014;0.001;992;j
OD-MER;shweal992j;p64p65;2015;0.001;992;j
OD-MER;shweal992j;p64p65;2016;0.0012;992;j
OD-MER;shweal992j;p64p65;2017;0.0014;992;j
OD-MER;shweal992j;p64p65;2018;0.0017;992;j
OD-MER;shweal992j;p64p65;2019;0.0023;992;j
OD-MER;shweal992j;p64p65;2020;0.0028;992;j
OD-MER;shweal992j;p64p65;2021;0.0028;992;j
OD-MER;shweal992j;p66p67;1995;0.0007;992;j
OD-MER;shweal992j;p66p67;1996;0.0008;992;j
OD-MER;shweal992j;p66p67;1997;0.0008;992;j
OD-MER;shweal992j;p66p67;1998;0.0008;992;j
OD-MER;shweal992j;p66p67;1999;0.0008;992;j
OD-MER;shweal992j;p66p67;2000;0.0008;992;j
OD-MER;shweal992j;p66p67;2001;0.0008;992;j
OD-MER;shweal992j;p66p67;2002;0.0009;992;j
OD-MER;shweal992j;p66p67;2003;0.001;992;j
OD-MER;shweal992j;p66p67;2004;0.0009;992;j
OD-MER;shweal992j;p66p67;2005;0.0009;992;j
OD-MER;shweal992j;p66p67;2006;0.0007;992;j
OD-MER;shweal992j;p66p67;2007;0.0008;992;j
OD-MER;shweal992j;p66p67;2008;0.0008;992;j
OD-MER;shweal992j;p66p67;2009;0.0008;992;j
OD-MER;shweal992j;p66p67;2010;0.001;992;j
OD-MER;shweal992j;p66p67;2011;0.0009;992;j
OD-MER;shweal992j;p66p67;2012;0.001;992;j
OD-MER;shweal992j;p66p67;2013;0.001;992;j
OD-MER;shweal992j;p66p67;2014;0.0011;992;j
OD-MER;shweal992j;p66p67;2015;0.0012;992;j
OD-MER;shweal992j;p66p67;2016;0.0013;992;j
OD-MER;shweal992j;p66p67;2017;0.0016;992;j
OD-MER;shweal992j;p66p67;2018;0.0019;992;j
OD-MER;shweal992j;p66p67;2019;0.0026;992;j
OD-MER;shweal992j;p66p67;2020;0.0031;992;j
OD-MER;shweal992j;p66p67;2021;0.0031;992;j
OD-MER;shweal992j;p82p83;1995;0.0024;992;j
OD-MER;shweal992j;p82p83;1996;0.0026;992;j
OD-MER;shweal992j;p82p83;1997;0.0025;992;j
OD-MER;shweal992j;p82p83;1998;0.0025;992;j
OD-MER;shweal992j;p82p83;1999;0.0027;992;j
OD-MER;shweal992j;p82p83;2000;0.0027;992;j
OD-MER;shweal992j;p82p83;2001;0.0026;992;j
OD-MER;shweal992j;p82p83;2002;0.0028;992;j
OD-MER;shweal992j;p82p83;2003;0.003;992;j
OD-MER;shweal992j;p82p83;2004;0.0029;992;j
OD-MER;shweal992j;p82p83;2005;0.0029;992;j
OD-MER;shweal992j;p82p83;2006;0.0026;992;j
OD-MER;shweal992j;p82p83;2007;0.0025;992;j
OD-MER;shweal992j;p82p83;2008;0.0026;992;j
OD-MER;shweal992j;p82p83;2009;0.0027;992;j
OD-MER;shweal992j;p82p83;2010;0.003;992;j
OD-MER;shweal992j;p82p83;2011;0.003;992;j
OD-MER;shweal992j;p82p83;2012;0.0031;992;j
OD-MER;shweal992j;p82p83;2013;0.0031;992;j
OD-MER;shweal992j;p82p83;2014;0.0032;992;j
OD-MER;shweal992j;p82p83;2015;0.0035;992;j
OD-MER;shweal992j;p82p83;2016;0.004;992;j
OD-MER;shweal992j;p82p83;2017;0.0046;992;j
OD-MER;shweal992j;p82p83;2018;0.0052;992;j
OD-MER;shweal992j;p82p83;2019;0.0067;992;j
OD-MER;shweal992j;p82p83;2020;0.0078;992;j
OD-MER;shweal992j;p82p83;2021;0.0078;992;j
OD-MER;bhweal992j;p70p100;1995;37.6822509765625;992;j
OD-MER;bhweal992j;p70p100;1996;34.8215141296387;992;j
OD-MER;bhweal992j;p70p100;1997;34.6378593444824;992;j
