country;variable;percentile;year;value;age;pop
PW;afkpin999i;p0p100;2005;2364.5;999;i
PW;afkpin999i;p0p100;2006;2972.6;999;i
PW;afkpin999i;p0p100;2007;3115.0;999;i
PW;afkpin999i;p0p100;2008;3378.7;999;i
PW;afkpin999i;p0p100;2009;3702.1;999;i
PW;afkpin999i;p0p100;2010;3356.6;999;i
PW;afkpin999i;p0p100;2011;2876.0;999;i
PW;afkpin999i;p0p100;2012;2625.5;999;i
PW;afkpin999i;p0p100;2013;3051.6;999;i
PW;afkpin999i;p0p100;2014;2885.1;999;i
PW;afkpin999i;p0p100;2015;3295.3;999;i
PW;afkpin999i;p0p100;2016;1856.6;999;i
PW;afkpin999i;p0p100;2017;2809.1;999;i
PW;mgsrfc999i;p0p100;2000;6975272.0;999;i
PW;mgsrfc999i;p0p100;2001;6913367.0;999;i
PW;mgsrfc999i;p0p100;2002;5313382.0;999;i
PW;mgsrfc999i;p0p100;2003;5477389.0;999;i
PW;mgsrfc999i;p0p100;2004;4709746.0;999;i
PW;mgsrfc999i;p0p100;2005;7166198.0;999;i
PW;mgsrfc999i;p0p100;2006;10586840.0;999;i
PW;mgsrfc999i;p0p100;2007;10164448.0;999;i
PW;mgsrfc999i;p0p100;2008;8197233.0;999;i
PW;mgsrfc999i;p0p100;2009;6331774.0;999;i
PW;mgsrfc999i;p0p100;2010;5691600.0;999;i
PW;mgsrfc999i;p0p100;2011;4497281.0;999;i
PW;mgsrfc999i;p0p100;2012;805995.0;999;i
PW;mgsrfc999i;p0p100;2013;3097580.0;999;i
PW;mgsrfc999i;p0p100;2014;2769119.0;999;i
PW;mgsrfc999i;p0p100;2015;1766275.0;999;i
PW;mgsrfc999i;p0p100;2016;1974103.0;999;i
PW;mgsrfc999i;p0p100;2017;3195089.0;999;i
PW;mgsrfc999i;p0p100;2018;6841438.0;999;i
PW;anmxhn999i;p0p100;2000;176.4;999;i
PW;anmxhn999i;p0p100;2001;171.3;999;i
PW;anmxhn999i;p0p100;2002;177.9;999;i
PW;anmxhn999i;p0p100;2003;167.5;999;i
PW;anmxhn999i;p0p100;2004;185.3;999;i
PW;anmxhn999i;p0p100;2005;184.0;999;i
PW;anmxhn999i;p0p100;2006;196.3;999;i
PW;anmxhn999i;p0p100;2007;181.4;999;i
PW;anmxhn999i;p0p100;2008;186.6;999;i
PW;anmxhn999i;p0p100;2009;211.1;999;i
PW;anmxhn999i;p0p100;2010;221.8;999;i
PW;anmxhn999i;p0p100;2011;238.5;999;i
PW;anmxhn999i;p0p100;2012;220.1;999;i
PW;anmxhn999i;p0p100;2013;225.6;999;i
PW;anmxhn999i;p0p100;2014;221.8;999;i
PW;anmxhn999i;p0p100;2015;197.7;999;i
PW;anmxhn999i;p0p100;2016;193.3;999;i
PW;anmxhn999i;p0p100;2017;203.3;999;i
PW;anmxhn999i;p0p100;2018;211.0;999;i
PW;atpigo999i;p0p100;2000;1231.0;999;i
PW;atpigo999i;p0p100;2001;1198.1;999;i
PW;atpigo999i;p0p100;2002;1073.1;999;i
PW;atpigo999i;p0p100;2003;1077.6;999;i
PW;atpigo999i;p0p100;2004;1231.6;999;i
PW;atpigo999i;p0p100;2005;1365.5;999;i
PW;atpigo999i;p0p100;2006;1258.0;999;i
PW;atpigo999i;p0p100;2007;1274.7;999;i
PW;atpigo999i;p0p100;2008;1326.5;999;i
PW;atpigo999i;p0p100;2009;1241.7;999;i
PW;atpigo999i;p0p100;2010;1308.4;999;i
PW;atpigo999i;p0p100;2011;1464.4;999;i
PW;atpigo999i;p0p100;2012;1646.0;999;i
PW;atpigo999i;p0p100;2013;1608.1;999;i
PW;atpigo999i;p0p100;2014;1803.0;999;i
PW;atpigo999i;p0p100;2015;1939.3;999;i
PW;atpigo999i;p0p100;2016;1835.9;999;i
PW;atpigo999i;p0p100;2017;1831.5;999;i
PW;atpigo999i;p0p100;2018;1845.8;999;i
PW;mgmxho999i;p0p100;2000;4044823.0;999;i
PW;mgmxho999i;p0p100;2001;3945261.0;999;i
PW;mgmxho999i;p0p100;2002;4246750.0;999;i
