country;variable;percentile;year;value;age;pop
QF-MER;ahweal992j;p17p100;1995;142608.0;992;j
QF-MER;ahweal992j;p17p100;1996;141738.1;992;j
QF-MER;ahweal992j;p17p100;1997;149381.2;992;j
QF-MER;ahweal992j;p17p100;1998;155022.6;992;j
QF-MER;ahweal992j;p17p100;1999;166714.8;992;j
QF-MER;ahweal992j;p17p100;2000;176267.6;992;j
QF-MER;ahweal992j;p17p100;2001;181149.0;992;j
QF-MER;ahweal992j;p17p100;2002;189894.7;992;j
QF-MER;ahweal992j;p17p100;2003;204497.2;992;j
QF-MER;ahweal992j;p17p100;2004;223841.8;992;j
QF-MER;ahweal992j;p17p100;2005;238610.4;992;j
QF-MER;ahweal992j;p17p100;2006;248160.3;992;j
QF-MER;ahweal992j;p17p100;2007;261773.6;992;j
QF-MER;ahweal992j;p17p100;2008;260184.0;992;j
QF-MER;ahweal992j;p17p100;2009;240249.6;992;j
QF-MER;ahweal992j;p17p100;2010;243408.6;992;j
QF-MER;ahweal992j;p17p100;2011;242902.5;992;j
QF-MER;ahweal992j;p17p100;2012;240002.2;992;j
QF-MER;ahweal992j;p17p100;2013;245262.7;992;j
QF-MER;ahweal992j;p17p100;2014;258167.3;992;j
QF-MER;ahweal992j;p17p100;2015;278709.8;992;j
QF-MER;ahweal992j;p17p100;2016;295851.0;992;j
QF-MER;ahweal992j;p17p100;2017;309445.5;992;j
QF-MER;ahweal992j;p17p100;2018;319974.1;992;j
QF-MER;ahweal992j;p17p100;2019;313577.2;992;j
QF-MER;ahweal992j;p17p100;2020;302144.9;992;j
QF-MER;ahweal992j;p17p100;2021;316419.6;992;j
QF-MER;ahweal992j;p93p94;1995;338043.1;992;j
QF-MER;ahweal992j;p93p94;1996;337841.7;992;j
QF-MER;ahweal992j;p93p94;1997;350951.8;992;j
QF-MER;ahweal992j;p93p94;1998;370129.5;992;j
QF-MER;ahweal992j;p93p94;1999;394676.7;992;j
QF-MER;ahweal992j;p93p94;2000;421890.4;992;j
QF-MER;ahweal992j;p93p94;2001;434871.5;992;j
QF-MER;ahweal992j;p93p94;2002;464304.3;992;j
QF-MER;ahweal992j;p93p94;2003;493986.3;992;j
QF-MER;ahweal992j;p93p94;2004;538742.1;992;j
QF-MER;ahweal992j;p93p94;2005;574000.1;992;j
QF-MER;ahweal992j;p93p94;2006;598123.6;992;j
QF-MER;ahweal992j;p93p94;2007;632213.9;992;j
QF-MER;ahweal992j;p93p94;2008;628408.5;992;j
QF-MER;ahweal992j;p93p94;2009;580620.9;992;j
QF-MER;ahweal992j;p93p94;2010;592807.6;992;j
QF-MER;ahweal992j;p93p94;2011;589433.2;992;j
QF-MER;ahweal992j;p93p94;2012;575241.9;992;j
QF-MER;ahweal992j;p93p94;2013;587933.1;992;j
QF-MER;ahweal992j;p93p94;2014;618520.2;992;j
QF-MER;ahweal992j;p93p94;2015;671886.6;992;j
QF-MER;ahweal992j;p93p94;2016;716499.7;992;j
QF-MER;ahweal992j;p93p94;2017;746676.2;992;j
QF-MER;ahweal992j;p93p94;2018;761438.8;992;j
QF-MER;ahweal992j;p93p94;2019;756408.0;992;j
