country;variable;percentile;year;value;age;pop
QN-MER;ahweal992j;p33p100;1995;3336.8;992;j
QN-MER;ahweal992j;p33p100;1996;3341.8;992;j
QN-MER;ahweal992j;p33p100;1997;3876.2;992;j
QN-MER;ahweal992j;p33p100;1998;4018.3;992;j
QN-MER;ahweal992j;p33p100;1999;4064.5;992;j
QN-MER;ahweal992j;p33p100;2000;3095.5;992;j
QN-MER;ahweal992j;p33p100;2001;3072.8;992;j
QN-MER;ahweal992j;p33p100;2002;3054.3;992;j
QN-MER;ahweal992j;p33p100;2003;3150.5;992;j
QN-MER;ahweal992j;p33p100;2004;3260.3;992;j
QN-MER;ahweal992j;p33p100;2005;3404.9;992;j
QN-MER;ahweal992j;p33p100;2006;3495.8;992;j
QN-MER;ahweal992j;p33p100;2007;3687.2;992;j
QN-MER;ahweal992j;p33p100;2008;3807.7;992;j
QN-MER;ahweal992j;p33p100;2009;4273.1;992;j
QN-MER;ahweal992j;p33p100;2010;3983.3;992;j
QN-MER;ahweal992j;p33p100;2011;3740.7;992;j
QN-MER;ahweal992j;p33p100;2012;3916.8;992;j
QN-MER;ahweal992j;p33p100;2013;3963.5;992;j
QN-MER;ahweal992j;p33p100;2014;4158.9;992;j
QN-MER;ahweal992j;p33p100;2015;4233.6;992;j
QN-MER;ahweal992j;p33p100;2016;4174.0;992;j
QN-MER;ahweal992j;p33p100;2017;4103.4;992;j
QN-MER;ahweal992j;p33p100;2018;4055.1;992;j
QN-MER;ahweal992j;p33p100;2019;4175.8;992;j
QN-MER;ahweal992j;p33p100;2020;4118.0;992;j
QN-MER;ahweal992j;p33p100;2021;4042.8;992;j
QN-MER;ahweal992j;p52p53;1995;642.2;992;j
QN-MER;ahweal992j;p52p53;1996;651.5;992;j
QN-MER;ahweal992j;p52p53;1997;729.1;992;j
QN-MER;ahweal992j;p52p53;1998;758.2;992;j
QN-MER;ahweal992j;p52p53;1999;741.5;992;j
QN-MER;ahweal992j;p52p53;2000;539.6;992;j
QN-MER;ahweal992j;p52p53;2001;523.3;992;j
QN-MER;ahweal992j;p52p53;2002;514.0;992;j
QN-MER;ahweal992j;p52p53;2003;511.6;992;j
QN-MER;ahweal992j;p52p53;2004;516.1;992;j
