country;variable;percentile;year;value;age;pop
QN;ahweal992j;p45p46;1995;859.9;992;j
QN;ahweal992j;p45p46;1996;877.8;992;j
QN;ahweal992j;p45p46;1997;969.6;992;j
QN;ahweal992j;p45p46;1998;1005.4;992;j
QN;ahweal992j;p45p46;1999;968.6;992;j
QN;ahweal992j;p45p46;2000;721.4;992;j
QN;ahweal992j;p45p46;2001;698.2;992;j
QN;ahweal992j;p45p46;2002;664.2;992;j
QN;ahweal992j;p45p46;2003;652.9;992;j
QN;ahweal992j;p45p46;2004;648.4;992;j
QN;ahweal992j;p45p46;2005;559.8;992;j
QN;ahweal992j;p45p46;2006;575.7;992;j
QN;ahweal992j;p45p46;2007;570.2;992;j
QN;ahweal992j;p45p46;2008;555.7;992;j
QN;ahweal992j;p45p46;2009;581.4;992;j
QN;ahweal992j;p45p46;2010;594.2;992;j
QN;ahweal992j;p45p46;2011;591.5;992;j
QN;ahweal992j;p45p46;2012;629.9;992;j
QN;ahweal992j;p45p46;2013;616.0;992;j
QN;ahweal992j;p45p46;2014;666.2;992;j
QN;ahweal992j;p45p46;2015;680.0;992;j
QN;ahweal992j;p45p46;2016;683.2;992;j
QN;ahweal992j;p45p46;2017;686.7;992;j
QN;ahweal992j;p45p46;2018;712.2;992;j
QN;ahweal992j;p45p46;2019;749.3;992;j
QN;ahweal992j;p45p46;2020;756.3;992;j
QN;ahweal992j;p45p46;2021;740.9;992;j
QN;ahweal992j;p88p100;1995;22333.2;992;j
QN;ahweal992j;p88p100;1996;22986.7;992;j
QN;ahweal992j;p88p100;1997;27150.0;992;j
QN;ahweal992j;p88p100;1998;28290.5;992;j
QN;ahweal992j;p88p100;1999;27418.3;992;j
QN;ahweal992j;p88p100;2000;23319.5;992;j
QN;ahweal992j;p88p100;2001;23833.3;992;j
QN;ahweal992j;p88p100;2002;24741.7;992;j
QN;ahweal992j;p88p100;2003;25221.9;992;j
QN;ahweal992j;p88p100;2004;26683.6;992;j
QN;ahweal992j;p88p100;2005;28322.3;992;j
QN;ahweal992j;p88p100;2006;29321.1;992;j
QN;ahweal992j;p88p100;2007;31882.1;992;j
QN;ahweal992j;p88p100;2008;33545.7;992;j
QN;ahweal992j;p88p100;2009;38981.9;992;j
QN;ahweal992j;p88p100;2010;35314.1;992;j
QN;ahweal992j;p88p100;2011;32019.3;992;j
QN;ahweal992j;p88p100;2012;33698.8;992;j
QN;ahweal992j;p88p100;2013;34578.7;992;j
QN;ahweal992j;p88p100;2014;36672.4;992;j
QN;ahweal992j;p88p100;2015;37304.2;992;j
QN;ahweal992j;p88p100;2016;36364.8;992;j
QN;ahweal992j;p88p100;2017;35437.3;992;j
QN;ahweal992j;p88p100;2018;34966.4;992;j
QN;ahweal992j;p88p100;2019;35909.2;992;j
QN;ahweal992j;p88p100;2020;35439.3;992;j
QN;ahweal992j;p88p100;2021;34643.1;992;j
QN;shweal992j;p38p100;1995;0.9924;992;j
QN;shweal992j;p38p100;1996;0.9929;992;j
QN;shweal992j;p38p100;1997;0.9941;992;j
QN;shweal992j;p38p100;1998;0.9952;992;j
QN;shweal992j;p38p100;1999;0.9951;992;j
QN;shweal992j;p38p100;2000;0.9972;992;j
QN;shweal992j;p38p100;2001;0.9967;992;j
QN;shweal992j;p38p100;2002;0.9988;992;j
QN;shweal992j;p38p100;2003;0.9987;992;j
QN;shweal992j;p38p100;2004;0.9989;992;j
QN;shweal992j;p38p100;2005;1.0037;992;j
QN;shweal992j;p38p100;2006;1.0034;992;j
QN;shweal992j;p38p100;2007;1.004;992;j
QN;shweal992j;p38p100;2008;1.0047;992;j
QN;shweal992j;p38p100;2009;1.0052;992;j
QN;shweal992j;p38p100;2010;1.0046;992;j
QN;shweal992j;p38p100;2011;1.0035;992;j
QN;shweal992j;p38p100;2012;1.0036;992;j
QN;shweal992j;p38p100;2013;1.0044;992;j
QN;shweal992j;p38p100;2014;1.0031;992;j
QN;shweal992j;p38p100;2015;1.0041;992;j
QN;shweal992j;p38p100;2016;1.0042;992;j
QN;shweal992j;p38p100;2017;1.0043;992;j
QN;shweal992j;p38p100;2018;1.0038;992;j
QN;shweal992j;p38p100;2019;1.0037;992;j
QN;shweal992j;p38p100;2020;1.0038;992;j
QN;shweal992j;p38p100;2021;1.0033;992;j
QN;shweal992j;p42p43;1995;0.002;992;j
QN;shweal992j;p42p43;1996;0.002;992;j
QN;shweal992j;p42p43;1997;0.0019;992;j
QN;shweal992j;p42p43;1998;0.0019;992;j
QN;shweal992j;p42p43;1999;0.0018;992;j
QN;shweal992j;p42p43;2000;0.0017;992;j
QN;shweal992j;p42p43;2001;0.0016;992;j
QN;shweal992j;p42p43;2002;0.0015;992;j
QN;shweal992j;p42p43;2003;0.0015;992;j
QN;shweal992j;p42p43;2004;0.0014;992;j
QN;shweal992j;p42p43;2005;0.0011;992;j
QN;shweal992j;p42p43;2006;0.0011;992;j
QN;shweal992j;p42p43;2007;0.001;992;j
QN;shweal992j;p42p43;2008;0.0009;992;j
QN;shweal992j;p42p43;2009;0.0009;992;j
QN;shweal992j;p42p43;2010;0.0009;992;j
QN;shweal992j;p42p43;2011;0.001;992;j
QN;shweal992j;p42p43;2012;0.0011;992;j
QN;shweal992j;p42p43;2013;0.001;992;j
QN;shweal992j;p42p43;2014;0.0011;992;j
QN;shweal992j;p42p43;2015;0.0011;992;j
QN;shweal992j;p42p43;2016;0.0011;992;j
QN;shweal992j;p42p43;2017;0.0011;992;j
QN;shweal992j;p42p43;2018;0.0012;992;j
QN;shweal992j;p42p43;2019;0.0012;992;j
