country;variable;percentile;year;value;age;pop
QO-MER;ahweal992j;p34p35;1995;305.3;992;j
QO-MER;ahweal992j;p34p35;1996;334.3;992;j
QO-MER;ahweal992j;p34p35;1997;354.1;992;j
QO-MER;ahweal992j;p34p35;1998;374.3;992;j
QO-MER;ahweal992j;p34p35;1999;386.7;992;j
QO-MER;ahweal992j;p34p35;2000;406.9;992;j
QO-MER;ahweal992j;p34p35;2001;450.8;992;j
QO-MER;ahweal992j;p34p35;2002;478.3;992;j
QO-MER;ahweal992j;p34p35;2003;526.4;992;j
QO-MER;ahweal992j;p34p35;2004;557.3;992;j
QO-MER;ahweal992j;p34p35;2005;590.8;992;j
QO-MER;ahweal992j;p34p35;2006;647.1;992;j
QO-MER;ahweal992j;p34p35;2007;686.9;992;j
QO-MER;ahweal992j;p34p35;2008;715.5;992;j
QO-MER;ahweal992j;p34p35;2009;775.2;992;j
QO-MER;ahweal992j;p34p35;2010;822.8;992;j
QO-MER;ahweal992j;p34p35;2011;810.3;992;j
QO-MER;ahweal992j;p34p35;2012;832.3;992;j
QO-MER;ahweal992j;p34p35;2013;831.4;992;j
QO-MER;ahweal992j;p34p35;2014;843.5;992;j
QO-MER;ahweal992j;p34p35;2015;865.2;992;j
QO-MER;ahweal992j;p34p35;2016;928.2;992;j
QO-MER;ahweal992j;p34p35;2017;957.3;992;j
QO-MER;ahweal992j;p34p35;2018;974.6;992;j
QO-MER;ahweal992j;p34p35;2019;1012.9;992;j
QO-MER;ahweal992j;p34p35;2020;978.1;992;j
QO-MER;ahweal992j;p34p35;2021;1034.9;992;j
QO-MER;ahweal992j;p54p55;1995;738.1;992;j
QO-MER;ahweal992j;p54p55;1996;807.2;992;j
QO-MER;ahweal992j;p54p55;1997;856.9;992;j
QO-MER;ahweal992j;p54p55;1998;912.1;992;j
QO-MER;ahweal992j;p54p55;1999;942.8;992;j
QO-MER;ahweal992j;p54p55;2000;994.3;992;j
QO-MER;ahweal992j;p54p55;2001;1087.3;992;j
QO-MER;ahweal992j;p54p55;2002;1177.0;992;j
QO-MER;ahweal992j;p54p55;2003;1273.4;992;j
QO-MER;ahweal992j;p54p55;2004;1359.5;992;j
QO-MER;ahweal992j;p54p55;2005;1457.8;992;j
QO-MER;ahweal992j;p54p55;2006;1584.1;992;j
QO-MER;ahweal992j;p54p55;2007;1675.2;992;j
QO-MER;ahweal992j;p54p55;2008;1755.1;992;j
QO-MER;ahweal992j;p54p55;2009;1921.8;992;j
QO-MER;ahweal992j;p54p55;2010;1989.9;992;j
QO-MER;ahweal992j;p54p55;2011;1978.7;992;j
QO-MER;ahweal992j;p54p55;2012;2049.5;992;j
QO-MER;ahweal992j;p54p55;2013;2085.3;992;j
QO-MER;ahweal992j;p54p55;2014;2111.7;992;j
QO-MER;ahweal992j;p54p55;2015;2178.5;992;j
QO-MER;ahweal992j;p54p55;2016;2331.5;992;j
QO-MER;ahweal992j;p54p55;2017;2420.2;992;j
QO-MER;ahweal992j;p54p55;2018;2496.2;992;j
QO-MER;ahweal992j;p54p55;2019;2616.0;992;j
QO-MER;ahweal992j;p54p55;2020;2517.9;992;j
QO-MER;ahweal992j;p54p55;2021;2642.6;992;j
QO-MER;bhweal992j;p46p100;1995;6.92830181121826;992;j
QO-MER;bhweal992j;p46p100;1996;7.07909631729126;992;j
QO-MER;bhweal992j;p46p100;1997;6.9402265548706;992;j
QO-MER;bhweal992j;p46p100;1998;6.97604322433472;992;j
QO-MER;bhweal992j;p46p100;1999;7.10048675537109;992;j
QO-MER;bhweal992j;p46p100;2000;7.07078742980957;992;j
QO-MER;bhweal992j;p46p100;2001;6.9177656173706;992;j
QO-MER;bhweal992j;p46p100;2002;6.8429913520813;992;j
QO-MER;bhweal992j;p46p100;2003;6.78951025009155;992;j
QO-MER;bhweal992j;p46p100;2004;6.71894407272339;992;j
QO-MER;bhweal992j;p46p100;2005;6.68633079528809;992;j
QO-MER;bhweal992j;p46p100;2006;6.76755857467651;992;j
QO-MER;bhweal992j;p46p100;2007;6.91690111160278;992;j
QO-MER;bhweal992j;p46p100;2008;6.81244421005249;992;j
QO-MER;bhweal992j;p46p100;2009;6.56473731994629;992;j
QO-MER;bhweal992j;p46p100;2010;6.50187587738037;992;j
QO-MER;bhweal992j;p46p100;2011;6.58938980102539;992;j
QO-MER;bhweal992j;p46p100;2012;6.63610744476318;992;j
QO-MER;bhweal992j;p46p100;2013;6.71245145797729;992;j
QO-MER;bhweal992j;p46p100;2014;6.79548788070679;992;j
QO-MER;bhweal992j;p46p100;2015;6.95559310913086;992;j
QO-MER;bhweal992j;p46p100;2016;6.80404138565063;992;j
QO-MER;bhweal992j;p46p100;2017;6.88865661621094;992;j
QO-MER;bhweal992j;p46p100;2018;6.95295524597168;992;j
QO-MER;bhweal992j;p46p100;2019;6.92085456848145;992;j
QO-MER;bhweal992j;p46p100;2020;7.01281452178955;992;j
QO-MER;bhweal992j;p46p100;2021;7.05428791046143;992;j
QO-MER;bhweal992j;p96p100;1995;2.94826316833496;992;j
QO-MER;bhweal992j;p96p100;1996;2.97222328186035;992;j
QO-MER;bhweal992j;p96p100;1997;2.92803502082825;992;j
QO-MER;bhweal992j;p96p100;1998;2.92030024528503;992;j
QO-MER;bhweal992j;p96p100;1999;2.91663932800293;992;j
QO-MER;bhweal992j;p96p100;2000;3.05903291702271;992;j
QO-MER;bhweal992j;p96p100;2001;3.04015874862671;992;j
QO-MER;bhweal992j;p96p100;2002;3.01587414741516;992;j
QO-MER;bhweal992j;p96p100;2003;2.98624920845032;992;j
QO-MER;bhweal992j;p96p100;2004;2.95915532112122;992;j
QO-MER;bhweal992j;p96p100;2005;3.00943470001221;992;j
QO-MER;bhweal992j;p96p100;2006;3.02161455154419;992;j
QO-MER;bhweal992j;p96p100;2007;3.18942213058472;992;j
QO-MER;bhweal992j;p96p100;2008;3.16620564460754;992;j
QO-MER;bhweal992j;p96p100;2009;2.95982027053833;992;j
QO-MER;bhweal992j;p96p100;2010;2.96953010559082;992;j
QO-MER;bhweal992j;p96p100;2011;3.03604507446289;992;j
QO-MER;bhweal992j;p96p100;2012;3.06655740737915;992;j
QO-MER;bhweal992j;p96p100;2013;3.02236843109131;992;j
QO-MER;bhweal992j;p96p100;2014;3.09723615646362;992;j
QO-MER;bhweal992j;p96p100;2015;3.08433794975281;992;j
QO-MER;bhweal992j;p96p100;2016;3.02113723754883;992;j
QO-MER;bhweal992j;p96p100;2017;3.00469207763672;992;j
QO-MER;bhweal992j;p96p100;2018;2.99736380577087;992;j
QO-MER;bhweal992j;p96p100;2019;2.96309757232666;992;j
QO-MER;bhweal992j;p96p100;2020;3.03591680526733;992;j
QO-MER;bhweal992j;p96p100;2021;2.97598838806152;992;j
QO-MER;shweal992j;p5p6;1995;-0.0003;992;j
QO-MER;shweal992j;p5p6;1996;-0.0003;992;j
QO-MER;shweal992j;p5p6;1997;-0.0003;992;j
QO-MER;shweal992j;p5p6;1998;-0.0003;992;j
QO-MER;shweal992j;p5p6;1999;-0.0003;992;j
QO-MER;shweal992j;p5p6;2000;-0.0003;992;j
QO-MER;shweal992j;p5p6;2001;-0.0003;992;j
QO-MER;shweal992j;p5p6;2002;-0.0003;992;j
QO-MER;shweal992j;p5p6;2003;-0.0003;992;j
QO-MER;shweal992j;p5p6;2004;-0.0003;992;j
QO-MER;shweal992j;p5p6;2005;-0.0003;992;j
QO-MER;shweal992j;p5p6;2006;-0.0003;992;j
QO-MER;shweal992j;p5p6;2007;-0.0003;992;j
QO-MER;shweal992j;p5p6;2008;-0.0003;992;j
QO-MER;shweal992j;p5p6;2009;-0.0003;992;j
QO-MER;shweal992j;p5p6;2010;-0.0003;992;j
QO-MER;shweal992j;p5p6;2011;-0.0003;992;j
QO-MER;shweal992j;p5p6;2012;-0.0003;992;j
QO-MER;shweal992j;p5p6;2013;-0.0003;992;j
QO-MER;shweal992j;p5p6;2014;-0.0003;992;j
QO-MER;shweal992j;p5p6;2015;-0.0003;992;j
QO-MER;shweal992j;p5p6;2016;-0.0003;992;j
QO-MER;shweal992j;p5p6;2017;-0.0003;992;j
QO-MER;shweal992j;p5p6;2018;-0.0003;992;j
QO-MER;shweal992j;p5p6;2019;-0.0003;992;j
QO-MER;shweal992j;p5p6;2020;-0.0003;992;j
QO-MER;shweal992j;p5p6;2021;-0.0003;992;j
QO-MER;shweal992j;p68p100;1995;0.8804;992;j
QO-MER;shweal992j;p68p100;1996;0.8814;992;j
