country;variable;percentile;year;value;age;pop
QP;ahweal992j;p51p100;1995;277927.5;992;j
QP;ahweal992j;p51p100;1996;292668.0;992;j
QP;ahweal992j;p51p100;1997;311317.8;992;j
QP;ahweal992j;p51p100;1998;339790.1;992;j
QP;ahweal992j;p51p100;1999;368765.3;992;j
QP;ahweal992j;p51p100;2000;377999.3;992;j
QP;ahweal992j;p51p100;2001;372032.5;992;j
QP;ahweal992j;p51p100;2002;363943.8;992;j
QP;ahweal992j;p51p100;2003;374244.4;992;j
QP;ahweal992j;p51p100;2004;411197.3;992;j
QP;ahweal992j;p51p100;2005;443359.8;992;j
QP;ahweal992j;p51p100;2006;462178.9;992;j
QP;ahweal992j;p51p100;2007;464266.6;992;j
QP;ahweal992j;p51p100;2008;421106.3;992;j
QP;ahweal992j;p51p100;2009;382355.8;992;j
QP;ahweal992j;p51p100;2010;389441.9;992;j
QP;ahweal992j;p51p100;2011;391581.1;992;j
QP;ahweal992j;p51p100;2012;399175.9;992;j
QP;ahweal992j;p51p100;2013;431037.1;992;j
QP;ahweal992j;p51p100;2014;461223.7;992;j
QP;ahweal992j;p51p100;2015;483016.1;992;j
QP;ahweal992j;p51p100;2016;496164.6;992;j
QP;ahweal992j;p51p100;2017;520048.1;992;j
QP;ahweal992j;p51p100;2018;527319.0;992;j
QP;ahweal992j;p51p100;2019;552490.8;992;j
QP;ahweal992j;p51p100;2020;566942.4;992;j
QP;ahweal992j;p51p100;2021;569563.1;992;j
QP;ahweal992j;p99.2p100;1995;4537848.5;992;j
QP;ahweal992j;p99.2p100;1996;4889404.5;992;j
QP;ahweal992j;p99.2p100;1997;5352188.5;992;j
QP;ahweal992j;p99.2p100;1998;6047271.5;992;j
QP;ahweal992j;p99.2p100;1999;6656263.0;992;j
QP;ahweal992j;p99.2p100;2000;6975802.0;992;j
QP;ahweal992j;p99.2p100;2001;6774238.5;992;j
QP;ahweal992j;p99.2p100;2002;6508467.5;992;j
QP;ahweal992j;p99.2p100;2003;6681136.0;992;j
QP;ahweal992j;p99.2p100;2004;7462785.5;992;j
QP;ahweal992j;p99.2p100;2005;8260577.0;992;j
QP;ahweal992j;p99.2p100;2006;8715849.0;992;j
QP;ahweal992j;p99.2p100;2007;8829674.0;992;j
QP;ahweal992j;p99.2p100;2008;8012916.0;992;j
QP;ahweal992j;p99.2p100;2009;6986474.5;992;j
QP;ahweal992j;p99.2p100;2010;7410753.0;992;j
QP;ahweal992j;p99.2p100;2011;7667354.5;992;j
QP;ahweal992j;p99.2p100;2012;8132042.0;992;j
QP;ahweal992j;p99.2p100;2013;8658607.0;992;j
QP;ahweal992j;p99.2p100;2014;9441573.0;992;j
QP;ahweal992j;p99.2p100;2015;9939503.0;992;j
QP;ahweal992j;p99.2p100;2016;10110278.0;992;j
QP;ahweal992j;p99.2p100;2017;10478321.0;992;j
QP;ahweal992j;p99.2p100;2018;10590694.0;992;j
QP;ahweal992j;p99.2p100;2019;11066749.0;992;j
QP;ahweal992j;p99.2p100;2020;11369922.0;992;j
QP;ahweal992j;p99.2p100;2021;11436411.0;992;j
QP;aptinc999j;p99.9p100;1820;103670.84375;999;j
QP;aptinc999j;p99.9p100;1850;151162.46875;999;j
QP;aptinc999j;p99.9p100;1880;208119.203125;999;j
QP;aptinc999j;p99.9p100;1900;418042.21875;999;j
QP;aptinc999j;p99.9p100;1910;621008.5625;999;j
QP;aptinc999j;p99.9p100;1920;494434.75;999;j
QP;aptinc999j;p99.9p100;1930;565273.125;999;j
QP;aptinc999j;p99.9p100;1940;666461.875;999;j
QP;aptinc999j;p99.9p100;1950;631010.25;999;j
QP;aptinc999j;p99.9p100;1960;536441.25;999;j
QP;aptinc999j;p99.9p100;1970;571826.8125;999;j
QP;aptinc999j;p99.9p100;1980;675354.9375;999;j
QP;aptinc999j;p99.9p100;1990;1400593.125;999;j
QP;aptinc999j;p99.9p100;2000;2483169.0;999;j
QP;aptinc999j;p99.9p100;2010;2642337.0;999;j
QP;aptinc999j;p99.9p100;2020;3251188.25;999;j
QP;shweal992j;p89p90;1995;0.0217;992;j
QP;shweal992j;p89p90;1996;0.0216;992;j
QP;shweal992j;p89p90;1997;0.0215;992;j
QP;shweal992j;p89p90;1998;0.0211;992;j
QP;shweal992j;p89p90;1999;0.0206;992;j
QP;shweal992j;p89p90;2000;0.0203;992;j
QP;shweal992j;p89p90;2001;0.0205;992;j
QP;shweal992j;p89p90;2002;0.0207;992;j
QP;shweal992j;p89p90;2003;0.0209;992;j
QP;shweal992j;p89p90;2004;0.0208;992;j
QP;shweal992j;p89p90;2005;0.0205;992;j
QP;shweal992j;p89p90;2006;0.0202;992;j
QP;shweal992j;p89p90;2007;0.0204;992;j
QP;shweal992j;p89p90;2008;0.0206;992;j
QP;shweal992j;p89p90;2009;0.0211;992;j
QP;shweal992j;p89p90;2010;0.0206;992;j
QP;shweal992j;p89p90;2011;0.02;992;j
QP;shweal992j;p89p90;2012;0.0195;992;j
QP;shweal992j;p89p90;2013;0.0199;992;j
QP;shweal992j;p89p90;2014;0.0197;992;j
QP;shweal992j;p89p90;2015;0.0196;992;j
QP;shweal992j;p89p90;2016;0.0196;992;j
QP;shweal992j;p89p90;2017;0.0195;992;j
QP;shweal992j;p89p90;2018;0.0194;992;j
QP;shweal992j;p89p90;2019;0.0193;992;j
QP;shweal992j;p89p90;2020;0.0194;992;j
QP;shweal992j;p89p90;2021;0.0194;992;j
QP;shweal992j;p99.94p99.95;1995;0.0063;992;j
QP;shweal992j;p99.94p99.95;1996;0.0064;992;j
QP;shweal992j;p99.94p99.95;1997;0.0067;992;j
QP;shweal992j;p99.94p99.95;1998;0.0069;992;j
QP;shweal992j;p99.94p99.95;1999;0.007;992;j
QP;shweal992j;p99.94p99.95;2000;0.007;992;j
QP;shweal992j;p99.94p99.95;2001;0.007;992;j
QP;shweal992j;p99.94p99.95;2002;0.0069;992;j
QP;shweal992j;p99.94p99.95;2003;0.0069;992;j
QP;shweal992j;p99.94p99.95;2004;0.0071;992;j
QP;shweal992j;p99.94p99.95;2005;0.0073;992;j
QP;shweal992j;p99.94p99.95;2006;0.0076;992;j
QP;shweal992j;p99.94p99.95;2007;0.0074;992;j
QP;shweal992j;p99.94p99.95;2008;0.0073;992;j
QP;shweal992j;p99.94p99.95;2009;0.0069;992;j
QP;shweal992j;p99.94p99.95;2010;0.0075;992;j
QP;shweal992j;p99.94p99.95;2011;0.0076;992;j
QP;shweal992j;p99.94p99.95;2012;0.0082;992;j
QP;shweal992j;p99.94p99.95;2013;0.0075;992;j
QP;shweal992j;p99.94p99.95;2014;0.0079;992;j
QP;shweal992j;p99.94p99.95;2015;0.008;992;j
QP;shweal992j;p99.94p99.95;2016;0.0079;992;j
QP;shweal992j;p99.94p99.95;2017;0.0076;992;j
QP;shweal992j;p99.94p99.95;2018;0.0076;992;j
QP;shweal992j;p99.94p99.95;2019;0.0078;992;j
QP;shweal992j;p99.94p99.95;2020;0.0078;992;j
QP;shweal992j;p99.94p99.95;2021;0.0078;992;j
QP;aptinc999j;p99.9p99.91;1820;55652.8828125;999;j
QP;aptinc999j;p99.9p99.91;1850;77686.3984375;999;j
QP;aptinc999j;p99.9p99.91;1880;75815.28125;999;j
QP;aptinc999j;p99.9p99.91;1900;130980.8125;999;j
QP;aptinc999j;p99.9p99.91;1910;250737.53125;999;j
QP;aptinc999j;p99.9p99.91;1920;259227.046875;999;j
QP;aptinc999j;p99.9p99.91;1930;262121.4375;999;j
QP;aptinc999j;p99.9p99.91;1940;315022.1875;999;j
QP;aptinc999j;p99.9p99.91;1950;339659.96875;999;j
QP;aptinc999j;p99.9p99.91;1960;285357.21875;999;j
QP;aptinc999j;p99.9p99.91;1970;329052.375;999;j
QP;aptinc999j;p99.9p99.91;1980;329178.875;999;j
QP;aptinc999j;p99.9p99.91;1990;607878.6875;999;j
QP;aptinc999j;p99.9p99.91;2000;921773.25;999;j
QP;aptinc999j;p99.9p99.91;2010;983853.8125;999;j
QP;aptinc999j;p99.9p99.91;2020;1168404.375;999;j
QP;sptinc999j;p99.93p99.94;1820;0.0037089423936696;999;j
QP;sptinc999j;p99.93p99.94;1850;0.0038570529955384;999;j
QP;sptinc999j;p99.93p99.94;1880;0.0021987661307623;999;j
QP;sptinc999j;p99.93p99.94;1900;0.0030255803759054;999;j
QP;sptinc999j;p99.93p99.94;1910;0.0048493871362986;999;j
QP;sptinc999j;p99.93p99.94;1920;0.0045817281227566;999;j
QP;sptinc999j;p99.93p99.94;1930;0.0044011483008645;999;j
QP;sptinc999j;p99.93p99.94;1940;0.0046959599037414;999;j
QP;sptinc999j;p99.93p99.94;1950;0.0039467801060574;999;j
QP;sptinc999j;p99.93p99.94;1960;0.0027769714119346;999;j
QP;sptinc999j;p99.93p99.94;1970;0.0023524744252766;999;j
QP;sptinc999j;p99.93p99.94;1980;0.0020122412608745;999;j
QP;sptinc999j;p99.93p99.94;1990;0.0030251124466166;999;j
QP;sptinc999j;p99.93p99.94;2000;0.0036607810664108;999;j
QP;sptinc999j;p99.93p99.94;2010;0.0037163058277883;999;j
QP;sptinc999j;p99.93p99.94;2020;0.0038301202936053;999;j
QP;shweal992j;p75p100;1995;0.8667;992;j
QP;shweal992j;p75p100;1996;0.8685;992;j
QP;shweal992j;p75p100;1997;0.8745;992;j
