country;variable;percentile;year;value;age;pop
QS;ahweal992j;p10p100;1995;5951.4;992;j
QS;ahweal992j;p10p100;1996;6377.2;992;j
QS;ahweal992j;p10p100;1997;6423.1;992;j
QS;ahweal992j;p10p100;1998;6064.0;992;j
QS;ahweal992j;p10p100;1999;6191.9;992;j
QS;ahweal992j;p10p100;2000;7043.8;992;j
QS;ahweal992j;p10p100;2001;7299.8;992;j
QS;ahweal992j;p10p100;2002;7749.4;992;j
QS;ahweal992j;p10p100;2003;8391.4;992;j
QS;ahweal992j;p10p100;2004;9054.5;992;j
QS;ahweal992j;p10p100;2005;9654.6;992;j
QS;ahweal992j;p10p100;2006;10448.5;992;j
QS;ahweal992j;p10p100;2007;11482.4;992;j
QS;ahweal992j;p10p100;2008;12515.2;992;j
QS;ahweal992j;p10p100;2009;13262.4;992;j
QS;ahweal992j;p10p100;2010;14378.0;992;j
QS;ahweal992j;p10p100;2011;15221.6;992;j
QS;ahweal992j;p10p100;2012;15757.3;992;j
QS;ahweal992j;p10p100;2013;16374.5;992;j
QS;ahweal992j;p10p100;2014;17038.4;992;j
QS;ahweal992j;p10p100;2015;17718.0;992;j
QS;ahweal992j;p10p100;2016;18875.2;992;j
QS;ahweal992j;p10p100;2017;20026.2;992;j
QS;ahweal992j;p10p100;2018;21337.8;992;j
QS;ahweal992j;p10p100;2019;22635.4;992;j
QS;ahweal992j;p10p100;2020;22087.7;992;j
QS;ahweal992j;p10p100;2021;23761.2;992;j
QS;shweal992j;p38p39;1995;0.0011;992;j
QS;shweal992j;p38p39;1996;0.0011;992;j
QS;shweal992j;p38p39;1997;0.0011;992;j
QS;shweal992j;p38p39;1998;0.0011;992;j
QS;shweal992j;p38p39;1999;0.0011;992;j
QS;shweal992j;p38p39;2000;0.0012;992;j
QS;shweal992j;p38p39;2001;0.0013;992;j
QS;shweal992j;p38p39;2002;0.0014;992;j
QS;shweal992j;p38p39;2003;0.0014;992;j
QS;shweal992j;p38p39;2004;0.0014;992;j
QS;shweal992j;p38p39;2005;0.0014;992;j
QS;shweal992j;p38p39;2006;0.0014;992;j
QS;shweal992j;p38p39;2007;0.0015;992;j
QS;shweal992j;p38p39;2008;0.0015;992;j
QS;shweal992j;p38p39;2009;0.0015;992;j
QS;shweal992j;p38p39;2010;0.0015;992;j
QS;shweal992j;p38p39;2011;0.0015;992;j
QS;shweal992j;p38p39;2012;0.0015;992;j
QS;shweal992j;p38p39;2013;0.0015;992;j
QS;shweal992j;p38p39;2014;0.0015;992;j
QS;shweal992j;p38p39;2015;0.0016;992;j
QS;shweal992j;p38p39;2016;0.0015;992;j
QS;shweal992j;p38p39;2017;0.0015;992;j
QS;shweal992j;p38p39;2018;0.0016;992;j
QS;shweal992j;p38p39;2019;0.0016;992;j
QS;shweal992j;p38p39;2020;0.0016;992;j
QS;shweal992j;p38p39;2021;0.0016;992;j
QS;shweal992j;p99.94p99.95;1995;0.0125;992;j
QS;shweal992j;p99.94p99.95;1996;0.0124;992;j
QS;shweal992j;p99.94p99.95;1997;0.0123;992;j
QS;shweal992j;p99.94p99.95;1998;0.0125;992;j
QS;shweal992j;p99.94p99.95;1999;0.0129;992;j
QS;shweal992j;p99.94p99.95;2000;0.0125;992;j
QS;shweal992j;p99.94p99.95;2001;0.0118;992;j
QS;shweal992j;p99.94p99.95;2002;0.0113;992;j
QS;shweal992j;p99.94p99.95;2003;0.0111;992;j
QS;shweal992j;p99.94p99.95;2004;0.0107;992;j
QS;shweal992j;p99.94p99.95;2005;0.0102;992;j
QS;shweal992j;p99.94p99.95;2006;0.0098;992;j
QS;shweal992j;p99.94p99.95;2007;0.0097;992;j
QS;shweal992j;p99.94p99.95;2008;0.0096;992;j
QS;shweal992j;p99.94p99.95;2009;0.0091;992;j
QS;shweal992j;p99.94p99.95;2010;0.0095;992;j
QS;shweal992j;p99.94p99.95;2011;0.0096;992;j
QS;shweal992j;p99.94p99.95;2012;0.0093;992;j
QS;shweal992j;p99.94p99.95;2013;0.009;992;j
QS;shweal992j;p99.94p99.95;2014;0.0088;992;j
QS;shweal992j;p99.94p99.95;2015;0.0088;992;j
QS;shweal992j;p99.94p99.95;2016;0.0088;992;j
QS;shweal992j;p99.94p99.95;2017;0.0084;992;j
QS;shweal992j;p99.94p99.95;2018;0.0081;992;j
QS;shweal992j;p99.94p99.95;2019;0.0082;992;j
QS;shweal992j;p99.94p99.95;2020;0.0077;992;j
QS;shweal992j;p99.94p99.95;2021;0.0078;992;j
QS;shweal992j;p47p48;1995;0.0017;992;j
QS;shweal992j;p47p48;1996;0.0016;992;j
QS;shweal992j;p47p48;1997;0.0017;992;j
QS;shweal992j;p47p48;1998;0.0017;992;j
QS;shweal992j;p47p48;1999;0.0017;992;j
QS;shweal992j;p47p48;2000;0.0019;992;j
QS;shweal992j;p47p48;2001;0.002;992;j
QS;shweal992j;p47p48;2002;0.0021;992;j
QS;shweal992j;p47p48;2003;0.0021;992;j
QS;shweal992j;p47p48;2004;0.0021;992;j
QS;shweal992j;p47p48;2005;0.0021;992;j
QS;shweal992j;p47p48;2006;0.0022;992;j
QS;shweal992j;p47p48;2007;0.0022;992;j
QS;shweal992j;p47p48;2008;0.0022;992;j
QS;shweal992j;p47p48;2009;0.0023;992;j
QS;shweal992j;p47p48;2010;0.0023;992;j
QS;shweal992j;p47p48;2011;0.0022;992;j
QS;shweal992j;p47p48;2012;0.0022;992;j
QS;shweal992j;p47p48;2013;0.0023;992;j
QS;shweal992j;p47p48;2014;0.0022;992;j
QS;shweal992j;p47p48;2015;0.0023;992;j
QS;shweal992j;p47p48;2016;0.0023;992;j
QS;shweal992j;p47p48;2017;0.0023;992;j
QS;shweal992j;p47p48;2018;0.0023;992;j
QS;shweal992j;p47p48;2019;0.0023;992;j
QS;shweal992j;p47p48;2020;0.0024;992;j
QS;shweal992j;p47p48;2021;0.0024;992;j
QS;shweal992j;p63p100;1995;0.9491;992;j
QS;shweal992j;p63p100;1996;0.9497;992;j
QS;shweal992j;p63p100;1997;0.9497;992;j
QS;shweal992j;p63p100;1998;0.9481;992;j
QS;shweal992j;p63p100;1999;0.9482;992;j
QS;shweal992j;p63p100;2000;0.942;992;j
QS;shweal992j;p63p100;2001;0.9366;992;j
QS;shweal992j;p63p100;2002;0.9333;992;j
QS;shweal992j;p63p100;2003;0.9334;992;j
QS;shweal992j;p63p100;2004;0.9325;992;j
QS;shweal992j;p63p100;2005;0.9316;992;j
QS;shweal992j;p63p100;2006;0.9295;992;j
QS;shweal992j;p63p100;2007;0.9276;992;j
QS;shweal992j;p63p100;2008;0.9279;992;j
QS;shweal992j;p63p100;2009;0.9249;992;j
