country;variable;percentile;year;value;age;pop
QV-MER;shweal992j;p37p38;1995;0.0012;992;j
QV-MER;shweal992j;p37p38;1996;0.0013;992;j
QV-MER;shweal992j;p37p38;1997;0.0013;992;j
QV-MER;shweal992j;p37p38;1998;0.0013;992;j
QV-MER;shweal992j;p37p38;1999;0.0013;992;j
QV-MER;shweal992j;p37p38;2000;0.0013;992;j
QV-MER;shweal992j;p37p38;2001;0.0013;992;j
QV-MER;shweal992j;p37p38;2002;0.0012;992;j
QV-MER;shweal992j;p37p38;2003;0.0012;992;j
QV-MER;shweal992j;p37p38;2004;0.0012;992;j
QV-MER;shweal992j;p37p38;2005;0.0012;992;j
QV-MER;shweal992j;p37p38;2006;0.0012;992;j
QV-MER;shweal992j;p37p38;2007;0.0013;992;j
QV-MER;shweal992j;p37p38;2008;0.0013;992;j
QV-MER;shweal992j;p37p38;2009;0.0012;992;j
QV-MER;shweal992j;p37p38;2010;0.0012;992;j
QV-MER;shweal992j;p37p38;2011;0.0012;992;j
QV-MER;shweal992j;p37p38;2012;0.0013;992;j
QV-MER;shweal992j;p37p38;2013;0.0013;992;j
QV-MER;shweal992j;p37p38;2014;0.0013;992;j
QV-MER;shweal992j;p37p38;2015;0.0013;992;j
QV-MER;shweal992j;p37p38;2016;0.0013;992;j
QV-MER;shweal992j;p37p38;2017;0.0014;992;j
QV-MER;shweal992j;p37p38;2018;0.0014;992;j
QV-MER;shweal992j;p37p38;2019;0.0015;992;j
QV-MER;shweal992j;p37p38;2020;0.0015;992;j
QV-MER;shweal992j;p37p38;2021;0.0015;992;j
QV-MER;shweal992j;p99.4p99.5;1995;0.0159;992;j
QV-MER;shweal992j;p99.4p99.5;1996;0.0158;992;j
QV-MER;shweal992j;p99.4p99.5;1997;0.0158;992;j
QV-MER;shweal992j;p99.4p99.5;1998;0.0158;992;j
QV-MER;shweal992j;p99.4p99.5;1999;0.0158;992;j
QV-MER;shweal992j;p99.4p99.5;2000;0.0159;992;j
QV-MER;shweal992j;p99.4p99.5;2001;0.016;992;j
QV-MER;shweal992j;p99.4p99.5;2002;0.0158;992;j
QV-MER;shweal992j;p99.4p99.5;2003;0.0157;992;j
