country;variable;percentile;year;value;age;pop
SR;shweal992j;p69p100;1995;0.904;992;j
SR;shweal992j;p69p100;1996;0.904;992;j
SR;shweal992j;p69p100;1997;0.9041;992;j
SR;shweal992j;p69p100;1998;0.9041;992;j
SR;shweal992j;p69p100;1999;0.901;992;j
SR;shweal992j;p69p100;2000;0.901;992;j
SR;shweal992j;p69p100;2001;0.9011;992;j
SR;shweal992j;p69p100;2002;0.9042;992;j
SR;shweal992j;p69p100;2003;0.91;992;j
SR;shweal992j;p69p100;2004;0.8983;992;j
SR;shweal992j;p69p100;2005;0.8927;992;j
SR;shweal992j;p69p100;2006;0.9089;992;j
SR;shweal992j;p69p100;2007;0.9137;992;j
SR;shweal992j;p69p100;2008;0.9054;992;j
SR;shweal992j;p69p100;2009;0.8905;992;j
SR;shweal992j;p69p100;2010;0.8833;992;j
SR;shweal992j;p69p100;2011;0.8885;992;j
SR;shweal992j;p69p100;2012;0.8687;992;j
SR;shweal992j;p69p100;2013;0.8781;992;j
SR;shweal992j;p69p100;2014;0.8727;992;j
SR;shweal992j;p69p100;2015;0.8711;992;j
SR;shweal992j;p69p100;2016;0.8663;992;j
SR;shweal992j;p69p100;2017;0.8592;992;j
SR;shweal992j;p69p100;2018;0.8551;992;j
SR;shweal992j;p69p100;2019;0.8544;992;j
SR;shweal992j;p69p100;2020;0.8545;992;j
SR;shweal992j;p69p100;2021;0.8544;992;j
SR;shweal992j;p99.3p99.4;1995;0.0145;992;j
SR;shweal992j;p99.3p99.4;1996;0.0145;992;j
SR;shweal992j;p99.3p99.4;1997;0.0145;992;j
SR;shweal992j;p99.3p99.4;1998;0.0145;992;j
SR;shweal992j;p99.3p99.4;1999;0.0144;992;j
SR;shweal992j;p99.3p99.4;2000;0.0144;992;j
SR;shweal992j;p99.3p99.4;2001;0.0144;992;j
SR;shweal992j;p99.3p99.4;2002;0.0145;992;j
SR;shweal992j;p99.3p99.4;2003;0.0146;992;j
SR;shweal992j;p99.3p99.4;2004;0.0143;992;j
SR;shweal992j;p99.3p99.4;2005;0.0141;992;j
SR;shweal992j;p99.3p99.4;2006;0.0146;992;j
SR;shweal992j;p99.3p99.4;2007;0.0148;992;j
SR;shweal992j;p99.3p99.4;2008;0.0145;992;j
SR;shweal992j;p99.3p99.4;2009;0.014;992;j
SR;shweal992j;p99.3p99.4;2010;0.0138;992;j
