country;variable;percentile;year;value;age;pop
SS;shweal992j;p65p66;1995;0.0058;992;j
SS;shweal992j;p65p66;1996;0.0058;992;j
SS;shweal992j;p65p66;1997;0.0058;992;j
SS;shweal992j;p65p66;1998;0.0058;992;j
SS;shweal992j;p65p66;1999;0.0058;992;j
SS;shweal992j;p65p66;2000;0.0058;992;j
SS;shweal992j;p65p66;2001;0.0058;992;j
SS;shweal992j;p65p66;2002;0.0058;992;j
SS;shweal992j;p65p66;2003;0.0058;992;j
SS;shweal992j;p65p66;2004;0.0058;992;j
SS;shweal992j;p65p66;2005;0.0058;992;j
SS;shweal992j;p65p66;2006;0.0058;992;j
SS;shweal992j;p65p66;2007;0.0058;992;j
SS;shweal992j;p65p66;2008;0.0058;992;j
SS;shweal992j;p65p66;2009;0.0058;992;j
SS;shweal992j;p65p66;2010;0.0058;992;j
SS;shweal992j;p65p66;2011;0.0058;992;j
SS;shweal992j;p65p66;2012;0.0058;992;j
SS;shweal992j;p65p66;2013;0.0058;992;j
SS;shweal992j;p65p66;2014;0.0058;992;j
SS;shweal992j;p65p66;2015;0.0058;992;j
SS;shweal992j;p65p66;2016;0.0058;992;j
SS;shweal992j;p65p66;2017;0.0058;992;j
SS;shweal992j;p65p66;2018;0.0058;992;j
SS;shweal992j;p65p66;2019;0.0058;992;j
SS;shweal992j;p65p66;2020;0.0058;992;j
SS;shweal992j;p65p66;2021;0.0058;992;j
SS;shweal992j;p72p73;1995;0.0077;992;j
SS;shweal992j;p72p73;1996;0.0077;992;j
SS;shweal992j;p72p73;1997;0.0077;992;j
SS;shweal992j;p72p73;1998;0.0077;992;j
SS;shweal992j;p72p73;1999;0.0077;992;j
SS;shweal992j;p72p73;2000;0.0077;992;j
SS;shweal992j;p72p73;2001;0.0077;992;j
SS;shweal992j;p72p73;2002;0.0077;992;j
SS;shweal992j;p72p73;2003;0.0077;992;j
SS;shweal992j;p72p73;2004;0.0077;992;j
SS;shweal992j;p72p73;2005;0.0077;992;j
SS;shweal992j;p72p73;2006;0.0077;992;j
SS;shweal992j;p72p73;2007;0.0077;992;j
SS;shweal992j;p72p73;2008;0.0077;992;j
SS;shweal992j;p72p73;2009;0.0077;992;j
SS;shweal992j;p72p73;2010;0.0077;992;j
SS;shweal992j;p72p73;2011;0.0077;992;j
SS;shweal992j;p72p73;2012;0.0077;992;j
SS;shweal992j;p72p73;2013;0.0077;992;j
SS;shweal992j;p72p73;2014;0.0077;992;j
SS;shweal992j;p72p73;2015;0.0077;992;j
SS;shweal992j;p72p73;2016;0.0077;992;j
SS;shweal992j;p72p73;2017;0.0077;992;j
SS;shweal992j;p72p73;2018;0.0077;992;j
SS;shweal992j;p72p73;2019;0.0077;992;j
SS;shweal992j;p72p73;2020;0.0077;992;j
SS;shweal992j;p72p73;2021;0.0077;992;j
SS;ahweal992j;p99.96p100;1995;25608009.9;992;j
SS;ahweal992j;p99.96p100;1996;27232644.9;992;j
SS;ahweal992j;p99.96p100;1997;29755365.6;992;j
SS;ahweal992j;p99.96p100;1998;30443562.6;992;j
SS;ahweal992j;p99.96p100;1999;30769767.2;992;j
SS;ahweal992j;p99.96p100;2000;32220378.0;992;j
SS;ahweal992j;p99.96p100;2001;34157661.6;992;j
SS;ahweal992j;p99.96p100;2002;36092737.1;992;j
SS;ahweal992j;p99.96p100;2003;39116479.8;992;j
SS;ahweal992j;p99.96p100;2004;40451869.7;992;j
SS;ahweal992j;p99.96p100;2005;43772537.6;992;j
SS;ahweal992j;p99.96p100;2006;48312163.4;992;j
SS;ahweal992j;p99.96p100;2007;53617750.5;992;j
SS;ahweal992j;p99.96p100;2008;70292520.1;992;j
SS;ahweal992j;p99.96p100;2009;71961119.3;992;j
SS;ahweal992j;p99.96p100;2010;75389963.1;992;j
SS;ahweal992j;p99.96p100;2011;76775689.7;992;j
SS;ahweal992j;p99.96p100;2012;86966558.0;992;j
SS;ahweal992j;p99.96p100;2013;77827611.2;992;j
SS;ahweal992j;p99.96p100;2014;78115620.1;992;j
SS;ahweal992j;p99.96p100;2015;68957416.2;992;j
SS;ahweal992j;p99.96p100;2016;63121654.4;992;j
SS;ahweal992j;p99.96p100;2017;60589681.9;992;j
SS;ahweal992j;p99.96p100;2018;61228007.7;992;j
SS;ahweal992j;p99.96p100;2019;65470335.1;992;j
SS;ahweal992j;p99.96p100;2020;62676413.4;992;j
SS;ahweal992j;p99.96p100;2021;64668244.6;992;j
SS;shweal992j;p11p12;1995;0.0003;992;j
SS;shweal992j;p11p12;1996;0.0003;992;j
SS;shweal992j;p11p12;1997;0.0003;992;j
SS;shweal992j;p11p12;1998;0.0003;992;j
SS;shweal992j;p11p12;1999;0.0003;992;j
SS;shweal992j;p11p12;2000;0.0003;992;j
SS;shweal992j;p11p12;2001;0.0003;992;j
SS;shweal992j;p11p12;2002;0.0003;992;j
SS;shweal992j;p11p12;2003;0.0003;992;j
SS;shweal992j;p11p12;2004;0.0003;992;j
SS;shweal992j;p11p12;2005;0.0003;992;j
SS;shweal992j;p11p12;2006;0.0003;992;j
SS;shweal992j;p11p12;2007;0.0003;992;j
SS;shweal992j;p11p12;2008;0.0003;992;j
SS;shweal992j;p11p12;2009;0.0003;992;j
SS;shweal992j;p11p12;2010;0.0003;992;j
SS;shweal992j;p11p12;2011;0.0003;992;j
SS;shweal992j;p11p12;2012;0.0003;992;j
SS;shweal992j;p11p12;2013;0.0003;992;j
SS;shweal992j;p11p12;2014;0.0003;992;j
SS;shweal992j;p11p12;2015;0.0003;992;j
SS;shweal992j;p11p12;2016;0.0003;992;j
SS;shweal992j;p11p12;2017;0.0003;992;j
SS;shweal992j;p11p12;2018;0.0003;992;j
SS;shweal992j;p11p12;2019;0.0003;992;j
SS;shweal992j;p11p12;2020;0.0003;992;j
SS;shweal992j;p11p12;2021;0.0003;992;j
SS;shweal992j;p45p46;1995;0.0028;992;j
SS;shweal992j;p45p46;1996;0.0028;992;j
SS;shweal992j;p45p46;1997;0.0028;992;j
