country;variable;percentile;year;value;age;pop
ST;shweal992j;p0p10;1995;-0.0123;992;j
ST;shweal992j;p0p10;1996;-0.0123;992;j
ST;shweal992j;p0p10;1997;-0.0123;992;j
ST;shweal992j;p0p10;1998;-0.0123;992;j
ST;shweal992j;p0p10;1999;-0.0123;992;j
ST;shweal992j;p0p10;2000;-0.0123;992;j
ST;shweal992j;p0p10;2001;-0.0123;992;j
ST;shweal992j;p0p10;2002;-0.0123;992;j
ST;shweal992j;p0p10;2003;-0.0123;992;j
ST;shweal992j;p0p10;2004;-0.0123;992;j
ST;shweal992j;p0p10;2005;-0.0123;992;j
ST;shweal992j;p0p10;2006;-0.0123;992;j
ST;shweal992j;p0p10;2007;-0.0123;992;j
ST;shweal992j;p0p10;2008;-0.0123;992;j
ST;shweal992j;p0p10;2009;-0.0123;992;j
ST;shweal992j;p0p10;2010;-0.0123;992;j
ST;shweal992j;p0p10;2011;-0.012;992;j
ST;shweal992j;p0p10;2012;-0.0117;992;j
ST;shweal992j;p0p10;2013;-0.0158;992;j
ST;shweal992j;p0p10;2014;-0.0244;992;j
ST;shweal992j;p0p10;2015;-0.0291;992;j
ST;shweal992j;p0p10;2016;-0.0311;992;j
ST;shweal992j;p0p10;2017;-0.0316;992;j
ST;shweal992j;p0p10;2018;-0.0316;992;j
ST;shweal992j;p0p10;2019;-0.0316;992;j
ST;shweal992j;p0p10;2020;-0.0317;992;j
ST;shweal992j;p0p10;2021;-0.0316;992;j
ST;shweal992j;p6p7;1995;-0.0002;992;j
ST;shweal992j;p6p7;1996;-0.0002;992;j
ST;shweal992j;p6p7;1997;-0.0002;992;j
ST;shweal992j;p6p7;1998;-0.0002;992;j
ST;shweal992j;p6p7;1999;-0.0002;992;j
ST;shweal992j;p6p7;2000;-0.0002;992;j
ST;shweal992j;p6p7;2001;-0.0002;992;j
ST;shweal992j;p6p7;2002;-0.0002;992;j
ST;shweal992j;p6p7;2003;-0.0002;992;j
ST;shweal992j;p6p7;2004;-0.0002;992;j
ST;shweal992j;p6p7;2005;-0.0002;992;j
ST;shweal992j;p6p7;2006;-0.0002;992;j
ST;shweal992j;p6p7;2007;-0.0002;992;j
ST;shweal992j;p6p7;2008;-0.0002;992;j
ST;shweal992j;p6p7;2009;-0.0002;992;j
ST;shweal992j;p6p7;2010;-0.0002;992;j
ST;shweal992j;p6p7;2011;-0.0002;992;j
ST;shweal992j;p6p7;2012;-0.0002;992;j
ST;shweal992j;p6p7;2013;-0.0002;992;j
ST;shweal992j;p6p7;2014;-0.0004;992;j
ST;shweal992j;p6p7;2015;-0.0005;992;j
ST;shweal992j;p6p7;2016;-0.0005;992;j
ST;shweal992j;p6p7;2017;-0.0005;992;j
ST;shweal992j;p6p7;2018;-0.0005;992;j
ST;shweal992j;p6p7;2019;-0.0005;992;j
ST;shweal992j;p6p7;2020;-0.0005;992;j
ST;shweal992j;p6p7;2021;-0.0005;992;j
ST;shweal992j;p99.99p100;1995;0.0441;992;j
ST;shweal992j;p99.99p100;1996;0.044;992;j
ST;shweal992j;p99.99p100;1997;0.044;992;j
ST;shweal992j;p99.99p100;1998;0.044;992;j
ST;shweal992j;p99.99p100;1999;0.0441;992;j
ST;shweal992j;p99.99p100;2000;0.0441;992;j
ST;shweal992j;p99.99p100;2001;0.044;992;j
ST;shweal992j;p99.99p100;2002;0.044;992;j
ST;shweal992j;p99.99p100;2003;0.044;992;j
ST;shweal992j;p99.99p100;2004;0.0439;992;j
ST;shweal992j;p99.99p100;2005;0.0439;992;j
ST;shweal992j;p99.99p100;2006;0.0439;992;j
ST;shweal992j;p99.99p100;2007;0.0439;992;j
ST;shweal992j;p99.99p100;2008;0.0439;992;j
ST;shweal992j;p99.99p100;2009;0.0438;992;j
ST;shweal992j;p99.99p100;2010;0.0438;992;j
