country;variable;percentile;year;value;age;pop
SX;acompx999i;p0p100;2011;2156.4;999;i
SX;acompx999i;p0p100;2012;2151.9;999;i
SX;acompx999i;p0p100;2013;2071.7;999;i
SX;acompx999i;p0p100;2014;2278.4;999;i
SX;acompx999i;p0p100;2015;1989.4;999;i
SX;acompx999i;p0p100;2016;1904.9;999;i
SX;acompx999i;p0p100;2017;1696.8;999;i
SX;acompx999i;p0p100;2018;1803.8;999;i
SX;ataxnx999i;p0p100;2011;948.2;999;i
SX;ataxnx999i;p0p100;2012;1155.1;999;i
SX;ataxnx999i;p0p100;2013;1328.5;999;i
SX;ataxnx999i;p0p100;2014;1463.9;999;i
SX;ataxnx999i;p0p100;2015;1920.6;999;i
SX;ataxnx999i;p0p100;2016;1742.7;999;i
SX;ataxnx999i;p0p100;2017;112.6;999;i
SX;ataxnx999i;p0p100;2018;33.7;999;i
SX;aflcip999i;p0p100;2011;2858.6;999;i
SX;aflcip999i;p0p100;2012;2615.6;999;i
SX;aflcip999i;p0p100;2013;2637.9;999;i
SX;aflcip999i;p0p100;2014;3191.6;999;i
SX;aflcip999i;p0p100;2015;3212.6;999;i
SX;aflcip999i;p0p100;2016;3096.1;999;i
SX;aflcip999i;p0p100;2017;2214.9;999;i
SX;aflcip999i;p0p100;2018;2252.0;999;i
SX;mfinrx999i;p0p100;2011;220021600.0;999;i
SX;mfinrx999i;p0p100;2012;172597664.0;999;i
SX;mfinrx999i;p0p100;2013;279594368.0;999;i
SX;mfinrx999i;p0p100;2014;257737728.0;999;i
SX;mfinrx999i;p0p100;2015;224982432.0;999;i
SX;mfinrx999i;p0p100;2016;223472416.0;999;i
SX;mfinrx999i;p0p100;2017;147417904.0;999;i
SX;mfinrx999i;p0p100;2018;137598144.0;999;i
SX;acomrx999i;p0p100;2011;625.8;999;i
SX;acomrx999i;p0p100;2012;655.4;999;i
SX;acomrx999i;p0p100;2013;1096.8;999;i
SX;acomrx999i;p0p100;2014;628.9;999;i
SX;acomrx999i;p0p100;2015;317.2;999;i
SX;acomrx999i;p0p100;2016;497.7;999;i
SX;acomrx999i;p0p100;2017;426.5;999;i
SX;acomrx999i;p0p100;2018;489.3;999;i
SX;acomnx999i;p0p100;2011;-1530.6;999;i
SX;acomnx999i;p0p100;2012;-1496.6;999;i
SX;acomnx999i;p0p100;2013;-974.8;999;i
SX;acomnx999i;p0p100;2014;-1649.5;999;i
SX;acomnx999i;p0p100;2015;-1672.3;999;i
SX;acomnx999i;p0p100;2016;-1407.1;999;i
SX;acomnx999i;p0p100;2017;-1270.3;999;i
SX;acomnx999i;p0p100;2018;-1314.5;999;i
SX;mcomrx999i;p0p100;2011;21939076.0;999;i
SX;mcomrx999i;p0p100;2012;23751528.0;999;i
SX;mcomrx999i;p0p100;2013;41221464.0;999;i
SX;mcomrx999i;p0p100;2014;24448060.0;999;i
SX;mcomrx999i;p0p100;2015;12676668.0;999;i
SX;mcomrx999i;p0p100;2016;20311966.0;999;i
SX;mcomrx999i;p0p100;2017;17675372.0;999;i
SX;mcomrx999i;p0p100;2018;20522968.0;999;i
SX;afinpx999i;p0p100;2011;2924.4;999;i
SX;afinpx999i;p0p100;2012;2724.9;999;i
SX;afinpx999i;p0p100;2013;2786.1;999;i
SX;afinpx999i;p0p100;2014;3243.9;999;i
SX;afinpx999i;p0p100;2015;3314.8;999;i
SX;afinpx999i;p0p100;2016;3250.4;999;i
SX;afinpx999i;p0p100;2017;2315.7;999;i
SX;afinpx999i;p0p100;2018;2260.4;999;i
SX;mptfon999i;p0p100;2011;-12999267.0;999;i
SX;mptfon999i;p0p100;2012;-7025862.0;999;i
SX;mptfon999i;p0p100;2013;-5597420.0;999;i
SX;mptfon999i;p0p100;2014;-20762684.0;999;i
SX;mptfon999i;p0p100;2015;-26862956.0;999;i
SX;mptfon999i;p0p100;2016;-15463970.0;999;i
SX;mptfon999i;p0p100;2017;-930810.0;999;i
SX;mptfon999i;p0p100;2018;4900020.0;999;i
SX;mptfrr999i;p0p100;2005;41092488.0;999;i
SX;mptfrr999i;p0p100;2006;41541040.0;999;i
SX;mptfrr999i;p0p100;2007;40843576.0;999;i
SX;mptfrr999i;p0p100;2008;39369604.0;999;i
SX;mptfrr999i;p0p100;2009;49018008.0;999;i
SX;mptfrr999i;p0p100;2010;55391144.0;999;i
SX;mptfrr999i;p0p100;2011;155777552.0;999;i
SX;mptfrr999i;p0p100;2012;92394584.0;999;i
SX;mptfrr999i;p0p100;2013;167685488.0;999;i
SX;mptfrr999i;p0p100;2014;159332976.0;999;i
SX;mptfrr999i;p0p100;2015;110085920.0;999;i
SX;mptfrr999i;p0p100;2016;88906936.0;999;i
SX;mptfrr999i;p0p100;2017;95967696.0;999;i
SX;mptfrr999i;p0p100;2018;91208688.0;999;i
SX;mptfrr999i;p0p100;2019;0.0;999;i
SX;mptfrr999i;p0p100;2020;0.0;999;i
SX;agninc999i;p0p100;2005;47389.2;999;i
SX;agninc999i;p0p100;2006;49648.9;999;i
SX;agninc999i;p0p100;2007;51739.1;999;i
SX;agninc999i;p0p100;2008;52341.7;999;i
SX;agninc999i;p0p100;2009;51875.4;999;i
SX;agninc999i;p0p100;2010;52719.0;999;i
SX;agninc999i;p0p100;2011;57095.8;999;i
SX;agninc999i;p0p100;2012;54750.4;999;i
SX;agninc999i;p0p100;2013;56148.0;999;i
SX;agninc999i;p0p100;2014;53954.7;999;i
