country;variable;percentile;year;value;age;pop
TC;mconfc999i;p0p100;1970;2723221.0;999;i
TC;mconfc999i;p0p100;1971;3060738.0;999;i
TC;mconfc999i;p0p100;1972;3433311.0;999;i
TC;mconfc999i;p0p100;1973;3846596.0;999;i
TC;mconfc999i;p0p100;1974;4309565.0;999;i
TC;mconfc999i;p0p100;1975;4828729.0;999;i
TC;mconfc999i;p0p100;1976;5414670.0;999;i
TC;mconfc999i;p0p100;1977;6071541.0;999;i
TC;mconfc999i;p0p100;1978;6806270.0;999;i
TC;mconfc999i;p0p100;1979;7621689.0;999;i
TC;mconfc999i;p0p100;1980;8525519.0;999;i
TC;mconfc999i;p0p100;1981;9522719.0;999;i
TC;mconfc999i;p0p100;1982;10623583.0;999;i
TC;mconfc999i;p0p100;1983;11848274.0;999;i
TC;mconfc999i;p0p100;1984;13217052.0;999;i
TC;mconfc999i;p0p100;1985;14754790.0;999;i
TC;mconfc999i;p0p100;1986;16479027.0;999;i
TC;mconfc999i;p0p100;1987;18412272.0;999;i
TC;mconfc999i;p0p100;1988;20577476.0;999;i
TC;mconfc999i;p0p100;1989;22978486.0;999;i
TC;mconfc999i;p0p100;1990;25629922.0;999;i
TC;mconfc999i;p0p100;1991;28556008.0;999;i
TC;mconfc999i;p0p100;1992;31798336.0;999;i
TC;mconfc999i;p0p100;1993;35389480.0;999;i
TC;mconfc999i;p0p100;1994;39281500.0;999;i
TC;mconfc999i;p0p100;1995;43360216.0;999;i
TC;mconfc999i;p0p100;1996;47625312.0;999;i
TC;mconfc999i;p0p100;1997;52044020.0;999;i
TC;mconfc999i;p0p100;1998;56566200.0;999;i
TC;mconfc999i;p0p100;1999;61005660.0;999;i
TC;mconfc999i;p0p100;2000;65325736.0;999;i
TC;mconfc999i;p0p100;2001;69846024.0;999;i
TC;mconfc999i;p0p100;2002;75114928.0;999;i
TC;mconfc999i;p0p100;2003;81977512.0;999;i
TC;mconfc999i;p0p100;2004;90737896.0;999;i
TC;mconfc999i;p0p100;2005;100823912.0;999;i
TC;mconfc999i;p0p100;2006;110498872.0;999;i
TC;mconfc999i;p0p100;2007;117197320.0;999;i
TC;mconfc999i;p0p100;2008;119550968.0;999;i
TC;mconfc999i;p0p100;2009;117994152.0;999;i
TC;mconfc999i;p0p100;2010;115980648.0;999;i
TC;mconfc999i;p0p100;2011;115280912.0;999;i
TC;mconfc999i;p0p100;2012;116501928.0;999;i
TC;mconfc999i;p0p100;2013;120183448.0;999;i
TC;mconfc999i;p0p100;2014;126412968.0;999;i
TC;mconfc999i;p0p100;2015;134258704.0;999;i
TC;mconfc999i;p0p100;2016;142294560.0;999;i
TC;mconfc999i;p0p100;2017;149778400.0;999;i
TC;mconfc999i;p0p100;2018;157361984.0;999;i
TC;mconfc999i;p0p100;2019;165344496.0;999;i
TC;mconfc999i;p0p100;2020;173784096.0;999;i
TC;afdipx999i;p0p100;2014;0.0;999;i
TC;afdipx999i;p0p100;2015;0.0;999;i
TC;afdipx999i;p0p100;2016;0.0;999;i
TC;afdipx999i;p0p100;2017;849.1;999;i
TC;afdipx999i;p0p100;2018;1530.0;999;i
TC;annfin999i;p0p100;2014;-587.1;999;i
TC;annfin999i;p0p100;2015;29.5;999;i
TC;annfin999i;p0p100;2016;61.6;999;i
TC;annfin999i;p0p100;2017;-546.2;999;i
TC;annfin999i;p0p100;2018;-1011.8;999;i
TC;annfin999i;p0p100;2019;-1051.0;999;i
TC;annfin999i;p0p100;2020;-1091.9;999;i
TC;aconfc999i;p0p100;1970;466.2;999;i
TC;aconfc999i;p0p100;1971;512.6;999;i
TC;aconfc999i;p0p100;1972;557.6;999;i
TC;aconfc999i;p0p100;1973;602.8;999;i
TC;aconfc999i;p0p100;1974;652.4;999;i
TC;aconfc999i;p0p100;1975;707.3;999;i
TC;aconfc999i;p0p100;1976;771.9;999;i
TC;aconfc999i;p0p100;1977;843.5;999;i
TC;aconfc999i;p0p100;1978;921.6;999;i
TC;aconfc999i;p0p100;1979;1001.1;999;i
TC;aconfc999i;p0p100;1980;1080.8;999;i
TC;aconfc999i;p0p100;1981;1156.4;999;i
TC;aconfc999i;p0p100;1982;1227.6;999;i
TC;aconfc999i;p0p100;1983;1301.4;999;i
TC;aconfc999i;p0p100;1984;1383.1;999;i
TC;aconfc999i;p0p100;1985;1479.9;999;i
TC;aconfc999i;p0p100;1986;1591.1;999;i
TC;aconfc999i;p0p100;1987;1716.9;999;i
TC;aconfc999i;p0p100;1988;1855.0;999;i
TC;aconfc999i;p0p100;1989;1989.8;999;i
TC;aconfc999i;p0p100;1990;2116.3;999;i
TC;aconfc999i;p0p100;1991;2229.0;999;i
TC;aconfc999i;p0p100;1992;2332.6;999;i
TC;aconfc999i;p0p100;1993;2436.3;999;i
TC;aconfc999i;p0p100;1994;2549.6;999;i
TC;aconfc999i;p0p100;1995;2673.9;999;i
TC;aconfc999i;p0p100;1996;2813.7;999;i
TC;aconfc999i;p0p100;1997;2962.6;999;i
TC;aconfc999i;p0p100;1998;3102.6;999;i
TC;aconfc999i;p0p100;1999;3199.9;999;i
TC;aconfc999i;p0p100;2000;3239.7;999;i
TC;aconfc999i;p0p100;2001;3237.7;999;i
TC;aconfc999i;p0p100;2002;3233.3;999;i
TC;aconfc999i;p0p100;2003;3277.7;999;i
TC;aconfc999i;p0p100;2004;3398.4;999;i
TC;aconfc999i;p0p100;2005;3577.9;999;i
TC;aconfc999i;p0p100;2006;3759.6;999;i
TC;aconfc999i;p0p100;2007;3857.1;999;i
TC;aconfc999i;p0p100;2008;3831.5;999;i
TC;aconfc999i;p0p100;2009;3694.9;999;i
TC;aconfc999i;p0p100;2010;3551.2;999;i
TC;aconfc999i;p0p100;2011;3453.9;999;i
TC;aconfc999i;p0p100;2012;3419.9;999;i
TC;aconfc999i;p0p100;2013;3460.4;999;i
TC;aconfc999i;p0p100;2014;3574.1;999;i
TC;aconfc999i;p0p100;2015;3731.4;999;i
TC;aconfc999i;p0p100;2016;3892.2;999;i
TC;aconfc999i;p0p100;2017;4035.5;999;i
TC;aconfc999i;p0p100;2018;4177.9;999;i
TC;aconfc999i;p0p100;2019;4329.4;999;i
TC;aconfc999i;p0p100;2020;4488.6;999;i
TC;afinrx999i;p0p100;2014;258.5;999;i
TC;afinrx999i;p0p100;2015;260.8;999;i
TC;afinrx999i;p0p100;2016;206.4;999;i
TC;afinrx999i;p0p100;2017;354.8;999;i
TC;afinrx999i;p0p100;2018;563.5;999;i
TC;aptfor999i;p0p100;2014;258.5;999;i
TC;aptfor999i;p0p100;2015;260.8;999;i
TC;aptfor999i;p0p100;2016;206.4;999;i
TC;aptfor999i;p0p100;2017;354.8;999;i
TC;aptfor999i;p0p100;2018;563.5;999;i
TC;apinrx999i;p0p100;2014;258.5;999;i
TC;apinrx999i;p0p100;2015;260.8;999;i
TC;apinrx999i;p0p100;2016;206.4;999;i
TC;apinrx999i;p0p100;2017;354.8;999;i
TC;apinrx999i;p0p100;2018;563.5;999;i
TC;mptfon999i;p0p100;2014;1711273.0;999;i
TC;mptfon999i;p0p100;2015;2044132.0;999;i
TC;mptfon999i;p0p100;2016;3340845.0;999;i
TC;mptfon999i;p0p100;2017;12304058.0;999;i
TC;mptfon999i;p0p100;2018;20641686.0;999;i
TC;afinpx999i;p0p100;2014;845.6;999;i
TC;afinpx999i;p0p100;2015;231.4;999;i
TC;afinpx999i;p0p100;2016;144.9;999;i
TC;afinpx999i;p0p100;2017;901.0;999;i
TC;afinpx999i;p0p100;2018;1575.3;999;i
TC;mnninc999i;p0p100;1970;24900672.0;999;i
TC;mnninc999i;p0p100;1971;27505882.0;999;i
TC;mnninc999i;p0p100;1972;30389332.0;999;i
TC;mnninc999i;p0p100;1973;33578580.0;999;i
TC;mnninc999i;p0p100;1974;37102360.0;999;i
TC;mnninc999i;p0p100;1975;40995240.0;999;i
TC;mnninc999i;p0p100;1976;45291328.0;999;i
TC;mnninc999i;p0p100;1977;50034072.0;999;i
TC;mnninc999i;p0p100;1978;55273176.0;999;i
TC;mnninc999i;p0p100;1979;61074696.0;999;i
TC;mnninc999i;p0p100;1980;67494752.0;999;i
TC;mnninc999i;p0p100;1981;74595984.0;999;i
TC;mnninc999i;p0p100;1982;82431872.0;999;i
TC;mnninc999i;p0p100;1983;91108088.0;999;i
TC;mnninc999i;p0p100;1984;100772008.0;999;i
TC;mnninc999i;p0p100;1985;111400968.0;999;i
TC;mnninc999i;p0p100;1986;123064008.0;999;i
TC;mnninc999i;p0p100;1987;135753904.0;999;i
TC;mnninc999i;p0p100;1988;150112896.0;999;i
TC;mnninc999i;p0p100;1989;166655648.0;999;i
TC;mnninc999i;p0p100;1990;183842080.0;999;i
TC;mnninc999i;p0p100;1991;202496672.0;999;i
TC;mnninc999i;p0p100;1992;221946320.0;999;i
TC;mnninc999i;p0p100;1993;248602784.0;999;i
TC;mnninc999i;p0p100;1994;281679904.0;999;i
TC;mnninc999i;p0p100;1995;301127040.0;999;i
TC;mnninc999i;p0p100;1996;329630976.0;999;i
TC;mnninc999i;p0p100;1997;353302304.0;999;i
