country;variable;percentile;year;value;age;pop
US-AZ;mfiinc992t;p0p100;1917;2223382239.0;992;t
US-AZ;mfiinc992t;p0p100;1918;2135132096.0;992;t
US-AZ;mfiinc992t;p0p100;1919;2195920115.0;992;t
US-AZ;mfiinc992t;p0p100;1920;2017330953.0;992;t
US-AZ;mfiinc992t;p0p100;1921;1603307326.0;992;t
US-AZ;mfiinc992t;p0p100;1922;1875435720.0;992;t
US-AZ;mfiinc992t;p0p100;1923;2105607038.0;992;t
US-AZ;mfiinc992t;p0p100;1924;2143195127.0;992;t
US-AZ;mfiinc992t;p0p100;1925;2279769659.0;992;t
US-AZ;mfiinc992t;p0p100;1926;2322567975.0;992;t
US-AZ;mfiinc992t;p0p100;1927;2394024287.0;992;t
US-AZ;mfiinc992t;p0p100;1928;2540818944.0;992;t
US-AZ;mfiinc992t;p0p100;1929;2642731058.0;992;t
US-AZ;mfiinc992t;p0p100;1930;2276471341.0;992;t
US-AZ;mfiinc992t;p0p100;1931;1977903116.0;992;t
US-AZ;mfiinc992t;p0p100;1932;1634223130.0;992;t
US-AZ;mfiinc992t;p0p100;1933;1634430989.0;992;t
US-AZ;mfiinc992t;p0p100;1934;1822689938.0;992;t
US-AZ;mfiinc992t;p0p100;1935;2111947422.0;992;t
US-AZ;mfiinc992t;p0p100;1936;2382843412.0;992;t
US-AZ;mfiinc992t;p0p100;1937;2568695499.0;992;t
US-AZ;mfiinc992t;p0p100;1938;2528942363.0;992;t
US-AZ;mfiinc992t;p0p100;1939;2716748083.0;992;t
US-AZ;mfiinc992t;p0p100;1940;2839079070.0;992;t
US-AZ;mfiinc992t;p0p100;1941;3391752104.0;992;t
US-AZ;mfiinc992t;p0p100;1942;4992778719.0;992;t
US-AZ;mfiinc992t;p0p100;1943;6679509726.0;992;t
US-AZ;mfiinc992t;p0p100;1944;5933822140.0;992;t
US-AZ;mfiinc992t;p0p100;1945;5892512088.0;992;t
US-AZ;mfiinc992t;p0p100;1946;5581038116.0;992;t
US-AZ;mfiinc992t;p0p100;1947;5749772807.0;992;t
US-AZ;mfiinc992t;p0p100;1948;6575821116.0;992;t
US-AZ;mfiinc992t;p0p100;1949;6709076068.0;992;t
US-AZ;mfiinc992t;p0p100;1950;7450671507.0;992;t
US-AZ;mfiinc992t;p0p100;1951;8537178316.0;992;t
US-AZ;mfiinc992t;p0p100;1952;9535272870.0;992;t
US-AZ;mfiinc992t;p0p100;1953;9925538786.0;992;t
US-AZ;mfiinc992t;p0p100;1954;10238185519.0;992;t
US-AZ;mfiinc992t;p0p100;1955;11211474783.0;992;t
US-AZ;mfiinc992t;p0p100;1956;12233449203.0;992;t
US-AZ;mfiinc992t;p0p100;1957;12766105644.0;992;t
US-AZ;mfiinc992t;p0p100;1958;13102335161.0;992;t
US-AZ;mfiinc992t;p0p100;1959;14534785928.0;992;t
US-AZ;mfiinc992t;p0p100;1960;15445762835.0;992;t
US-AZ;mfiinc992t;p0p100;1961;16833477766.0;992;t
US-AZ;mfiinc992t;p0p100;1962;17649077747.0;992;t
US-AZ;mfiinc992t;p0p100;1963;18441745992.0;992;t
US-AZ;mfiinc992t;p0p100;1964;19673988628.0;992;t
US-AZ;mfiinc992t;p0p100;1965;20417396293.0;992;t
US-AZ;mfiinc992t;p0p100;1966;21627985597.0;992;t
US-AZ;mfiinc992t;p0p100;1967;23040778499.0;992;t
US-AZ;mfiinc992t;p0p100;1968;25561177414.0;992;t
US-AZ;mfiinc992t;p0p100;1969;27646420595.0;992;t
US-AZ;mfiinc992t;p0p100;1970;29402055708.0;992;t
US-AZ;mfiinc992t;p0p100;1971;32029555566.0;992;t
US-AZ;mfiinc992t;p0p100;1972;35456297155.0;992;t
US-AZ;mfiinc992t;p0p100;1973;38354653329.0;992;t
US-AZ;mfiinc992t;p0p100;1974;39421061907.0;992;t
US-AZ;mfiinc992t;p0p100;1975;37116729471.0;992;t
US-AZ;mfiinc992t;p0p100;1976;39647219040.0;992;t
US-AZ;mfiinc992t;p0p100;1977;41920918518.0;992;t
US-AZ;mfiinc992t;p0p100;1978;45942802677.0;992;t
US-AZ;mfiinc992t;p0p100;1979;50866321742.0;992;t
US-AZ;mfiinc992t;p0p100;1980;53218219884.0;992;t
US-AZ;mfiinc992t;p0p100;1981;54590032769.0;992;t
US-AZ;mfiinc992t;p0p100;1982;54122657058.0;992;t
US-AZ;mfiinc992t;p0p100;1983;57415514141.0;992;t
US-AZ;mfiinc992t;p0p100;1984;62063667284.0;992;t
US-AZ;mfiinc992t;p0p100;1985;67743397165.0;992;t
US-AZ;mfiinc992t;p0p100;1986;76079388589.0;992;t
US-AZ;mfiinc992t;p0p100;1987;75224071559.0;992;t
US-AZ;mfiinc992t;p0p100;1988;80102823834.0;992;t
US-AZ;mfiinc992t;p0p100;1989;79960973831.0;992;t
US-AZ;mfiinc992t;p0p100;1990;79646521881.0;992;t
US-AZ;mfiinc992t;p0p100;1991;79615386491.0;992;t
US-AZ;mfiinc992t;p0p100;1992;81393204091.0;992;t
US-AZ;mfiinc992t;p0p100;1993;84226946471.0;992;t
US-AZ;mfiinc992t;p0p100;1994;90320421140.0;992;t
US-AZ;mfiinc992t;p0p100;1995;98001709841.0;992;t
US-AZ;mfiinc992t;p0p100;1996;106353858101.0;992;t
US-AZ;mfiinc992t;p0p100;1997;116871153536.0;992;t
US-AZ;mfiinc992t;p0p100;1998;128546375816.0;992;t
US-AZ;mfiinc992t;p0p100;1999;136934833797.0;992;t
US-AZ;mfiinc992t;p0p100;2000;145086576488.0;992;t
US-AZ;mfiinc992t;p0p100;2001;138149993374.0;992;t
US-AZ;mfiinc992t;p0p100;2002;135811886166.0;992;t
US-AZ;mfiinc992t;p0p100;2003;140102929235.0;992;t
US-AZ;mfiinc992t;p0p100;2004;154251290656.0;992;t
US-AZ;mfiinc992t;p0p100;2005;171919304373.0;992;t
US-AZ;mfiinc992t;p0p100;2006;186458887406.0;992;t
US-AZ;mfiinc992t;p0p100;2007;195189043884.0;992;t
US-AZ;mfiinc992t;p0p100;2008;175788738831.0;992;t
US-AZ;mfiinc992t;p0p100;2009;154980505410.0;992;t
US-AZ;mfiinc992t;p0p100;2010;156351422621.0;992;t
US-AZ;mfiinc992t;p0p100;2011;158102908728.0;992;t
US-AZ;mfiinc992t;p0p100;2012;169287254537.0;992;t
US-AZ;mfiinc992t;p0p100;2013;169061377884.0;992;t
US-AZ;mfiinc992t;p0p100;2014;179133681384.0;992;t
US-AZ;mfiinc992t;p0p100;2015;188978723873.0;992;t
US-AZ;mfiinc992t;p0p100;2016;190650171253.0;992;t
US-AZ;mfiinc992t;p0p100;2017;202252937153.0;992;t
US-AZ;mfiinc992t;p0p100;2018;212876419671.0;992;t
US-AZ;sptinc992t;p95p100;1917;0.2332;992;t
US-AZ;sptinc992t;p95p100;1918;0.2066;992;t
US-AZ;sptinc992t;p95p100;1919;0.2171;992;t
US-AZ;sptinc992t;p95p100;1920;0.1851;992;t
US-AZ;sptinc992t;p95p100;1921;0.2182;992;t
