country;variable;percentile;year;value;age;pop
US-CT;afiinc992t;p90p100;1917;86802.1;992;t
US-CT;afiinc992t;p90p100;1918;77207.1;992;t
US-CT;afiinc992t;p90p100;1919;69990.3;992;t
US-CT;afiinc992t;p90p100;1920;63892.3;992;t
US-CT;afiinc992t;p90p100;1921;62913.8;992;t
US-CT;afiinc992t;p90p100;1922;76731.8;992;t
US-CT;afiinc992t;p90p100;1923;80688.5;992;t
US-CT;afiinc992t;p90p100;1924;86309.5;992;t
US-CT;afiinc992t;p90p100;1925;100716.8;992;t
US-CT;afiinc992t;p90p100;1926;103716.7;992;t
US-CT;afiinc992t;p90p100;1927;110933.1;992;t
US-CT;afiinc992t;p90p100;1928;126380.5;992;t
US-CT;afiinc992t;p90p100;1929;134635.0;992;t
US-CT;afiinc992t;p90p100;1930;107605.8;992;t
US-CT;afiinc992t;p90p100;1931;99997.3;992;t
US-CT;afiinc992t;p90p100;1932;85876.8;992;t
US-CT;afiinc992t;p90p100;1933;80890.1;992;t
US-CT;afiinc992t;p90p100;1934;84786.5;992;t
US-CT;afiinc992t;p90p100;1935;92345.0;992;t
US-CT;afiinc992t;p90p100;1936;108435.8;992;t
US-CT;afiinc992t;p90p100;1937;103381.6;992;t
US-CT;afiinc992t;p90p100;1938;90475.1;992;t
US-CT;afiinc992t;p90p100;1939;99630.0;992;t
US-CT;afiinc992t;p90p100;1940;103082.4;992;t
US-CT;afiinc992t;p90p100;1941;111428.7;992;t
US-CT;afiinc992t;p90p100;1942;113374.2;992;t
US-CT;afiinc992t;p90p100;1943;116481.8;992;t
US-CT;afiinc992t;p90p100;1944;113040.0;992;t
US-CT;afiinc992t;p90p100;1945;106274.4;992;t
US-CT;afiinc992t;p90p100;1946;109461.2;992;t
US-CT;afiinc992t;p90p100;1947;100462.1;992;t
US-CT;afiinc992t;p90p100;1948;103460.7;992;t
US-CT;afiinc992t;p90p100;1949;98999.1;992;t
US-CT;afiinc992t;p90p100;1950;118752.0;992;t
US-CT;afiinc992t;p90p100;1951;115373.0;992;t
US-CT;afiinc992t;p90p100;1952;119829.4;992;t
US-CT;afiinc992t;p90p100;1953;117761.7;992;t
US-CT;afiinc992t;p90p100;1954;123875.1;992;t
US-CT;afiinc992t;p90p100;1955;130313.7;992;t
US-CT;afiinc992t;p90p100;1956;135526.9;992;t
US-CT;afiinc992t;p90p100;1957;129300.5;992;t
US-CT;afiinc992t;p90p100;1958;127908.3;992;t
US-CT;afiinc992t;p90p100;1959;135628.2;992;t
US-CT;afiinc992t;p90p100;1960;136021.2;992;t
US-CT;afiinc992t;p90p100;1961;144112.2;992;t
US-CT;afiinc992t;p90p100;1962;142522.0;992;t
US-CT;afiinc992t;p90p100;1963;148267.5;992;t
US-CT;afiinc992t;p90p100;1964;160545.7;992;t
US-CT;afiinc992t;p90p100;1965;172997.6;992;t
US-CT;afiinc992t;p90p100;1966;173183.3;992;t
US-CT;afiinc992t;p90p100;1967;191367.9;992;t
US-CT;afiinc992t;p90p100;1968;209153.6;992;t
US-CT;afiinc992t;p90p100;1969;200379.2;992;t
US-CT;afiinc992t;p90p100;1970;180574.9;992;t
US-CT;afiinc992t;p90p100;1971;182003.3;992;t
US-CT;afiinc992t;p90p100;1972;189334.7;992;t
US-CT;afiinc992t;p90p100;1973;185746.5;992;t
US-CT;afiinc992t;p90p100;1974;180418.8;992;t
US-CT;afiinc992t;p90p100;1975;170152.9;992;t
US-CT;afiinc992t;p90p100;1976;181131.3;992;t
US-CT;afiinc992t;p90p100;1977;180690.6;992;t
US-CT;afiinc992t;p90p100;1978;181409.5;992;t
US-CT;afiinc992t;p90p100;1979;190751.2;992;t
US-CT;afiinc992t;p90p100;1980;196805.1;992;t
