country;variable;percentile;year;value;age;pop
US-DE;afiinc992t;p90p100;1917;122568.6;992;t
US-DE;afiinc992t;p90p100;1918;87436.0;992;t
US-DE;afiinc992t;p90p100;1919;83666.8;992;t
US-DE;afiinc992t;p90p100;1920;52796.0;992;t
US-DE;afiinc992t;p90p100;1921;52528.2;992;t
US-DE;afiinc992t;p90p100;1922;65649.7;992;t
US-DE;afiinc992t;p90p100;1923;65483.1;992;t
US-DE;afiinc992t;p90p100;1924;78639.7;992;t
US-DE;afiinc992t;p90p100;1925;91897.0;992;t
US-DE;afiinc992t;p90p100;1926;117127.2;992;t
US-DE;afiinc992t;p90p100;1927;152445.0;992;t
US-DE;afiinc992t;p90p100;1928;179731.4;992;t
US-DE;afiinc992t;p90p100;1929;249573.5;992;t
US-DE;afiinc992t;p90p100;1930;119868.8;992;t
US-DE;afiinc992t;p90p100;1931;112705.0;992;t
US-DE;afiinc992t;p90p100;1932;103448.5;992;t
US-DE;afiinc992t;p90p100;1933;100633.1;992;t
US-DE;afiinc992t;p90p100;1934;118984.2;992;t
US-DE;afiinc992t;p90p100;1935;131130.2;992;t
US-DE;afiinc992t;p90p100;1936;182198.3;992;t
US-DE;afiinc992t;p90p100;1937;172499.1;992;t
US-DE;afiinc992t;p90p100;1938;137097.9;992;t
US-DE;afiinc992t;p90p100;1939;176658.9;992;t
US-DE;afiinc992t;p90p100;1940;176161.8;992;t
US-DE;afiinc992t;p90p100;1941;159956.3;992;t
US-DE;afiinc992t;p90p100;1942;124612.1;992;t
US-DE;afiinc992t;p90p100;1943;132074.7;992;t
US-DE;afiinc992t;p90p100;1944;142906.6;992;t
US-DE;afiinc992t;p90p100;1945;133915.9;992;t
US-DE;afiinc992t;p90p100;1946;142466.7;992;t
US-DE;afiinc992t;p90p100;1947;133246.8;992;t
US-DE;afiinc992t;p90p100;1948;131821.3;992;t
US-DE;afiinc992t;p90p100;1949;151540.3;992;t
US-DE;afiinc992t;p90p100;1950;187535.5;992;t
US-DE;afiinc992t;p90p100;1951;161060.2;992;t
US-DE;afiinc992t;p90p100;1952;160861.7;992;t
US-DE;afiinc992t;p90p100;1953;160438.1;992;t
US-DE;afiinc992t;p90p100;1954;172956.5;992;t
US-DE;afiinc992t;p90p100;1955;199880.5;992;t
US-DE;afiinc992t;p90p100;1956;187344.5;992;t
US-DE;afiinc992t;p90p100;1957;184286.1;992;t
US-DE;afiinc992t;p90p100;1958;170733.9;992;t
US-DE;afiinc992t;p90p100;1959;181428.4;992;t
US-DE;afiinc992t;p90p100;1960;178390.6;992;t
US-DE;afiinc992t;p90p100;1961;175128.9;992;t
US-DE;afiinc992t;p90p100;1962;177490.0;992;t
US-DE;afiinc992t;p90p100;1963;183911.1;992;t
US-DE;afiinc992t;p90p100;1964;224557.1;992;t
US-DE;afiinc992t;p90p100;1965;247684.9;992;t
US-DE;afiinc992t;p90p100;1966;197524.4;992;t
US-DE;afiinc992t;p90p100;1967;195146.4;992;t
US-DE;afiinc992t;p90p100;1968;195819.8;992;t
US-DE;afiinc992t;p90p100;1969;186070.7;992;t
US-DE;afiinc992t;p90p100;1970;176554.2;992;t
US-DE;afiinc992t;p90p100;1971;177382.8;992;t
US-DE;afiinc992t;p90p100;1972;181085.8;992;t
