country;variable;percentile;year;value;age;pop
US-FL;sptinc992t;p99p100;1917;0.1377;992;t
US-FL;sptinc992t;p99p100;1918;0.1349;992;t
US-FL;sptinc992t;p99p100;1919;0.1547;992;t
US-FL;sptinc992t;p99p100;1920;0.1717;992;t
US-FL;sptinc992t;p99p100;1921;0.1681;992;t
US-FL;sptinc992t;p99p100;1922;0.1825;992;t
US-FL;sptinc992t;p99p100;1923;0.1731;992;t
US-FL;sptinc992t;p99p100;1924;0.2777;992;t
US-FL;sptinc992t;p99p100;1925;0.633;992;t
US-FL;sptinc992t;p99p100;1926;0.3448;992;t
US-FL;sptinc992t;p99p100;1927;0.2368;992;t
US-FL;sptinc992t;p99p100;1928;0.2243;992;t
US-FL;sptinc992t;p99p100;1929;0.1898;992;t
US-FL;sptinc992t;p99p100;1930;0.1589;992;t
US-FL;sptinc992t;p99p100;1931;0.1675;992;t
US-FL;sptinc992t;p99p100;1932;0.1555;992;t
US-FL;sptinc992t;p99p100;1933;0.1644;992;t
US-FL;sptinc992t;p99p100;1934;0.181;992;t
US-FL;sptinc992t;p99p100;1935;0.2086;992;t
US-FL;sptinc992t;p99p100;1936;0.2466;992;t
US-FL;sptinc992t;p99p100;1937;0.2396;992;t
US-FL;sptinc992t;p99p100;1938;0.218;992;t
US-FL;sptinc992t;p99p100;1939;0.2075;992;t
US-FL;sptinc992t;p99p100;1940;0.218;992;t
US-FL;sptinc992t;p99p100;1941;0.1889;992;t
US-FL;sptinc992t;p99p100;1942;0.1422;992;t
US-FL;sptinc992t;p99p100;1943;0.1269;992;t
US-FL;sptinc992t;p99p100;1944;0.1151;992;t
US-FL;sptinc992t;p99p100;1945;0.1285;992;t
US-FL;sptinc992t;p99p100;1946;0.1497;992;t
US-FL;sptinc992t;p99p100;1947;0.1334;992;t
US-FL;sptinc992t;p99p100;1948;0.1347;992;t
US-FL;sptinc992t;p99p100;1949;0.1278;992;t
US-FL;sptinc992t;p99p100;1950;0.1429;992;t
US-FL;sptinc992t;p99p100;1951;0.1473;992;t
US-FL;sptinc992t;p99p100;1952;0.1208;992;t
US-FL;sptinc992t;p99p100;1953;0.114;992;t
US-FL;sptinc992t;p99p100;1954;0.1236;992;t
US-FL;sptinc992t;p99p100;1955;0.1297;992;t
US-FL;sptinc992t;p99p100;1956;0.1338;992;t
US-FL;sptinc992t;p99p100;1957;0.1194;992;t
US-FL;sptinc992t;p99p100;1958;0.1129;992;t
US-FL;sptinc992t;p99p100;1959;0.1205;992;t
US-FL;sptinc992t;p99p100;1960;0.1115;992;t
US-FL;sptinc992t;p99p100;1961;0.1173;992;t
US-FL;sptinc992t;p99p100;1962;0.1108;992;t
US-FL;sptinc992t;p99p100;1963;0.1109;992;t
US-FL;sptinc992t;p99p100;1964;0.1221;992;t
US-FL;sptinc992t;p99p100;1965;0.125;992;t
US-FL;sptinc992t;p99p100;1966;0.1149;992;t
US-FL;sptinc992t;p99p100;1967;0.1226;992;t
US-FL;sptinc992t;p99p100;1968;0.1333;992;t
US-FL;sptinc992t;p99p100;1969;0.1229;992;t
US-FL;sptinc992t;p99p100;1970;0.106;992;t
US-FL;sptinc992t;p99p100;1971;0.1146;992;t
US-FL;sptinc992t;p99p100;1972;0.1204;992;t
US-FL;sptinc992t;p99p100;1973;0.1157;992;t
US-FL;sptinc992t;p99p100;1974;0.1018;992;t
US-FL;sptinc992t;p99p100;1975;0.1025;992;t
US-FL;sptinc992t;p99p100;1976;0.1006;992;t
US-FL;sptinc992t;p99p100;1977;0.1039;992;t
US-FL;sptinc992t;p99p100;1978;0.1055;992;t
US-FL;sptinc992t;p99p100;1979;0.1211;992;t
US-FL;sptinc992t;p99p100;1980;0.118;992;t
US-FL;sptinc992t;p99p100;1981;0.1153;992;t
US-FL;sptinc992t;p99p100;1982;0.1234;992;t
US-FL;sptinc992t;p99p100;1983;0.1373;992;t
US-FL;sptinc992t;p99p100;1984;0.1587;992;t
US-FL;sptinc992t;p99p100;1985;0.1645;992;t
US-FL;sptinc992t;p99p100;1986;0.2293;992;t
US-FL;sptinc992t;p99p100;1987;0.166;992;t
US-FL;sptinc992t;p99p100;1988;0.2123;992;t
US-FL;sptinc992t;p99p100;1989;0.1899;992;t
US-FL;sptinc992t;p99p100;1990;0.1796;992;t
US-FL;sptinc992t;p99p100;1991;0.1638;992;t
US-FL;sptinc992t;p99p100;1992;0.1874;992;t
US-FL;sptinc992t;p99p100;1993;0.1762;992;t
US-FL;sptinc992t;p99p100;1994;0.1787;992;t
US-FL;sptinc992t;p99p100;1995;0.1885;992;t
US-FL;sptinc992t;p99p100;1996;0.2105;992;t
US-FL;sptinc992t;p99p100;1997;0.2341;992;t
US-FL;sptinc992t;p99p100;1998;0.2421;992;t
US-FL;sptinc992t;p99p100;1999;0.2412;992;t
US-FL;sptinc992t;p99p100;2000;0.253;992;t
US-FL;sptinc992t;p99p100;2001;0.2196;992;t
US-FL;sptinc992t;p99p100;2002;0.2117;992;t
US-FL;sptinc992t;p99p100;2003;0.2089;992;t
US-FL;sptinc992t;p99p100;2004;0.2687;992;t
US-FL;sptinc992t;p99p100;2005;0.3199;992;t
US-FL;sptinc992t;p99p100;2006;0.315;992;t
US-FL;sptinc992t;p99p100;2007;0.3061;992;t
US-FL;sptinc992t;p99p100;2008;0.2609;992;t
US-FL;sptinc992t;p99p100;2009;0.2325;992;t
US-FL;sptinc992t;p99p100;2010;0.2379;992;t
US-FL;sptinc992t;p99p100;2011;0.2471;992;t
US-FL;sptinc992t;p99p100;2012;0.3064;992;t
US-FL;sptinc992t;p99p100;2013;0.2616;992;t
US-FL;sptinc992t;p99p100;2014;0.2867;992;t
US-FL;sptinc992t;p99p100;2015;0.2968;992;t
US-FL;sptinc992t;p99p100;2016;0.2537;992;t
US-FL;sptinc992t;p99p100;2017;0.3465;992;t
US-FL;sptinc992t;p99p100;2018;0.3193;992;t
US-FL;sfiinc992t;p0p90;1917;0.6531;992;t
US-FL;sfiinc992t;p0p90;1918;0.6599;992;t
US-FL;sfiinc992t;p0p90;1919;0.5842;992;t
US-FL;sfiinc992t;p0p90;1920;0.516;992;t
US-FL;sfiinc992t;p0p90;1921;0.4966;992;t
US-FL;sfiinc992t;p0p90;1922;0.5053;992;t
US-FL;sfiinc992t;p0p90;1923;0.5333;992;t
US-FL;sfiinc992t;p0p90;1924;0.3283;992;t
US-FL;sfiinc992t;p0p90;1925;-0.6807;992;t
US-FL;sfiinc992t;p0p90;1926;0.1458;992;t
US-FL;sfiinc992t;p0p90;1927;0.4523;992;t
US-FL;sfiinc992t;p0p90;1928;0.5599;992;t
US-FL;sfiinc992t;p0p90;1929;0.6192;992;t
US-FL;sfiinc992t;p0p90;1930;0.6237;992;t
US-FL;sfiinc992t;p0p90;1931;0.5771;992;t
US-FL;sfiinc992t;p0p90;1932;0.5692;992;t
US-FL;sfiinc992t;p0p90;1933;0.5639;992;t
US-FL;sfiinc992t;p0p90;1934;0.5561;992;t
US-FL;sfiinc992t;p0p90;1935;0.5272;992;t
US-FL;sfiinc992t;p0p90;1936;0.512;992;t
US-FL;sfiinc992t;p0p90;1937;0.5123;992;t
US-FL;sfiinc992t;p0p90;1938;0.5258;992;t
US-FL;sfiinc992t;p0p90;1939;0.529;992;t
US-FL;sfiinc992t;p0p90;1940;0.4777;992;t
US-FL;sfiinc992t;p0p90;1941;0.5376;992;t
US-FL;sfiinc992t;p0p90;1942;0.6481;992;t
US-FL;sfiinc992t;p0p90;1943;0.6848;992;t
US-FL;sfiinc992t;p0p90;1944;0.6906;992;t
US-FL;sfiinc992t;p0p90;1945;0.6666;992;t
US-FL;sfiinc992t;p0p90;1946;0.5964;992;t
US-FL;sfiinc992t;p0p90;1947;0.6321;992;t
US-FL;sfiinc992t;p0p90;1948;0.6201;992;t
US-FL;sfiinc992t;p0p90;1949;0.6342;992;t
US-FL;sfiinc992t;p0p90;1950;0.6197;992;t
US-FL;sfiinc992t;p0p90;1952;0.6183;992;t
US-FL;sfiinc992t;p0p90;1953;0.6327;992;t
US-FL;sfiinc992t;p0p90;1954;0.6114;992;t
US-FL;sfiinc992t;p0p90;1955;0.6247;992;t
