country;variable;percentile;year;value;age;pop
US-KY;sfiinc992t;p99.5p99.9;1917;0.0496;992;t
US-KY;sfiinc992t;p99.5p99.9;1918;0.0569;992;t
US-KY;sfiinc992t;p99.5p99.9;1919;0.0561;992;t
US-KY;sfiinc992t;p99.5p99.9;1920;0.0575;992;t
US-KY;sfiinc992t;p99.5p99.9;1921;0.0562;992;t
US-KY;sfiinc992t;p99.5p99.9;1922;0.0591;992;t
US-KY;sfiinc992t;p99.5p99.9;1923;0.0557;992;t
US-KY;sfiinc992t;p99.5p99.9;1924;0.0604;992;t
US-KY;sfiinc992t;p99.5p99.9;1925;0.0638;992;t
US-KY;sfiinc992t;p99.5p99.9;1926;0.0635;992;t
US-KY;sfiinc992t;p99.5p99.9;1927;0.066;992;t
US-KY;sfiinc992t;p99.5p99.9;1928;0.0697;992;t
US-KY;sfiinc992t;p99.5p99.9;1929;0.0668;992;t
US-KY;sfiinc992t;p99.5p99.9;1930;0.0618;992;t
US-KY;sfiinc992t;p99.5p99.9;1931;0.0577;992;t
US-KY;sfiinc992t;p99.5p99.9;1932;0.0606;992;t
US-KY;sfiinc992t;p99.5p99.9;1933;0.06;992;t
US-KY;sfiinc992t;p99.5p99.9;1934;0.0654;992;t
US-KY;sfiinc992t;p99.5p99.9;1935;0.0626;992;t
US-KY;sfiinc992t;p99.5p99.9;1936;0.0706;992;t
US-KY;sfiinc992t;p99.5p99.9;1937;0.0581;992;t
US-KY;sfiinc992t;p99.5p99.9;1938;0.0601;992;t
US-KY;sfiinc992t;p99.5p99.9;1939;0.0612;992;t
US-KY;sfiinc992t;p99.5p99.9;1940;0.0631;992;t
US-KY;sfiinc992t;p99.5p99.9;1941;0.061;992;t
US-KY;sfiinc992t;p99.5p99.9;1942;0.0496;992;t
US-KY;sfiinc992t;p99.5p99.9;1943;0.045;992;t
US-KY;sfiinc992t;p99.5p99.9;1944;0.0413;992;t
US-KY;sfiinc992t;p99.5p99.9;1945;0.0503;992;t
US-KY;sfiinc992t;p99.5p99.9;1946;0.0545;992;t
US-KY;sfiinc992t;p99.5p99.9;1947;0.0531;992;t
US-KY;sfiinc992t;p99.5p99.9;1948;0.0496;992;t
US-KY;sfiinc992t;p99.5p99.9;1949;0.0484;992;t
US-KY;sfiinc992t;p99.5p99.9;1950;0.05;992;t
US-KY;sfiinc992t;p99.5p99.9;1951;0.0469;992;t
US-KY;sfiinc992t;p99.5p99.9;1952;0.0405;992;t
US-KY;sfiinc992t;p99.5p99.9;1953;0.0401;992;t
US-KY;sfiinc992t;p99.5p99.9;1954;0.0469;992;t
US-KY;sfiinc992t;p99.5p99.9;1955;0.0434;992;t
US-KY;sfiinc992t;p99.5p99.9;1956;0.0439;992;t
US-KY;sfiinc992t;p99.5p99.9;1957;0.0492;992;t
US-KY;sfiinc992t;p99.5p99.9;1958;0.0417;992;t
US-KY;sfiinc992t;p99.5p99.9;1959;0.0399;992;t
US-KY;sfiinc992t;p99.5p99.9;1960;0.0406;992;t
US-KY;sfiinc992t;p99.5p99.9;1961;0.0411;992;t
US-KY;sfiinc992t;p99.5p99.9;1962;0.0386;992;t
US-KY;sfiinc992t;p99.5p99.9;1963;0.0398;992;t
US-KY;sfiinc992t;p99.5p99.9;1964;0.044;992;t
US-KY;sfiinc992t;p99.5p99.9;1965;0.0428;992;t
US-KY;sfiinc992t;p99.5p99.9;1966;0.0412;992;t
US-KY;sfiinc992t;p99.5p99.9;1967;0.0414;992;t
US-KY;sfiinc992t;p99.5p99.9;1968;0.0417;992;t
US-KY;sfiinc992t;p99.5p99.9;1969;0.0385;992;t
US-KY;sfiinc992t;p99.5p99.9;1970;0.0372;992;t
US-KY;sfiinc992t;p99.5p99.9;1971;0.0386;992;t
US-KY;sfiinc992t;p99.5p99.9;1972;0.0378;992;t
US-KY;sfiinc992t;p99.5p99.9;1973;0.0396;992;t
US-KY;sfiinc992t;p99.5p99.9;1974;0.0378;992;t
US-KY;sfiinc992t;p99.5p99.9;1975;0.0414;992;t
US-KY;sfiinc992t;p99.5p99.9;1976;0.0378;992;t
US-KY;sfiinc992t;p99.5p99.9;1977;0.0378;992;t
US-KY;sfiinc992t;p99.5p99.9;1978;0.0363;992;t
US-KY;sfiinc992t;p99.5p99.9;1979;0.037;992;t
