country;variable;percentile;year;value;age;pop
US-MS;sfiinc992t;p99.5p100;1917;0.1039;992;t
US-MS;sfiinc992t;p99.5p100;1918;0.0911;992;t
US-MS;sfiinc992t;p99.5p100;1919;0.1144;992;t
US-MS;sfiinc992t;p99.5p100;1920;0.0978;992;t
US-MS;sfiinc992t;p99.5p100;1921;0.0948;992;t
US-MS;sfiinc992t;p99.5p100;1922;0.1152;992;t
US-MS;sfiinc992t;p99.5p100;1923;0.1071;992;t
US-MS;sfiinc992t;p99.5p100;1924;0.1045;992;t
US-MS;sfiinc992t;p99.5p100;1925;0.1165;992;t
US-MS;sfiinc992t;p99.5p100;1926;0.0962;992;t
US-MS;sfiinc992t;p99.5p100;1927;0.0988;992;t
US-MS;sfiinc992t;p99.5p100;1928;0.0942;992;t
US-MS;sfiinc992t;p99.5p100;1929;0.0893;992;t
US-MS;sfiinc992t;p99.5p100;1930;0.0929;992;t
US-MS;sfiinc992t;p99.5p100;1931;0.0873;992;t
US-MS;sfiinc992t;p99.5p100;1932;0.0915;992;t
US-MS;sfiinc992t;p99.5p100;1933;0.0958;992;t
US-MS;sfiinc992t;p99.5p100;1934;0.0947;992;t
US-MS;sfiinc992t;p99.5p100;1935;0.099;992;t
US-MS;sfiinc992t;p99.5p100;1936;0.1122;992;t
US-MS;sfiinc992t;p99.5p100;1937;0.1059;992;t
US-MS;sfiinc992t;p99.5p100;1938;0.1105;992;t
US-MS;sfiinc992t;p99.5p100;1939;0.1204;992;t
US-MS;sfiinc992t;p99.5p100;1940;0.1264;992;t
US-MS;sfiinc992t;p99.5p100;1941;0.1293;992;t
US-MS;sfiinc992t;p99.5p100;1942;0.1054;992;t
US-MS;sfiinc992t;p99.5p100;1943;0.0885;992;t
US-MS;sfiinc992t;p99.5p100;1944;0.0727;992;t
US-MS;sfiinc992t;p99.5p100;1945;0.0813;992;t
US-MS;sfiinc992t;p99.5p100;1946;0.1008;992;t
US-MS;sfiinc992t;p99.5p100;1947;0.0943;992;t
US-MS;sfiinc992t;p99.5p100;1948;0.0881;992;t
US-MS;sfiinc992t;p99.5p100;1949;0.0888;992;t
US-MS;sfiinc992t;p99.5p100;1950;0.091;992;t
US-MS;sfiinc992t;p99.5p100;1951;0.0891;992;t
US-MS;sfiinc992t;p99.5p100;1952;0.0742;992;t
US-MS;sfiinc992t;p99.5p100;1953;0.0681;992;t
US-MS;sfiinc992t;p99.5p100;1954;0.0741;992;t
US-MS;sfiinc992t;p99.5p100;1955;0.0713;992;t
US-MS;sfiinc992t;p99.5p100;1956;0.0746;992;t
US-MS;sfiinc992t;p99.5p100;1957;0.0723;992;t
US-MS;sfiinc992t;p99.5p100;1958;0.0669;992;t
US-MS;sfiinc992t;p99.5p100;1959;0.07;992;t
US-MS;sfiinc992t;p99.5p100;1960;0.0658;992;t
US-MS;sfiinc992t;p99.5p100;1961;0.0673;992;t
US-MS;sfiinc992t;p99.5p100;1962;0.0693;992;t
US-MS;sfiinc992t;p99.5p100;1963;0.0671;992;t
US-MS;sfiinc992t;p99.5p100;1964;0.0718;992;t
US-MS;sfiinc992t;p99.5p100;1965;0.0804;992;t
US-MS;sfiinc992t;p99.5p100;1966;0.0762;992;t
US-MS;sfiinc992t;p99.5p100;1967;0.0726;992;t
