country;variable;percentile;year;value;age;pop
US-MT;sfiinc992t;p90p95;1917;0.1434;992;t
US-MT;sfiinc992t;p90p95;1918;0.1275;992;t
US-MT;sfiinc992t;p90p95;1919;0.1142;992;t
US-MT;sfiinc992t;p90p95;1920;0.119;992;t
US-MT;sfiinc992t;p90p95;1921;0.136;992;t
US-MT;sfiinc992t;p90p95;1922;0.1264;992;t
US-MT;sfiinc992t;p90p95;1923;0.125;992;t
US-MT;sfiinc992t;p90p95;1924;0.1397;992;t
US-MT;sfiinc992t;p90p95;1925;0.117;992;t
US-MT;sfiinc992t;p90p95;1926;0.0972;992;t
US-MT;sfiinc992t;p90p95;1927;0.1231;992;t
US-MT;sfiinc992t;p90p95;1928;0.1128;992;t
US-MT;sfiinc992t;p90p95;1929;0.1152;992;t
US-MT;sfiinc992t;p90p95;1930;0.0951;992;t
US-MT;sfiinc992t;p90p95;1931;0.1383;992;t
US-MT;sfiinc992t;p90p95;1932;0.125;992;t
US-MT;sfiinc992t;p90p95;1933;0.1404;992;t
US-MT;sfiinc992t;p90p95;1934;0.1485;992;t
US-MT;sfiinc992t;p90p95;1935;0.136;992;t
US-MT;sfiinc992t;p90p95;1936;0.1494;992;t
US-MT;sfiinc992t;p90p95;1937;0.1545;992;t
US-MT;sfiinc992t;p90p95;1938;0.1449;992;t
US-MT;sfiinc992t;p90p95;1939;0.1548;992;t
US-MT;sfiinc992t;p90p95;1940;0.1471;992;t
US-MT;sfiinc992t;p90p95;1941;0.1339;992;t
US-MT;sfiinc992t;p90p95;1942;0.1203;992;t
US-MT;sfiinc992t;p90p95;1943;0.1086;992;t
US-MT;sfiinc992t;p90p95;1944;0.1228;992;t
US-MT;sfiinc992t;p90p95;1945;0.1124;992;t
US-MT;sfiinc992t;p90p95;1946;0.1139;992;t
US-MT;sfiinc992t;p90p95;1947;0.1046;992;t
US-MT;sfiinc992t;p90p95;1948;0.098;992;t
US-MT;sfiinc992t;p90p95;1949;0.1022;992;t
US-MT;sfiinc992t;p90p95;1950;0.0926;992;t
US-MT;sfiinc992t;p90p95;1951;0.0963;992;t
US-MT;sfiinc992t;p90p95;1952;0.1109;992;t
US-MT;sfiinc992t;p90p95;1953;0.1155;992;t
US-MT;sfiinc992t;p90p95;1954;0.1149;992;t
US-MT;sfiinc992t;p90p95;1955;0.1007;992;t
US-MT;sfiinc992t;p90p95;1956;0.1001;992;t
US-MT;sfiinc992t;p90p95;1957;0.1045;992;t
US-MT;sfiinc992t;p90p95;1958;0.1003;992;t
US-MT;sfiinc992t;p90p95;1959;0.1131;992;t
US-MT;sfiinc992t;p90p95;1960;0.1027;992;t
US-MT;sfiinc992t;p90p95;1961;0.1061;992;t
US-MT;sfiinc992t;p90p95;1962;0.096;992;t
US-MT;sfiinc992t;p90p95;1963;0.103;992;t
US-MT;sfiinc992t;p90p95;1964;0.1088;992;t
US-MT;sfiinc992t;p90p95;1965;0.1088;992;t
US-MT;sfiinc992t;p90p95;1966;0.1072;992;t
US-MT;sfiinc992t;p90p95;1967;0.102;992;t
US-MT;sfiinc992t;p90p95;1968;0.1044;992;t
US-MT;sfiinc992t;p90p95;1969;0.106;992;t
US-MT;sfiinc992t;p90p95;1970;0.1032;992;t
US-MT;sfiinc992t;p90p95;1971;0.1038;992;t
US-MT;sfiinc992t;p90p95;1972;0.1014;992;t
US-MT;sfiinc992t;p90p95;1973;0.106;992;t
US-MT;sfiinc992t;p90p95;1974;0.1074;992;t
US-MT;sfiinc992t;p90p95;1975;0.1091;992;t
US-MT;sfiinc992t;p90p95;1976;0.1127;992;t
US-MT;sfiinc992t;p90p95;1977;0.1137;992;t
US-MT;sfiinc992t;p90p95;1978;0.1069;992;t
US-MT;sfiinc992t;p90p95;1979;0.1096;992;t
US-MT;sfiinc992t;p90p95;1980;0.1153;992;t
US-MT;sfiinc992t;p90p95;1981;0.1234;992;t
US-MT;sfiinc992t;p90p95;1982;0.1007;992;t
US-MT;sfiinc992t;p90p95;1983;0.1074;992;t
US-MT;sfiinc992t;p90p95;1984;0.1114;992;t
US-MT;sfiinc992t;p90p95;1985;0.1112;992;t
US-MT;sfiinc992t;p90p95;1986;0.1038;992;t
US-MT;sfiinc992t;p90p95;1987;0.1115;992;t
US-MT;sfiinc992t;p90p95;1988;0.1116;992;t
US-MT;sfiinc992t;p90p95;1989;0.1119;992;t
US-MT;sfiinc992t;p90p95;1990;0.1219;992;t
US-MT;sfiinc992t;p90p95;1991;0.1213;992;t
US-MT;sfiinc992t;p90p95;1992;0.1201;992;t
US-MT;sfiinc992t;p90p95;1993;0.1167;992;t
US-MT;sfiinc992t;p90p95;1994;0.1208;992;t
US-MT;sfiinc992t;p90p95;1995;0.1208;992;t
US-MT;sfiinc992t;p90p95;1996;0.1216;992;t
US-MT;sfiinc992t;p90p95;1997;0.1158;992;t
US-MT;sfiinc992t;p90p95;1998;0.1149;992;t
US-MT;sfiinc992t;p90p95;1999;0.1159;992;t
US-MT;sfiinc992t;p90p95;2000;0.1141;992;t
US-MT;sfiinc992t;p90p95;2001;0.1202;992;t
US-MT;sfiinc992t;p90p95;2002;0.1212;992;t
US-MT;sfiinc992t;p90p95;2003;0.1173;992;t
US-MT;sfiinc992t;p90p95;2004;0.1093;992;t
US-MT;sfiinc992t;p90p95;2005;0.1075;992;t
US-MT;sfiinc992t;p90p95;2006;0.1101;992;t
US-MT;sfiinc992t;p90p95;2007;0.1132;992;t
US-MT;sfiinc992t;p90p95;2008;0.1144;992;t
US-MT;sfiinc992t;p90p95;2009;0.1171;992;t
US-MT;sfiinc992t;p90p95;2010;0.1167;992;t
US-MT;sfiinc992t;p90p95;2011;0.122;992;t
US-MT;sfiinc992t;p90p95;2012;0.1191;992;t
US-MT;sfiinc992t;p90p95;2013;0.12;992;t
US-MT;sfiinc992t;p90p95;2014;0.1205;992;t
US-MT;sfiinc992t;p90p95;2015;0.1173;992;t
US-MT;sfiinc992t;p90p95;2016;0.119;992;t
US-MT;sfiinc992t;p90p95;2017;0.1238;992;t
US-MT;sfiinc992t;p90p95;2018;0.1223;992;t
US-MT;sfiinc992t;p99.9p99.99;1917;0.0262;992;t
US-MT;sfiinc992t;p99.9p99.99;1918;0.0214;992;t
US-MT;sfiinc992t;p99.9p99.99;1919;0.0187;992;t
US-MT;sfiinc992t;p99.9p99.99;1920;0.0157;992;t
US-MT;sfiinc992t;p99.9p99.99;1921;0.0177;992;t
US-MT;sfiinc992t;p99.9p99.99;1922;0.0177;992;t
US-MT;sfiinc992t;p99.9p99.99;1923;0.0159;992;t
US-MT;sfiinc992t;p99.9p99.99;1924;0.0203;992;t
US-MT;sfiinc992t;p99.9p99.99;1925;0.0216;992;t
US-MT;sfiinc992t;p99.9p99.99;1926;0.0225;992;t
US-MT;sfiinc992t;p99.9p99.99;1927;0.0262;992;t
US-MT;sfiinc992t;p99.9p99.99;1928;0.0276;992;t
US-MT;sfiinc992t;p99.9p99.99;1929;0.0283;992;t
US-MT;sfiinc992t;p99.9p99.99;1930;0.0235;992;t
US-MT;sfiinc992t;p99.9p99.99;1931;0.0248;992;t
US-MT;sfiinc992t;p99.9p99.99;1932;0.0226;992;t
US-MT;sfiinc992t;p99.9p99.99;1933;0.023;992;t
US-MT;sfiinc992t;p99.9p99.99;1934;0.0255;992;t
US-MT;sfiinc992t;p99.9p99.99;1935;0.0222;992;t
US-MT;sfiinc992t;p99.9p99.99;1936;0.0273;992;t
US-MT;sfiinc992t;p99.9p99.99;1937;0.0235;992;t
US-MT;sfiinc992t;p99.9p99.99;1938;0.0203;992;t
US-MT;sfiinc992t;p99.9p99.99;1939;0.0229;992;t
US-MT;sfiinc992t;p99.9p99.99;1940;0.0241;992;t
US-MT;sfiinc992t;p99.9p99.99;1941;0.0222;992;t
US-MT;sfiinc992t;p99.9p99.99;1942;0.0216;992;t
US-MT;sfiinc992t;p99.9p99.99;1943;0.0202;992;t
US-MT;sfiinc992t;p99.9p99.99;1944;0.0171;992;t
US-MT;sfiinc992t;p99.9p99.99;1945;0.0195;992;t
US-MT;sfiinc992t;p99.9p99.99;1946;0.0177;992;t
US-MT;sfiinc992t;p99.9p99.99;1947;0.0161;992;t
US-MT;sfiinc992t;p99.9p99.99;1948;0.0162;992;t
US-MT;sfiinc992t;p99.9p99.99;1949;0.0177;992;t
US-MT;sfiinc992t;p99.9p99.99;1950;0.0173;992;t
US-MT;sfiinc992t;p99.9p99.99;1951;0.0187;992;t
US-MT;sfiinc992t;p99.9p99.99;1952;0.015;992;t
US-MT;sfiinc992t;p99.9p99.99;1953;0.0115;992;t
US-MT;sfiinc992t;p99.9p99.99;1954;0.013;992;t
US-MT;sfiinc992t;p99.9p99.99;1955;0.0124;992;t
US-MT;sfiinc992t;p99.9p99.99;1956;0.0142;992;t
US-MT;sfiinc992t;p99.9p99.99;1957;0.0138;992;t
US-MT;sfiinc992t;p99.9p99.99;1958;0.0118;992;t
US-MT;sfiinc992t;p99.9p99.99;1959;0.0144;992;t
US-MT;sfiinc992t;p99.9p99.99;1960;0.0139;992;t
US-MT;sfiinc992t;p99.9p99.99;1961;0.0173;992;t
US-MT;sfiinc992t;p99.9p99.99;1962;0.0117;992;t
US-MT;sfiinc992t;p99.9p99.99;1963;0.0128;992;t
US-MT;sfiinc992t;p99.9p99.99;1964;0.0143;992;t
US-MT;sfiinc992t;p99.9p99.99;1965;0.0133;992;t
US-MT;sfiinc992t;p99.9p99.99;1966;0.0126;992;t
US-MT;sfiinc992t;p99.9p99.99;1967;0.0117;992;t
US-MT;sfiinc992t;p99.9p99.99;1968;0.0148;992;t
US-MT;sfiinc992t;p99.9p99.99;1969;0.0125;992;t
US-MT;sfiinc992t;p99.9p99.99;1970;0.0099;992;t
US-MT;sfiinc992t;p99.9p99.99;1971;0.0131;992;t
US-MT;sfiinc992t;p99.9p99.99;1972;0.0131;992;t
US-MT;sfiinc992t;p99.9p99.99;1973;0.0143;992;t
US-MT;sfiinc992t;p99.9p99.99;1974;0.0168;992;t
US-MT;sfiinc992t;p99.9p99.99;1975;0.0132;992;t
US-MT;sfiinc992t;p99.9p99.99;1976;0.0137;992;t
US-MT;sfiinc992t;p99.9p99.99;1977;0.0144;992;t
US-MT;sfiinc992t;p99.9p99.99;1978;0.0141;992;t
US-MT;sfiinc992t;p99.9p99.99;1979;0.0149;992;t
US-MT;sfiinc992t;p99.9p99.99;1980;0.0155;992;t
US-MT;sfiinc992t;p99.9p99.99;1981;0.0158;992;t
US-MT;sfiinc992t;p99.9p99.99;1982;0.0198;992;t
US-MT;sfiinc992t;p99.9p99.99;1983;0.0179;992;t
US-MT;sfiinc992t;p99.9p99.99;1984;0.0214;992;t
US-MT;sfiinc992t;p99.9p99.99;1985;0.0227;992;t
US-MT;sfiinc992t;p99.9p99.99;1986;0.0263;992;t
US-MT;sfiinc992t;p99.9p99.99;1987;0.0205;992;t
US-MT;sfiinc992t;p99.9p99.99;1988;0.0287;992;t
US-MT;sfiinc992t;p99.9p99.99;1989;0.0274;992;t
US-MT;sfiinc992t;p99.9p99.99;1990;0.0252;992;t
US-MT;sfiinc992t;p99.9p99.99;1991;0.0233;992;t
