country;variable;percentile;year;value;age;pop
US-NV;sfiinc992t;p90p95;1917;0.1408;992;t
US-NV;sfiinc992t;p90p95;1918;0.1184;992;t
US-NV;sfiinc992t;p90p95;1919;0.0967;992;t
US-NV;sfiinc992t;p90p95;1920;0.1013;992;t
US-NV;sfiinc992t;p90p95;1921;0.1233;992;t
US-NV;sfiinc992t;p90p95;1922;0.1174;992;t
US-NV;sfiinc992t;p90p95;1923;0.1181;992;t
US-NV;sfiinc992t;p90p95;1924;0.1297;992;t
US-NV;sfiinc992t;p90p95;1925;0.1455;992;t
US-NV;sfiinc992t;p90p95;1926;0.135;992;t
US-NV;sfiinc992t;p90p95;1927;0.141;992;t
US-NV;sfiinc992t;p90p95;1928;0.1329;992;t
US-NV;sfiinc992t;p90p95;1929;0.1423;992;t
US-NV;sfiinc992t;p90p95;1930;0.136;992;t
US-NV;sfiinc992t;p90p95;1931;0.1711;992;t
US-NV;sfiinc992t;p90p95;1932;0.1423;992;t
US-NV;sfiinc992t;p90p95;1933;0.1238;992;t
US-NV;sfiinc992t;p90p95;1934;0.1646;992;t
US-NV;sfiinc992t;p90p95;1935;0.1746;992;t
US-NV;sfiinc992t;p90p95;1936;0.1476;992;t
US-NV;sfiinc992t;p90p95;1937;0.1583;992;t
US-NV;sfiinc992t;p90p95;1938;0.1555;992;t
US-NV;sfiinc992t;p90p95;1939;0.1295;992;t
US-NV;sfiinc992t;p90p95;1940;0.1143;992;t
US-NV;sfiinc992t;p90p95;1941;0.1089;992;t
US-NV;sfiinc992t;p90p95;1942;0.0655;992;t
US-NV;sfiinc992t;p90p95;1943;0.0612;992;t
US-NV;sfiinc992t;p90p95;1944;0.0657;992;t
US-NV;sfiinc992t;p90p95;1945;0.074;992;t
US-NV;sfiinc992t;p90p95;1946;0.0767;992;t
US-NV;sfiinc992t;p90p95;1947;0.0774;992;t
US-NV;sfiinc992t;p90p95;1948;0.0953;992;t
US-NV;sfiinc992t;p90p95;1949;0.0903;992;t
US-NV;sfiinc992t;p90p95;1950;0.0731;992;t
US-NV;sfiinc992t;p90p95;1951;0.077;992;t
US-NV;sfiinc992t;p90p95;1952;0.0819;992;t
US-NV;sfiinc992t;p90p95;1953;0.0931;992;t
US-NV;sfiinc992t;p90p95;1954;0.0974;992;t
US-NV;sfiinc992t;p90p95;1955;0.0901;992;t
US-NV;sfiinc992t;p90p95;1956;0.0943;992;t
US-NV;sfiinc992t;p90p95;1957;0.0929;992;t
US-NV;sfiinc992t;p90p95;1958;0.1037;992;t
US-NV;sfiinc992t;p90p95;1959;0.0958;992;t
US-NV;sfiinc992t;p90p95;1960;0.0981;992;t
US-NV;sfiinc992t;p90p95;1961;0.0978;992;t
US-NV;sfiinc992t;p90p95;1962;0.0926;992;t
US-NV;sfiinc992t;p90p95;1963;0.0888;992;t
US-NV;sfiinc992t;p90p95;1964;0.0887;992;t
US-NV;sfiinc992t;p90p95;1965;0.0899;992;t
US-NV;sfiinc992t;p90p95;1966;0.0961;992;t
US-NV;sfiinc992t;p90p95;1967;0.0993;992;t
US-NV;sfiinc992t;p90p95;1968;0.0939;992;t
US-NV;sfiinc992t;p90p95;1969;0.0923;992;t
US-NV;sfiinc992t;p90p95;1970;0.0922;992;t
US-NV;sfiinc992t;p90p95;1971;0.0951;992;t
US-NV;sfiinc992t;p90p95;1972;0.0965;992;t
US-NV;sfiinc992t;p90p95;1973;0.0984;992;t
US-NV;sfiinc992t;p90p95;1974;0.1003;992;t
US-NV;sfiinc992t;p90p95;1975;0.0995;992;t
US-NV;sfiinc992t;p90p95;1976;0.0997;992;t
US-NV;sfiinc992t;p90p95;1977;0.1047;992;t
US-NV;sfiinc992t;p90p95;1978;0.0965;992;t
US-NV;sfiinc992t;p90p95;1979;0.0893;992;t
US-NV;sfiinc992t;p90p95;1980;0.0821;992;t
US-NV;sfiinc992t;p90p95;1981;0.0935;992;t
US-NV;sfiinc992t;p90p95;1982;0.0994;992;t
US-NV;sfiinc992t;p90p95;1983;0.0978;992;t
US-NV;sfiinc992t;p90p95;1984;0.1001;992;t
US-NV;sfiinc992t;p90p95;1985;0.1024;992;t
US-NV;sfiinc992t;p90p95;1986;0.1029;992;t
US-NV;sfiinc992t;p90p95;1987;0.1115;992;t
US-NV;sfiinc992t;p90p95;1988;0.11;992;t
US-NV;sfiinc992t;p90p95;1989;0.113;992;t
US-NV;sfiinc992t;p90p95;1990;0.1088;992;t
US-NV;sfiinc992t;p90p95;1991;0.1048;992;t
US-NV;sfiinc992t;p90p95;1992;0.1042;992;t
US-NV;sfiinc992t;p90p95;1993;0.1051;992;t
US-NV;sfiinc992t;p90p95;1994;0.1062;992;t
US-NV;sfiinc992t;p90p95;1995;0.1059;992;t
US-NV;sfiinc992t;p90p95;1996;0.1033;992;t
US-NV;sfiinc992t;p90p95;1997;0.1001;992;t
US-NV;sfiinc992t;p90p95;1998;0.0967;992;t
US-NV;sfiinc992t;p90p95;1999;0.0948;992;t
US-NV;sfiinc992t;p90p95;2000;0.0966;992;t
US-NV;sfiinc992t;p90p95;2001;0.1002;992;t
US-NV;sfiinc992t;p90p95;2002;0.1048;992;t
US-NV;sfiinc992t;p90p95;2003;0.1068;992;t
US-NV;sfiinc992t;p90p95;2004;0.1072;992;t
US-NV;sfiinc992t;p90p95;2005;0.1015;992;t
US-NV;sfiinc992t;p90p95;2006;0.1017;992;t
US-NV;sfiinc992t;p90p95;2007;0.104;992;t
US-NV;sfiinc992t;p90p95;2008;0.1189;992;t
US-NV;sfiinc992t;p90p95;2009;0.1291;992;t
US-NV;sfiinc992t;p90p95;2010;0.1254;992;t
US-NV;sfiinc992t;p90p95;2011;0.1256;992;t
US-NV;sfiinc992t;p90p95;2012;0.1251;992;t
US-NV;sfiinc992t;p90p95;2013;0.1288;992;t
US-NV;sfiinc992t;p90p95;2014;0.1229;992;t
US-NV;sfiinc992t;p90p95;2015;0.12;992;t
US-NV;sfiinc992t;p90p95;2016;0.1209;992;t
US-NV;sfiinc992t;p90p95;2017;0.1221;992;t
US-NV;sfiinc992t;p90p95;2018;0.1197;992;t
US-NV;sptinc992t;p0p99;1917;0.9082;992;t
US-NV;sptinc992t;p0p99;1918;0.9264;992;t
US-NV;sptinc992t;p0p99;1919;0.9255;992;t
US-NV;sptinc992t;p0p99;1920;0.938;992;t
US-NV;sptinc992t;p0p99;1921;0.9184;992;t
US-NV;sptinc992t;p0p99;1922;0.9303;992;t
US-NV;sptinc992t;p0p99;1923;0.9331;992;t
US-NV;sptinc992t;p0p99;1924;0.9217;992;t
US-NV;sptinc992t;p0p99;1925;0.9079;992;t
US-NV;sptinc992t;p0p99;1926;0.9063;992;t
US-NV;sptinc992t;p0p99;1927;0.8986;992;t
US-NV;sptinc992t;p0p99;1928;0.8567;992;t
US-NV;sptinc992t;p0p99;1929;0.8652;992;t
US-NV;sptinc992t;p0p99;1930;0.8682;992;t
US-NV;sptinc992t;p0p99;1931;0.8564;992;t
US-NV;sptinc992t;p0p99;1932;0.8916;992;t
US-NV;sptinc992t;p0p99;1933;0.8787;992;t
US-NV;sptinc992t;p0p99;1934;0.8587;992;t
US-NV;sptinc992t;p0p99;1935;0.8284;992;t
US-NV;sptinc992t;p0p99;1936;0.8174;992;t
US-NV;sptinc992t;p0p99;1937;0.7851;992;t
US-NV;sptinc992t;p0p99;1938;0.8291;992;t
US-NV;sptinc992t;p0p99;1939;0.8285;992;t
US-NV;sptinc992t;p0p99;1940;0.8223;992;t
US-NV;sptinc992t;p0p99;1941;0.8377;992;t
US-NV;sptinc992t;p0p99;1942;0.8875;992;t
US-NV;sptinc992t;p0p99;1943;0.8791;992;t
US-NV;sptinc992t;p0p99;1944;0.8875;992;t
US-NV;sptinc992t;p0p99;1945;0.8622;992;t
