country;variable;percentile;year;value;age;pop
US-NY;afiinc992t;p99.5p100;1917;1128205.2;992;t
US-NY;afiinc992t;p99.5p100;1918;828593.2;992;t
US-NY;afiinc992t;p99.5p100;1919;836001.8;992;t
US-NY;afiinc992t;p99.5p100;1920;564765.1;992;t
US-NY;afiinc992t;p99.5p100;1921;547479.5;992;t
US-NY;afiinc992t;p99.5p100;1922;748867.3;992;t
US-NY;afiinc992t;p99.5p100;1923;713973.4;992;t
US-NY;afiinc992t;p99.5p100;1924;859927.1;992;t
US-NY;afiinc992t;p99.5p100;1925;1133023.3;992;t
US-NY;afiinc992t;p99.5p100;1926;1090116.0;992;t
US-NY;afiinc992t;p99.5p100;1927;1272532.4;992;t
US-NY;afiinc992t;p99.5p100;1928;1691385.2;992;t
US-NY;afiinc992t;p99.5p100;1929;1644532.2;992;t
US-NY;afiinc992t;p99.5p100;1930;865740.2;992;t
US-NY;afiinc992t;p99.5p100;1931;628205.2;992;t
US-NY;afiinc992t;p99.5p100;1932;571666.0;992;t
US-NY;afiinc992t;p99.5p100;1933;629351.0;992;t
US-NY;afiinc992t;p99.5p100;1934;592222.7;992;t
US-NY;afiinc992t;p99.5p100;1935;660917.8;992;t
US-NY;afiinc992t;p99.5p100;1936;837082.3;992;t
US-NY;afiinc992t;p99.5p100;1937;690657.5;992;t
US-NY;afiinc992t;p99.5p100;1938;544685.4;992;t
US-NY;afiinc992t;p99.5p100;1939;588426.5;992;t
US-NY;afiinc992t;p99.5p100;1940;607295.4;992;t
US-NY;afiinc992t;p99.5p100;1941;638817.8;992;t
US-NY;afiinc992t;p99.5p100;1942;610518.0;992;t
US-NY;afiinc992t;p99.5p100;1943;665920.9;992;t
US-NY;afiinc992t;p99.5p100;1944;624674.4;992;t
US-NY;afiinc992t;p99.5p100;1945;727747.7;992;t
US-NY;afiinc992t;p99.5p100;1946;726813.3;992;t
US-NY;afiinc992t;p99.5p100;1947;620951.4;992;t
US-NY;afiinc992t;p99.5p100;1948;640738.3;992;t
US-NY;afiinc992t;p99.5p100;1949;599314.2;992;t
US-NY;afiinc992t;p99.5p100;1950;735658.4;992;t
US-NY;afiinc992t;p99.5p100;1951;745541.6;992;t
US-NY;afiinc992t;p99.5p100;1952;607050.5;992;t
US-NY;afiinc992t;p99.5p100;1953;588389.5;992;t
US-NY;afiinc992t;p99.5p100;1954;663314.7;992;t
US-NY;afiinc992t;p99.5p100;1955;766518.2;992;t
US-NY;afiinc992t;p99.5p100;1956;707487.3;992;t
US-NY;afiinc992t;p99.5p100;1957;650853.1;992;t
US-NY;afiinc992t;p99.5p100;1958;668239.6;992;t
US-NY;afiinc992t;p99.5p100;1959;778801.4;992;t
US-NY;afiinc992t;p99.5p100;1960;693142.4;992;t
