country;variable;percentile;year;value;age;pop
US-UT;sptinc992t;p95p100;1917;0.2585;992;t
US-UT;sptinc992t;p95p100;1918;0.2373;992;t
US-UT;sptinc992t;p95p100;1919;0.2265;992;t
US-UT;sptinc992t;p95p100;1920;0.2275;992;t
US-UT;sptinc992t;p95p100;1921;0.2558;992;t
US-UT;sptinc992t;p95p100;1922;0.2531;992;t
US-UT;sptinc992t;p95p100;1923;0.2502;992;t
US-UT;sptinc992t;p95p100;1924;0.271;992;t
US-UT;sptinc992t;p95p100;1925;0.2787;992;t
US-UT;sptinc992t;p95p100;1926;0.2612;992;t
US-UT;sptinc992t;p95p100;1927;0.2674;992;t
US-UT;sptinc992t;p95p100;1928;0.2805;992;t
US-UT;sptinc992t;p95p100;1929;0.274;992;t
US-UT;sptinc992t;p95p100;1930;0.2606;992;t
US-UT;sptinc992t;p95p100;1931;0.2734;992;t
US-UT;sptinc992t;p95p100;1932;0.2755;992;t
US-UT;sptinc992t;p95p100;1933;0.2743;992;t
US-UT;sptinc992t;p95p100;1934;0.3132;992;t
US-UT;sptinc992t;p95p100;1935;0.2759;992;t
US-UT;sptinc992t;p95p100;1936;0.2822;992;t
US-UT;sptinc992t;p95p100;1937;0.3074;992;t
US-UT;sptinc992t;p95p100;1938;0.283;992;t
US-UT;sptinc992t;p95p100;1939;0.2872;992;t
US-UT;sptinc992t;p95p100;1940;0.2856;992;t
US-UT;sptinc992t;p95p100;1941;0.2732;992;t
US-UT;sptinc992t;p95p100;1942;0.2019;992;t
US-UT;sptinc992t;p95p100;1943;0.1737;992;t
US-UT;sptinc992t;p95p100;1944;0.1787;992;t
US-UT;sptinc992t;p95p100;1945;0.1937;992;t
US-UT;sptinc992t;p95p100;1946;0.2256;992;t
US-UT;sptinc992t;p95p100;1947;0.214;992;t
US-UT;sptinc992t;p95p100;1948;0.2089;992;t
US-UT;sptinc992t;p95p100;1949;0.201;992;t
US-UT;sptinc992t;p95p100;1950;0.2092;992;t
US-UT;sptinc992t;p95p100;1951;0.2154;992;t
US-UT;sptinc992t;p95p100;1952;0.1983;992;t
US-UT;sptinc992t;p95p100;1953;0.1862;992;t
US-UT;sptinc992t;p95p100;1954;0.2022;992;t
US-UT;sptinc992t;p95p100;1955;0.1954;992;t
US-UT;sptinc992t;p95p100;1956;0.1989;992;t
US-UT;sptinc992t;p95p100;1957;0.2136;992;t
US-UT;sptinc992t;p95p100;1958;0.1913;992;t
US-UT;sptinc992t;p95p100;1959;0.2089;992;t
US-UT;sptinc992t;p95p100;1960;0.1912;992;t
US-UT;sptinc992t;p95p100;1961;0.1922;992;t
US-UT;sptinc992t;p95p100;1962;0.1822;992;t
US-UT;sptinc992t;p95p100;1963;0.1877;992;t
US-UT;sptinc992t;p95p100;1964;0.201;992;t
US-UT;sptinc992t;p95p100;1965;0.1994;992;t
US-UT;sptinc992t;p95p100;1966;0.1861;992;t
US-UT;sptinc992t;p95p100;1967;0.195;992;t
US-UT;sptinc992t;p95p100;1968;0.2037;992;t
US-UT;sptinc992t;p95p100;1969;0.1936;992;t
US-UT;sptinc992t;p95p100;1970;0.1853;992;t
US-UT;sptinc992t;p95p100;1971;0.1941;992;t
US-UT;sptinc992t;p95p100;1972;0.1865;992;t
US-UT;sptinc992t;p95p100;1973;0.1911;992;t
US-UT;sptinc992t;p95p100;1974;0.1922;992;t
US-UT;sptinc992t;p95p100;1975;0.1937;992;t
US-UT;sptinc992t;p95p100;1976;0.1909;992;t
US-UT;sptinc992t;p95p100;1977;0.1978;992;t
US-UT;sptinc992t;p95p100;1978;0.195;992;t
US-UT;sptinc992t;p95p100;1979;0.1933;992;t
US-UT;sptinc992t;p95p100;1980;0.1942;992;t
US-UT;sptinc992t;p95p100;1981;0.1953;992;t
US-UT;sptinc992t;p95p100;1982;0.2051;992;t
US-UT;sptinc992t;p95p100;1983;0.201;992;t
US-UT;sptinc992t;p95p100;1984;0.2097;992;t
US-UT;sptinc992t;p95p100;1985;0.218;992;t
US-UT;sptinc992t;p95p100;1986;0.2377;992;t
US-UT;sptinc992t;p95p100;1987;0.2141;992;t
US-UT;sptinc992t;p95p100;1988;0.2319;992;t
US-UT;sptinc992t;p95p100;1989;0.2315;992;t
US-UT;sptinc992t;p95p100;1990;0.2462;992;t
US-UT;sptinc992t;p95p100;1991;0.2442;992;t
US-UT;sptinc992t;p95p100;1992;0.2575;992;t
US-UT;sptinc992t;p95p100;1993;0.2586;992;t
US-UT;sptinc992t;p95p100;1994;0.2686;992;t
US-UT;sptinc992t;p95p100;1995;0.2802;992;t
US-UT;sptinc992t;p95p100;1996;0.2906;992;t
US-UT;sptinc992t;p95p100;1997;0.2926;992;t
US-UT;sptinc992t;p95p100;1998;0.2884;992;t
US-UT;sptinc992t;p95p100;1999;0.2979;992;t
US-UT;sptinc992t;p95p100;2000;0.307;992;t
US-UT;sptinc992t;p95p100;2001;0.2742;992;t
US-UT;sptinc992t;p95p100;2002;0.2735;992;t
US-UT;sptinc992t;p95p100;2003;0.2859;992;t
US-UT;sptinc992t;p95p100;2004;0.3036;992;t
US-UT;sptinc992t;p95p100;2005;0.3251;992;t
US-UT;sptinc992t;p95p100;2006;0.3392;992;t
US-UT;sptinc992t;p95p100;2007;0.3437;992;t
US-UT;sptinc992t;p95p100;2008;0.3077;992;t
US-UT;sptinc992t;p95p100;2009;0.2963;992;t
US-UT;sptinc992t;p95p100;2010;0.3015;992;t
US-UT;sptinc992t;p95p100;2011;0.2984;992;t
US-UT;sptinc992t;p95p100;2012;0.3317;992;t
US-UT;sptinc992t;p95p100;2013;0.2969;992;t
US-UT;sptinc992t;p95p100;2014;0.3149;992;t
US-UT;sptinc992t;p95p100;2015;0.3088;992;t
US-UT;sptinc992t;p95p100;2016;0.3216;992;t
US-UT;sptinc992t;p95p100;2017;0.3212;992;t
US-UT;sptinc992t;p95p100;2018;0.3298;992;t
US-UT;sptinc992t;p99.5p99.9;1917;0.0483;992;t
US-UT;sptinc992t;p99.5p99.9;1918;0.0423;992;t
US-UT;sptinc992t;p99.5p99.9;1919;0.0389;992;t
US-UT;sptinc992t;p99.5p99.9;1920;0.041;992;t
US-UT;sptinc992t;p99.5p99.9;1921;0.045;992;t
US-UT;sptinc992t;p99.5p99.9;1922;0.0448;992;t
US-UT;sptinc992t;p99.5p99.9;1923;0.0428;992;t
