country;variable;percentile;year;value;age;pop
US-VT;sfiinc992t;p99.5p99.9;1917;0.052;992;t
US-VT;sfiinc992t;p99.5p99.9;1918;0.0518;992;t
US-VT;sfiinc992t;p99.5p99.9;1919;0.054;992;t
US-VT;sfiinc992t;p99.5p99.9;1920;0.0501;992;t
US-VT;sfiinc992t;p99.5p99.9;1921;0.0504;992;t
US-VT;sfiinc992t;p99.5p99.9;1922;0.0518;992;t
US-VT;sfiinc992t;p99.5p99.9;1923;0.0508;992;t
US-VT;sfiinc992t;p99.5p99.9;1924;0.0529;992;t
US-VT;sfiinc992t;p99.5p99.9;1925;0.0576;992;t
US-VT;sfiinc992t;p99.5p99.9;1926;0.0538;992;t
US-VT;sfiinc992t;p99.5p99.9;1927;0.0561;992;t
US-VT;sfiinc992t;p99.5p99.9;1928;0.0601;992;t
US-VT;sfiinc992t;p99.5p99.9;1929;0.0612;992;t
US-VT;sfiinc992t;p99.5p99.9;1930;0.0539;992;t
US-VT;sfiinc992t;p99.5p99.9;1931;0.0508;992;t
US-VT;sfiinc992t;p99.5p99.9;1932;0.0499;992;t
US-VT;sfiinc992t;p99.5p99.9;1933;0.0483;992;t
US-VT;sfiinc992t;p99.5p99.9;1934;0.0502;992;t
US-VT;sfiinc992t;p99.5p99.9;1935;0.0501;992;t
US-VT;sfiinc992t;p99.5p99.9;1936;0.0577;992;t
US-VT;sfiinc992t;p99.5p99.9;1937;0.0568;992;t
US-VT;sfiinc992t;p99.5p99.9;1938;0.0499;992;t
US-VT;sfiinc992t;p99.5p99.9;1939;0.0514;992;t
US-VT;sfiinc992t;p99.5p99.9;1940;0.0527;992;t
US-VT;sfiinc992t;p99.5p99.9;1941;0.0473;992;t
US-VT;sfiinc992t;p99.5p99.9;1942;0.0409;992;t
US-VT;sfiinc992t;p99.5p99.9;1943;0.0393;992;t
US-VT;sfiinc992t;p99.5p99.9;1944;0.0396;992;t
US-VT;sfiinc992t;p99.5p99.9;1945;0.0434;992;t
US-VT;sfiinc992t;p99.5p99.9;1946;0.044;992;t
US-VT;sfiinc992t;p99.5p99.9;1947;0.0393;992;t
US-VT;sfiinc992t;p99.5p99.9;1948;0.0382;992;t
US-VT;sfiinc992t;p99.5p99.9;1949;0.0377;992;t
US-VT;sfiinc992t;p99.5p99.9;1950;0.041;992;t
US-VT;sfiinc992t;p99.5p99.9;1951;0.0402;992;t
US-VT;sfiinc992t;p99.5p99.9;1952;0.0343;992;t
US-VT;sfiinc992t;p99.5p99.9;1953;0.0351;992;t
US-VT;sfiinc992t;p99.5p99.9;1954;0.0352;992;t
US-VT;sfiinc992t;p99.5p99.9;1955;0.0407;992;t
US-VT;sfiinc992t;p99.5p99.9;1956;0.0409;992;t
US-VT;sfiinc992t;p99.5p99.9;1957;0.0362;992;t
US-VT;sfiinc992t;p99.5p99.9;1958;0.0395;992;t
US-VT;sfiinc992t;p99.5p99.9;1959;0.0287;992;t
US-VT;sfiinc992t;p99.5p99.9;1960;0.0314;992;t
US-VT;sfiinc992t;p99.5p99.9;1961;0.0308;992;t
US-VT;sfiinc992t;p99.5p99.9;1962;0.0342;992;t
US-VT;sfiinc992t;p99.5p99.9;1963;0.0319;992;t
US-VT;sfiinc992t;p99.5p99.9;1964;0.0346;992;t
US-VT;sfiinc992t;p99.5p99.9;1965;0.0352;992;t
US-VT;sfiinc992t;p99.5p99.9;1966;0.0339;992;t
US-VT;sfiinc992t;p99.5p99.9;1967;0.0349;992;t
US-VT;sfiinc992t;p99.5p99.9;1968;0.0369;992;t
US-VT;sfiinc992t;p99.5p99.9;1969;0.0333;992;t
US-VT;sfiinc992t;p99.5p99.9;1970;0.0288;992;t
US-VT;sfiinc992t;p99.5p99.9;1971;0.0338;992;t
US-VT;sfiinc992t;p99.5p99.9;1972;0.0285;992;t
US-VT;sfiinc992t;p99.5p99.9;1973;0.0318;992;t
US-VT;sfiinc992t;p99.5p99.9;1974;0.0311;992;t
US-VT;sfiinc992t;p99.5p99.9;1975;0.0295;992;t
US-VT;sfiinc992t;p99.5p99.9;1976;0.0289;992;t
US-VT;sfiinc992t;p99.5p99.9;1977;0.03;992;t
US-VT;sfiinc992t;p99.5p99.9;1978;0.0299;992;t
US-VT;sfiinc992t;p99.5p99.9;1979;0.0296;992;t
US-VT;sfiinc992t;p99.5p99.9;1980;0.0304;992;t
US-VT;sfiinc992t;p99.5p99.9;1981;0.0296;992;t
US-VT;sfiinc992t;p99.5p99.9;1982;0.0312;992;t
US-VT;sfiinc992t;p99.5p99.9;1983;0.0319;992;t
US-VT;sfiinc992t;p99.5p99.9;1984;0.034;992;t
US-VT;sfiinc992t;p99.5p99.9;1985;0.036;992;t
US-VT;sfiinc992t;p99.5p99.9;1986;0.046;992;t
US-VT;sfiinc992t;p99.5p99.9;1987;0.039;992;t
US-VT;sfiinc992t;p99.5p99.9;1988;0.0473;992;t
US-VT;sfiinc992t;p99.5p99.9;1989;0.042;992;t
US-VT;sfiinc992t;p99.5p99.9;1990;0.0387;992;t
US-VT;sfiinc992t;p99.5p99.9;1991;0.0375;992;t
US-VT;sfiinc992t;p99.5p99.9;1992;0.0385;992;t
US-VT;sfiinc992t;p99.5p99.9;1993;0.0388;992;t
US-VT;sfiinc992t;p99.5p99.9;1994;0.0393;992;t
US-VT;sfiinc992t;p99.5p99.9;1995;0.0417;992;t
US-VT;sfiinc992t;p99.5p99.9;1996;0.0454;992;t
US-VT;sfiinc992t;p99.5p99.9;1997;0.0468;992;t
US-VT;sfiinc992t;p99.5p99.9;1998;0.0516;992;t
US-VT;sfiinc992t;p99.5p99.9;1999;0.0504;992;t
US-VT;sfiinc992t;p99.5p99.9;2000;0.0523;992;t
US-VT;sfiinc992t;p99.5p99.9;2001;0.0462;992;t
US-VT;sfiinc992t;p99.5p99.9;2002;0.0465;992;t
US-VT;sfiinc992t;p99.5p99.9;2003;0.0442;992;t
US-VT;sfiinc992t;p99.5p99.9;2004;0.0484;992;t
US-VT;sfiinc992t;p99.5p99.9;2005;0.0543;992;t
US-VT;sfiinc992t;p99.5p99.9;2006;0.0595;992;t
US-VT;sfiinc992t;p99.5p99.9;2007;0.0593;992;t
US-VT;sfiinc992t;p99.5p99.9;2008;0.0512;992;t
US-VT;sfiinc992t;p99.5p99.9;2009;0.0455;992;t
US-VT;sfiinc992t;p99.5p99.9;2010;0.0454;992;t
US-VT;sfiinc992t;p99.5p99.9;2011;0.047;992;t
US-VT;sfiinc992t;p99.5p99.9;2012;0.0522;992;t
US-VT;sfiinc992t;p99.5p99.9;2013;0.0483;992;t
US-VT;sfiinc992t;p99.5p99.9;2014;0.0529;992;t
US-VT;sfiinc992t;p99.5p99.9;2015;0.0504;992;t
US-VT;sfiinc992t;p99.5p99.9;2016;0.0523;992;t
US-VT;sfiinc992t;p99.5p99.9;2017;0.0521;992;t
US-VT;sfiinc992t;p99.5p99.9;2018;0.0514;992;t
US-VT;afiinc992t;p99.5p99.9;1917;166260.2;992;t
US-VT;afiinc992t;p99.5p99.9;1918;155431.6;992;t
US-VT;afiinc992t;p99.5p99.9;1919;160774.4;992;t
