country;variable;percentile;year;value;age;pop
VU;mgsmhn999i;p0p100;2001;14640691200.0;999;i
VU;mgsmhn999i;p0p100;2002;14427244544.0;999;i
VU;mgsmhn999i;p0p100;2003;14601931776.0;999;i
VU;mgsmhn999i;p0p100;2004;15059759104.0;999;i
VU;mgsmhn999i;p0p100;2005;15659992064.0;999;i
VU;mgsmhn999i;p0p100;2006;17126030336.0;999;i
VU;mgsmhn999i;p0p100;2007;18214477824.0;999;i
VU;aptxgo999i;p0p100;2001;53462.9;999;i
VU;aptxgo999i;p0p100;2002;52125.1;999;i
VU;aptxgo999i;p0p100;2003;50322.4;999;i
VU;aptxgo999i;p0p100;2004;52347.7;999;i
VU;aptxgo999i;p0p100;2005;54734.9;999;i
VU;aptxgo999i;p0p100;2006;58544.8;999;i
VU;aptxgo999i;p0p100;2007;64042.7;999;i
VU;aptxgo999i;p0p100;2008;66527.8;999;i
VU;aptxgo999i;p0p100;2009;60652.2;999;i
VU;aptxgo999i;p0p100;2010;57893.0;999;i
VU;aptxgo999i;p0p100;2011;59449.1;999;i
VU;aptxgo999i;p0p100;2012;58501.8;999;i
VU;aptxgo999i;p0p100;2013;61559.9;999;i
VU;aptxgo999i;p0p100;2014;61463.3;999;i
VU;npopul651f;p0p100;1950;296.0;651;f
VU;npopul651f;p0p100;1951;295.0;651;f
VU;npopul651f;p0p100;1952;296.0;651;f
VU;npopul651f;p0p100;1953;296.0;651;f
VU;npopul651f;p0p100;1954;299.0;651;f
VU;npopul651f;p0p100;1955;304.0;651;f
VU;npopul651f;p0p100;1956;309.0;651;f
VU;npopul651f;p0p100;1957;317.0;651;f
VU;npopul651f;p0p100;1958;326.0;651;f
VU;npopul651f;p0p100;1959;336.0;651;f
VU;npopul651f;p0p100;1960;345.0;651;f
VU;npopul651f;p0p100;1961;356.0;651;f
VU;npopul651f;p0p100;1962;369.0;651;f
VU;npopul651f;p0p100;1963;381.0;651;f
VU;npopul651f;p0p100;1964;393.0;651;f
VU;npopul651f;p0p100;1965;406.0;651;f
VU;npopul651f;p0p100;1966;414.0;651;f
VU;npopul651f;p0p100;1967;418.0;651;f
VU;npopul651f;p0p100;1968;420.0;651;f
VU;npopul651f;p0p100;1969;417.0;651;f
VU;npopul651f;p0p100;1970;412.0;651;f
VU;npopul651f;p0p100;1971;419.0;651;f
VU;npopul651f;p0p100;1972;428.0;651;f
VU;npopul651f;p0p100;1973;441.0;651;f
VU;npopul651f;p0p100;1974;458.0;651;f
VU;npopul651f;p0p100;1975;476.0;651;f
VU;npopul651f;p0p100;1976;490.0;651;f
VU;npopul651f;p0p100;1977;506.0;651;f
VU;npopul651f;p0p100;1978;523.0;651;f
VU;npopul651f;p0p100;1979;542.0;651;f
VU;npopul651f;p0p100;1980;566.0;651;f
VU;npopul651f;p0p100;1981;592.0;651;f
VU;npopul651f;p0p100;1982;621.0;651;f
VU;npopul651f;p0p100;1983;654.0;651;f
VU;npopul651f;p0p100;1984;688.0;651;f
VU;npopul651f;p0p100;1985;722.0;651;f
VU;npopul651f;p0p100;1986;746.0;651;f
VU;npopul651f;p0p100;1987;774.0;651;f
VU;npopul651f;p0p100;1988;810.0;651;f
VU;npopul651f;p0p100;1989;851.0;651;f
VU;npopul651f;p0p100;1990;896.0;651;f
VU;npopul651f;p0p100;1991;905.0;651;f
VU;npopul651f;p0p100;1992;920.0;651;f
VU;npopul651f;p0p100;1993;941.0;651;f
VU;npopul651f;p0p100;1994;967.0;651;f
VU;npopul651f;p0p100;1995;1003.0;651;f
VU;npopul651f;p0p100;1996;1013.0;651;f
VU;npopul651f;p0p100;1997;1021.0;651;f
VU;npopul651f;p0p100;1998;1029.0;651;f
VU;npopul651f;p0p100;1999;1043.0;651;f
VU;npopul651f;p0p100;2000;1064.0;651;f
VU;npopul651f;p0p100;2001;1103.0;651;f
VU;npopul651f;p0p100;2002;1149.0;651;f
VU;npopul651f;p0p100;2003;1207.0;651;f
VU;npopul651f;p0p100;2004;1272.0;651;f
VU;npopul651f;p0p100;2005;1344.0;651;f
VU;npopul651f;p0p100;2006;1475.0;651;f
VU;npopul651f;p0p100;2007;1612.0;651;f
VU;npopul651f;p0p100;2008;1745.0;651;f
VU;npopul651f;p0p100;2009;1857.0;651;f
VU;npopul651f;p0p100;2010;1935.0;651;f
VU;npopul651f;p0p100;2011;1819.0;651;f
VU;npopul651f;p0p100;2012;1738.0;651;f
VU;npopul651f;p0p100;2013;1735.0;651;f
VU;npopul651f;p0p100;2014;1815.0;651;f
VU;npopul651f;p0p100;2015;1923.0;651;f
VU;npopul651f;p0p100;2016;1989.0;651;f
VU;npopul651f;p0p100;2017;2040.0;651;f
VU;npopul651f;p0p100;2018;2091.0;651;f
VU;npopul651f;p0p100;2019;2161.0;651;f
VU;npopul651f;p0p100;2020;2260.0;651;f
VU;npopul651f;p0p100;2021;2352.0;651;f
VU;aconnp999i;p0p100;2001;0.0;999;i
VU;aconnp999i;p0p100;2002;0.0;999;i
VU;aconnp999i;p0p100;2003;0.0;999;i
VU;aconnp999i;p0p100;2004;0.0;999;i
VU;aconnp999i;p0p100;2005;0.0;999;i
VU;aconnp999i;p0p100;2006;0.0;999;i
VU;aconnp999i;p0p100;2007;0.0;999;i
VU;npopul994f;p0p100;1950;2756.0;994;f
VU;npopul994f;p0p100;1951;2808.0;994;f
VU;npopul994f;p0p100;1952;2881.0;994;f
VU;npopul994f;p0p100;1953;2966.0;994;f
VU;npopul994f;p0p100;1954;3061.0;994;f
VU;npopul994f;p0p100;1955;3162.0;994;f
VU;npopul994f;p0p100;1956;3247.0;994;f
VU;npopul994f;p0p100;1957;3342.0;994;f
VU;npopul994f;p0p100;1958;3442.0;994;f
VU;npopul994f;p0p100;1959;3551.0;994;f
VU;npopul994f;p0p100;1960;3669.0;994;f
VU;npopul994f;p0p100;1961;3787.0;994;f
VU;npopul994f;p0p100;1962;3913.0;994;f
VU;npopul994f;p0p100;1963;4038.0;994;f
