country;variable;percentile;year;value;age;pop
XF;sptinc999j;p14p15;1820;0.0011826969570847;999;j
XF;sptinc999j;p14p15;1850;0.0011614890909257;999;j
XF;sptinc999j;p14p15;1880;0.0010824529205243;999;j
XF;sptinc999j;p14p15;1900;0.0010801236593703;999;j
XF;sptinc999j;p14p15;1910;0.0010017522964146;999;j
XF;sptinc999j;p14p15;1920;0.001021254259747;999;j
XF;sptinc999j;p14p15;1930;0.0010007079680683;999;j
XF;sptinc999j;p14p15;1940;0.0010073433925837;999;j
XF;sptinc999j;p14p15;1950;0.0009763491083289;999;j
XF;sptinc999j;p14p15;1960;0.0010257537048279;999;j
XF;sptinc999j;p14p15;1970;0.0009981567179695;999;j
XF;sptinc999j;p14p15;1980;0.0006300520592898;999;j
XF;sptinc999j;p14p15;1990;0.001062105981022;999;j
XF;sptinc999j;p14p15;2000;0.0008104755226811;999;j
XF;sptinc999j;p14p15;2010;0.0006452135299883;999;j
XF;sptinc999j;p14p15;2020;0.0008149484435221;999;j
XF;sptinc999j;p39p40;1820;0.0042834096403698;999;j
XF;sptinc999j;p39p40;1850;0.0041669768271895;999;j
XF;sptinc999j;p39p40;1880;0.0038966437223736;999;j
XF;sptinc999j;p39p40;1900;0.0038991193304114;999;j
XF;sptinc999j;p39p40;1910;0.003609608005536;999;j
XF;sptinc999j;p39p40;1920;0.0036774173355467;999;j
XF;sptinc999j;p39p40;1930;0.003593676921929;999;j
XF;sptinc999j;p39p40;1940;0.0035997385749758;999;j
XF;sptinc999j;p39p40;1950;0.0034804900819635;999;j
XF;sptinc999j;p39p40;1960;0.003653955335184;999;j
XF;sptinc999j;p39p40;1970;0.0035503388766261;999;j
XF;sptinc999j;p39p40;1980;0.0022889982103215;999;j
XF;sptinc999j;p39p40;1990;0.0037791462818926;999;j
XF;sptinc999j;p39p40;2000;0.0028823441991614;999;j
XF;sptinc999j;p39p40;2010;0.0023004680227602;999;j
XF;sptinc999j;p39p40;2020;0.0028940964207966;999;j
XF;aptinc999j;p15p16;1820;54.3616638183594;999;j
XF;aptinc999j;p15p16;1850;59.2237701416016;999;j
XF;aptinc999j;p15p16;1880;85.1826019287109;999;j
XF;aptinc999j;p15p16;1900;103.129547119141;999;j
XF;aptinc999j;p15p16;1910;98.2074203491211;999;j
XF;aptinc999j;p15p16;1920;101.317451477051;999;j
XF;aptinc999j;p15p16;1930;123.539810180664;999;j
XF;aptinc999j;p15p16;1940;151.376556396484;999;j
XF;aptinc999j;p15p16;1950;150.909896850586;999;j
XF;aptinc999j;p15p16;1960;189.087036132812;999;j
XF;aptinc999j;p15p16;1970;228.066925048828;999;j
XF;aptinc999j;p15p16;1980;151.919647216797;999;j
XF;aptinc999j;p15p16;1990;224.693145751953;999;j
XF;aptinc999j;p15p16;2000;161.203109741211;999;j
XF;aptinc999j;p15p16;2010;169.197662353516;999;j
XF;aptinc999j;p15p16;2020;226.484100341797;999;j
XF;aptinc999j;p68p69;1820;339.099182128906;999;j
XF;aptinc999j;p68p69;1850;368.030059814453;999;j
XF;aptinc999j;p68p69;1880;535.785278320312;999;j
XF;aptinc999j;p68p69;1900;630.441101074219;999;j
