country;variable;percentile;year;value;age;pop
XM-MER;ahweal992j;p99.997p100;1995;44248924.0;992;j
XM-MER;ahweal992j;p99.997p100;1996;44322460.0;992;j
XM-MER;ahweal992j;p99.997p100;1997;61419352.0;992;j
XM-MER;ahweal992j;p99.997p100;1998;57956532.0;992;j
XM-MER;ahweal992j;p99.997p100;1999;56919700.0;992;j
XM-MER;ahweal992j;p99.997p100;2000;58285120.0;992;j
XM-MER;ahweal992j;p99.997p100;2001;55709972.0;992;j
XM-MER;ahweal992j;p99.997p100;2002;58035864.0;992;j
XM-MER;ahweal992j;p99.997p100;2003;58322992.0;992;j
XM-MER;ahweal992j;p99.997p100;2004;61019008.0;992;j
XM-MER;ahweal992j;p99.997p100;2005;66962492.0;992;j
XM-MER;ahweal992j;p99.997p100;2006;72161432.0;992;j
XM-MER;ahweal992j;p99.997p100;2007;76590000.0;992;j
XM-MER;ahweal992j;p99.997p100;2008;72928336.0;992;j
XM-MER;ahweal992j;p99.997p100;2009;61300048.0;992;j
XM-MER;ahweal992j;p99.997p100;2010;66880400.0;992;j
XM-MER;ahweal992j;p99.997p100;2011;74994928.0;992;j
XM-MER;ahweal992j;p99.997p100;2012;73356712.0;992;j
XM-MER;ahweal992j;p99.997p100;2013;74349600.0;992;j
XM-MER;ahweal992j;p99.997p100;2014;72248160.0;992;j
XM-MER;ahweal992j;p99.997p100;2015;67912256.0;992;j
XM-MER;ahweal992j;p99.997p100;2016;72452672.0;992;j
XM-MER;ahweal992j;p99.997p100;2017;68782240.0;992;j
XM-MER;ahweal992j;p99.997p100;2018;67233968.0;992;j
XM-MER;ahweal992j;p99.997p100;2019;63694788.0;992;j
XM-MER;ahweal992j;p99.997p100;2020;60724768.0;992;j
XM-MER;ahweal992j;p99.997p100;2021;66838356.0;992;j
XM-MER;shweal992j;p17p18;1995;0.0001;992;j
XM-MER;shweal992j;p17p18;1996;0.0001;992;j
XM-MER;shweal992j;p17p18;1997;0.0001;992;j
XM-MER;shweal992j;p17p18;1998;0.0001;992;j
XM-MER;shweal992j;p17p18;1999;0.0001;992;j
XM-MER;shweal992j;p17p18;2000;0.0001;992;j
XM-MER;shweal992j;p17p18;2001;0.0001;992;j
XM-MER;shweal992j;p17p18;2002;0.0002;992;j
XM-MER;shweal992j;p17p18;2003;0.0002;992;j
XM-MER;shweal992j;p17p18;2004;0.0002;992;j
XM-MER;shweal992j;p17p18;2005;0.0002;992;j
XM-MER;shweal992j;p17p18;2006;0.0002;992;j
XM-MER;shweal992j;p17p18;2007;0.0002;992;j
XM-MER;shweal992j;p17p18;2008;0.0002;992;j
XM-MER;shweal992j;p17p18;2009;0.0002;992;j
XM-MER;shweal992j;p17p18;2010;0.0002;992;j
XM-MER;shweal992j;p17p18;2011;0.0002;992;j
XM-MER;shweal992j;p17p18;2012;0.0002;992;j
XM-MER;shweal992j;p17p18;2013;0.0002;992;j
XM-MER;shweal992j;p17p18;2014;0.0002;992;j
XM-MER;shweal992j;p17p18;2015;0.0002;992;j
XM-MER;shweal992j;p17p18;2016;0.0002;992;j
XM-MER;shweal992j;p17p18;2017;0.0002;992;j
XM-MER;shweal992j;p17p18;2018;0.0002;992;j
XM-MER;shweal992j;p17p18;2019;0.0003;992;j
XM-MER;shweal992j;p17p18;2020;0.0003;992;j
XM-MER;shweal992j;p17p18;2021;0.0002;992;j
XM-MER;shweal992j;p2p100;1995;1.0157;992;j
XM-MER;shweal992j;p2p100;1996;1.0161;992;j
XM-MER;shweal992j;p2p100;1997;1.0154;992;j
XM-MER;shweal992j;p2p100;1998;1.0156;992;j
XM-MER;shweal992j;p2p100;1999;1.0158;992;j
XM-MER;shweal992j;p2p100;2000;1.0158;992;j
XM-MER;shweal992j;p2p100;2001;1.0155;992;j
XM-MER;shweal992j;p2p100;2002;1.0152;992;j
XM-MER;shweal992j;p2p100;2003;1.0152;992;j
XM-MER;shweal992j;p2p100;2004;1.0149;992;j
XM-MER;shweal992j;p2p100;2005;1.0142;992;j
XM-MER;shweal992j;p2p100;2006;1.0139;992;j
XM-MER;shweal992j;p2p100;2007;1.0129;992;j
XM-MER;shweal992j;p2p100;2008;1.013;992;j
XM-MER;shweal992j;p2p100;2009;1.0141;992;j
XM-MER;shweal992j;p2p100;2010;1.0135;992;j
XM-MER;shweal992j;p2p100;2011;1.0143;992;j
XM-MER;shweal992j;p2p100;2012;1.0143;992;j
XM-MER;shweal992j;p2p100;2013;1.014;992;j
XM-MER;shweal992j;p2p100;2014;1.0141;992;j
