country;variable;percentile;year;value;age;pop
YE;ahweal992j;p67p68;1995;2368309.3;992;j
YE;ahweal992j;p67p68;1996;2107090.1;992;j
YE;ahweal992j;p67p68;1997;2256659.9;992;j
YE;ahweal992j;p67p68;1998;2576835.6;992;j
YE;ahweal992j;p67p68;1999;2545120.7;992;j
YE;ahweal992j;p67p68;2000;2595578.1;992;j
YE;ahweal992j;p67p68;2001;2611282.8;992;j
YE;ahweal992j;p67p68;2002;2577555.1;992;j
YE;ahweal992j;p67p68;2003;2508188.7;992;j
YE;ahweal992j;p67p68;2004;2394073.0;992;j
YE;ahweal992j;p67p68;2005;2381958.3;992;j
YE;ahweal992j;p67p68;2006;2362632.2;992;j
YE;ahweal992j;p67p68;2007;2282604.4;992;j
YE;ahweal992j;p67p68;2008;2136151.4;992;j
YE;ahweal992j;p67p68;2009;2149644.2;992;j
YE;ahweal992j;p67p68;2010;2111933.6;992;j
YE;ahweal992j;p67p68;2011;1746297.4;992;j
YE;ahweal992j;p67p68;2012;1707652.7;992;j
YE;ahweal992j;p67p68;2013;1701332.5;992;j
YE;ahweal992j;p67p68;2014;1620694.2;992;j
YE;ahweal992j;p67p68;2015;1158504.9;992;j
YE;ahweal992j;p67p68;2016;1065603.2;992;j
YE;ahweal992j;p67p68;2017;1012462.6;992;j
YE;ahweal992j;p67p68;2018;1018671.9;992;j
YE;ahweal992j;p67p68;2019;1037413.9;992;j
YE;ahweal992j;p67p68;2020;995257.3;992;j
YE;ahweal992j;p67p68;2021;997759.8;992;j
YE;ahweal992j;p99.96p100;1995;937171277.3;992;j
YE;ahweal992j;p99.96p100;1996;834174616.6;992;j
YE;ahweal992j;p99.96p100;1997;893777025.5;992;j
YE;ahweal992j;p99.96p100;1998;1026489144.0;992;j
YE;ahweal992j;p99.96p100;1999;1008474289.7;992;j
YE;ahweal992j;p99.96p100;2000;1025753952.0;992;j
YE;ahweal992j;p99.96p100;2001;1032419461.0;992;j
YE;ahweal992j;p99.96p100;2002;1027224470.0;992;j
YE;ahweal992j;p99.96p100;2003;1000035932.0;992;j
YE;ahweal992j;p99.96p100;2004;954954456.1;992;j
YE;ahweal992j;p99.96p100;2005;950546544.1;992;j
YE;ahweal992j;p99.96p100;2006;943255643.7;992;j
YE;ahweal992j;p99.96p100;2007;904858152.0;992;j
YE;ahweal992j;p99.96p100;2008;847171237.9;992;j
YE;ahweal992j;p99.96p100;2009;858606024.9;992;j
YE;ahweal992j;p99.96p100;2010;837940046.3;992;j
YE;ahweal992j;p99.96p100;2011;693177422.7;992;j
