country;variable;percentile;year;value;age;pop
ZZ;tptinc992j;p0p80;1980;0.0;992;j
ZZ;tptinc992j;p0p80;1981;0.0;992;j
ZZ;tptinc992j;p0p80;1982;0.0;992;j
ZZ;tptinc992j;p0p80;1983;0.0;992;j
ZZ;tptinc992j;p0p80;1984;0.0;992;j
ZZ;tptinc992j;p0p80;1985;0.0;992;j
ZZ;tptinc992j;p0p80;1986;0.0;992;j
ZZ;tptinc992j;p0p80;1987;0.0;992;j
ZZ;tptinc992j;p0p80;1988;0.0;992;j
ZZ;tptinc992j;p0p80;1989;0.0;992;j
ZZ;tptinc992j;p0p80;1990;0.0;992;j
ZZ;tptinc992j;p0p80;1991;0.0;992;j
ZZ;tptinc992j;p0p80;1992;0.0;992;j
ZZ;tptinc992j;p0p80;1993;0.0;992;j
ZZ;tptinc992j;p0p80;1994;0.0;992;j
ZZ;tptinc992j;p0p80;1995;0.0;992;j
ZZ;tptinc992j;p0p80;1996;0.0;992;j
ZZ;tptinc992j;p0p80;1997;0.0;992;j
ZZ;tptinc992j;p0p80;1998;0.0;992;j
ZZ;tptinc992j;p0p80;1999;0.0;992;j
ZZ;tptinc992j;p0p80;2000;0.0;992;j
ZZ;tptinc992j;p0p80;2001;0.0;992;j
ZZ;tptinc992j;p0p80;2002;0.0;992;j
ZZ;tptinc992j;p0p80;2003;0.0;992;j
ZZ;tptinc992j;p0p80;2004;0.0;992;j
ZZ;tptinc992j;p0p80;2005;0.0;992;j
ZZ;tptinc992j;p0p80;2006;0.0;992;j
ZZ;tptinc992j;p0p80;2007;0.0;992;j
ZZ;tptinc992j;p0p80;2008;0.0;992;j
ZZ;tptinc992j;p0p80;2009;0.0;992;j
ZZ;tptinc992j;p0p80;2010;0.0;992;j
ZZ;tptinc992j;p0p80;2011;0.0;992;j
ZZ;tptinc992j;p0p80;2012;0.0;992;j
ZZ;tptinc992j;p0p80;2013;0.0;992;j
ZZ;tptinc992j;p0p80;2014;0.0;992;j
ZZ;tptinc992j;p0p80;2015;0.0;992;j
ZZ;tptinc992j;p0p80;2016;0.0;992;j
ZZ;tptinc992j;p0p80;2017;0.0;992;j
ZZ;tptinc992j;p0p80;2018;0.0;992;j
ZZ;tptinc992j;p0p80;2019;0.0;992;j
ZZ;tptinc992j;p0p80;2020;0.0;992;j
ZZ;tptinc992j;p0p80;2021;0.0;992;j
ZZ;sptinc992j;p0p42;1980;0.1081;992;j
ZZ;sptinc992j;p0p42;1981;0.1081;992;j
ZZ;sptinc992j;p0p42;1982;0.1081;992;j
ZZ;sptinc992j;p0p42;1983;0.1081;992;j
ZZ;sptinc992j;p0p42;1984;0.1081;992;j
ZZ;sptinc992j;p0p42;1985;0.1081;992;j
ZZ;sptinc992j;p0p42;1986;0.1081;992;j
ZZ;sptinc992j;p0p42;1987;0.1081;992;j
ZZ;sptinc992j;p0p42;1988;0.1081;992;j
ZZ;sptinc992j;p0p42;1989;0.1081;992;j
ZZ;sptinc992j;p0p42;1990;0.1081;992;j
ZZ;sptinc992j;p0p42;1991;0.1081;992;j
ZZ;sptinc992j;p0p42;1992;0.1072;992;j
ZZ;sptinc992j;p0p42;1993;0.1063;992;j
ZZ;sptinc992j;p0p42;1994;0.1054;992;j
ZZ;sptinc992j;p0p42;1995;0.1045;992;j
ZZ;sptinc992j;p0p42;1996;0.1036;992;j
ZZ;sptinc992j;p0p42;1997;0.1027;992;j
ZZ;sptinc992j;p0p42;1998;0.1018;992;j
ZZ;sptinc992j;p0p42;1999;0.101;992;j
ZZ;sptinc992j;p0p42;2000;0.1001;992;j
ZZ;sptinc992j;p0p42;2001;0.0987;992;j
ZZ;sptinc992j;p0p42;2002;0.0973;992;j
ZZ;sptinc992j;p0p42;2003;0.0959;992;j
ZZ;sptinc992j;p0p42;2004;0.0945;992;j
ZZ;sptinc992j;p0p42;2005;0.0931;992;j
ZZ;sptinc992j;p0p42;2006;0.0917;992;j
ZZ;sptinc992j;p0p42;2007;0.0903;992;j
ZZ;sptinc992j;p0p42;2008;0.0919;992;j
ZZ;sptinc992j;p0p42;2009;0.0935;992;j
ZZ;sptinc992j;p0p42;2010;0.0951;992;j
ZZ;sptinc992j;p0p42;2011;0.0967;992;j
ZZ;sptinc992j;p0p42;2012;0.0956;992;j
ZZ;sptinc992j;p0p42;2013;0.0945;992;j
ZZ;sptinc992j;p0p42;2014;0.0934;992;j
ZZ;sptinc992j;p0p42;2015;0.0918;992;j
ZZ;sptinc992j;p0p42;2016;0.0902;992;j
ZZ;sptinc992j;p0p42;2017;0.0886;992;j
ZZ;sptinc992j;p0p42;2018;0.0886;992;j
ZZ;sptinc992j;p0p42;2019;0.0886;992;j
ZZ;sptinc992j;p0p42;2020;0.0886;992;j
ZZ;sptinc992j;p0p42;2021;0.0886;992;j
ZZ;sptinc992j;p99.7p100;1980;0.0529;992;j
ZZ;sptinc992j;p99.7p100;1981;0.0529;992;j
ZZ;sptinc992j;p99.7p100;1982;0.0529;992;j
ZZ;sptinc992j;p99.7p100;1983;0.0529;992;j
ZZ;sptinc992j;p99.7p100;1984;0.0529;992;j
ZZ;sptinc992j;p99.7p100;1985;0.0529;992;j
ZZ;sptinc992j;p99.7p100;1986;0.0529;992;j
ZZ;sptinc992j;p99.7p100;1987;0.0529;992;j
ZZ;sptinc992j;p99.7p100;1988;0.0529;992;j
ZZ;sptinc992j;p99.7p100;1989;0.0529;992;j
ZZ;sptinc992j;p99.7p100;1990;0.0529;992;j
ZZ;sptinc992j;p99.7p100;1991;0.0529;992;j
ZZ;sptinc992j;p99.7p100;1992;0.0537;992;j
ZZ;sptinc992j;p99.7p100;1993;0.0545;992;j
ZZ;sptinc992j;p99.7p100;1994;0.0554;992;j
ZZ;sptinc992j;p99.7p100;1995;0.0562;992;j
ZZ;sptinc992j;p99.7p100;1996;0.057;992;j
ZZ;sptinc992j;p99.7p100;1997;0.0578;992;j
ZZ;sptinc992j;p99.7p100;1998;0.0587;992;j
ZZ;sptinc992j;p99.7p100;1999;0.0595;992;j
ZZ;sptinc992j;p99.7p100;2000;0.0603;992;j
ZZ;sptinc992j;p99.7p100;2001;0.0634;992;j
ZZ;sptinc992j;p99.7p100;2002;0.0665;992;j
ZZ;sptinc992j;p99.7p100;2003;0.0697;992;j
ZZ;sptinc992j;p99.7p100;2004;0.0728;992;j
ZZ;sptinc992j;p99.7p100;2005;0.0759;992;j
ZZ;sptinc992j;p99.7p100;2006;0.0791;992;j
ZZ;sptinc992j;p99.7p100;2007;0.0822;992;j
ZZ;sptinc992j;p99.7p100;2008;0.0833;992;j
ZZ;sptinc992j;p99.7p100;2009;0.0844;992;j
ZZ;sptinc992j;p99.7p100;2010;0.0855;992;j
ZZ;sptinc992j;p99.7p100;2011;0.0867;992;j
ZZ;sptinc992j;p99.7p100;2012;0.0762;992;j
ZZ;sptinc992j;p99.7p100;2013;0.0658;992;j
ZZ;sptinc992j;p99.7p100;2014;0.0557;992;j
ZZ;sptinc992j;p99.7p100;2015;0.0692;992;j
ZZ;sptinc992j;p99.7p100;2016;0.083;992;j
ZZ;sptinc992j;p99.7p100;2017;0.0969;992;j
ZZ;sptinc992j;p99.7p100;2018;0.0969;992;j
ZZ;sptinc992j;p99.7p100;2019;0.0969;992;j
ZZ;sptinc992j;p99.7p100;2020;0.0969;992;j
ZZ;sptinc992j;p99.7p100;2021;0.0969;992;j
ZZ;aptinc992j;p0p33;1980;;992;j
ZZ;aptinc992j;p0p33;1981;;992;j
ZZ;aptinc992j;p0p33;1982;;992;j
ZZ;aptinc992j;p0p33;1983;;992;j
ZZ;aptinc992j;p0p33;1984;;992;j
ZZ;aptinc992j;p0p33;1985;;992;j
ZZ;aptinc992j;p0p33;1986;;992;j
ZZ;aptinc992j;p0p33;1987;;992;j
ZZ;aptinc992j;p0p33;1988;;992;j
ZZ;aptinc992j;p0p33;1989;;992;j
ZZ;aptinc992j;p0p33;1990;;992;j
ZZ;aptinc992j;p0p33;1991;;992;j
ZZ;aptinc992j;p0p33;1992;;992;j
ZZ;aptinc992j;p0p33;1993;;992;j
ZZ;aptinc992j;p0p33;1994;;992;j
ZZ;aptinc992j;p0p33;1995;;992;j
ZZ;aptinc992j;p0p33;1996;;992;j
ZZ;aptinc992j;p0p33;1997;;992;j
ZZ;aptinc992j;p0p33;1998;;992;j
ZZ;aptinc992j;p0p33;1999;;992;j
ZZ;aptinc992j;p0p33;2000;;992;j
ZZ;aptinc992j;p0p33;2001;;992;j
ZZ;aptinc992j;p0p33;2002;;992;j
ZZ;aptinc992j;p0p33;2003;;992;j
