PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
USA,02,f,0,1,O,1,7,1933,19,O,952985,4,.,.,1
USA,02,f,1,1,O,1,7,1933,19,O,994297,4,.,.,1
USA,02,f,2,1,O,1,7,1933,19,O,1079934,4,.,.,1
USA,02,f,3,1,O,1,7,1933,19,O,1102272,4,.,.,1
USA,02,f,4,1,O,1,7,1933,19,O,1110817,4,.,.,1
USA,02,f,5,1,O,1,7,1933,19,O,1148196,4,.,.,1
USA,02,f,6,1,O,1,7,1933,19,O,1187705,4,.,.,1
USA,02,f,7,1,O,1,7,1933,19,O,1191844,4,.,.,1
USA,02,f,8,1,O,1,7,1933,19,O,1214147,4,.,.,1
USA,02,f,9,1,O,1,7,1933,19,O,1232923,4,.,.,1
USA,02,f,10,1,O,1,7,1933,19,O,1227587,4,.,.,1
USA,02,f,11,1,O,1,7,1933,19,O,1258357,4,.,.,1
USA,02,f,12,1,O,1,7,1933,19,O,1239957,4,.,.,1
USA,02,f,13,1,O,1,7,1933,19,O,1215186,4,.,.,1
USA,02,f,14,1,O,1,7,1933,19,O,1195908,4,.,.,1
USA,02,f,15,1,O,1,7,1933,19,O,1179878,4,.,.,1
USA,02,f,16,1,O,1,7,1933,19,O,1171077,4,.,.,1
USA,02,f,17,1,O,1,7,1933,19,O,1167995,4,.,.,1
USA,02,f,18,1,O,1,7,1933,19,O,1164016,4,.,.,1
USA,02,f,19,1,O,1,7,1933,19,O,1158489,4,.,.,1
USA,02,f,20,1,O,1,7,1933,19,O,1151254,4,.,.,1
USA,02,f,21,1,O,1,7,1933,19,O,1141215,4,.,.,1
USA,02,f,22,1,O,1,7,1933,19,O,1128649,4,.,.,1
USA,02,f,23,1,O,1,7,1933,19,O,1115441,4,.,.,1
USA,02,f,24,1,O,1,7,1933,19,O,1102255,4,.,.,1
USA,02,f,25,1,O,1,7,1933,19,O,1087179,4,.,.,1
USA,02,f,26,1,O,1,7,1933,19,O,1068951,4,.,.,1
USA,02,f,27,1,O,1,7,1933,19,O,1048227,4,.,.,1
USA,02,f,28,1,O,1,7,1933,19,O,1027187,4,.,.,1
USA,02,f,29,1,O,1,7,1933,19,O,1006386,4,.,.,1
USA,02,f,30,1,O,1,7,1933,19,O,985952,4,.,.,1
