Bulgaria, Life tables (period 1x10), Total	Last modified: 27 Sep 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1947-1949        0      0.13427  0.12283  0.31  100000   12283   91474  5599682  56.00
1947-1949        1      0.02639  0.02605  0.50   87717    2285   86575  5508208  62.79
1947-1949        2      0.01192  0.01185  0.50   85433    1012   84927  5421633  63.46
1947-1949        3      0.00617  0.00615  0.50   84420     520   84161  5336706  63.22
1947-1949        4      0.00446  0.00445  0.50   83901     373   83714  5252546  62.60
1947-1949        5      0.00338  0.00337  0.50   83528     282   83387  5168831  61.88
1947-1949        6      0.00266  0.00266  0.50   83246     222   83135  5085445  61.09
1947-1949        7      0.00247  0.00247  0.50   83024     205   82922  5002309  60.25
1947-1949        8      0.00213  0.00212  0.50   82820     176   82732  4919387  59.40
1947-1949        9      0.00188  0.00188  0.50   82644     155   82566  4836656  58.52
1947-1949       10      0.00177  0.00177  0.50   82489     146   82416  4754089  57.63
1947-1949       11      0.00171  0.00171  0.50   82343     141   82272  4671674  56.73
1947-1949       12      0.00178  0.00178  0.50   82202     147   82129  4589401  55.83
1947-1949       13      0.00188  0.00188  0.50   82056     154   81978  4507273  54.93
1947-1949       14      0.00209  0.00209  0.50   81901     171   81816  4425294  54.03
1947-1949       15      0.00240  0.00239  0.50   81730     196   81632  4343479  53.14
1947-1949       16      0.00281  0.00281  0.50   81535     229   81420  4261846  52.27
1947-1949       17      0.00354  0.00353  0.50   81305     287   81162  4180426  51.42
1947-1949       18      0.00364  0.00364  0.50   81018     295   80871  4099264  50.60
1947-1949       19      0.00437  0.00436  0.50   80724     352   80548  4018393  49.78
1947-1949       20      0.00482  0.00481  0.50   80372     386   80179  3937845  49.00
1947-1949       21      0.00497  0.00495  0.50   79986     396   79788  3857666  48.23
1947-1949       22      0.00497  0.00495  0.50   79589     394   79392  3777879  47.47
1947-1949       23      0.00454  0.00453  0.50   79195     359   79016  3698487  46.70
1947-1949       24      0.00440  0.00439  0.50   78837     346   78664  3619471  45.91
1947-1949       25      0.00436  0.00435  0.50   78491     342   78320  3540807  45.11
1947-1949       26      0.00424  0.00424  0.50   78149     331   77984  3462487  44.31
1947-1949       27      0.00410  0.00409  0.50   77818     319   77659  3384503  43.49
1947-1949       28      0.00412  0.00411  0.50   77499     319   77340  3306845  42.67
1947-1949       29      0.00361  0.00361  0.50   77181     278   77042  3229505  41.84
1947-1949       30      0.00401  0.00401  0.50   76902     308   76748  3152463  40.99
1947-1949       31      0.00382  0.00381  0.50   76594     292   76448  3075715  40.16
1947-1949       32      0.00407  0.00407  0.50   76302     310   76147  2999266  39.31
1947-1949       33      0.00378  0.00377  0.50   75992     287   75849  2923119  38.47
1947-1949       34      0.00367  0.00366  0.50   75706     277   75567  2847270  37.61
1947-1949       35      0.00422  0.00421  0.50   75428     317   75270  2771703  36.75
