United Kingdom, Life tables (period 1x10), Total	Last modified: 11 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1922-1929        0      0.07704  0.07310  0.30  100000    7310   94893  5857620  58.58
1922-1929        1      0.02184  0.02160  0.50   92690    2002   91688  5762727  62.17
1922-1929        2      0.00920  0.00916  0.50   90687     830   90272  5671039  62.53
1922-1929        3      0.00544  0.00543  0.50   89857     488   89613  5580766  62.11
1922-1929        4      0.00395  0.00394  0.50   89369     352   89193  5491153  61.44
1922-1929        5      0.00346  0.00346  0.50   89017     308   88863  5401960  60.68
1922-1929        6      0.00271  0.00271  0.50   88710     240   88589  5313097  59.89
1922-1929        7      0.00225  0.00225  0.50   88469     199   88370  5224507  59.05
1922-1929        8      0.00194  0.00194  0.50   88270     171   88185  5136137  58.19
1922-1929        9      0.00175  0.00175  0.50   88099     154   88022  5047953  57.30
1922-1929       10      0.00161  0.00161  0.50   87945     141   87875  4959930  56.40
1922-1929       11      0.00156  0.00156  0.50   87804     137   87736  4872055  55.49
1922-1929       12      0.00159  0.00159  0.50   87667     139   87598  4784320  54.57
1922-1929       13      0.00170  0.00170  0.50   87528     148   87454  4696722  53.66
1922-1929       14      0.00191  0.00191  0.50   87380     167   87297  4609267  52.75
1922-1929       15      0.00213  0.00212  0.50   87213     185   87121  4521971  51.85
1922-1929       16      0.00240  0.00239  0.50   87028     208   86924  4434850  50.96
1922-1929       17      0.00263  0.00262  0.50   86820     228   86706  4347926  50.08
1922-1929       18      0.00284  0.00284  0.50   86592     246   86469  4261220  49.21
1922-1929       19      0.00299  0.00299  0.50   86346     258   86217  4174751  48.35
1922-1929       20      0.00313  0.00312  0.50   86088     269   85954  4088534  47.49
1922-1929       21      0.00321  0.00320  0.50   85820     275   85682  4002580  46.64
1922-1929       22      0.00323  0.00322  0.50   85545     276   85407  3916898  45.79
1922-1929       23      0.00330  0.00330  0.50   85269     281   85128  3831491  44.93
1922-1929       24      0.00342  0.00341  0.50   84988     290   84843  3746362  44.08
1922-1929       25      0.00340  0.00339  0.50   84698     287   84554  3661520  43.23
1922-1929       26      0.00348  0.00347  0.50   84411     293   84264  3576965  42.38
1922-1929       27      0.00360  0.00360  0.50   84118     302   83966  3492701  41.52
1922-1929       28      0.00364  0.00363  0.50   83815     304   83663  3408735  40.67
1922-1929       29      0.00368  0.00367  0.50   83511     307   83357  3325072  39.82
1922-1929       30      0.00378  0.00377  0.50   83204     314   83047  3241714  38.96
1922-1929       31      0.00374  0.00373  0.50   82890     309   82735  3158667  38.11
1922-1929       32      0.00406  0.00405  0.50   82581     334   82414  3075932  37.25
1922-1929       33      0.00408  0.00407  0.50   82247     335   82079  2993518  36.40
1922-1929       34      0.00430  0.00429  0.50   81912     352   81736  2911439  35.54
1922-1929       35      0.00450  0.00449  0.50   81560     366   81377  2829703  34.69
1922-1929       36      0.00470  0.00469  0.50   81194     381   81004  2748325  33.85
1922-1929       37      0.00491  0.00490  0.50   80813     396   80615  2667322  33.01
1922-1929       38      0.00540  0.00538  0.50   80417     433   80201  2586706  32.17
1922-1929       39      0.00562  0.00561  0.50   79984     449   79760  2506506  31.34
1922-1929       40      0.00583  0.00581  0.50   79536     462   79305  2426745  30.51
1922-1929       41      0.00582  0.00580  0.50   79074     459   78844  2347441  29.69
1922-1929       42      0.00677  0.00675  0.50   78615     530   78350  2268596  28.86
1922-1929       43      0.00671  0.00669  0.50   78085     522   77824  2190246  28.05
1922-1929       44      0.00699  0.00697  0.50   77562     540   77292  2112423  27.24
1922-1929       45      0.00758  0.00755  0.50   77022     582   76731  2035131  26.42
1922-1929       46      0.00789  0.00786  0.50   76440     601   76140  1958400  25.62
1922-1929       47      0.00846  0.00843  0.50   75839     639   75520  1882260  24.82
1922-1929       48      0.00928  0.00924  0.50   75200     695   74853  1806740  24.03
1922-1929       49      0.01000  0.00995  0.50   74505     742   74134  1731887  23.25
1922-1929       50      0.01062  0.01057  0.50   73763     779   73374  1657753  22.47
1922-1929       51      0.01048  0.01043  0.50   72984     761   72603  1584379  21.71
1922-1929       52      0.01234  0.01227  0.50   72223     886   71780  1511776  20.93
1922-1929       53      0.01306  0.01297  0.50   71337     926   70874  1439996  20.19
1922-1929       54      0.01433  0.01423  0.50   70411    1002   69910  1369122  19.44
1922-1929       55      0.01411  0.01401  0.50   69409     972   68923  1299212  18.72
1922-1929       56      0.01644  0.01631  0.50   68437    1116   67879  1230289  17.98
1922-1929       57      0.01719  0.01704  0.50   67321    1147   66747  1162410  17.27
1922-1929       58      0.01959  0.01940  0.50   66174    1284   65532  1095663  16.56
1922-1929       59      0.02090  0.02068  0.50   64890    1342   64219  1030131  15.88
1922-1929       60      0.02249  0.02224  0.50   63548    1414   62841   965912  15.20
1922-1929       61      0.02266  0.02241  0.50   62134    1392   61438   903072  14.53
1922-1929       62      0.02720  0.02684  0.50   60742    1630   59927   841633  13.86
1922-1929       63      0.02984  0.02940  0.50   59112    1738   58243   781707  13.22
1922-1929       64      0.03278  0.03225  0.50   57374    1850   56449   723464  12.61
1922-1929       65      0.03693  0.03626  0.50   55523    2013   54517   667015  12.01
1922-1929       66      0.03627  0.03563  0.50   53510    1906   52557   612498  11.45
