Republic of Korea, Life tables (period 1x10), Total	Last modified: 15 Nov 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
2003-2009        0      0.00417  0.00416  0.14  100000     416   99643  7885900  78.86
2003-2009        1      0.00041  0.00041  0.50   99584      41   99564  7786258  78.19
2003-2009        2      0.00029  0.00029  0.50   99543      29   99529  7686694  77.22
2003-2009        3      0.00025  0.00025  0.50   99514      25   99502  7587166  76.24
2003-2009        4      0.00021  0.00021  0.50   99489      21   99478  7487664  75.26
2003-2009        5      0.00019  0.00019  0.50   99468      19   99458  7388186  74.28
2003-2009        6      0.00019  0.00019  0.50   99449      19   99440  7288727  73.29
2003-2009        7      0.00017  0.00017  0.50   99430      17   99422  7189288  72.30
2003-2009        8      0.00015  0.00015  0.50   99413      15   99406  7089866  71.32
2003-2009        9      0.00013  0.00013  0.50   99398      13   99392  6990460  70.33
2003-2009       10      0.00013  0.00013  0.50   99385      12   99379  6891068  69.34
2003-2009       11      0.00012  0.00012  0.50   99373      12   99367  6791689  68.35
2003-2009       12      0.00013  0.00013  0.50   99361      13   99354  6692322  67.35
2003-2009       13      0.00015  0.00015  0.50   99348      15   99340  6592968  66.36
2003-2009       14      0.00018  0.00018  0.50   99333      18   99324  6493628  65.37
2003-2009       15      0.00023  0.00023  0.50   99315      22   99304  6394304  64.38
2003-2009       16      0.00029  0.00029  0.50   99293      28   99278  6295000  63.40
2003-2009       17      0.00034  0.00034  0.50   99264      33   99248  6195722  62.42
2003-2009       18      0.00038  0.00038  0.50   99231      38   99212  6096474  61.44
2003-2009       19      0.00040  0.00040  0.50   99193      40   99173  5997262  60.46
2003-2009       20      0.00042  0.00042  0.50   99153      41   99133  5898089  59.48
2003-2009       21      0.00042  0.00042  0.50   99112      41   99091  5798957  58.51
2003-2009       22      0.00048  0.00048  0.50   99070      48   99046  5699866  57.53
2003-2009       23      0.00051  0.00051  0.50   99023      51   98997  5600819  56.56
2003-2009       24      0.00053  0.00053  0.50   98972      53   98946  5501822  55.59
