Germany, Life tables (period 1x5), Total	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1990-1994        0      0.00623  0.00620  0.14  100000     620   99465  7586682  75.87
1990-1994        1      0.00058  0.00058  0.50   99380      57   99352  7487217  75.34
1990-1994        2      0.00036  0.00036  0.50   99323      36   99305  7387866  74.38
1990-1994        3      0.00030  0.00030  0.50   99287      30   99272  7288561  73.41
1990-1994        4      0.00024  0.00024  0.50   99257      24   99245  7189289  72.43
1990-1994        5      0.00021  0.00021  0.50   99233      21   99222  7090044  71.45
1990-1994        6      0.00019  0.00019  0.50   99212      19   99202  6990821  70.46
1990-1994        7      0.00018  0.00018  0.50   99193      18   99184  6891619  69.48
1990-1994        8      0.00018  0.00018  0.50   99175      17   99166  6792435  68.49
1990-1994        9      0.00016  0.00016  0.50   99158      16   99150  6693269  67.50
1990-1994       10      0.00016  0.00016  0.50   99142      16   99134  6594119  66.51
1990-1994       11      0.00017  0.00017  0.50   99126      17   99118  6494985  65.52
1990-1994       12      0.00017  0.00017  0.50   99109      17   99101  6395867  64.53
1990-1994       13      0.00019  0.00019  0.50   99093      19   99084  6296766  63.54
1990-1994       14      0.00022  0.00022  0.50   99074      22   99063  6197682  62.56
1990-1994       15      0.00030  0.00030  0.50   99053      30   99038  6098619  61.57
1990-1994       16      0.00042  0.00042  0.50   99023      42   99002  5999581  60.59
1990-1994       17      0.00051  0.00051  0.50   98981      50   98956  5900579  59.61
1990-1994       18      0.00075  0.00075  0.50   98931      74   98894  5801623  58.64
1990-1994       19      0.00080  0.00080  0.50   98857      79   98817  5702729  57.69
1990-1994       20      0.00076  0.00076  0.50   98777      75   98740  5603912  56.73
1990-1994       21      0.00075  0.00075  0.50   98703      74   98665  5505172  55.78
1990-1994       22      0.00074  0.00074  0.50   98628      73   98592  5406507  54.82
1990-1994       23      0.00072  0.00072  0.50   98556      71   98520  5307915  53.86
1990-1994       24      0.00071  0.00071  0.50   98484      70   98449  5209395  52.90
1990-1994       25      0.00074  0.00074  0.50   98414      73   98377  5110946  51.93
1990-1994       26      0.00074  0.00074  0.50   98341      73   98304  5012569  50.97
1990-1994       27      0.00075  0.00075  0.50   98268      73   98232  4914265  50.01
1990-1994       28      0.00079  0.00079  0.50   98195      77   98156  4816033  49.05
1990-1994       29      0.00085  0.00085  0.50   98118      84   98076  4717877  48.08
1990-1994       30      0.00092  0.00092  0.50   98034      90   97989  4619801  47.12
1990-1994       31      0.00094  0.00094  0.50   97944      92   97898  4521812  46.17
1990-1994       32      0.00102  0.00102  0.50   97852     100   97802  4423914  45.21
1990-1994       33      0.00113  0.00113  0.50   97752     111   97696  4326112  44.26
1990-1994       34      0.00122  0.00121  0.50   97641     119   97582  4228416  43.31
1990-1994       35      0.00129  0.00129  0.50   97522     126   97459  4130835  42.36
1990-1994       36      0.00141  0.00141  0.50   97397     137   97328  4033375  41.41
1990-1994       37      0.00153  0.00153  0.50   97260     149   97185  3936047  40.47
1990-1994       38      0.00162  0.00162  0.50   97111     158   97032  3838862  39.53
1990-1994       39      0.00176  0.00176  0.50   96953     171   96868  3741830  38.59
1990-1994       40      0.00194  0.00194  0.50   96782     187   96688  3644963  37.66
1990-1994       41      0.00207  0.00207  0.50   96595     200   96495  3548274  36.73
1990-1994       42      0.00222  0.00222  0.50   96395     214   96288  3451779  35.81
1990-1994       43      0.00242  0.00242  0.50   96181     232   96065  3355491  34.89
1990-1994       44      0.00262  0.00261  0.50   95949     251   95823  3259427  33.97
1990-1994       45      0.00290  0.00289  0.50   95698     277   95559  3163603  33.06
1990-1994       46      0.00318  0.00317  0.50   95421     303   95270  3068044  32.15
1990-1994       47      0.00346  0.00346  0.50   95118     329   94954  2972774  31.25
1990-1994       48      0.00384  0.00384  0.50   94790     364   94608  2877820  30.36
1990-1994       49      0.00414  0.00413  0.50   94426     390   94231  2783213  29.48
1990-1994       50      0.00459  0.00458  0.50   94036     431   93820  2688982  28.60
1990-1994       51      0.00491  0.00490  0.50   93605     458   93376  2595161  27.72
1990-1994       52      0.00536  0.00534  0.50   93147     498   92898  2501786  26.86
1990-1994       53      0.00580  0.00579  0.50   92649     536   92381  2408888  26.00
1990-1994       54      0.00644  0.00642  0.50   92113     592   91817  2316507  25.15
1990-1994       55      0.00704  0.00702  0.50   91521     642   91200  2224690  24.31
1990-1994       56      0.00770  0.00767  0.50   90879     697   90530  2133490  23.48
1990-1994       57      0.00856  0.00852  0.50   90181     768   89797  2042960  22.65
1990-1994       58      0.00945  0.00941  0.50   89413     841   88992  1953163  21.84
1990-1994       59      0.01046  0.01041  0.50   88572     922   88111  1864171  21.05
1990-1994       60      0.01156  0.01149  0.50   87650    1007   87146  1776060  20.26
1990-1994       61      0.01261  0.01253  0.50   86643    1086   86100  1688914  19.49
1990-1994       62      0.01382  0.01373  0.50   85557    1175   84969  1602814  18.73
1990-1994       63      0.01497  0.01486  0.50   84382    1254   83755  1517845  17.99
1990-1994       64      0.01619  0.01606  0.50   83128    1335   82461  1434089  17.25
1990-1994       65      0.01729  0.01714  0.50   81793    1402   81092  1351629  16.52
1990-1994       66      0.01866  0.01849  0.50   80391    1486   79648  1270537  15.80
1990-1994       67      0.02010  0.01990  0.50   78905    1570   78119  1190889  15.09
1990-1994       68      0.02196  0.02172  0.50   77334    1679   76495  1112770  14.39
1990-1994       69      0.02413  0.02384  0.50   75655    1803   74753  1036275  13.70
1990-1994       70      0.02712  0.02676  0.50   73851    1976   72863   961522  13.02
1990-1994       71      0.02947  0.02904  0.50   71875    2087   70831   888659  12.36
1990-1994       72      0.03249  0.03197  0.50   69788    2231   68672   817828  11.72
1990-1994       73      0.03587  0.03524  0.50   67557    2381   66366   749155  11.09
1990-1994       74      0.03952  0.03876  0.50   65176    2526   63913   682789  10.48
1990-1994       75      0.04340  0.04248  0.50   62650    2662   61319   618876   9.88
1990-1994       76      0.04947  0.04827  0.50   59989    2896   58541   557557   9.29
1990-1994       77      0.05480  0.05333  0.50   57093    3045   55570   499016   8.74
1990-1994       78      0.06120  0.05938  0.50   54048    3209   52443   443446   8.20
1990-1994       79      0.06821  0.06596  0.50   50838    3353   49162   391002   7.69
1990-1994       80      0.07591  0.07313  0.50   47485    3473   45749   341841   7.20
1990-1994       81      0.08520  0.08172  0.50   44012    3597   42214   296092   6.73
1990-1994       82      0.09522  0.09089  0.50   40416    3674   38579   253878   6.28
1990-1994       83      0.10653  0.10114  0.50   36742    3716   34884   215299   5.86
1990-1994       84      0.11854  0.11191  0.50   33026    3696   31178   180415   5.46
1990-1994       85      0.13283  0.12456  0.50   29330    3653   27503   149237   5.09
1990-1994       86      0.14813  0.13791  0.50   25677    3541   23906   121733   4.74
1990-1994       87      0.16341  0.15107  0.50   22136    3344   20464    97827   4.42
1990-1994       88      0.18147  0.16638  0.50   18792    3126   17228    77363   4.12
1990-1994       89      0.19805  0.18021  0.50   15665    2823   14254    60135   3.84
