Hong Kong, Life tables (period 1x5), Total	Last modified: 20 Jul 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1986-1989        0      0.00717  0.00713  0.13  100000     713   99383  7701524  77.02
1986-1989        1      0.00057  0.00057  0.50   99287      57   99259  7602141  76.57
1986-1989        2      0.00031  0.00031  0.50   99230      30   99215  7502882  75.61
1986-1989        3      0.00031  0.00031  0.50   99200      31   99184  7403667  74.63
1986-1989        4      0.00022  0.00022  0.50   99169      21   99158  7304482  73.66
1986-1989        5      0.00018  0.00018  0.50   99148      18   99139  7205324  72.67
1986-1989        6      0.00016  0.00016  0.50   99129      16   99122  7106185  71.69
1986-1989        7      0.00021  0.00021  0.50   99114      21   99103  7007064  70.70
1986-1989        8      0.00014  0.00014  0.50   99093      14   99086  6907960  69.71
1986-1989        9      0.00017  0.00017  0.50   99079      17   99071  6808874  68.72
1986-1989       10      0.00017  0.00017  0.50   99062      17   99054  6709803  67.73
1986-1989       11      0.00015  0.00015  0.50   99046      15   99038  6610749  66.74
1986-1989       12      0.00020  0.00019  0.50   99031      19   99021  6511711  65.75
1986-1989       13      0.00023  0.00023  0.50   99012      22   99000  6412690  64.77
1986-1989       14      0.00022  0.00022  0.50   98989      22   98978  6313689  63.78
1986-1989       15      0.00024  0.00024  0.50   98967      23   98956  6214711  62.80
1986-1989       16      0.00025  0.00025  0.50   98944      24   98932  6115755  61.81
1986-1989       17      0.00033  0.00033  0.50   98919      33   98903  6016824  60.83
1986-1989       18      0.00039  0.00039  0.50   98886      38   98867  5917921  59.85
1986-1989       19      0.00040  0.00040  0.50   98848      40   98828  5819054  58.87
1986-1989       20      0.00044  0.00044  0.50   98808      43   98787  5720225  57.89
1986-1989       21      0.00039  0.00039  0.50   98765      39   98746  5621439  56.92
1986-1989       22      0.00042  0.00042  0.50   98726      41   98706  5522693  55.94
1986-1989       23      0.00050  0.00050  0.50   98685      49   98661  5423988  54.96
1986-1989       24      0.00044  0.00044  0.50   98636      43   98614  5325327  53.99
1986-1989       25      0.00052  0.00052  0.50   98593      52   98567  5226713  53.01
