parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1933,2.2560381982633224,1.8094881733341004,2.249223764685303,2.9042812658752277,0,Float64,0.13507506560782895,2.5268510139663003,1.995131893537694,2.397045480835359,2.1212457332859684,2.346369974826593,2.164022144716892,0.001674485743124342,1443.7613229164372,1.0018290954866536,0.011162625320923925
B,1938,2.272505291062862,1.8067488111017105,2.2697375542385476,2.8690661836282607,0,Float64,0.12306039645224832,2.516944516001112,2.0328753081639706,2.401381893057873,2.147539866617626,2.3535415458226225,2.188727519097301,0.0015500688062100197,1419.276590780005,1.0022703787858456,0.010973318482886405
B,1943,2.297932230025482,1.920910434205265,2.2972539604525055,2.795510677562451,0,Float64,0.11494213932193946,2.5271995492033725,2.0761858050394855,2.4166224604142617,2.1813420644311954,2.372263048460471,2.2190119759603064,0.0013919673326859756,1320.0981044408845,1.0016464317589635,0.010206507331120947
B,1948,2.3152698058394288,1.9617159791631782,2.3139016884238304,2.788089475949047,0,Float64,0.11151750344162895,2.540155305491931,2.0991607185440424,2.4286031758247972,2.2018323274570033,2.3865905195577874,2.2383123119609527,0.0013093600062920178,1257.3438792028,1.0014737693552629,0.009721315012613224
B,1953,2.3113912063876474,1.9915816133035835,2.3089951023323176,2.7755047890624054,0,Float64,0.10858146538954712,2.5285394332504425,2.1025454295554242,2.4233216648624323,2.1985916296053176,2.3831944254935786,2.237620566169775,0.0013054571134112584,1131.666164541711,1.0018027005567611,0.008749621687903678
B,1958,2.2961763500917134,1.94343342923733,2.295318159077829,2.7623807481670806,0,Float64,0.10751452234621311,2.50544702505221,2.087131390450277,2.4098464801492336,2.1850167387500985,2.367857332099942,2.223644413531006,0.001456930917636152,991.7214547290125,1.002807978297659,0.007667621265473055
B,1963,2.280739846810004,1.899980566986919,2.280446742920336,2.71502196552922,0,Float64,0.10811323344196727,2.495888476047553,2.0761429327100687,2.392473017535499,2.1708643539900083,2.352427627131182,2.2059484788529056,0.0015256898886946996,900.190460968489,1.003193830809804,0.0069599376806706624
B,1968,2.2741630775251767,1.907960916074589,2.273488293036011,2.6991012829317844,0,Float64,0.11064716366865228,2.498765521819436,2.060415200725348,2.388562413841844,2.1621647252250322,2.34816801973706,2.198760205953281,0.001602893096986482,821.6608614610088,1.0034956334270737,0.006352776038375477
B,1973,2.2782332692039993,1.9146915317776574,2.2767867529893935,2.66667717755455,0,Float64,0.11315617063059306,2.5117914306602755,2.063689478092283,2.3971332430995527,2.1621592925652213,2.3514297590594904,2.2000578154453705,0.0016632789329332834,829.3870380931285,1.0043399999648968,0.00641251196116181
B,1978,2.2844141775511706,1.8870395066931733,2.279678344377084,2.702159669480831,0,Float64,0.11787176865793703,2.5318449946910246,2.0681727242684147,2.4041358459759548,2.16455561135993,2.3617904773847127,2.202269990510012,0.0017508201279547533,800.6097716904767,1.0041438550650903,0.006190016845442598
B,1983,2.2907112760831168,1.8752129797900716,2.2840213260136073,2.730704714641347,0,Float64,0.12344996620680694,2.5502797040866385,2.062374554848837,2.4188675459446882,2.165358879997518,2.372175273316011,2.2044161017466744,0.0018738087027581338,794.2775305810424,1.0044066637362306,0.006141058313430131
B,1988,2.294955113597419,1.856641374806281,2.2875227955275204,2.760577982785397,0,Float64,0.1314938279943914,2.577777011397396,2.054551048572457,2.434500319444851,2.164650187975063,2.378152408714747,2.201897822996728,0.001909048264283668,856.2444538369895,1.0033399129413985,0.006620163505969369
B,1993,2.3011650997353827,1.837315943012075,2.2918532437347565,2.8262385329971336,0,Float64,0.1416387120999397,2.5973126539699036,2.043072566114295,2.45133263664891,2.159016309452776,2.3934847994823216,2.201703770963598,0.002027121212257556,876.4674733418833,1.003522845387631,0.006776520367735732
B,1998,2.305137424106471,1.80943505284493,2.294063664676016,2.9178172881188655,0,Float64,0.15349337868791665,2.6301524020839344,2.0234686361435967,2.4674662586597655,2.1487220960313036,2.4041113545784305,2.19666089072968,0.0021510817920212797,908.403687933611,1.0033416631777787,0.007023439295398897
B,2003,2.3043046360232777,1.69601080442115,2.2941089385705657,3.0135977859839094,0,Float64,0.16880855764942126,2.6599662555913457,2.0019213379762406,2.482150379932223,2.132101165224131,2.413042157907254,2.183324026018483,0.002348827407612121,951.7296461368385,1.0027859808897273,0.007358419482508835
B,2008,2.3013494727893304,1.679735991161673,2.2901782530661325,3.098229925164792,0,Float64,0.18735158471918506,2.6935674653855872,1.9711002354735134,2.4985716529493143,2.111942494708143,2.4188996266048153,2.1689408774655217,0.002530699346107258,980.0481950299727,1.0025602187201912,0.0075773679651346005
B,2013,2.2991932381409605,1.626747771509289,2.2884956611698355,3.1507798998297796,0,Float64,0.2095856509288046,2.742575662024215,1.9320937920213743,2.5186948262693987,2.083203826972037,2.427985231342209,2.1497427947506518,0.002730196915519873,999.9513671031584,1.0019658400089422,0.007731251885575173
