parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1903,0.052313732455264536,0.02422221842997199,0.05119581230373993,0.10782906119127302,0,Float64,0.010681472523863587,0.07635114492428403,0.03466847163070538,0.06329802176469841,0.04169400810063998,0.05870324492663331,0.04493532359674112,0.0037032068144542026,3566.672317601077,1.000260173483486,0.2613465425190301
B,1908,0.048542984559816954,0.021236640813654947,0.0476060061612806,0.10129245955059585,0,Float64,0.00953903347848874,0.06916777980996375,0.03253018642919801,0.05844952268107623,0.03896574173020712,0.054331726247487735,0.041905026198127214,0.0027117316567980606,5385.744515859005,0.9998860775883328,0.3946383583275982
B,1913,0.03712998323379217,0.018264077071989335,0.036114736300726646,0.07587165255177108,0,Float64,0.008030268472569161,0.05548707789511416,0.024098783445879426,0.04517930917303472,0.02919727063880266,0.041850154057527386,0.03143485116444846,0.003686697902379768,4033.860624633116,1.0007049023004773,0.29557958606093443
B,1918,0.03233152843982604,0.01211882864595671,0.03126548190719872,0.08514186450624157,0,Float64,0.008419473019252943,0.051475029082663916,0.019032213539707687,0.04073724811492049,0.024033519245873745,0.03726979047401357,0.026279621199245182,0.003195290864384721,4369.8356148224575,0.9994968717019217,0.3201980242688793
B,1923,0.027742577156197035,0.014138598681497307,0.027021912618642265,0.061621766782302655,0,Float64,0.005897044629144197,0.041161905446468534,0.018032660167511927,0.03370956380298779,0.02195038215645508,0.031217345043477146,0.023561341316192138,0.003975963804374085,3986.4136000887315,1.000520942416253,0.2921029235830563
B,1928,0.02366724650397126,0.012060682968538345,0.02328166577405708,0.05231083367401289,0,Float64,0.004629419224977725,0.03405402149441873,0.015844971692347533,0.02838912037473528,0.018959303026381834,0.02634942851491778,0.02045493924261639,0.0036945193084846413,3372.512072418637,0.9996443404491747,0.24711952521702932
B,1933,0.019836378922313016,0.009242316452332833,0.01940545663253316,0.03682405025296371,0,Float64,0.003988072838289563,0.02878637891591121,0.013294085182356169,0.02390327208249324,0.01581105644094779,0.022250183707476962,0.016998235402938988,0.0033316574733517172,4113.426197882319,1.0003566750205994,0.3014097228440662
B,1938,0.020834162667617673,0.00941772874313333,0.02040746998753454,0.04209690436126331,0,Float64,0.004228133899377053,0.030308475980610865,0.013776562719284343,0.02509062891003627,0.0165261244607299,0.023347922678668274,0.01781052873111829,0.002877066910281015,4034.496059732164,0.9994262083011801,0.29562614732346254
B,1943,0.018054893818069614,0.008328739034718934,0.017699045265843788,0.03563301308646789,0,Float64,0.0035763296081718515,0.0261593198499424,0.012092081820553538,0.02171801884718552,0.014465466478165495,0.02021506930450779,0.015514626803716075,0.003393220584523151,4040.504385449148,1.0003026699747521,0.2960664050798908
B,1948,0.014294400377935121,0.0054340072753387425,0.013868257371723713,0.03136349770116019,0,Float64,0.0033169010855697446,0.021829868724108505,0.008867554596268075,0.017682144505966897,0.01104051482306594,0.01628491551124299,0.011952554387061972,0.0028900213167361776,4391.1269311225515,0.9998770209046586,0.3217581372832566
B,1953,0.00889865285544813,0.0045823981179877165,0.008655993460249718,0.020562582597107044,0,Float64,0.0019316546044977321,0.013446552044303995,0.00580227335104978,0.010803030781378724,0.006978898524411302,0.010016860221102535,0.007514182706015978,0.0032725899490360544,3908.984571997652,1.0006057617180237,0.286429341324784
B,1958,0.010123047700553809,0.0007661759725859757,0.007189788828820121,0.18404439352227484,0,Float64,0.010756209168388405,0.036085154484861694,0.0018602175026583513,0.015720785023139835,0.0034713178125369668,0.01187384777298156,0.004428940620675239,0.012348259033941593,4004.426111476387,1.0011051257123635,0.2934227834283293
B,1963,0.005382587662095774,0.0023940975840121364,0.005130444609337847,0.015221012643580403,0,Float64,0.001424867883810252,0.008760797212307289,0.0033245388105928343,0.006790256888420722,0.004028511602776021,0.006130647385403241,0.004386438942282352,0.004393186661529672,2995.557777560468,1.0005386657941673,0.2194983442179454
B,1968,0.006342867258576941,0.0016292829757042914,0.006012570697949334,0.017695928073189475,0,Float64,0.002306900919398898,0.011544224200923322,0.0029071371380624943,0.008744766523874325,0.004050603168990511,0.007710516260170531,0.004602814275773975,0.0062939975372996336,3381.4392354684137,0.9995288574598503,0.24777365965658782
B,1973,0.0058841628682800426,0.001515491340317483,0.005644813094922008,0.01596255708078785,0,Float64,0.0017690688064285831,0.009975103185662014,0.003109992136801954,0.007623139876605206,0.004137319915623826,0.006875472584916503,0.004632352722009578,0.00496145434318895,3140.9363703805466,1.0002059116156885,0.23015090470193292
B,1978,0.005634720279089002,0.0025986359980475133,0.005481666802863605,0.01217533233507984,0,Float64,0.0013118788223609051,0.00859592151208651,0.0034859649599735163,0.006972230333895652,0.00433291482424075,0.006393771294523662,0.004698291634669713,0.00379100695565013,4679.866467250541,0.9995332728880388,0.3429154157591086
B,1983,0.0042217944443122156,0.0007037001089009942,0.003744656163431793,0.022479782652433205,0,Float64,0.002169326983916379,0.009956934876912717,0.0014709761133327697,0.00616712153229877,0.002291666270533932,0.005198206375693929,0.002721380265300217,0.0062151029264706425,4626.287008534141,0.999663159945979,0.33898940152548523
B,1988,0.005001821236340439,0.0009740117241911986,0.0046026094672342015,0.01975608980251718,0,Float64,0.0021964379703409177,0.010480448254383313,0.0019404830145554586,0.007089863966907172,0.0029375692049131027,0.006110640598600282,0.0034338957628639393,0.005926872708804877,4943.351024762863,0.9998785520568412,0.36222214538862424
B,1993,0.004015468657262055,0.0005663064046469178,0.0035553655410739643,0.018188304243436884,0,Float64,0.0020571632163236477,0.0093711347106444,0.001391611480978144,0.005991664425936979,0.0021470660363714215,0.004988797219715609,0.0025553605145742482,0.007044796000974422,5268.991822032449,1.0004287614547804,0.386083349584357
B,1998,0.0020510085829237583,0.000597488891024442,0.0019001636311804628,0.007611029442954836,0,Float64,0.000827148827289507,0.004134180463148512,0.0009103803892587401,0.0028144173262237633,0.0012688215329508448,0.0024630926019574514,0.001472310544870375,0.00531995212022046,4721.509603678953,0.9992345659775909,0.34596680056715673
B,2003,0.001877382353717468,0.0004126937033880264,0.0017322048992066625,0.008049511941277713,0,Float64,0.0007825836647280627,0.0037208456843903217,0.0007866829793827699,0.0026554998732733997,0.0011363627914965702,0.002297473853181852,0.0013131530678244304,0.005305066025362324,5725.934511746151,0.9996958574820589,0.4195656494571817
B,2008,0.0012376223070014074,0.0002527183382819704,0.0011474854778955464,0.00730137653343827,0,Float64,0.0005028919924589829,0.0024681554704547803,0.0005529189791138174,0.001697545138825225,0.0007775372723098492,0.001485655418846337,0.000883007688112578,0.006034586823421791,4979.896956002772,1.0007608693337522,0.36490003444659985
B,2013,0.0022281265431854038,0.0008123266945739245,0.0021460836385623033,0.005942658620959672,0,Float64,0.0006675832190561276,0.00381447586911874,0.0011948115344651668,0.0028777863879678243,0.0015802864557355448,0.0025802164552569933,0.0017631808743709594,0.0038531461564624623,4320.696353973361,0.9997147134411001,0.3165973638265177
B,2018,0.0011462515938352998,0.00014430804068949488,0.0009614519089786389,0.009037181379093403,0,Float64,0.0007511014297783361,0.003042527273623875,0.000333322253933103,0.0017174391179400942,0.0005585442118715026,0.0013995961515174816,0.0006699839535850804,0.007864135414636951,4033.3160890850513,1.0004727733294367,0.29553968542804954
b,1903,1.3086548024351015,0.7402560941993932,1.2937645322859788,2.412089931100918,0,Float64,0.19556249682350646,1.7555532452091138,0.9739548952751338,1.5044346376758702,1.1130362398377986,1.4263499080229973,1.170261980490217,0.003080962319837885,3111.091074521134,1.0006803166363365,0.22796400212475385
b,1908,1.3238011088925519,0.7831909222432416,1.3105281936629258,2.107289990397571,0,Float64,0.16637894210236134,1.681459042389291,1.0265840745946821,1.491326567431529,1.1574683262832939,1.4257714744014574,1.2069600235509135,0.0028347971510075893,4434.702824221737,1.00078865139469,0.3249511440931198
b,1913,1.29984995324004,0.7453533233893237,1.2784593753264895,2.1461530390831354,0,Float64,0.20962925359137563,1.7505232083131415,0.9385949474209595,1.523442354104244,1.0869801390274332,1.4269473900147833,1.1514795690780253,0.004288419939375176,3541.686710492763,1.0007774670450262,0.259515731766309
b,1918,1.076719342819715,0.5669969830952517,1.0491532156328478,2.8485155013947008,0,Float64,0.21728840189715576,1.5700600184930087,0.7317103056409971,1.2949421319262528,0.8625026558870627,1.2038191317616955,0.9227240943600848,0.0035965432862133397,3367.037922513658,1.0001774875375515,0.24671840898780997
b,1923,1.1944369846013123,0.6389469826748035,1.1773120814928144,2.1156778559833858,0,Float64,0.1900472279366951,1.61252657427257,0.8752065851799488,1.391035266396107,1.0031733697450056,1.3126209810034741,1.0615935684677782,0.003992583026716562,3451.7670966470023,0.9998035102527925,0.2529269066400799
b,1928,1.1438749751404875,0.6675625309076322,1.1310687874692462,2.2557528920986694,0,Float64,0.1660129650013786,1.504407805087138,0.8617621647729846,1.3109439339664521,0.9732920788723101,1.2481580175126146,1.0260948196862256,0.00319793914323676,2949.340238996462,0.9994567425968955,0.2161117718524843
b,1933,1.2802855363633325,0.6834752091996088,1.2619369048716353,2.1503230166522647,0,Float64,0.20098748041955353,1.7037858800615513,0.9302927807733851,1.4972724073635426,1.0734287188178706,1.4084603547850283,1.136969093025008,0.0035382637659080915,3721.569456427721,1.0005846683565867,0.2726965708013203
b,1938,1.3341190845288373,0.7938211874564094,1.3235909624680982,2.2499604860929776,0,Float64,0.2018718658668121,1.765885126929864,0.97448130013156,1.5450250201209865,1.1305059360174692,1.4570766451780641,1.1942780325942672,0.002901784665557266,3749.456071606975,0.9992653703995712,0.27473995180486555
b,1943,1.3068704956471144,0.8466235496269335,1.2914608725363423,2.660204953724807,0,Float64,0.19621061770008744,1.7221301412748828,0.975506657272117,1.5064112682369433,1.1030064326234914,1.4307167562188456,1.1671462988508245,0.003394586364182913,3309.0959716724774,0.9998542931290699,0.24247273482132664
b,1948,1.5749749815042344,0.8446235606598455,1.5495517117018833,3.0574396967797735,0,Float64,0.2888194787328845,2.2081524293155548,1.0932239487515671,1.8671319004111768,1.2830171951572913,1.7458085374052987,1.370217042294825,0.004939021452397233,3640.419210086857,1.001210834364075,0.2667503177067784
b,1953,1.078145978576907,0.6196278315268274,1.0590923016187435,2.0885109511048547,0,Float64,0.1684182055703793,1.4525454071381634,0.8008428942217145,1.246451959765849,0.9133544984259357,1.1755251640817284,0.9613585606273685,0.0026572658566219824,3053.5672103357583,1.0002229795730035,0.22374896309720063
b,1958,1.1731486026461921,0.3403723712861075,1.0425712102988127,4.82318275932498,0,Float64,0.5096180485906509,2.489271295836378,0.5707958005226341,1.6333177106865615,0.7436091163905424,1.3705932960992722,0.8247586494364634,0.00990697845210196,3083.70546591612,1.000757653464715,0.22595733218527544
b,1963,0.9591529435794168,0.5143180560586087,0.9237056930591785,2.959200553220921,0,Float64,0.20836608276752216,1.4392542208132342,0.6680634612745482,1.15427540312791,0.7694707702154481,1.0630962039127112,0.8128229567681068,0.004721895308026655,2020.8297308094145,1.001374499229619,0.14807552142102154
b,1968,1.7912242208937332,0.5116347273751555,1.7253567085887362,4.486862695058254,0,Float64,0.6194220100585848,3.153387637556198,0.7950235472659,2.4397326412940363,1.142503807445949,2.192216193213011,1.3294800219781762,0.01050727662123404,3446.804657703375,0.9995803603589465,0.25256328583477666
b,1973,1.7253552714000384,0.5338235935433648,1.6948573336173889,3.627067998721817,0,Float64,0.4279041288330953,2.683328720337974,0.9974436568775747,2.1682491638692034,1.2797907557844983,2.0003980872220013,1.4122509391534042,0.008872589186775479,2865.224282531783,1.0005127181183056,0.2099482074890748
b,1978,2.3167729639581607,1.1684086043007778,2.2948792021031834,4.138754820753602,0,Float64,0.39156421798303276,3.1614187360986836,1.6227526559908942,2.7195117974240253,1.920771759955373,2.5652926817257016,2.0351955752763726,0.006551998506406037,3972.7643952399662,0.999468379521099,0.29110278334652395
b,1983,1.8187260543183732,0.5444917456239575,1.7252885332913008,9.050877734647766,0,Float64,0.6155014065744077,3.2382728899151343,0.8953861685413381,2.4188067682146417,1.2324814892415181,2.1473721142482773,1.3899050352626867,0.008371793706145414,4074.7277328119417,0.9995328298968256,0.2985741076974135
b,1988,3.5754242515644483,1.6567945700788862,3.4722247711755365,16.404847285735755,0,Float64,0.8742435994372437,5.158269843426588,2.4558735127236426,4.165272710891029,2.9049790651089022,3.9041398604872977,3.0844409877361154,0.024708994503572855,1235.6465354155457,1.0036777074945549,0.09054152471838886
