age,year,LE,LE_Bs,LE_bs,LE_Cs,LE_cs,LE_ds,LE_cC,Lstar,Lstar_Bs,Lstar_bs,Lstar_Cs,Lstar_cs,Lstar_ds,Lstar_cC,Lmed,Lmed_Bs,Lmed_bs,Lmed_Cs,Lmed_cs,Lmed_ds,Lmed_cC,h,h_Bs,h_bs,h_Cs,h_cs,h_ds,h_cC,H,H_Bs,H_bs,H_Cs,H_cs,H_ds,H_cC,mortality,survival
0,1923,65.9878805180189,2.2695066400305657,6.48793317681532,0.8802119559613472,72.58930594638448,-2419.753295978133,0.5906377333963082,102.28899358651378,0.0648199799763408,0.18604024573707142,0.9975062386769445,-302.441278337047,-190.16347173031284,NaN,71.35541455453986,0.7391696696302562,2.1214956719494924,0.9715625840498169,81.13167361379885,-1512.7263471912445,NaN,1.4162314511595253,0.1411111409104,0.4031989830077325,0.007231963871879986,9.007246969404985,-124.58494977938109,-0.038176732043279774,0.24262664653973723,-0.03423732290851906,-0.09782681713525042,-0.0017546671421179423,-2.1853981267411307,30.227628574275926,NaN,0.03620808344371255,1.0
1,1923,66.48190333065014,0.7640882527194675,2.8813861129663723,0.8993867062289317,73.52161823886443,-2407.8997635093547,0.6396675986700309,102.28899358651378,0.0648199799763408,0.18604024573707142,0.9975062386769445,-302.441278337047,-190.16347173031284,NaN,70.82438596674008,0.23820764589522073,0.901014000720162,0.9723087341109764,75.34594420659208,-1447.8933941957907,NaN,1.497839964082129,0.051172631511069946,0.19290045951588417,0.008119570478273472,9.890462189611373,-133.30263010256297,-0.032848876363673146,0.22361265021905366,-0.011442847750886989,-0.04313498298108569,-0.0018156386733092051,-2.211632462109463,29.808154398419855,NaN,0.01300657025707749,0.9777237179246525
2,1923,66.04177163652722,0.25362304323251755,1.1877775052150104,0.9060631286005814,73.38061372238074,-2361.764949702138,0.682412070007989,102.28899358651378,0.0648199799763408,0.18604024573707142,0.9975062386769445,-302.441278337047,-190.16347173031284,NaN,69.99577967036765,0.07855546402361338,0.36880530334128897,0.9723873240158912,73.07887826078365,-1412.0663298253505,NaN,1.520936969430404,0.01749822289568949,0.08192330281115913,0.008579435640094368,10.239460116218563,-134.43263276445103,-0.028890320832658616,0.21850705657496075,-0.0038234851802019477,-0.017900819762370523,-0.0018746672287870182,-2.237394290911882,29.374478892968316,NaN,0.0052627285128534936,0.9695067012659208
3,1923,65.28768745659633,0.08377516416334163,0.4687597194809834,0.9084468815173016,72.85053263950901,-2304.83054963829,0.7239209128045629,102.28899358651378,0.0648199799763408,0.18604024573707142,0.9975062386769445,-302.441278337047,-190.16347173031284,NaN,69.07104519275548,0.0260995472481204,0.14634554189744914,0.9722391834155272,71.9402055667896,-1385.3024988292657,NaN,1.5228521181239707,0.005857498518509704,0.032766730257116405,0.008868797752997199,10.37703428611149,-132.68206960989957,-0.025773617002420007,0.21808898353482828,-0.0012774558979608195,-0.007146062895507462,-0.0019341870871487092,-2.2631168595638957,28.93649769451721,NaN,0.0026854723987057736,0.9658857782002478
4,1923,64.4293357297123,0.02762324356935956,0.17976242001109616,0.9093497484233853,72.16299784641413,-2244.9375533501743,0.7660575381434701,102.28899358651378,0.0648199799763408,0.18604024573707142,0.9975062386769445,-302.441278337047,-190.16347173031284,NaN,68.1147513661525,0.008692649749955534,0.056672362015904414,0.9719998925935409,71.16148006276383,-1361.5003115975383,NaN,1.5174169978996608,0.001946357259079539,0.012663268878698874,0.009098289218896872,10.438522822149805,-129.96076826446154,-0.02294124481748647,0.21927755045608663,-0.000426792452048181,-0.002776770580282154,-0.0019950505732615363,-2.2889337148190054,28.497478920407794,NaN,0.001835708746726181,0.9637796623651911
5,1923,63.53645942205159,0.009101584225741822,0.06753234685488287,0.9097174955678082,71.3943176455239,-2184.661785792661,0.8095087097012501,102.28899358651378,0.0648199799763408,0.18604024573707142,0.9975062386769445,-302.441278337047,-190.16347173031284,NaN,67.14816661135801,0.0028974630370913264,0.021533769295471808,0.9717125229017255,70.48901309102405,-1338.706045050665,NaN,1.50939128338419,0.0006450595416440988,0.004785236153374892,0.00930845495988695,10.472448621341378,-126.93612620620708,-0.020137107462020357,0.22104449046940675,-0.00014258685767500986,-0.0010577500871109637,-0.0020575826836685953,-2.314877069471384,28.05853133944199,NaN,0.001564205647591697,0.9621677357167986
6,1923,62.63215203982067,0.0029977205683263154,0.02497711066069193,0.9098648363336735,70.56870489413029,-2124.8455894386966,0.8545365052008951,102.28899358651378,0.0648199799763408,0.18604024573707142,0.9975062386769445,-302.441278337047,-190.16347173031284,NaN,66.17837100258775,0.000966032454322655,0.008060870209647516,0.9713900371938263,69.83781649695283,-1316.2843631435844,NaN,1.500370589993211,0.00021356955731703783,0.0017791253364732751,0.00951335204330531,10.495269646141223,-123.83035255379397,-0.01726122866901251,0.22304748566400975,-4.763615278819484e-5,-0.00039682943289886695,-0.002121929253487494,-2.3409435059372368,27.620048786040233,NaN,0.001486982024454249,0.9607094276205979
7,1923,61.72407443545861,0.0009870640552935848,0.009124635189467304,0.9098946022084985,69.69302603235575,-2065.7648690093297,0.9012501483777192,102.28899358651378,0.0648199799763408,0.18604024573707142,0.9975062386769445,-302.441278337047,-190.16347173031284,NaN,65.20774193404635,0.0003221020935286816,0.002981593545408542,0.9710352896275225,69.17874905187796,-1294.0272280954555,NaN,1.4908843149492044,7.067597488693548e-5,0.0006532267663437604,0.00971773154894797,10.512412555266701,-120.71666739774591,-0.014275701408247233,0.22517344322719843,-1.5914352635901037e-5,-0.00014708932028130456,-0.0021881750732227396,-2.3671161316943268,27.18218765287419,NaN,0.0014758011793710839,0.959290206945964
8,1923,60.81479714395362,0.00032493317832347145,0.003300150003890351,0.9098385818334328,68.76837957424327,-2007.5109328200701,0.9497020624282929,102.28899358651378,0.0648199799763408,0.18604024573707142,0.9975062386769445,-302.441278337047,-190.16347173031284,NaN,64.23709314415999,0.00010739794765027759,0.001092133929250519,0.9706476327266247,68.50118988676145,-1271.865969222824,NaN,1.4811067455047815,2.3381532792465723e-5,0.000237432013836927,0.00992315002575777,10.525596122443506,-117.61954919038811,-0.011165570775947362,0.22738589075912166,-5.3166306547889244e-6,-5.398869000212616e-5,-0.002256384307747573,-2.3933720500716524,26.74502596335945,NaN,0.001487900241331318,0.9578708070980351
9,1923,59.90521523638761,0.0001069399009988885,0.0011836727144607813,0.909704679184846,67.7939412268647,-1950.1149853242166,0.999921308627341,102.28899358651378,0.0648199799763408,0.18604024573707142,0.9975062386769445,-302.441278337047,-190.16347173031284,NaN,63.26671894408037,3.580874793694103e-5,0.0003968112481039694,0.9702251182772496,67.80063430593336,-1249.7774614636185,NaN,1.4710944097098082,7.733340446904726e-6,8.558332522812356e-5,0.010130073193485106,10.535301933046826,-114.5476529905736,-0.007924308143270727,0.2296739901476115,-1.776147147413413e-6,-1.9656263772085296e-5,-0.0023266143308480268,-2.419684832375304,26.308616524402648,NaN,0.0015090883245606709,0.9564369844206063
