parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1948,2.455476456745628,1.820035561099832,2.4491138343636765,3.2422596188694968,0,Float64,0.18683908744150005,2.8260715565743664,2.110118822358303,2.6490214656234965,2.260895707991776,2.5867617510452248,2.3227563506930213,0.0029229636677145765,833.3316451426219,1.002229642502095,0.034833794191325776
B,1953,2.511872886268455,1.9038795138217635,2.5057545040843863,3.239086534728323,0,Float64,0.17630145423013788,2.854738823002997,2.187956248924338,2.7017393762730006,2.3246221311424895,2.632472522435576,2.388215398595459,0.0030021714709326124,718.2362763926275,1.0025284278520497,0.030022734380047527
B,1958,2.5512401402348823,1.98676824841445,2.5462471151522825,3.259414636410043,0,Float64,0.16389902027665845,2.869464706478448,2.2500387218338957,2.7299036193754094,2.374600762290524,2.6653164055787855,2.4370366688367993,0.0026137631730381392,745.8202367277252,1.0028268183767146,0.031175761512636548
B,1963,2.5851318975213586,2.099953224838495,2.580163619272162,3.2011629547919918,0,Float64,0.15476385033722642,2.891975777911173,2.2943914274635904,2.75008738671169,2.4217715263291124,2.6973217356813484,2.4776111986083174,0.00248046553411568,713.4687642352017,1.0029803355054463,0.02982344933157443
B,1968,2.6038450872255434,2.135199118884274,2.601831784173295,3.199228689112015,0,Float64,0.1454634863046559,2.887812475849644,2.328181048459889,2.7544616899479695,2.446551449454873,2.6999411595966967,2.5015710634552084,0.0021903951639273703,743.8084876664587,1.0038819927981864,0.03109166911896205
B,1973,2.6142224017354314,2.1692315857900404,2.608741132132397,3.1599755940999112,0,Float64,0.13823755608681018,2.883950597459003,2.359819994386433,2.7577317380294217,2.470449275312474,2.706673679440298,2.5172928250432247,0.0019456439603929708,826.03043852086,1.0027633899920818,0.034528599098479794
B,1978,2.6302045446659057,2.219598992820423,2.63185904245072,3.207391949967569,0,Float64,0.13463634420304907,2.892524549050353,2.377331129690032,2.7719962436959857,2.4882130283021935,2.7187051190030784,2.534369950576366,0.0018608405539665665,845.4471188867583,1.0036457439836033,0.03534022871999585
B,1983,2.6456983448781113,2.245280280911856,2.640304974606873,3.210516558315929,0,Float64,0.13484587093101055,2.9201864436924905,2.3953146588370213,2.7807737190888857,2.504254999459324,2.7354315415288024,2.551962857407366,0.0018889908605217484,839.5005534778353,1.0017291348190336,0.03509165849371549
B,1988,2.6455740364127225,2.2358375778324646,2.638126520698365,3.2275854631406635,0,Float64,0.1367559436570277,2.9280600142600695,2.3997724318205975,2.785894076546213,2.5065074630093465,2.737417572622136,2.5516291735069707,0.002055475583535104,768.7699294563071,1.0020268213831098,0.03213507330395196
B,1993,2.6449118718947826,2.2281878618855697,2.6404105216133695,3.258868649180478,0,Float64,0.14069982526581923,2.9346194120036833,2.3856682121111223,2.791588475002637,2.503186367994768,2.7374060812382264,2.5413749584045693,0.0020889508659016633,790.5780410130457,1.002051462558977,0.033046666274285985
B,1998,2.641000204209617,2.169633036729163,2.638879590927192,3.255172595848084,0,Float64,0.14787680162114689,2.9491879260590057,2.3708217779110003,2.7949899564462206,2.485070738996053,2.7375911588736654,2.5349074188167635,0.0023558809302059365,721.9900581004717,1.0016588075903028,0.030179644849261538
