parameter,year,mean,min,median,max,nmissing,eltype,std,pc975,pc025,pc85,pc15,pc75,pc25,mcse,ess,rhat,ess_per_sec
B,1948,2.6576994296421357,1.8449133884766529,2.6561424878690545,3.7015334196281704,0,Float64,0.22402405516027982,3.1050053750539344,2.222828868631588,2.8925123213339945,2.4305518889638416,2.8052080095323646,2.5068961746098313,0.0022285990602961664,1377.515090691754,1.0047630012460396,0.0528327757484665
B,1953,2.779175692396829,2.0954336780189804,2.774947736057129,3.7432604036180215,0,Float64,0.20608936282516596,3.1913684216904072,2.386136891619089,2.9895678466626032,2.568968303178542,2.9146766477635246,2.637845722280257,0.0020534749162268756,1300.0376847618422,1.004588527637405,0.049861231958690404
B,1958,2.983534247397699,2.369978026338851,2.9784253189215217,3.8214934126524396,0,Float64,0.19170615104040176,3.379132635831806,2.614801357706912,3.1799054352283127,2.7877360797579964,3.1093363374837195,2.8560548886689943,0.001632705761735923,1434.8470540614517,1.004251394126678,0.05503166764039448
B,1963,3.2411692206537204,2.6238106111654926,3.2374619754121294,4.073688238005246,0,Float64,0.20724252598870532,3.651043203452156,2.848282974257781,3.4545276230932416,3.025507462292129,3.3764510818539337,3.100442415020059,0.0017770983942928958,1195.0185773022426,1.0038249751277573,0.04583336250650834
B,1968,3.3856543139851776,2.7143951218724736,3.382484473495359,4.148699744078984,0,Float64,0.21736372686760283,3.826376237388264,2.9629486171736406,3.609888922980531,3.1591387032568727,3.527608459509626,3.234177859883625,0.0017968652480841625,1028.2610719501165,1.002630017406333,0.039437598173924296
B,1973,3.4558503041528543,2.732061060071613,3.451932128209794,4.408126120248642,0,Float64,0.22315891421734904,3.900845966420768,3.031552385697296,3.6908174175474726,3.222213871259021,3.605329881685015,3.3029249083908185,0.0018743305629770309,946.4812018170072,1.002757407459287,0.036301039040251545
B,1978,3.4523386143353045,2.768958353626462,3.4474965317899384,4.431008140306929,0,Float64,0.21804765148198438,3.914644177947847,3.0379657875718786,3.6656727484877276,3.2295390412115523,3.5882263457856656,3.3076148078887146,0.001898782144684619,963.9718348197013,1.004762480929576,0.03697186921654094
B,1983,3.4405367312842383,2.770941533940516,3.437390359466054,4.354824971806993,0,Float64,0.21155912217170567,3.884678140856541,3.052110768407987,3.651778786047091,3.22075700498502,3.57345088433315,3.2998252579050997,0.0018101763137492518,943.1287690416568,1.0052540071191232,0.03617246089963535
B,1988,3.4147374286539955,2.7744057568505243,3.407266631252445,4.688890610035826,0,Float64,0.20825189335028318,3.8522408378156188,3.040097438386177,3.624935889793167,3.1990202541514763,3.5484370285268625,3.269239057646057,0.001780627337459451,961.5087365557205,1.0046145068544696,0.03687740032897182
B,1993,3.324674519722693,2.7401568264148297,3.3166187107814507,4.245187375189582,0,Float64,0.1971963450349024,3.729122959144185,2.9623421252024857,3.5268440272708275,3.123589030776337,3.453515188488435,3.183135603187001,0.0018655699624875559,980.5284789949627,1.0040297414507038,0.03760687748234475
