age,year,forecast,LE,LE_Bs,LE_bs,LE_Cs,LE_cs,LE_ds,LE_cC,Lstar,Lstar_Bs,Lstar_bs,Lstar_Cs,Lstar_cs,Lstar_ds,Lstar_cC,Lmed,Lmed_Bs,Lmed_bs,Lmed_Cs,Lmed_cs,Lmed_ds,Lmed_cC,h,h_Bs,h_bs,h_Cs,h_cs,h_ds,h_cC,H,H_Bs,H_bs,H_Cs,H_cs,H_ds,H_cC,mortality,survival
0,1948,0,55.53478878035665,5.724288487636364,14.532842044475656,0.7236592035813317,56.786469261260024,-1918.1066953600016,0.34132693381079554,97.76872866383229,0.19048637371759086,0.4876893001340289,0.9944823867386167,-263.0977358542743,-177.35081997675414,NaN,64.46160735347577,2.9098521640967676,7.449896482021402,0.9157134519250727,117.13598699064214,-1786.2464316594096,NaN,1.003649713199584,0.2791623259442774,0.7074713733911304,0.0028097212932985598,5.218640898558597,-75.87735663841589,-0.055390587730958035,0.36653923389291576,-0.10232394508341551,-0.2593160152039791,-0.0010298730903077584,-1.9128366369160892,27.812028172046077,NaN,0.10805171705603381,1.0
1,1948,0,58.63002960460578,2.407081790563219,8.72506608632968,0.7766743096481299,60.43828401514442,-2001.4942766559432,0.3972680589305914,97.76872866383229,0.19048637371759086,0.4876893001340289,0.9944823867386167,-263.0977358542743,-177.35081997675414,NaN,65.30852451939644,1.0032912760570567,3.658102578747631,0.926702429965075,98.39402049664376,-1567.1726022555451,NaN,1.2016552119463049,0.13565796213796397,0.4911523223028689,0.00369931487104103,6.461151792501357,-91.43755655136722,-0.06273979272724468,0.30069608402183245,-0.040791817981210184,-0.14768757997458049,-0.0011123694953034014,-1.9428430422756828,27.49491518751748,NaN,0.044864508830305926,0.9308333274807769
2,1948,0,59.4256175657905,0.971389171965377,4.5757001328458315,0.7998012873040126,61.68691925472073,-2003.3141677779608,0.44239174430264677,97.76872866383229,0.19048637371759086,0.4876893001340289,0.9944823867386167,-263.0977358542743,-177.35081997675414,NaN,65.01757203175039,0.37783235622829514,1.7878923377241123,0.9303552288740389,90.88764191129279,-1475.7079624405728,NaN,1.290325176088394,0.05903649871214471,0.2778440954238781,0.004298534185993474,7.161409617543859,-98.56052075413565,-0.06499893094847867,0.2751812861651766,-0.01624573964627495,-0.07645749553227645,-0.0011828761659239682,-1.970685909308475,27.122010866243,NaN,0.01971519914563205,0.902974970620616
3,1948,0,59.25453553036837,0.38558856175779105,2.2349098592377232,0.8101352941133566,61.89637946014392,-1971.7100117789441,0.4833521827964804,97.76872866383229,0.19048637371759086,0.4876893001340289,0.9944823867386167,-263.0977358542743,-177.35081997675414,NaN,64.33042642308003,0.14677437085218442,0.8539102237241729,0.9317142823898831,87.4115317720331,-1424.5831002747004,NaN,1.3250823727876384,0.024334169973708887,0.14094143465417855,0.004703077672887379,7.516854419175023,-100.56395278710198,-0.06482350494102541,0.2657810650599724,-0.006467561612965676,-0.037459564613497164,-0.0012499889929634312,-1.9978375734275011,26.727994478397726,NaN,0.009711548027364472,0.8904614321575283
4,1948,0,58.692642029451854,0.15203413461885318,1.0462513167016219,0.8151957627607573,61.66071248884026,-1927.2073062404243,0.5234191283083344,97.76872866383229,0.19048637371759086,0.4876893001340289,0.9944823867386167,-263.0977358542743,-177.35081997675414,NaN,63.493757350461124,0.05769088129020119,0.3982812956527099,0.9322275520689001,85.46285045306071,-1388.0654217330284,NaN,1.336216624867114,0.009794561534464766,0.06736147645383005,0.005010683393659393,7.703796733724017,-100.15965210864398,-0.06361501867321352,0.26283820535704183,-0.002574384975966645,-0.01770516958165914,-0.0013169990308208473,-2.024852107928083,26.3257832094323,NaN,0.005739022136478006,0.8838757608133956
5,1948,0,57.974731151468944,0.05977750331108196,0.47626237930989995,0.8180969764974247,61.22305481504069,-1878.069630209074,0.5640977508423007,97.76872866383229,0.19048637371759086,0.4876893001340289,0.9944823867386167,-263.0977358542743,-177.35081997675414,NaN,62.598987713355754,0.022779852002124137,0.18200152846374199,0.9323990580702417,84.09978596846047,-1357.1896739372573,NaN,1.3374775386109778,0.003903327586896655,0.031081875496297266,0.005277014988736188,7.816700269475751,-98.74175799761156,-0.06193127137095857,0.26250699790738957,-0.0010246508066907062,-0.008159209825995278,-0.0013852533625944988,-2.0519385212823122,25.920402460060362,NaN,0.0041687218209198115,0.8796138129695515
6,1948,0,57.19442748717963,0.02347398454213433,0.21250529119418524,0.8200978953161944,60.67996737179262,-1827.5517972003129,0.6060750675510168,97.76872866383229,0.19048637371759086,0.4876893001340289,0.9944823867386167,-263.0977358542743,-177.35081997675414,NaN,61.68141574103737,0.009011032010138299,0.08177920422322746,0.9324172261811158,82.95626627256722,-1328.6231274263755,NaN,1.334622284501154,0.0015491078797236768,0.01401690599830493,0.0055281898570423,7.897848710305993,-96.91592998844996,-0.05997308173428719,0.26325759315216685,-0.0004078144119558461,-0.0036900569364057808,-0.0014553379562483987,-2.0791686425550675,25.51385446686276,NaN,0.0035558724541147235,0.8762650897379718
7,1948,0,56.38875357713686,0.009212009678557724,0.09339445788388502,0.8217012900446948,60.06875313513542,-1776.9259647836816,0.649669346320383,97.76872866383229,0.19048637371759086,0.4876893001340289,0.9944823867386167,-263.0977358542743,-177.35081997675414,NaN,60.75489925171175,0.003567005401866857,0.036245497752381464,0.932353737002554,81.88776566040849,-1301.0938319628613,NaN,1.3299806793016888,0.0006136808777105069,0.006218925011472516,0.005775555688329839,7.964832566751886,-94.92866113958604,-0.057808025446759885,0.2644823712345633,-0.00016230777369727735,-0.001644796033612993,-0.0015275326636565798,-2.1065578037427946,25.106957396367903,NaN,0.0033253212340870505,0.8732721649258078
8,1948,0,55.572320503688736,0.003613638813495257,0.04055898422057912,0.8231055650622058,59.403057907362665,-1726.6891940973824,0.6950377714110813,97.76872866383229,0.19048637371759086,0.4876893001340289,0.9944823867386167,-263.0977358542743,-177.35081997675414,NaN,59.8249263734925,0.0014123770118915592,0.01588527875207223,0.9322351912730109,80.83643784231272,-1274.1101131451533,NaN,1.3244812269247979,0.00024289757681751127,0.0027251233734378244,0.006023869182339537,8.024704457428829,-92.8780164067379,-0.055455931946330694,0.2659408862807744,-6.459639687101789e-5,-0.0007247217253098544,-0.0016019931092134448,-2.134097015550391,24.700061999227824,NaN,0.003248165131775217,0.8704133996835429
9,1948,0,54.75091203450644,0.0014170906475284009,0.017443501866348795,0.8243871505189887,58.687124272028946,-1677.0370799442812,0.7422654605190034,97.76872866383229,0.19048637371759086,0.4876893001340289,0.9944823867386167,-263.0977358542743,-177.35081997675414,NaN,58.89369075569269,0.0005592937769930295,0.006897806284490621,0.9320704075239611,79.7785493397699,-1247.4797684119135,NaN,1.3184903553624703,9.609112107164046e-5,0.0011823657222637277,0.006275067405423902,8.080193238925037,-90.80300378785216,-0.052919999054074705,0.2675388858994704,-2.5708111475981104e-5,-0.0003163288079937712,-0.0016788245425949954,-2.1617658969935762,24.293334469738326,NaN,0.0032333697019983963,0.8675999317253752
