age,year,LE,LE_Bs,LE_bs,LE_Cs,LE_cs,LE_ds,LE_cC,Lstar,Lstar_Bs,Lstar_bs,Lstar_Cs,Lstar_cs,Lstar_ds,Lstar_cC,Lmed,Lmed_Bs,Lmed_bs,Lmed_Cs,Lmed_cs,Lmed_ds,Lmed_cC,h,h_Bs,h_bs,h_Cs,h_cs,h_ds,h_cC,H,H_Bs,H_bs,H_Cs,H_cs,H_ds,H_cC,mortality,survival
0,1923,62.304154747138035,4.321354427113464,7.788752626510605,0.7991054375951968,68.68419084478143,-2258.6017469315725,0.4868650157359973,102.39048128312506,0.13324027360075344,0.24117623059677404,0.9955254694679012,-300.75243248648616,-194.26866299891242,NaN,69.41082830686636,1.72340455611195,3.119508864763516,0.942123908216703,104.76822666300237,-1703.4214623110854,NaN,1.2155574496029051,0.23270420429760252,0.41918811665284605,0.004397325094481751,7.155244651647507,-99.1574764614052,-0.05571078136000307,0.29654465950716125,-0.06900718902930343,-0.12430799732208286,-0.0013040032728725286,-2.121849588913445,29.404620094843512,NaN,0.0725834257422176,1.0
1,1923,63.97456284182438,1.2542545379049839,3.2532498093491595,0.8327365120796476,70.95320475693316,-2291.5528350079076,0.5422940183905335,102.39048128312506,0.13324027360075344,0.24117623059677404,0.9955254694679012,-300.75243248648616,-194.26866299891242,NaN,69.4089641270335,0.45194977200438413,1.175744998926732,0.9460046087234558,93.27364335892192,-1580.4252772636337,NaN,1.352103419693264,0.07542738266000064,0.19556897928100214,0.005290759886424204,8.309497342043995,-112.19245078641511,-0.0570126568025115,0.2586955426624652,-0.01951272768879755,-0.05059282322298491,-0.0013686959999037102,-2.1496299241495858,29.023686938782646,NaN,0.02222005063701643,0.958646251999393
2,1923,63.84790801684876,0.35377195930426636,1.1975534278729179,0.8432707880529869,71.19008029302073,-2258.690099578733,0.5860278067320616,102.39048128312506,0.13324027360075344,0.24117623059677404,0.9955254694679012,-300.75243248648616,-194.26866299891242,NaN,68.71612332645545,0.12482185681568347,0.42350865233084134,0.9469244884986467,89.53314741225623,-1528.8965591021863,NaN,1.3902362557340342,0.022146466914295317,0.07494665557329433,0.005736439589228182,8.739891090397293,-114.9136776838852,-0.05568215445737268,0.24901646611348496,-0.005514834927946293,-0.018662951317860024,-0.001428467914583403,-2.1763767935468525,28.6153979249233,NaN,0.007995581799187378,0.9456525881548521
3,1923,63.20257867186022,0.09896619353353242,0.4133234189043245,0.8470148832812628,70.80973438905667,-2207.6209128471505,0.6272171309481145,102.39048128312506,0.13324027360075344,0.24117623059677404,0.9955254694679012,-300.75243248648616,-194.26866299891242,NaN,67.83965428221956,0.034953388279805264,0.1462559646795949,0.9470793671612809,87.86067747274791,-1495.416963858182,NaN,1.3969751575030738,0.0063006488779745965,0.026307899324445265,0.006016327637749178,8.90653194709968,-114.0102109636043,-0.053775140580337014,0.24734401019677765,-0.0015584277603434824,-0.0065071013186453735,-0.001488102604577585,-2.2029773287399284,28.19974278311254,NaN,0.003986408712210019,0.9403924266940248
4,1923,62.41050472861717,0.027617034249086608,0.13719350375640144,0.8487825336270852,70.2253532653762,-2152.0272814730047,0.6687891907263922,102.39048128312506,0.13324027360075344,0.24117623059677404,0.9955254694679012,-300.75243248648616,-194.26866299891242,NaN,66.91239882624224,0.009825355697411638,0.0488882594120917,0.9470062325318166,86.74948236340062,-1466.914692428901,NaN,1.3944162557542124,0.0017758590879344465,0.008820168856779071,0.006246432868894944,8.991404165837258,-112.03511585885677,-0.051664874385349634,0.24797774970980538,-0.00044037354042515377,-0.002187205625024011,-0.0015489763665453087,-2.229668171777542,27.782215919189028,NaN,0.002865455124893385,0.9372856989094226
5,1923,61.576706593379015,0.007700150469444805,0.04434525668708843,0.849950161050871,69.55305119853328,-2095.726487484587,0.7116654591191414,102.39048128312506,0.13324027360075344,0.24117623059677404,0.9955254694679012,-300.75243248648616,-194.26866299891242,NaN,65.97103447020558,0.0027648303343092203,0.01594514671547368,0.9468493672694409,85.78193685111329,-1439.9000220502273,NaN,1.3890667343668568,0.0004991275999793724,0.0028739652118526275,0.006463985943079079,9.051072050653438,-109.76140321511356,-0.04940690375874851,0.24930786655769233,-0.00012443643709547517,-0.000716502135449302,-0.001611522544954997,-2.2565034630058554,27.364381265948854,NaN,0.002561845187052007,0.9347766252413774
6,1923,60.730614706953325,0.0021461057227636963,0.014057650607199953,0.8509061257306215,68.82426527553064,-2039.776292370622,0.7561476690493544,102.39048128312506,0.13324027360075344,0.24117623059677404,0.9955254694679012,-300.75243248648616,-194.26866299891242,NaN,65.02584992394206,0.000778239628685073,0.005104118577598984,0.9466475679271816,84.84024875474859,-1413.4176797735447,NaN,1.3827774124190126,0.00014015270211352674,0.0009178941361970987,0.0066800825901023675,9.101868038752613,-107.40840786954696,-0.04700438717289312,0.25088078510537176,-3.516161994942176e-5,-0.0002302820016198317,-0.0016759043647559502,-2.283483799487844,26.946705693254664,NaN,0.002490341662472101,0.9324270843669435
7,1923,59.8804873046029,0.0005979804253180629,0.004390131963179486,0.8517578048072248,68.04655643091905,-1984.4709628449116,0.8023465106247436,102.39048128312506,0.13324027360075344,0.24117623059677404,0.9955254694679012,-300.75243248648616,-194.26866299891242,NaN,64.07975929648177,0.00021907231586403906,0.001610171310701173,0.9464101780292671,83.89040541360912,-1387.2032313121242,NaN,1.3760679567704452,3.9337308256917475e-5,0.00028875568927990737,0.006897925878627795,9.148337141191384,-105.03772251882408,-0.04445312649631708,0.2525697181810382,-9.935412848019892e-6,-7.29309430706711e-5,-0.001742207195189689,-2.310592933575971,26.529347974967294,NaN,0.0024856206473876374,0.9301126864443167
8,1923,59.0286735136631,0.00016657825370261457,0.0013547652736904375,0.852532825372578,67.22076471470277,-1929.8942201025202,0.8503125671681385,102.39048128312506,0.13324027360075344,0.24117623059677404,0.9955254694679012,-300.75243248648616,-194.26866299891242,NaN,63.133606375525545,6.166849519519684e-5,0.0005020655923516794,0.9461381430815572,82.92186869975443,-1361.1821263753843,NaN,1.3690822974355727,1.1037815853923903e-5,8.975693374902249e-5,0.007118394012857648,9.191656280029187,-102.66711518367606,-0.041748759601909935,0.2543402611956052,-2.8073609529130607e-6,-2.2828801908657542e-5,-0.0018104941925360038,-2.337808259080329,26.112380892010755,NaN,0.0025010515212098264,0.927797321560324
9,1923,58.1758770714637,4.639288857627267e-5,0.00041401896325678954,0.8532361008946924,66.34583005497224,-1876.0717818944092,0.90007534477261,102.39048128312506,0.13324027360075344,0.24117623059677404,0.9955254694679012,-300.75243248648616,-194.26866299891242,NaN,62.187654193434014,1.7359301554017472e-5,0.0001550666986619949,0.9458299123778163,81.93065032332063,-1335.3321358517467,NaN,1.3618587436464438,3.0963823069006087e-6,2.762907134429376e-5,0.007341681350711034,9.232045475951177,-100.30227721749642,-0.03888746681330923,0.25618415346276974,-7.932440940637784e-7,-7.0781303197259754e-6,-0.001880822421792298,-2.365103754986179,25.695853979373894,NaN,0.002523559585306891,0.9254696815050529
10,1923,57.322345962785796,1.2917632594719417e-5,0.0001255008859423652,0.853865975169651,65.42014697660912,-1823.013381874399,0.9516554717658656,102.39048128312506,0.13324027360075344,0.24117623059677404,0.9955254694679012,-300.75243248648616,-194.26866299891242,NaN,61.24200420288619,4.8864197577066795e-6,4.75164529362233e-5,0.9454830933584453,80.9145541076229,-1309.645475398082,NaN,1.3544059983642989,8.684044336638422e-7,8.435908469675338e-6,0.007567776955650061,9.2694519494064,-97.94558828377002,-0.03586590992254191,0.2581005610824629,-2.241356805009739e-7,-2.1773127136666786e-6,-0.001953247478426889,-2.3924507490694285,25.279811291604894,NaN,0.002549563177753927,0.9231253624634738
11,1923,56.4682042738099,3.5959270990875767e-6,3.7781489610607174e-5,0.854418787140915,64.44194757922394,-1770.7243339838628,1.0050661371792997,102.39048128312506,0.13324027360075344,0.24117623059677404,0.9955254694679012,-300.75243248648616,-194.26866299891242,NaN,60.29671440118091,1.3754263355312996e-6,1.4463419856928775e-5,0.945094908936988,79.87183727563568,-1284.1183736857802,NaN,1.346724523123842,2.434924681579619e-7,2.558010119560222e-6,0.007796603509867974,9.303743764251928,-95.59852784085244,-0.032681096926360946,0.2600907883064239,-6.33301320124408e-8,-6.653149080117961e-7,-0.002027824752985557,-2.419818049844929,24.86429646708802,NaN,0.002578173162617716,0.9207618124589033
12,1923,55.613544850265306,1.0007659413206818e-6,1.1306666047072358e-5,0.8548901586909667,63.409412664313685,-1719.2087107331413,1.060315394684042,102.39048128312506,0.13324027360075344,0.24117623059677404,0.9955254694679012,-300.75243248648616,-194.26866299891242,NaN,59.351832734182594,3.8714212866332347e-7,4.377415242561118e-6,0.9446623165018234,78.80083304282684,-1258.7482026531975,NaN,1.3388125446514125,6.825647203621007e-8,7.710756475248761e-7,0.008028057409429377,9.33476472600591,-93.26233671732972,-0.029330379275009654,0.26215678330084835,-1.7893905018634087e-8,-2.0214267211435838e-7,-0.0021046097065859424,-2.4471718934406566,24.449354196939897,NaN,0.0026092715806966546,0.9183768995032734
13,1923,54.75845527232215,2.784494839689139e-7,3.366239553314932e-6,0.855275355209705,62.32070719007435,-1668.4702131436086,1.1174035525505979,102.39048128312506,0.13324027360075344,0.24117623059677404,0.9955254694679012,-300.75243248648616,-194.26866299891242,NaN,58.407406662203954,1.0896659931339032e-7,1.3183051911025982e-6,0.9441820307506399,77.6998436337273,-1233.5326917458312,NaN,1.3306677482969624,1.9129099182494563e-8,2.312327040165443e-7,0.008262020172617969,9.362350101568198,-90.93819738365656,-0.025811426880122928,0.26430071600947413,-5.055856984394122e-9,-6.111495017397123e-8,-0.0021836578472883557,-2.4744758353733083,24.035030681115302,NaN,0.002642969428522682,0.9159685000690913
14,1923,53.90302524816437,7.745367941284583e-8,9.976545949656703e-7,0.8555693842242629,61.17399501127983,-1618.512405295955,1.1763259439568903,102.39048128312506,0.13324027360075344,0.24117623059677404,0.9955254694679012,-300.75243248648616,-194.26866299891242,NaN,57.463486026373275,3.066924888865178e-8,3.9530857230817914e-7,0.943650518781858,76.5671095339357,-1208.4697167534696,NaN,1.322287760762099,5.359716918893367e-9,6.902854624846222e-8,0.008498361531989409,9.386331300378604,-88.62728189955195,-0.022122250729369314,0.2665248588439995,-1.4284909971223162e-9,-1.83978374208868e-8,-0.00226502460771097,-2.501690624897269,23.621373797984724,NaN,0.0026794543082915975,0.9135343746782913
15,1923,53.047348833153755,2.1538444801950998e-8,2.944832698797145e-7,0.8557670201171438,59.967448308439394,-1569.3387737734263,1.2370695973757502,102.39048128312506,0.13324027360075344,0.24117623059677404,0.9955254694679012,-300.75243248648616,-194.26866299891242,NaN,56.52012404073905,8.630664003381162e-9,1.1808511804190785e-7,0.9430639867048554,75.40080040923458,-1183.5572475211306,NaN,1.3136702932195026,1.5013340066481534e-9,2.0523746730849214e-8,0.008736940127204783,9.406537464056226,-86.33076345051565,-0.018261270873827024,0.2688315528198997,-4.035961502155182e-10,-5.517448694108144e-9,-0.002348765181292617,-2.5287740731217316,23.20843319453426,NaN,0.002718948346977053,0.9110721238428112
