age,year,LE,LE_Bs,LE_bs,LE_Cs,LE_cs,LE_ds,LE_cC,Lstar,Lstar_Bs,Lstar_bs,Lstar_Cs,Lstar_cs,Lstar_ds,Lstar_cC,Lmed,Lmed_Bs,Lmed_bs,Lmed_Cs,Lmed_cs,Lmed_ds,Lmed_cC,h,h_Bs,h_bs,h_Cs,h_cs,h_ds,h_cC,H,H_Bs,H_bs,H_Cs,H_cs,H_ds,H_cC,mortality,survival
0,1993,78.5343286853156,0.7864034372054396,1.03089951128902,0.9789303905714506,59.692775451391114,-3200.422390044777,0.14223256719238528,105.59036496123325,0.015245628759370338,0.020009571997851385,0.9996905142511127,-209.3567044127016,-159.74563187366294,NaN,81.38036481667365,0.15535726393538446,0.20390319133300747,0.996846257583343,42.358336129511414,-1254.6152346249055,NaN,1.9512143542030638,0.07026254844456795,0.09212265838326755,0.010782747248189287,10.07248518860541,-250.546391804622,-0.014455159887071183,0.14210140532991133,-0.009984406875975889,-0.013090759218969518,-0.001532243537290684,-1.4313143004650686,35.60299437577348,NaN,0.010281784541382065,1.0
1,1993,77.89086434539114,0.10465069629046367,0.18928777201474045,0.9831876175939083,59.80428443216308,-3136.625576968754,0.15397792097140264,105.59036496123325,0.015245628759370338,0.020009571997851385,0.9996905142511127,-209.3567044127016,-159.74563187366294,NaN,80.4502733581606,0.020707316554277686,0.037487518317384706,0.9968268762077066,41.603824624110196,-1232.0039298041106,NaN,1.9707689915239943,0.009613421655417637,0.017390447110408224,0.011280897205945687,10.398580435202074,-252.08319893632083,-0.010580743690545815,0.13934965629785523,-0.0013396270034907024,-0.002423352827711274,-0.0015719891483861736,-1.4490386096313848,35.127707130347936,NaN,0.0015594008324591722,0.9954605242908898
2,1993,76.95223646476008,0.013872047760959502,0.03199739953601392,0.983741156597479,59.679211386600166,-3061.6569373327898,0.16594335009424774,105.59036496123325,0.015245628759370338,0.020009571997851385,0.9996905142511127,-209.3567044127016,-159.74563187366294,NaN,79.46238756157776,0.0027753566407563886,0.006406143130412163,0.996786117390653,41.444494050396244,-1215.46523476283,NaN,1.9635133588453444,0.0012804759057504472,0.002953837607478205,0.011488618900844228,10.45162897025705,-246.86177198776883,-0.009277821730353665,0.14036440308110149,-0.00017973323620215607,-0.00041461365253172693,-0.0016125931342554712,-1.4670366616346802,34.65060526875337,NaN,0.0003915531576037676,0.9946729086842733
3,1993,75.97441505183808,0.0018375907922467255,0.005153451197110235,0.9837818607461847,59.511658755088376,-2986.0701762012213,0.17861950774206364,105.59036496123325,0.015245628759370338,0.020009571997851385,0.9996905142511127,-209.3567044127016,-159.74563187366294,NaN,78.46682093041596,0.0003722486217532926,0.0010445651638237238,0.9967385884784377,41.361700297003,-1199.7276699334705,NaN,1.9524891897375098,0.0001699121647419647,0.0004765491033251324,0.01165799847150261,10.466176855743049,-240.79447417561872,-0.008307192843988013,0.14192036483185108,-2.4113996396579476e-5,-6.76320225876711e-5,-0.001654507396301702,-1.485363637760362,34.17363962447945,NaN,0.0002376554005866291,0.9943845968737332
4,1993,74.99144050837032,0.000243353436534234,0.0008036361504973154,0.9837380668991095,59.32698603093739,-2911.2522399902377,0.19211611003852921,105.59036496123325,0.015245628759370338,0.020009571997851385,0.9996905142511127,-209.3567044127016,-159.74563187366294,NaN,77.47026871537425,4.993308311813214e-5,0.00016497727965329002,0.9966858640655757,41.285957607735526,-1184.099890583492,NaN,1.9408209548296615,2.253167473517255e-5,7.441162178064996e-5,0.011824557203253611,10.474764631454901,-234.6822261810599,-0.007330851558827135,0.14358602373869028,-3.235233571986707e-6,-1.0684468945178077e-5,-0.001697841151278977,-1.5040298030284076,33.69708769931182,NaN,0.00022009573078723396,0.9941603529730415
5,1993,74.00784100901797,3.2222815714266123e-5,0.0001224528771954662,0.9836659999667666,59.127842328872866,-2837.3853256789316,0.20648885208556453,105.59036496123325,0.015245628759370338,0.020009571997851385,0.9996905142511127,-209.3567044127016,-159.74563187366294,NaN,76.47363297080712,6.698031926512075e-6,2.546483838373652e-5,0.9966277293191294,41.20768073788647,-1168.490361543104,NaN,1.9289219981164216,2.9871902327403675e-6,1.135246968139846e-5,0.011993127389353807,10.481686445942682,-228.6298492783937,-0.006299426890655549,0.14530475288279485,-4.340529312571515e-7,-1.6495677754146865e-6,-0.0017426584115925248,-1.5230388588212602,33.221003751038424,NaN,0.00022114175836986468,0.9939415192466198
6,1993,73.02423407993462,4.265910779617436e-6,1.8335058029192603e-5,0.983571832252884,58.91379418243658,-2764.4938353711123,0.22178820070926414,105.59036496123325,0.015245628759370338,0.020009571997851385,0.9996905142511127,-209.3567044127016,-159.74563187366294,NaN,75.47703963523712,8.984722053487887e-7,3.863167169787023e-6,0.996563683747171,41.125289357852125,-1152.886729372234,NaN,1.916844756670565,3.959615619836328e-7,1.7019350888268551e-6,0.0121643812209527,10.487456851598376,-222.6514719399644,-0.005203258793933333,0.1470702733150463,-5.8234170203308294e-8,-2.5030407119351644e-7,-0.0017890188708827456,-1.5423931455453823,32.74541283218621,NaN,0.00022502713008205405,0.9937199042364074
7,1993,72.04072057675008,5.646500829971392e-7,2.7080100015395836e-6,0.9834549149418393,58.68395255649671,-2692.581527026968,0.23806493080444194,105.59036496123325,0.015245628759370338,0.020009571997851385,0.9996905142511127,-209.3567044127016,-159.74563187366294,NaN,74.48051104260462,1.2051926268365966e-7,5.782030445642429e-7,0.9964931409295195,41.03825246324706,-1137.2870880916514,NaN,1.9045937563615178,5.247663202416476e-8,2.5168206941781957e-7,0.012338428136035452,10.492085157631314,-216.74947688640012,-0.004037954032937819,0.14888311315602093,-7.812888347415484e-9,-3.7471224526146146e-8,-0.001836983592320915,-1.562094301765015,32.27033689374098,NaN,0.00022967079726597615,0.9934940539774516
8,1993,71.05733446211111,7.472571549442037e-8,3.9557773636368523e-7,0.9833135721312134,58.4373229321641,-2621.649467262938,0.25537059836097775,105.59036496123325,0.015245628759370338,0.020009571997851385,0.9996905142511127,-209.3567044127016,-159.74563187366294,NaN,73.48405617423487,1.6166736188300315e-8,8.560785821874734e-8,0.9964154509845248,40.94615389572298,-1121.6908943713258,NaN,1.8921671514589735,6.953429264785254e-9,3.681101246453302e-8,0.012515299002537627,10.495510493551333,-210.92472242697414,-0.0027997874196791493,0.15074476784711674,-1.0481938144089042e-9,-5.549074393992729e-9,-0.0018866158426630538,-1.5821432927858738,31.795798315405868,NaN,0.00023483153038089856,0.9932633827377798
9,1993,70.07410249128661,9.887319203076005e-9,5.726278909438948e-8,0.9831458706583046,58.17285071309214,-2551.6983802788304,0.2737590538839947,105.59036496123325,0.015245628759370338,0.020009571997851385,0.9996905142511127,-209.3567044127016,-159.74563187366294,NaN,72.48768281960541,2.1688138663802504e-9,1.2562920811952528e-8,0.996329898507254,40.848565077318405,-1106.097766036712,NaN,1.8795622367823084,9.211945734613218e-10,5.335419467932855e-9,0.012695010955765595,10.49765946799104,-205.17786345882908,-0.001485013153780779,0.15265691871562884,-1.4063200664347496e-10,-8.144792576720378e-10,-0.0019379812555766617,-1.6025403481090381,31.321820424199966,NaN,0.00024051880265857576,0.9930273820697781
10,1993,69.0910522399538,1.3072994004188407e-9,8.22370109178215e-9,0.9829497153742649,57.88942593381884,-2482.7289547697765,0.2932849268916847,105.59036496123325,0.015245628759370338,0.020009571997851385,0.9996905142511127,-209.3567044127016,-159.74563187366294,NaN,71.49139926738489,2.90587542811804e-10,1.8295941499571861e-9,0.9962356966461069,40.74502585712949,-1090.5073224198823,NaN,1.8667761819153816,1.220707366458877e-10,7.674075890081921e-10,0.012877575794973561,10.49845372928954,-199.5095215001017,-8.976971248688495e-5,0.15462133022855196,-1.8866546591692546e-11,-1.1866933517245565e-10,-0.001991147899524715,-1.6232848809658398,30.848427607735495,NaN,0.0002467799429903937,0.9927855107792067
11,1993,68.10821329903324,1.741748019643376e-10,1.173547003801805e-9,0.9827228534832038,57.58588262064718,-2414.741883587557,0.3140053726458509,105.59036496123325,0.015245628759370338,0.020009571997851385,0.9996905142511127,-209.3567044127016,-159.74563187366294,NaN,70.4952145979713,3.915721898279239e-11,2.6548404840515897e-10,0.9961319801264781,40.63503972116731,-1074.9191623804195,NaN,1.8538061322083523,1.619659414117504e-11,1.0965516370830338e-10,0.013063000769587461,10.497810883522982,-193.92030593480501,0.0013898583285494725,0.1566398383462852,-2.5276836601520184e-12,-1.7187755137200707e-11,-0.0020461863288666463,-1.6443753997856305,30.375645373760573,NaN,0.0002536720000956345,0.9925371758518996
12,1993,67.12561757344005,2.3449284471174534e-11,1.6613596828162334e-10,0.9824628662431731,57.260997545633955,-2347.7378683222364,0.3359784062955029,105.59036496123325,0.015245628759370338,0.020009571997851385,0.9996905142511127,-209.3567044127016,-159.74563187366294,NaN,69.49913879492836,5.787183799333434e-12,3.750831052540786e-11,0.9960177974960399,40.51807078501658,-1059.3328605370057,NaN,1.8406492261843155,2.1439591596827872e-12,1.560934898648808e-11,0.013251288323687186,10.495644537939372,-188.41081599218785,0.002957906907467515,0.15871435113847118,-3.3661702052155514e-13,-2.468292072168928e-12,-0.002103169628036012,-1.6658094126189635,29.903500407665877,NaN,0.00026125843465559255,0.9922817251540594
